round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_f1_best,fed_brier,fed_f1,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17435512602583142,0.03266929646130966,3.65056,3.65056,0.9971592150692714,0.1800866613566884,0.10985206169342145,0.25221426564407995,0.24883049717575473,0.18333635602068615,0.5001318627327616,0.38920131930023155,1.6197020251103544,0.6011808845664174,0.3606207189741536,0.08520873588160341,0.7481274296206708,0.15567680520083585,0.2045002711006687,0.4899405837059021,0.39055394595963727,0.254034796276987,0.11389601892395189,0.022930069237268726,2.4643758218735456,0.019037581004700505,0.025501181559174423
2.0,0.17231373883653806,0.022319950156657685,5.632,5.632,0.5412350858791136,0.21340548346727597,0.10985206169342145,0.2966175394420391,0.24976250829617022,0.23780168446357267,0.5173727745656364,0.3925870521829531,1.9577211241229686,0.6603873145761976,0.39849393527665444,0.10179065537386799,0.8937156569259315,0.16461916461916462,0.20478217552757905,0.49291613698005676,0.39126774628345135,0.2544216761396828,0.11389601892395189,0.01865452065720919,1.2603384898975492,,0.01865452065720919
3.0,0.17068020357240535,0.033054716509441605,7.61344,7.61344,0.5412350858791136,0.22017302710696032,0.10985206169342145,0.30109569707144046,0.2426730936201002,0.2681277570591647,0.5217182377617727,0.38513135900278306,2.019549706465838,0.677523284911216,0.39781617703642086,0.0953098617220488,0.8368146895958407,0.16282697384209263,0.20468021545285836,0.4923366606235504,0.39218461843956226,0.2552747250891589,0.11389601892395189,0.013672382060448119,0.9666356614325196,,0.013672382060448119
4.0,0.16674075350596188,0.030743681124229864,9.59488,9.59488,0.5412350858791136,0.22939728663716202,0.10985206169342145,0.3069453942911907,0.24132032487200478,0.2757815898462598,0.5171675147802379,0.38383179476961315,2.114305145007791,0.6872593305701974,0.37953874138737403,0.09001555281073043,0.7903309848857282,0.1553398058252427,0.20454648167397296,0.48782476782798767,0.3918176810402678,0.25517621368549837,0.11389601892395189,0.012035478540106429,0.8852329589426517,,0.012035478540106429
5.0,0.16935658155079153,0.031322283067793666,11.264,11.264,0.4559241291901578,0.21644296008027833,0.10985206169342145,0.2947791229777261,0.24164740963648876,0.26593128661280974,0.526407906018153,0.38414678698183413,1.9875283070865204,0.6716444725438397,0.39453646566979517,0.09099769914872721,0.7989541689730716,0.1527684224706992,0.20450951154489178,0.4881652593612671,0.39141315499875506,0.25490129585633414,0.11389601892395189,0.015129555843756347,0.6787688843905926,0.015129555843756347,
6.0,0.16633735458351012,0.029624279506549677,13.24544,13.24544,0.5412350858791136,0.22532806780198725,0.10985206169342145,0.3044521300947532,0.24185090625676295,0.27427417937610865,0.5127347091608615,0.3846593522991742,2.095073593544599,0.6788324568353318,0.42374958141303715,0.09720138286446542,0.8534221282077169,0.17381974248927037,0.20466883821932683,0.4909234941005707,0.3934910127330519,0.25643382647021173,0.11389601892395189,0.010316359230573661,0.7898398051038384,,0.010316359230573661
7.0,0.1622957200073849,0.03380049976430056,15.22688,15.22688,0.5412350858791136,0.23605660584899463,0.10985206169342145,0.3137736167256866,0.239533179416525,0.2806051243445901,0.5213006376919973,0.3818418393860758,2.192350004369454,0.6906398507396,0.449499437508474,0.10907641329829634,0.9576841607705922,0.1750082863771959,0.20461329715061058,0.49166205525398254,0.3915562601965803,0.25458267373505383,0.11389601892395189,0.008912830194833772,0.7105302910786122,,0.008912830194833772
8.0,0.15932019920420745,0.05197821085237345,17.20832,17.20832,0.5412350858791136,0.24380876582495928,0.10985206169342145,0.321333525993829,0.23643271432018995,0.2884661687380186,0.5329104498980891,0.3792429667619327,2.2528833599774702,0.69968286108856,0.4326246540806375,0.10111692525534074,0.8878003481654287,0.18198896324997066,0.20461029844662834,0.4932551681995392,0.3949812512595998,0.2575108408473039,0.11389601892395189,0.0088212544061031,0.7274895509472117,,0.0088212544061031
9.0,0.1568219456133797,0.05603490706131783,19.18976,19.18976,0.5412350858791136,0.25326271622145236,0.10985206169342145,0.32770713734476103,0.23718564798860572,0.286987046999128,0.5413670532651618,0.3805682176589815,2.347032006264924,0.7079990451093379,0.45385821348314104,0.11109881938768887,0.9754407611197481,0.1926643313414383,0.20458346517199294,0.4950146973133087,0.3966437934182228,0.2585650779222094,0.11389601892395189,0.009410505588786242,0.8085812211502343,,0.009410505588786242
10.0,0.16513099792622515,0.05857910030377837,22.84032,22.84032,0.9971592150692714,0.21861035473862855,0.10985206169342145,0.29148050786360347,0.24121901284999334,0.2678352086008559,0.5174132473783221,0.3837202180884039,2.0016391501332613,0.673209665320124,0.4472369470517046,0.10580717680643535,0.9289804666226531,0.18326556325525456,0.2045115501107545,0.49460646510124207,0.39505141475365163,0.25740349221131487,0.11389601892395189,0.009696706191527004,1.3326014240738004,0.012676203359295805,0.008094564490757909
11.0,0.16285150594112802,0.04890156506103914,24.82176,24.82176,0.5412350858791136,0.22995427340592398,0.10985206169342145,0.30576424335832525,0.2373036959880196,0.2857323415505934,0.5226652516765643,0.3794428228243815,2.115637291766685,0.6864968603096459,0.45297372812436043,0.11038172663653281,0.9691447311273842,0.19565537194135244,0.20451875282422052,0.49474766850471497,0.39655358655966666,0.25847619344543415,0.11389601892395189,0.0074518311417429315,0.6877615912817419,,0.0074518311417429315
12.0,0.1595505655960022,0.04838052308866152,26.8032,26.8032,0.5412350858791136,0.24048420380894475,0.10985206169342145,0.31391149122280165,0.23849313372021314,0.2834398815715691,0.528048824339045,0.38150008508046174,2.2197656176850606,0.6962855226338779,0.4490211402542288,0.10461550981018702,0.9185177041178109,0.1916606460935081,0.20454648167397296,0.49223169684410095,0.3962152009086752,0.25830232700285893,0.11389601892395189,0.0064644450376734565,0.6172872828319669,,0.0064644450376734565
