round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6048812602828916,102.36990550824399,23.00688,23.00688,1.0,0.8266259861196792,0.625169320450252,0.3739532647224572,0.7913654697266587,1.3648208960862545,0.574341041346391,0.6422103183003736,0.7435897435897437,0.23959496776311498,0.6721838702607934,0.7713184783377827,1.2341095653404524,0.0,0.7830578512396694,0.46271812915802,0.162131207016034,0.26062737409954323,0.625,0.0022021934069290073,1.3192956236919144,0.0005154190253642691,0.0024858448835983894,0.0011059726826522522
2.0,0.5177389920085217,56.620893439077726,46.01376,46.01376,1.0,0.8561894639081962,0.7964555277447933,0.22832589508631282,0.8530684087075787,1.6892555840087555,0.8606008337858394,0.8168898283635914,0.7435897435897437,0.19186156089455442,0.7074183651106728,0.7653080342450647,1.2244928547921035,0.0,0.7987082884822388,0.46504393219947815,0.15986824073852635,0.2599068428246417,0.625,0.0008921148498611464,0.5352066499388002,0.0001996143044465286,0.0010080564186678337,0.0007108027150514525
3.0,0.3785283063433952,28.92585895992753,69.02064,69.02064,1.0,0.885181489018427,0.7951423930365218,0.2649448697001506,0.8909559177898766,2.142582625692763,0.8321210856621081,0.877904509336121,0.7435897435897437,0.2399462653685001,0.7958031996493534,0.8470848160011546,1.3553357056018474,0.0,0.8132387706855791,0.46428653597831726,0.1606728194329219,0.26016180408167766,0.625,0.0006585977909466784,0.395505078832457,0.0001514376750481873,0.0007432027970937245,0.0007063903104877058
4.0,0.3424732508093608,26.643892670185362,92.02752,92.02752,1.0,0.8898962900177168,0.7756594989430706,0.3048396759785902,0.89345583953893,2.1038082702435776,0.6976302424684547,0.884119769864362,0.7435897435897437,0.27250456185248706,0.8638888888888889,0.8968228892686059,1.4349166228297694,0.0,0.8468899521531099,0.4650305211544037,0.15992166211780828,0.2599043179244446,0.625,0.0005574236173137825,0.33500974409173523,0.00013313297226380785,0.00062787604828949,0.0008174724234561317
5.0,0.34680433492213864,25.098529931078186,115.0344,115.0344,1.0,0.9618638586933784,0.7700277805594381,0.3230330447021585,0.972525450367727,3.409119543852948,0.6656009025585192,0.9486077378805092,0.7435897435897437,0.283996447047651,0.5992439184746877,0.6889096412939059,1.1022554260702493,0.0,0.7761194029850745,0.4667447507381439,0.15792026241811424,0.25928613620913366,0.625,0.0004918587969361076,0.2958004533040821,0.0001241452939832516,0.0005527934416699145,0.0007861671632806095
6.0,0.3452219375812759,23.886160888164987,138.04128,138.04128,1.0,0.9644759443434799,0.7287897972104737,0.38183600509610877,0.9751583715859816,3.366458935169333,0.6054721378745176,0.9619068104725128,0.7435897435897437,0.3279463072245217,0.6146778435239973,0.7037750188453478,1.1260400301525564,0.0,0.7707509881422925,0.46592578291893005,0.1584452613710593,0.25943317859933135,0.625,0.00039966773803163703,0.24049137351960326,0.00010483395781717882,0.00044847978570651824,0.0006524934646868479
7.0,0.2728611126126289,18.040843387421635,161.04816,161.04816,1.0,0.9697738140453165,0.708445151998531,0.3987444992804039,0.9804841127355497,3.3946639607158056,0.5869189282938931,0.9668805627196314,0.7435897435897437,0.34436735467306895,0.6983179925487618,0.7545222299769752,1.2072355679631603,0.0,0.7946336429308566,0.4664354920387268,0.16437238875107885,0.2593747596901816,0.625,0.0004481579749499225,0.2697917353181083,0.00012269307780853777,0.0005020123695623682,0.0007331627372981964
8.0,0.28578772488602844,31.888792892475863,184.05504,184.05504,1.0,0.9724701484152702,0.7187391200799584,0.3999419830542486,0.9860573879466888,3.413944478640169,0.5604006137651127,0.9766972238412857,0.7435897435897437,0.33910050656813384,0.6993151435459127,0.7564836566804133,1.2103738506886612,0.0,0.7909836065573771,0.466374933719635,0.1594477722373528,0.25937596943278296,0.625,0.00040794516642189276,0.2456858851832635,0.00011407768843131946,0.00045662374130866085,0.0006118619308600507
9.0,0.2575966633321021,20.171430846049436,207.06192,207.06192,1.0,0.9814518870692958,0.7313766768957264,0.38532560391124704,0.9927684794403626,3.4926776352083335,0.5638686462878607,0.9785085221670914,0.7435897435897437,0.3247372386206502,0.8600317773394698,0.8829445553165514,1.412711288506482,0.0,0.8516284680337757,0.4660439193248749,0.15888390546807873,0.259541179417741,0.625,0.0005175327128022962,0.3118167629125992,0.00015031863487203887,0.0005786087185864332,0.0005669699613008852
10.0,0.2442742291269024,20.92141312757367,230.0688,230.0688,1.0,0.975015700070189,0.7629619359953261,0.3367593016284398,0.9876598362581916,3.4162604803196834,0.6105197691334744,0.9822795466160831,0.7435897435897437,0.2877828236181667,0.6850591715976332,0.7527367742185644,1.2043788387497032,0.0,0.7722980062959077,0.46813273429870605,0.1565904132066629,0.2588401934198268,0.625,0.00043517649712641497,0.26233428834706274,0.00012559327464057869,0.0004865367426093263,0.000558929245953345
