round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_f1_best,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17254428714117515,0.029446397711642765,3.65056,3.65056,0.9971592150692714,0.16365271618349606,0.4015958981179747,0.5588083744068418,0.11488102731965252,1.4452857338968526,0.5152259317506819,0.2524048305505084,0.26230213070574443,0.1832767043058801,0.6253039163475634,0.1940012164307728,1.703318678419366,0.2434965402470001,0.2518716577540107,0.5016952157020569,0.38565786934275714,0.2492670625896758,0.11389601892395189,0.022266700699836866,2.390783523209393,0.018341259134052237,0.024866019569570557
2.0,0.171199641438271,0.02220349631017221,5.632,5.632,0.5412350858791136,0.21510419171709425,0.3849889995990105,0.6490989720830788,0.11488102731965252,1.8848186505174507,0.5107025144124352,0.2929897737034996,0.2480568196618858,0.23066848636947251,0.6260812921357254,0.1948943011688664,1.7111599071693357,0.24357518835793168,0.24792343806428313,0.49957579374313354,0.3852617692438008,0.24904311437016555,0.11389601892395189,0.01764391458243121,1.1797081935219467,,0.01764391458243121
3.0,0.16849655349068288,0.027674615629605864,7.61344,7.61344,0.5412350858791136,0.23760723562954336,0.3803923337522298,0.6818621667289052,0.11488102731965252,2.0891169289131937,0.5107261130791925,0.314070444237756,0.24364788875462917,0.26429748105818934,0.6110860526447492,0.19414046127753637,1.7045412395595978,0.23690155997848306,0.2420731707317073,0.5009142756462097,0.38605971479369094,0.2495908326862468,0.11389601892395189,0.013180091351395107,0.9178173651453108,,0.013180091351395107
4.0,0.1662625024155209,0.029679894960593433,9.59488,9.59488,0.5412350858791136,0.24618489558971832,0.38375129886595316,0.6902429634501369,0.11488102731965252,2.170313673244912,0.5213160471233029,0.3195700559690663,0.24518036734349688,0.27867124031001117,0.6312299808008448,0.20471979960268982,1.7974271755659939,0.24848192771084338,0.2641118591403418,0.5021337270736694,0.3865726452686987,0.2498210240283966,0.11389601892395189,0.010921307975740428,0.78886714624241,,0.010921307975740428
5.0,0.16770772373147452,0.03332968034692998,11.264,11.264,0.4559241291901578,0.23104768888628793,0.3797323821054123,0.6700572279723283,0.11488102731965252,2.03966600724017,0.5278802736758825,0.3008365537486044,0.24228875394777397,0.27064533214561676,0.6440901569680404,0.21472165880905866,1.8852428806350803,0.25530187721968545,0.2719343252950231,0.5026358366012573,0.3866497821537032,0.2496695864629502,0.11389601892395189,0.015840519232370023,0.709529107902199,0.015840519232370023,
6.0,0.16639740599362113,0.029489837729041894,13.24544,13.24544,0.5412350858791136,0.24381611903664618,0.37795587915828216,0.6826933317386883,0.11488102731965252,2.1587329369415484,0.5196293171569769,0.3172917686931808,0.24068222959322094,0.2791594661898012,0.6509694150283901,0.2166679504011481,1.9023312004067219,0.26849596102064366,0.2766279656739021,0.5028839111328125,0.38516825614538786,0.24847487999106316,0.11389601892395189,0.009740132914267464,0.7278526622103527,,0.009740132914267464
7.0,0.16274912924420096,0.037608907037296344,15.22688,15.22688,0.5412350858791136,0.25718066838535736,0.37406432028307834,0.6922145134792502,0.11488102731965252,2.2908286314511708,0.5209293782309562,0.3270309774419137,0.23716496848348986,0.2924840297769553,0.6575603368855143,0.21798749803905415,1.913916747034011,0.2774011299435028,0.2796947577969476,0.5026279091835022,0.38214819478343076,0.2459495809148168,0.11389601892395189,0.009925366783038521,0.7708745133131742,,0.009925366783038521
8.0,0.15885514224895053,0.0445592846160268,17.20832,17.20832,0.5412350858791136,0.2729743950366564,0.3699619251445365,0.7042512618087213,0.11488102731965252,2.444869310063968,0.521562187053403,0.33887645761571955,0.23289602877310345,0.30592689498523523,0.6581377497096182,0.21752963393359695,1.9098967285137594,0.27648070779061196,0.2781474233529028,0.5011184215545654,0.3843142990407445,0.24722886712640618,0.11389601892395189,0.00937715847297721,0.7619764806004241,,0.00937715847297721
9.0,0.15475811835045333,0.049827102880170435,19.18976,19.18976,0.5412350858791136,0.2847585045426462,0.37416931690398925,0.7148955571627555,0.11488102731965252,2.556437188582152,0.5341791193423426,0.3521141011239791,0.23545862949235213,0.30989954609510517,0.6593581211442751,0.21841492104411805,1.9176694945760413,0.2773968171820417,0.279452860714811,0.503487229347229,0.3822508060228387,0.24533320327651226,0.11389601892395189,0.00967261340645279,0.8233395536663011,,0.00967261340645279
10.0,0.16385019558450514,0.049026772902813626,22.84032,22.84032,0.9971592150692714,0.2344196476739628,0.38309030183035764,0.6726821011345634,0.11488102731965252,2.070683327804214,0.5208455412514367,0.3071083182062991,0.24471651476282413,0.2727612247509218,0.6614602170583291,0.22224674030395664,1.9513126306227637,0.2781546811397558,0.2824110158482723,0.5032034516334534,0.3839636749038459,0.2468196382830552,0.11389601892395189,0.009384798445084358,1.2890967610292137,0.013362542800900868,0.0072146623657148275
11.0,0.16280478256436015,0.03695908172075806,24.82176,24.82176,0.5412350858791136,0.2514318788859372,0.3758537767441616,0.6898664264497607,0.11488102731965252,2.240749726559773,0.5214208260011601,0.3251791700528457,0.2383786348524353,0.2920731727069231,0.6608665024964122,0.22168935291994785,1.946418803873815,0.2782608695652174,0.28217821782178215,0.5021429657936096,0.38168777701593,0.2449724508216893,0.11389601892395189,0.006765826547932897,0.6178659843280911,,0.006765826547932897
12.0,0.1579205823392003,0.04096224973748887,26.8032,26.8032,0.5412350858791136,0.2671165670870915,0.3789123057227253,0.7001507025655377,0.11488102731965252,2.3894568614097804,0.5313201336799573,0.33482164292312416,0.24016133245197116,0.28960083795963226,0.6615489542315973,0.22165033888725752,1.9460762630803887,0.2753965575430307,0.28003997002248315,0.5025471448898315,0.38263133716298864,0.2455928538317445,0.11389601892395189,0.007285220737732384,0.6880401937523857,,0.007285220737732384
13.0,0.15440688874206673,0.05361413675082303,28.78464,28.78464,0.5412350858791136,0.2817356290863388,0.3776884795953656,0.7111186226020453,0.11488102731965252,2.532015879359846,0.5415451428770314,0.3498957221312782,0.23774202069213685,0.2941270855478772,0.6617135277417426,0.22299603948935293,1.9578914311153128,0.27294012710447096,0.2810880829015544,0.5044394135475159,0.38145988294646177,0.24425344960782108,0.11389601892395189,0.007784054515821343,0.764763688785024,,0.007784054515821343
14.0,0.15056268986511556,0.0688081494781399,30.76608,30.76608,0.5412350858791136,0.2912100729578406,0.3677380869455142,0.7205694043867238,0.11488102731965252,2.622998043220072,0.5395621191876729,0.35718012738405824,0.22968443452446063,0.31110918276785204,0.6616637315172302,0.22174616217056126,1.946917585579709,0.2769909449732993,0.28157513499275644,0.5037126541137695,0.3803161110360931,0.2435659356455373,0.11389601892395189,0.00887241178205437,0.9096442882437259,,0.00887241178205437
15.0,0.16406629224791666,0.07595900051552903,32.4352,32.4352,0.4559241291901578,0.23911030395733132,0.3741442557660215,0.6791615827135479,0.11488102731965252,2.114451232969521,0.5192705970574097,0.3119716542014616,0.23747636611979386,0.28009223063212974,0.6611643260851549,0.2237374567212042,1.9644010285433524,0.27794709252712424,0.28169014084507044,0.5026929974555969,0.37898262006130484,0.24265743277165736,0.11389601892395189,0.01088292791527781,0.5732897603884339,0.01088292791527781,
16.0,0.1623905624657524,0.059882611670915645,34.41664,34.41664,0.5412350858791136,0.25556040391529056,0.37487162045930916,0.6911296277443427,0.11488102731965252,2.275175205343392,0.5290845887634416,0.3275931274568324,0.23698541936075673,0.2877960092451869,0.6604491704787301,0.22228007430546862,1.9516053010938381,0.27767803710353084,0.28077582794563927,0.5024445056915283,0.37865455101466194,0.24236818183172634,0.11389601892395189,0.005831322863230624,0.6220804165350273,,0.005831322863230624
17.0,0.1564554275242596,0.051507444031574576,36.39808,36.39808,0.5412350858791136,0.273823764822219,0.3777565958742139,0.7070424706474074,0.11488102731965252,2.4543735392518915,0.5332598603035901,0.3421398895599718,0.23875507931168818,0.29377584804277607,0.6605307795634086,0.21986815441664992,1.9304287936829063,0.27447045707915274,0.279367791542076,0.5042476654052734,0.3799005946768531,0.2435853277369973,0.11389601892395189,0.006761088607647948,0.7435527289053425,,0.006761088607647948
18.0,0.1518130895510133,0.050756175849881104,38.37952,38.37952,0.5412350858791136,0.2888332647825048,0.3719516932283332,0.7143126168597284,0.11488102731965252,2.596165634216304,0.5375800628675166,0.3518899872040892,0.2334375557021178,0.3044228836915721,0.6601424744276057,0.22019364275583067,1.9332865611646484,0.274803876326719,0.2799943206020162,0.5037386417388916,0.3784891393177582,0.24232820530198526,0.11389601892395189,0.007897429744110358,0.9011174745392054,,0.007897429744110358
19.0,0.1494398025294389,0.08123044013702255,40.36096,40.36096,0.5412350858791136,0.29949638216072527,0.36819415734233113,0.7241228870726306,0.11488102731965252,2.6954706324107094,0.5239823241198107,0.3571808952152479,0.22980493644059818,0.32301235585997307,0.6593513695392379,0.21881424854606987,1.9211755653388698,0.2750146284376829,0.2793404461687682,0.5031639933586121,0.38003788495094976,0.2436020535637193,0.11389601892395189,0.007519200442956046,0.8964736146153882,,0.007519200442956046
20.0,0.1612953130495729,0.07298613926640468,44.01152,44.01152,0.9971592150692714,0.24101588135936702,0.37325745198726046,0.6797083026220525,0.11488102731965252,2.1241555445789317,0.5267858226117237,0.31246653678271535,0.23650895161465915,0.2782938774898043,0.659171347653998,0.22296226872240793,1.957594925870757,0.26748024407322196,0.28129435140505255,0.5071820020675659,0.3815489119600593,0.2446726393573708,0.11389601892395189,0.007208942714111393,1.2985062912339345,0.009742521695011165,0.006043565692974516
21.0,0.16215257345697628,0.06607202306315577,45.99296,45.99296,0.5412350858791136,0.25961397440091044,0.3696700159404495,0.6946176786763548,0.11488102731965252,2.305338644675867,0.5289422382463305,0.3312053397557017,0.23320929144216393,0.29519589597930196,0.6595578080203948,0.2193056289177009,1.9254898546026509,0.26985138004246284,0.2812202097235462,0.5067466497421265,0.3778235811871967,0.24190460611422085,0.11389601892395189,0.005337646864376001,0.6764747339766473,,0.005337646864376001
22.0,0.15734160961400145,0.059661184889691486,47.9744,47.9744,0.5412350858791136,0.27118845510464257,0.3797256135526328,0.7038831104016333,0.11488102731965252,2.4240700574106047,0.5311290182864563,0.3396355427777703,0.24014741736064243,0.2880991317606514,0.6596292269502587,0.22242725309101657,1.9528975217257658,0.2648254989123238,0.2800573888091822,0.5074067115783691,0.3803828751394688,0.24374766982027601,0.11389601892395189,0.00596039314999799,0.7806418006075546,,0.00596039314999799
23.0,0.15236444571370672,0.057609250648658725,49.95584,49.95584,0.5412350858791136,0.29450658668684015,0.3719184210158843,0.7200134340352089,0.11488102731965252,2.640059298006885,0.5328834636204192,0.35797260697823036,0.23309044491861106,0.3125593081775279,0.6592834268075064,0.22221136456752472,1.9510020338454037,0.2659846547314578,0.279228149829739,0.5080239772796631,0.3831855061324939,0.24609322396782368,0.11389601892395189,0.006603367863684386,0.8972168124746531,,0.006603367863684386
