round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_auroc,fed_f1_best,fed_f1,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6882309818831889,0.11569257231871521,3.65056,3.65056,0.9971592150692714,0.5109030284238455,1.6440803813237708,0.11406987724268176,0.250318311848197,0.18694556546070892,0.6161467666281214,0.26713705089482337,0.21324036372020208,0.38867124329395253,0.6415694364427745,0.17494042367680684,1.5359660972313192,0.2644245292518377,0.26692666016682914,0.5009722113609314,0.38115745401117257,0.2454296816903499,0.11389601892395189,0.027575490812478197,2.9795519108884037,0.023288197320480142,0.030411203051379364
2.0,0.6816887004361681,0.13035918851291364,5.632,5.632,0.5412350858791136,0.5116643424112166,1.9736551605680992,0.11406987724268176,0.23225773630428462,0.22410053505856836,0.6584327646222738,0.28891680224008554,0.25843367786596844,0.3665316960160223,0.6309182524195719,0.16033051974441787,1.4076920445434549,0.22697874961502926,0.2587686567164179,0.4930185079574585,0.37213987211041377,0.23832387195561036,0.11389601892395189,0.020434173856774283,1.4139961446635425,,0.020434173856774283
3.0,0.6659976835606032,0.2364882693175873,7.61344,7.61344,0.5412350858791136,0.516129240385196,2.0567962125363812,0.11406987724268176,0.22126768381613676,0.23385363237242857,0.6715196885052018,0.29941829314470836,0.2712664595806729,0.35103130627624035,0.6152259410821312,0.15096397549612414,1.3254543655026472,0.21769861464517953,0.24615901267735704,0.4921892583370209,0.37297463130414554,0.23905190824985914,0.11389601892395189,0.015203011026787467,1.1174195264466107,,0.015203011026787467
4.0,0.6512966234090902,0.28149418837498963,9.59488,9.59488,0.5412350858791136,0.5146217949048205,2.1751155528267563,0.11406987724268176,0.21357923434660891,0.2460750984752995,0.6823203280553296,0.3097957029454535,0.28911814497223504,0.33938513212996463,0.6039595578356293,0.1467529052647793,1.2884814293883782,0.20782959124928038,0.24203929539295393,0.48801493644714355,0.3680679509912609,0.23533922438117316,0.11389601892395189,0.012205932400300955,0.9464625206310302,,0.012205932400300955
5.0,0.6569257579886875,0.3113663110958376,11.264,11.264,0.4559241291901578,0.5073304706074586,1.9816971466271622,0.11406987724268176,0.22426535008340098,0.22368645170850082,0.6549559844304587,0.28444012198696206,0.2657873269925479,0.3519423241046078,0.5913873664870104,0.13848117270138233,1.2158561292106784,0.18908122503328895,0.23713033953997809,0.47479909658432007,0.3652873008136835,0.23332211502638442,0.11389601892395189,0.017180201021123415,0.7905543982051313,0.017180201021123415,
6.0,0.6498235938139183,0.4576780397451989,13.24544,13.24544,0.5412350858791136,0.5167171385065353,2.0992882107217508,0.11406987724268176,0.21496847081465972,0.23676538283915521,0.6684976824578013,0.29820103547927707,0.274338314217443,0.34050673230061335,0.595498617075517,0.13866348162061337,1.2174567902430256,0.2070561017929439,0.24201680672268902,0.48203426599502563,0.36744162962279364,0.23475887925575026,0.11389601892395189,0.009678897565763813,0.7899950306164101,,0.009678897565763813
7.0,0.6340766710043654,0.38885571324829127,15.22688,15.22688,0.5412350858791136,0.5162811001160628,2.2376814677281023,0.11406987724268176,0.21291437311658254,0.25179586760158496,0.6814013645250814,0.3088117599911827,0.288516323363265,0.34035431318334497,0.5771499883867374,0.13336187776699945,1.170909036390858,0.18850449468809588,0.2308896603362603,0.4736027419567108,0.36441118154775826,0.2328512530267801,0.11389601892395189,0.00900067410067008,0.7653722916729748,,0.00900067410067008
8.0,0.6236700958870295,0.501658115904218,17.20832,17.20832,0.5412350858791136,0.5333320372690749,2.337577532747495,0.11406987724268176,0.2161700593941985,0.2622715410347612,0.6899688943737865,0.31794759103159287,0.2971372825245958,0.34492070705664785,0.589471968766523,0.13799808867212568,1.2116146813196929,0.19249448123620308,0.2355006319337172,0.4723750352859497,0.3623773499838065,0.23119361374107372,0.11389601892395189,0.009947963200529764,0.8812432696577162,,0.009947963200529764
9.0,0.610658098495726,0.6427811900869181,19.18976,19.18976,0.5412350858791136,0.5473441248725037,2.425820932272703,0.11406987724268176,0.2091401201736342,0.27208736838501735,0.6980845929477425,0.32526298248137353,0.3013966857116284,0.3336900119004588,0.5938190486521663,0.13784572812783177,1.2102769651665441,0.20047859611805371,0.23988591158147565,0.4771136939525604,0.36098637271853795,0.2300162966943911,0.11389601892395189,0.010259915462942618,0.9566666649188846,,0.010259915462942618
10.0,0.6429398563994558,0.5563230777015258,22.84032,22.84032,0.9971592150692714,0.495559491905207,2.0441162257735304,0.11406987724268176,0.20446089253275732,0.23104857815766286,0.6586495168156199,0.28660761134329765,0.2680938101697159,0.3222058366896186,0.6068593972980227,0.14494562582689868,1.2726136277307334,0.21287600381107935,0.2429225160940045,0.4780080318450928,0.35840861864620105,0.2279545363994676,0.11389601892395189,0.009966322943872166,1.4704344993224367,0.013273326677782462,0.008277273428547343
11.0,0.6455091092142283,0.4909777324284894,24.82176,24.82176,0.5412350858791136,0.523697189210457,2.200956741683348,0.11406987724268176,0.21396592596941535,0.24823612208371154,0.675955556033794,0.3044952341739848,0.28454939094243364,0.3405536570149772,0.6073719043577168,0.14555069135194545,1.2779260656083977,0.2051052395879982,0.24436783452256872,0.481672078371048,0.35827034805284075,0.2278326321456175,0.11389601892395189,0.006937741513263232,0.6958107670070603,,0.006937741513263232
12.0,0.6277582092174393,0.48510354503903236,26.8032,26.8032,0.5412350858791136,0.5372033600729142,2.2979294753303745,0.11406987724268176,0.21613495851773223,0.25889785890271655,0.6849405217517441,0.30942662982794145,0.2839961823283435,0.34262775546130353,0.595002938830609,0.13997499226289647,1.2289717725459524,0.19475181789440404,0.23881447705899117,0.4705585837364197,0.35753658704875524,0.22754041325419058,0.11389601892395189,0.0076103875730787725,0.7877175306202844,,0.0076103875730787725
13.0,0.6138809573316791,0.7488314487846877,28.78464,28.78464,0.5412350858791136,0.5279470820621308,2.4004366733121856,0.11406987724268176,0.20854788583929404,0.27034019808366316,0.6949207325541711,0.3185021624181391,0.2957955066484715,0.3308342105749177,0.6125608893123798,0.14798934338900954,1.2993372796271456,0.18947368421052632,0.24571562720087642,0.47736743092536926,0.3538386530428338,0.2245657572036893,0.11389601892395189,0.007703117794771062,0.834184983978048,,0.007703117794771062
14.0,0.5969300787827698,0.6944899184470205,30.76608,30.76608,0.5412350858791136,0.5719483955723705,2.4862921899211994,0.11406987724268176,0.21876304305728334,0.2805953740706019,0.7049158197108263,0.3288590137118827,0.2961411428515044,0.3473735760495203,0.6022113564607012,0.1430007149573677,1.2555374306177371,0.1924540266328472,0.24299487797529376,0.4760243892669678,0.3552964321139882,0.22575854261129047,0.11389601892395189,0.008103018629516377,0.9163103101309389,,0.008103018629516377
15.0,0.6467842716047374,0.8605620191665215,32.4352,32.4352,0.4559241291901578,0.5307077083866815,2.0978354571549205,0.11406987724268176,0.21979510812816477,0.23789466572850934,0.6665646095147834,0.2930138536051629,0.27471298933680965,0.3467801252487305,0.6005776939318231,0.14607853457462056,1.2825604964485797,0.18706023682855671,0.2401372212692967,0.47760507464408875,0.3602730604064405,0.22944113574265926,0.11389601892395189,0.011188946359196154,0.6016258792951703,0.011188946359196154,
16.0,0.6388358126657903,0.5521703824830706,34.41664,34.41664,0.5412350858791136,0.5289425158616992,2.235245252172186,0.11406987724268176,0.21554646128401309,0.2528785566976349,0.6813342456555522,0.30848662160880647,0.2837701574573565,0.34212860483623436,0.5895671814568899,0.14164016482587913,1.2435918846334035,0.1848993288590604,0.236109224290178,0.4723866581916809,0.3590065470980892,0.22867729465380932,0.11389601892395189,0.006023650261360933,0.7062252743635327,,0.006023650261360933
17.0,0.6205828004961068,0.6138314446047802,36.39808,36.39808,0.5412350858791136,0.5593387171199271,2.3456690667297897,0.11406987724268176,0.22583819463932497,0.26490363438229764,0.6920194352191922,0.31594569766727926,0.28086528372667485,0.3575604770877825,0.5976281460910793,0.14522067044586323,1.275028502469667,0.19155191087730156,0.23924404037511632,0.47677740454673767,0.3576610868077578,0.22758372373003105,0.11389601892395189,0.006838707753867495,0.8309318333631381,,0.006838707753867495
18.0,0.5990479532279445,0.7095715091040332,38.37952,38.37952,0.5412350858791136,0.5536528309899229,2.461459348541052,0.11406987724268176,0.21186640382390565,0.27825074215051093,0.7031830002788992,0.32744353342979454,0.2943240002314758,0.33913175834962545,0.5780309097012232,0.1375433596237432,1.2076221884066078,0.19445924347362814,0.2301517621974163,0.46234604716300964,0.3585050830099974,0.2286035911146503,0.11389601892395189,0.007459407941991187,0.9455207987921312,,0.007459407941991187
19.0,0.5858747409143134,0.8135820091276085,40.36096,40.36096,0.5412350858791136,0.5635702608514964,2.5650572494649557,0.11406987724268176,0.20863799251420875,0.2895107379252914,0.7157880117859935,0.3363393805099473,0.30878016282742754,0.33271149720968474,0.589827620228893,0.141414139512608,1.2416073963658898,0.1929798795711558,0.23437922639978362,0.46745187044143677,0.35609290493207213,0.22665391277293057,0.11389601892395189,0.008037409413778876,1.066925120772794,,0.008037409413778876
20.0,0.6408632490376645,0.999559649240461,44.01152,44.01152,0.9971592150692714,0.5158873591871055,2.0905427686544336,0.11406987724268176,0.21155209412322584,0.23724731773728602,0.6653402111658044,0.2934565861047023,0.27259893576573835,0.3326240935001428,0.5898984869828804,0.14167936162355838,1.243936030092126,0.2062780269058296,0.23561930375018675,0.4776443541049957,0.3591326336248921,0.22882385921337947,0.11389601892395189,0.006707463078496333,1.3140057642012835,0.009764533114161042,0.005421483293694756
