round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_ece,fed_auroc,fed_f1,fed_f1_best,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.7406345389973498,422.36871524811824,12.38528,12.38528,0.9991609980251184,0.47072188275994314,0.11312559017941454,1.5413892169197354,0.3535310814590398,0.5787107644175813,0.1731355499098367,0.25024845900586723,0.17296553992311936,0.23389413383868132,0.6460029695014691,0.19024070087854836,1.6703015845143072,0.2045002711006687,0.27056591137403724,0.6262129545211792,0.5043596071069965,0.3528613857963903,0.11389601892395189,0.003803842298069524,4.992329203640111,0.13443203330412792,0.003389772147260218
2.0,0.7019299253510268,4.22988465610505,23.10656,23.10656,0.8649206820440669,0.5151299175026285,0.11312559017941454,1.8662644341375096,0.3574357650238349,0.635511342459474,0.19853152413984496,0.2738993324584595,0.21033758072573536,0.2308407016270092,0.6512858745529697,0.19802106937319583,1.7386127385665169,0.2045002711006687,0.2823312317391973,0.6783881187438965,0.5177072342313633,0.36590081023659904,0.11389601892395189,0.002072371925189431,2.7309497167261725,,0.002072371925189431
3.0,0.6785105731049919,3.350709129321939,33.82784,33.82784,0.8649206820440669,0.5202704952428805,0.11312559017941454,1.945990318207124,0.3554065715161592,0.6536188186779945,0.2068102650727272,0.2862495777777504,0.21947534395115909,0.2287352379732028,0.6520253258979672,0.1974737677960782,1.7338074645781165,0.2132073633972923,0.28174069089277703,0.6732258200645447,0.49823484120668227,0.34692351789186143,0.11389601892395189,0.001492676494072484,1.9854378853560775,,0.001492676494072484
4.0,0.6627186619868872,3.5344197340585537,44.54912,44.54912,0.8649206820440669,0.4825835741087818,0.11312559017941454,2.0553573535620018,0.3374131022336013,0.655237709680148,0.2672371356235704,0.2909237625612788,0.23116652849952002,0.2138603435661025,0.6514440729416302,0.19838576996334364,1.7418147871858924,0.23244641537324465,0.2806860551826995,0.6595363616943359,0.47257718277677113,0.3240444559752681,0.11389601892395189,0.0013992545505741084,1.8747235481641837,,0.0013992545505741084
5.0,0.6643363139722116,3.504172711694829,46.21312,46.21312,0.13424031598105146,0.496246428336968,0.11312559017941454,1.8900342459314343,0.3363530876963327,0.643620927983737,0.2569316509123812,0.2765053139813137,0.2139923442674715,0.2156233218624399,0.6543946372879651,0.20973549900168725,1.841464705994045,0.23953442232656572,0.27999999999999997,0.6555771231651306,0.47868109525009,0.3336888252372552,0.11389601892395189,0.05239099208613453,0.25863725133240223,0.05239099208613453,
6.0,0.6654713929398562,2.9220074896705936,56.9344,56.9344,0.8649206820440669,0.48095183271561776,0.11312559017941454,1.945220128647889,0.34074347066474026,0.6447035655678497,0.2566872863303415,0.27893822272548185,0.2207412965223564,0.21728859228641156,0.6545105440242547,0.2112552015393171,1.85480760025837,0.24286598363473835,0.28135405105438405,0.7099884152412415,0.4902094808721694,0.35189423650483304,0.11389601892395189,0.0015789092967671728,2.1270410500610524,,0.0015789092967671728
7.0,0.6595728898573883,2.691560876702798,67.65568,67.65568,0.8649206820440669,0.4884836385713121,0.11312559017941454,1.9172844901037214,0.33892885395048705,0.6479315393370452,0.25433856130862703,0.2827663290132771,0.21670948567395357,0.21420587912890243,0.6577287003300858,0.21078494862501646,1.850678808762904,0.24255667850314122,0.2805978567399887,0.7181262969970703,0.4778072142857203,0.341719877066951,0.11389601892395189,0.002021744148056425,2.7390776567553985,,0.002021744148056425
8.0,0.6484572676078708,3.230881858139651,78.37696,78.37696,0.8649206820440669,0.5025115585867473,0.11312559017941454,1.9956074564518769,0.34911860142783774,0.6559381402224929,0.2668896368395987,0.28563799632323017,0.2248863240127708,0.21923840213955395,0.657499773231407,0.21163268485992343,1.8581218804603705,0.2445237595353069,0.27983310152990265,0.7086160182952881,0.46503838185929486,0.33025088107354666,0.11389601892395189,0.001902906592513008,2.5993562460334942,,0.001902906592513008
9.0,0.6482689051525112,4.191622663238571,89.09824,89.09824,0.8649206820440669,0.5277204850127497,0.11312559017941454,2.0704128703359186,0.3465230557484788,0.66462184408722,0.2754059575470252,0.29490182666090237,0.23320024554316016,0.21897510905656423,0.6567932767466841,0.2073620464816389,1.8206259397011413,0.2426761139119771,0.279801559177888,0.737581193447113,0.4776793129896264,0.34476434134860545,0.11389601892395189,0.0015492056187159607,2.1279720409329457,,0.0015492056187159607
10.0,0.6580878821640578,3.104157240449479,101.48352,101.48352,0.9991609980251184,0.46368942078007147,0.11312559017941454,1.8463641227657588,0.3159441319274047,0.6421420779873651,0.2536240655221601,0.2747815109239977,0.20905295876447538,0.20096656194496607,0.654980520991995,0.2058913142552626,1.807713001740085,0.2431050719763218,0.2765174739423667,0.6568634510040283,0.4547617459259381,0.3152118881220787,0.11389601892395189,0.0020924884255793526,2.8971877324765956,0.07216093873148595,0.0017879546106443827
