round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auroc,fed_prevalence,fed_f1_best,fed_brier,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6878988060405393,0.10985182740787522,3.66096,3.66096,1.0,0.2678625591340416,0.6583119186096831,0.11341893252769387,0.29156548281046946,0.22426235159450275,0.21214163107391548,0.3570637718285739,0.5144800146064399,1.8947467094982313,0.6645529164950948,0.21387964410416835,1.8778500436171988,0.27789881384652626,0.27865542225917567,0.4983242452144623,0.3560042486642457,0.22366144591494652,0.11389601892395189,0.02445292324272187,2.642069959474611,0.02203822411644843,0.02614185313931112,0.013849790387760514
2.0,0.6618649611276138,0.23045832268880048,7.32192,7.32192,1.0,0.2723739562214974,0.6645615170244962,0.11341893252769387,0.29219363323802877,0.21456423678602535,0.2178179938276726,0.3397667689646584,0.5455533279216691,1.9483788881157955,0.6705350769976631,0.21986855008445788,1.9304322676217824,0.2783539645366343,0.2878219231266986,0.526945173740387,0.3386747342708684,0.21364397368691837,0.11389601892395189,0.016110572743314275,1.8580611778361344,0.016239361888267554,0.016114770141609044,0.005911810608756992
3.0,0.6505931452513948,0.3612256031948665,10.98288,10.98288,1.0,0.2708842477572531,0.6677718356732558,0.11341893252769387,0.2952393409217535,0.22927679312341373,0.22376881571698623,0.36210127662555924,0.5570871839084083,2.0068564629479355,0.6713040195542546,0.22251776375150367,1.9536921997254204,0.2747027470274703,0.2880093471593399,0.557766854763031,0.3608283288595008,0.22849078308510865,0.11389601892395189,0.011594274010545098,1.4329384731263417,0.011985203227364368,0.011372269038698292,0.0058964145434453495
4.0,0.6482711152030821,0.3587880346365499,14.64384,14.64384,1.0,0.27898955346205706,0.6697968914576579,0.11341893252769387,0.29811127083181227,0.21749359520312442,0.22673823187711056,0.3458944812242583,0.5421649503117392,2.0330138337036607,0.6722834917132707,0.22344065260346457,1.9617951067513202,0.2776821572002295,0.2869051754081278,0.5621280074119568,0.34433764601693945,0.21672385704186894,0.11389601892395189,0.009676936494095248,1.2729367368938256,0.01005907080641399,0.009436300943341865,0.005418354468367192
5.0,0.6479094875237561,0.3103813542421877,18.3048,18.3048,1.0,0.27828564715040266,0.6727256687181685,0.11341893252769387,0.3018023731019702,0.2114709959286414,0.23121897996383567,0.33627895411565395,0.5362562364453126,2.076790147448096,0.6739199151215322,0.224676588679544,1.9726465490383824,0.2849939975990396,0.28888888888888886,0.5652239322662354,0.33464191255673725,0.21068806602495713,0.11389601892395189,0.00911582765800232,1.2688703142393933,0.009043832898130696,0.009197100794345677,0.00497533657815391
6.0,0.6474413469528681,0.3423185346012714,21.96576,21.96576,1.0,0.277492517056523,0.6748419769227934,0.11341893252769387,0.3023902681411683,0.2196491638487227,0.23354841916012625,0.3478772540699619,0.5483080260324303,2.096887906339172,0.6732625371909278,0.22505357830069384,1.9759564945896977,0.2808842652795839,0.289306315633782,0.5528787970542908,0.3461309436983741,0.21903680764659603,0.11389601892395189,0.008229611496487675,1.2147597165749175,0.007990193635368783,0.008432353038310183,0.005428693988473007
7.0,0.6471720353692643,0.35700042383880126,25.62672,25.62672,1.0,0.27860617877209354,0.6764575033660575,0.11341893252769387,0.30745573427336237,0.21579545114030618,0.23842155219025304,0.3443157735936277,0.5496388010095433,2.139423011004124,0.6735267909962603,0.22699721366074052,1.9930214928083312,0.28438553656551563,0.29037520391517135,0.5262418985366821,0.3424574926070319,0.2153071517218303,0.11389601892395189,0.00825869691010171,1.2902928598196013,0.007759902456920872,0.008675855837906088,0.00536227773703369
8.0,0.6466240784955184,0.3180980557403185,29.28768,29.28768,1.0,0.2806770107447564,0.6779666546235028,0.11341893252769387,0.31214790911288837,0.20837365649236042,0.23968714377581085,0.3315992014396332,0.5561272661423936,2.1520284038930266,0.6735337057441702,0.22634861125268668,1.9873268037912646,0.2873702004346776,0.28878153515834676,0.5206794738769531,0.32979370357616,0.20806331170748266,0.11389601892395189,0.007925543794758724,1.3149815435244818,0.007253970066177402,0.008498606587774162,0.005063735558334304
9.0,0.6444684382087632,0.42131472499622646,32.94864,32.94864,1.0,0.28472726622506694,0.6802222333232034,0.11341893252769387,0.3100895015843937,0.2086633869171671,0.24256913468668637,0.32990987840120756,0.5731575144370427,2.1799159890603974,0.6742198972159744,0.2268259188603325,1.991517535057864,0.28557563993691615,0.2896386184824643,0.522633969783783,0.3279808072513984,0.20847079571300145,0.11389601892395189,0.007217883724958865,1.2729920537731232,0.006429424366126502,0.007913145132150448,0.0042078870059078875
10.0,0.6432510908053346,0.46610738563157017,36.6096,36.6096,1.0,0.2869723898951324,0.6814263505330499,0.11341893252769387,0.31395906383026895,0.2040259749106177,0.2467387832556667,0.3247099009409082,0.5496575621867408,2.216950744289829,0.6735335802496527,0.22817232111362584,2.0033388635468987,0.2867012089810017,0.29096722621902477,0.5160613656044006,0.32267145713140355,0.20405946022915425,0.11389601892395189,0.007198309412542339,1.3495726967739756,0.006475501213532771,0.007858992222541859,0.003849366938569651
