round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_f1,fed_auroc,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.394619901739134,312.5537610577023,3.65056,3.65056,0.9971592150692714,0.11442598187311179,1.8031041995804484,0.2521033764906196,0.513466583752455,0.28364817103844164,0.39045569380372014,0.23080114802299934,0.6402304060641036,0.203952609145643,0.38870321696159804,0.0913589414304233,0.8021258538581884,0.114501679731243,0.2045002711006687,0.4336208701133728,0.38225764262969625,0.2474448248453685,0.11389601892395189,0.02485087896197962,2.6706537436693907,0.019985553651507865,0.02816414737348815
2.0,11.00982923420381,301.579478443291,7.30112,7.30112,0.9971592150692714,0.11442598187311179,1.9478661324748623,0.2499511625397834,0.5189443620602712,0.2960200862496939,0.38935103771264584,0.26275791430841106,0.6611339785393134,0.21964952058621098,0.4121055851636165,0.09599853346672349,0.8428611849095576,0.10532521123992926,0.20450951154489178,0.44840583205223083,0.38032123598108547,0.24601487911639086,0.11389601892395189,0.016816142016044717,1.8965026480145752,0.013575535484350235,0.01903931717557581
3.0,10.57628108904602,357.1015082601556,10.95168,10.95168,0.9971592150692714,0.11442598187311179,1.9999908516001506,0.24438125578643932,0.5161559211984953,0.29648282172608126,0.38275706271893256,0.27574035193216906,0.6629034882939632,0.22637248544711697,0.409545584854398,0.0965834254628678,0.8479965004514893,0.0952801058667843,0.2045002711006687,0.4634402394294739,0.3797351102103248,0.24567799444311134,0.11389601892395189,0.012372410894884818,1.4740262583363801,0.010284140907994758,0.013828583954570582
4.0,10.208617970309799,359.1852498068553,14.60224,14.60224,0.9971592150692714,0.11442598187311179,2.039684764151388,0.2426907693386337,0.5564875770097624,0.29868134357449094,0.38068888745714285,0.2819097329769324,0.6646602208940435,0.23134596535247595,0.41245143550417596,0.09847061586505276,0.8645659154320519,0.1554006968641115,0.2045002711006687,0.4737090766429901,0.3837079554023749,0.24871007821822871,0.11389601892395189,0.009764183518471834,1.2246644746046513,0.00890325471173057,0.01037660364359716
5.0,10.027582634755602,384.41815362738623,18.2528,18.2528,0.9971592150692714,0.11442598187311179,2.0702651642075223,0.2404876656665685,0.5655573925560514,0.30162803407484934,0.37798094601264415,0.2849436027189926,0.6706349403008718,0.23490125371651613,0.42738651292350066,0.09943478715176328,0.8730312796811244,0.04819277108433735,0.2045002711006687,0.4507730305194855,0.3776839415814317,0.2436429528008276,0.11389601892395189,0.009046446411987102,1.190234359819442,0.008212610326456779,0.00965426206754836
6.0,9.829708377503843,384.39454286146963,18.2528,18.2528,0.0,0.11442598187311179,2.2133211418748817,0.23827146319576725,0.5844601437164337,0.31172330519263186,0.37536643586174956,0.28366954814467304,0.6788157591967601,0.24877922932333704,0.42738651292350066,0.09943478715176328,0.8730312796811244,0.04819277108433735,0.2045002711006687,0.4507730305194855,0.3776839415814317,0.2436429528008276,0.11389601892395189,0.0,0.0,,
7.0,9.265610176540196,465.6136585872814,18.2528,18.2528,0.0,0.11442598187311179,2.3538464856502395,0.23105450520316836,0.5776964367854092,0.3255436260851811,0.36676002462457374,0.2926645158461132,0.6885690217236269,0.26407388246714797,0.42738651292350066,0.09943478715176328,0.8730312796811244,0.04819277108433735,0.2045002711006687,0.4507730305194855,0.3776839415814317,0.2436429528008276,0.11389601892395189,0.0,0.0,,
8.0,8.985133902698045,513.9566246009427,18.2528,18.2528,0.0,0.11442598187311179,2.3557591499362776,0.2391501816304461,0.5855371789802297,0.3244105639034432,0.377731734899896,0.29502855172191383,0.6919778289351115,0.26368385366377534,0.42738651292350066,0.09943478715176328,0.8730312796811244,0.04819277108433735,0.2045002711006687,0.4507730305194855,0.3776839415814317,0.2436429528008276,0.11389601892395189,0.0,0.0,,
9.0,9.683494808758452,460.92089200600105,21.90336,21.90336,0.9971592150692714,0.11442598187311179,2.093109481812321,0.23643694418198807,0.5709692117610848,0.3019392655691308,0.37262942019966316,0.28555193881511076,0.6714397706432732,0.2380681148173655,0.40453875519177096,0.09742241653979695,0.8553627902029278,0.13874455834854654,0.2045002711006687,0.45812714099884033,0.380379840522379,0.24607958385414413,0.11389601892395189,0.009000762378102984,1.2459774266462773,0.007625932980026103,0.010025815951429439
10.0,9.470097535366733,495.5080041867609,21.90336,21.90336,0.0,0.11442598187311179,2.134872477621444,0.23283573945982403,0.5357410447261216,0.31436728843344347,0.3683595550410667,0.29218288775223344,0.6811777055398451,0.24056724551956746,0.40453875519177096,0.09742241653979695,0.8553627902029278,0.13874455834854654,0.2045002711006687,0.45812714099884033,0.380379840522379,0.24607958385414413,0.11389601892395189,0.0,0.0,,
11.0,9.151962519722092,508.40278141847796,21.90336,21.90336,0.0,0.11442598187311179,2.2145702712236965,0.22960068865546587,0.5336212403884707,0.3226516733798891,0.3648881600871457,0.2988888633124626,0.688597186355432,0.24965862061222246,0.40453875519177096,0.09742241653979695,0.8553627902029278,0.13874455834854654,0.2045002711006687,0.45812714099884033,0.380379840522379,0.24607958385414413,0.11389601892395189,0.0,0.0,,
12.0,8.781844594486413,520.8824987884275,21.90336,21.90336,0.0,0.11442598187311179,2.3796461531952344,0.2320516408598125,0.5382391380620719,0.3263826464914648,0.36848611030858924,0.3027469979548749,0.6967596106415596,0.26593528718569137,0.40453875519177096,0.09742241653979695,0.8553627902029278,0.13874455834854654,0.2045002711006687,0.45812714099884033,0.380379840522379,0.24607958385414413,0.11389601892395189,0.0,0.0,,
13.0,9.614498179301078,477.4620257105383,25.55392,25.55392,0.9971592150692714,0.11442598187311179,2.1019656315675985,0.23639450565367293,0.5698834295794443,0.30231786891835316,0.3725339260368729,0.28361638019057883,0.6735413446949686,0.2392944653434934,0.3925469759862225,0.09433804507685065,0.8282821995722252,0.1445802770986145,0.2045002711006687,0.46403205394744873,0.3834992335468337,0.2486405385106636,0.11389601892395189,0.007752553224130311,1.1326207020319998,0.006406000618418224,0.008771775119903244
14.0,9.501254914987353,486.5646703687095,25.55392,25.55392,0.0,0.11442598187311179,2.1693178266272604,0.2372722903145662,0.5822793790753575,0.3109204943555645,0.37404952373652006,0.2807603300232198,0.677965763699087,0.24581620014686062,0.3925469759862225,0.09433804507685065,0.8282821995722252,0.1445802770986145,0.2045002711006687,0.46403205394744873,0.3834992335468337,0.2486405385106636,0.11389601892395189,0.0,0.0,,
15.0,9.083539295136884,539.5762312787026,25.55392,25.55392,0.0,0.11442598187311179,2.237843729854687,0.2430595617353475,0.5963155467096951,0.3219999683991918,0.3820114567902123,0.2883516187817699,0.6883354225510941,0.2526693954735778,0.3925469759862225,0.09433804507685065,0.8282821995722252,0.1445802770986145,0.2045002711006687,0.46403205394744873,0.3834992335468337,0.2486405385106636,0.11389601892395189,0.0,0.0,,
16.0,8.762003172931529,508.891653905048,25.55392,25.55392,0.0,0.11442598187311179,2.3096080368197476,0.2347588765180782,0.5991562140199532,0.3279078504642258,0.37222587888026837,0.3033718585057631,0.696308034667864,0.25879315973930783,0.3925469759862225,0.09433804507685065,0.8282821995722252,0.1445802770986145,0.2045002711006687,0.46403205394744873,0.3834992335468337,0.2486405385106636,0.11389601892395189,0.0,0.0,,
17.0,9.387467162141553,544.8132023213327,29.20448,29.20448,0.9971592150692714,0.11442598187311179,2.1074622620480645,0.243101692226663,0.5892776763526215,0.3053219386839277,0.38109152607454694,0.28332671233320034,0.6735628476519214,0.24004897802802133,0.3887532265267901,0.09304736486204068,0.8169501071338428,0.14086330935251798,0.2045002711006687,0.4695577919483185,0.3845927706826848,0.24955900477866588,0.11389601892395189,0.007877170536784075,1.2060771979158744,0.0062416803544308955,0.009137852975260515
18.0,9.292806181879635,542.4826615526226,29.20448,29.20448,0.0,0.11442598187311179,2.1612509940896087,0.23893814273213246,0.5983840727321391,0.3160116680953499,0.3762389611028893,0.29057280990588885,0.6831138891635558,0.2438998510779221,0.3887532265267901,0.09304736486204068,0.8169501071338428,0.14086330935251798,0.2045002711006687,0.4695577919483185,0.3845927706826848,0.24955900477866588,0.11389601892395189,0.0,0.0,,
19.0,8.94426153652628,565.0243390121038,29.20448,29.20448,0.0,0.11442598187311179,2.24554719199399,0.2345351508935695,0.5468395745469874,0.32170227697364867,0.37152959724695006,0.3017019354360999,0.6895360667438238,0.25240280998364817,0.3887532265267901,0.09304736486204068,0.8169501071338428,0.14086330935251798,0.2045002711006687,0.4695577919483185,0.3845927706826848,0.24955900477866588,0.11389601892395189,0.0,0.0,,
