round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6919686471659712,0.3129553305611277,12.959488,12.959488,0.9971592150692714,0.19520735613122706,0.26418393290808667,0.390672434796156,1.673331273784318,0.11471971526630229,0.25288059909551724,0.19088511324215196,0.5147756409130633,0.613025952850431,0.591318984524468,0.1926269752863473,1.6912529261884377,0.23547637490317583,0.24111476436511664,0.4988067150115967,0.382550384656755,0.2467997633759439,0.11389601892395189,0.008050290519563137,0.8640921715996228,0.007176790021163771,0.008638421474087329
2.0,0.6877840766084545,0.32305024625374357,25.918976,25.918976,0.9971592150692714,0.23476260375852562,0.28573604806073893,0.3595812838168008,1.8440624385363062,0.11471971526630229,0.2280809815684803,0.21016771200152987,0.5202355024751568,0.6423520459617925,0.49993869592824003,0.11969017043538983,1.0508722918165092,0.1508978421608571,0.20465747230386613,0.4850032925605774,0.38184221636889604,0.24674065890986518,0.11389601892395189,0.005549244503688952,0.6318208387237974,0.004736714734394854,0.006105872673333129
3.0,0.6851892840014943,0.4713940282595211,38.878464,38.878464,0.9971592150692714,0.25058155727648584,0.29119333328113545,0.35867414607114634,1.937432835506769,0.11471971526630229,0.22698090798284165,0.2188050382965782,0.526719569500753,0.6517270954544623,0.48655114160103596,0.1084339810922106,0.9520436457450872,0.17846209256257878,0.2051575931232092,0.48956194519996643,0.3865047039698389,0.2504971270336833,0.11389601892395189,0.0038726523058390037,0.47357095731422305,0.0036710374974953113,0.004015166250797198
4.0,0.6837345531029494,0.5699547131752474,51.837952,51.837952,0.9971592150692714,0.26111455071304285,0.2961345339446075,0.347967118402706,1.9907534788071917,0.11471971526630229,0.2196877745421082,0.2249162019462425,0.5195430391028313,0.6573770254211808,0.5329067707755797,0.15834406594434386,1.390251103070335,0.1942430235113162,0.20480887232398529,0.4862225651741028,0.3840138476498144,0.24809476341817047,0.11389601892395189,0.0032349572006126186,0.42385236808331683,0.003230443329544333,0.0032382744334802775
5.0,0.6793524373643243,0.5765384700310302,64.79744,64.79744,0.9971592150692714,0.26767369780469197,0.2965018524488181,0.34340476867763786,1.995970872156656,0.11471971526630229,0.21737054100684747,0.22568830879225799,0.5242292883928932,0.6578717707307591,0.5094528117774496,0.13208470662778166,1.1596955528004391,0.185501680268843,0.20499795909111523,0.48791933059692383,0.3858816088733882,0.24975205166296505,0.11389601892395189,0.0026901132999380007,0.3773430185392499,0.0026333563747920345,0.0027341792887850464
6.0,0.6780779953678022,0.623059558818132,77.756928,77.756928,0.9971592150692714,0.2690749593650883,0.29812113856290146,0.34580688196344145,2.010809302388621,0.11471971526630229,0.21897372791878997,0.22761216497588457,0.5384571512802834,0.6621355895600949,0.4844216376843772,0.10671935618488507,0.9369893451336638,0.15552136347496745,0.2054299481097109,0.48811525106430054,0.38381491319403277,0.2484208606608654,0.11389601892395189,0.0028434262312153984,0.4226938369101845,0.0025417725030513743,0.0030883081060671283
7.0,0.6756517400695572,0.7358922409019631,90.716416,90.716416,0.9971592150692714,0.27012392811755415,0.29678310561493204,0.35337879846363335,2.019115934888341,0.11471971526630229,0.2237151292891225,0.2291744653437583,0.5392760986901913,0.6625719809258774,0.51819418258619,0.12554372668521363,1.1022661535609852,0.183675641162073,0.204815992730577,0.48957359790802,0.3856284969828798,0.2495632432586135,0.11389601892395189,0.002594571626283566,0.4114035505335778,0.0023680194963277236,0.0027850731290842107
8.0,0.6729704492207548,0.6490852991190025,103.675904,103.675904,0.9971592150692714,0.27419982690473776,0.2997300422377599,0.3342555846895363,2.0182687465369695,0.11471971526630229,0.2121289827961446,0.23045689130145652,0.5289810245701086,0.6634030481385154,0.4984915935489594,0.12239114366688233,1.0745866696938953,0.17299224156007548,0.20480782289827518,0.48824170231819153,0.3856589737401178,0.2496677539258753,0.11389601892395189,0.002453356863007877,0.4139835175301414,0.00205576581981445,0.0028004401473733878
9.0,0.6723218248132954,0.7519778981230023,116.635392,116.635392,0.9971592150692714,0.2738712197519148,0.299390328675336,0.3444570792919194,2.0558011869731545,0.11471971526630229,0.21785538002699295,0.2341817732538936,0.5245080713082771,0.6675159408378574,0.5005682266254289,0.12107172418927689,1.0630022483061168,0.13973799126637554,0.2045002711006687,0.480781614780426,0.3811309275143435,0.24614376556679043,0.11389601892395189,0.0024604061624126238,0.439368792809546,0.002082197709146421,0.002802011437818506
10.0,0.669784064695145,0.7322117179757052,129.59488,129.59488,0.9971592150692714,0.2734925122247817,0.30275987043810265,0.35277041810295595,2.08209345740561,0.11471971526630229,0.22303992322334645,0.23688106471767503,0.5477753215828951,0.6693593511876358,0.49322058537771013,0.11573814222900018,1.0161737286557686,0.1321248039044797,0.2046112115732369,0.48651158809661865,0.38192997269928264,0.24679365063589587,0.11389601892395189,0.0024845980807088114,0.4717172965465579,0.0019531589967464067,0.0029785710345806376
11.0,0.6651866114400565,0.6748628777690903,142.554368,142.554368,0.9971592150692714,0.27493138106022424,0.3062790949889895,0.34648729145083657,2.105859396820875,0.11471971526630229,0.2191396800312999,0.23904207081780246,0.552733957159469,0.6725021869775389,0.4607750822503617,0.09957947670636719,0.874301645019359,0.04013566986998304,0.20451875282422052,0.4812247157096863,0.3789588778579569,0.2446854590066869,0.11389601892395189,0.002044351602039998,0.4128995294449851,0.001651130409763844,0.0024182431456669018
12.0,0.6625426438928522,0.6912055698312246,155.513856,155.513856,0.9971592150692714,0.2693631195482483,0.3078875525458224,0.3567420239476845,2.116371047828968,0.11471971526630229,0.22576170634698384,0.24165255132296587,0.5736244067680398,0.6746466673544949,0.48219378371441585,0.10404662590813715,0.9135229386516911,0.006477732793522267,0.20450951154489178,0.4785608649253845,0.37662250609461245,0.24284523339185626,0.11389601892395189,0.002203832874610406,0.4707496329501737,0.001564261952391831,0.0028294253112629824
13.0,0.6635983902152387,0.5950475634319196,168.473344,168.473344,0.9971592150692714,0.27420853465542705,0.30756839592223506,0.3410402329117003,2.1229519725365966,0.11471971526630229,0.21592913852487733,0.24274634419891744,0.575812595218204,0.6747908311501519,0.3782611821011286,0.08535328823127838,0.7493965903081177,0.007624857033930614,0.20452799493876814,0.47761157155036926,0.3758661440510869,0.24251579409506707,0.11389601892395189,0.0022309961234508353,0.5057564175804146,0.0015388203140534926,0.00291978747121161
