round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_ece,fed_auroc,fed_f1_best,fed_brier,fed_auprc,fed_f1_best_threshold,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6893077431238653,0.09715940350056469,3.66096,3.66096,1.0,1.859575421899723,0.3685619710660413,0.6484550053410911,0.2837036384282041,0.23392261484428073,0.21236303339774124,0.508903778988159,0.11486656596173213,0.26172850968968453,0.658739985349268,0.215170030729627,1.8891795583592395,0.27600799341718585,0.2788671023965142,0.512289822101593,0.3681194787131887,0.23279400955107468,0.11389601892395189,0.02536758889447381,2.7471449097592995,0.022230084670729778,0.02764615731407419,0.010099686555415549
2.0,0.665254684984656,0.18201073099238207,7.32192,7.32192,1.0,1.914358129904459,0.32452623535619163,0.6562623071689533,0.29260087304234755,0.20374460994299223,0.21798771185445745,0.5012403403006471,0.11486656596173213,0.2709506870204226,0.662543197095314,0.22093711511716213,1.9398142025023837,0.2796872695087771,0.2807913209955329,0.512472927570343,0.32354304139327555,0.20222087164888372,0.11389601892395189,0.015956950829041635,1.8550032034136166,0.01604400495217831,0.016008094086342874,0.005554437559498108
3.0,0.6543340500496562,0.3025067276697998,10.98288,10.98288,1.0,1.9615801906133303,0.35016554932523625,0.6603036717228483,0.2945558631441459,0.2213381145604872,0.22335397767379384,0.5303736240298217,0.11486656596173213,0.27187178869855,0.664769118449707,0.22327857801827183,1.9603721019200366,0.28172376745851735,0.2820267686424474,0.500191867351532,0.3490514437186591,0.21984519183381024,0.11389601892395189,0.011688720747984143,1.4558236636930815,0.011957670353712334,0.011579253348758024,0.0039562206758586
4.0,0.6495131767448459,0.3120912129187414,14.64384,14.64384,1.0,1.9901947960929876,0.3446244444962579,0.662936980453298,0.29467467825894056,0.21802508916901492,0.22676269036716806,0.5374855838588478,0.11486656596173213,0.2747440121604643,0.6656577576770142,0.22283804206310318,1.9565042234873162,0.2788415509813308,0.28126721763085394,0.5266451239585876,0.3434262834963702,0.21672031436622466,0.11389601892395189,0.009920657541238706,1.3141513131231477,0.010228822187131201,0.009757851843907137,0.0037279070367851564
5.0,0.6477542421074758,0.3610216428212594,18.3048,18.3048,1.0,2.003403382199276,0.3319730952612807,0.6657012345519726,0.2990819873681222,0.20975439343471675,0.22869488092620616,0.544687042845655,0.11486656596173213,0.2761233330198568,0.6679393734982384,0.2248664427458877,1.9743134559956,0.28049254698639015,0.2838181304716182,0.5183582901954651,0.3308161900135163,0.20847665053533482,0.11389601892395189,0.008739000666157619,1.2290782183372357,0.008384164620846637,0.009039855049389367,0.0048410962236571055
6.0,0.6469994024729745,0.3437609593949737,21.96576,21.96576,1.0,2.01730161601822,0.3430611928174609,0.6682765237820353,0.29892915029835887,0.21712056332354737,0.23034415252661056,0.5597634865186756,0.11486656596173213,0.2799332805990004,0.6677664169543294,0.22389131330863518,1.965751879862692,0.2792147806004619,0.2845277963831212,0.5296763777732849,0.34206589829478345,0.21613982714881697,0.11389601892395189,0.008284147705874993,1.2299059393189964,0.00791577432319348,0.00860889099707594,0.003764588266346424
7.0,0.645529343501977,0.34928223264410585,25.62672,25.62672,1.0,2.026233555925508,0.3513124773132521,0.669986062983223,0.30031319875177226,0.2218778211758707,0.23173062057637814,0.5533945763357966,0.11486656596173213,0.27803723248108153,0.6669402614472459,0.22441453473155545,1.9703457315869533,0.27977674860467877,0.2824164293209414,0.5437586903572083,0.3505585999139705,0.2212174352050725,0.11389601892395189,0.008905250890956602,1.3982838795227508,0.007887551996429126,0.009764359497340105,0.003862083304448822
8.0,0.6450936234239831,0.3257728491590788,29.28768,29.28768,1.0,2.0438851166156025,0.3279002546754826,0.6706049689831814,0.30152314599924207,0.20831035574859094,0.2337925758410145,0.5399657231281921,0.11486656596173213,0.28092336513957544,0.6676855357378517,0.22417327740631027,1.9682275071966322,0.27941176470588236,0.2821522309711286,0.556407630443573,0.3265715989040148,0.20740973020773174,0.11389601892395189,0.008390163577339314,1.4066072223977244,0.007011329354635294,0.009566863517768587,0.0040196127379381165
9.0,0.6447043288655212,0.42922378140751655,32.94864,32.94864,1.0,2.0636962955017557,0.3384889783506532,0.6737137456387184,0.3036980910232906,0.21373807152056626,0.23602077451385034,0.525140556485241,0.11486656596173213,0.28446482181858185,0.6678863018668213,0.22480166940167373,1.97374475004059,0.27621359223300973,0.2839844313103647,0.531401515007019,0.33717257326592665,0.2132386190853198,0.11389601892395189,0.008222922349897006,1.4619307461225617,0.006809276778962802,0.009459489393101565,0.0034954966376319558
10.0,0.646417835327828,0.3713181889613165,36.6096,36.6096,1.0,2.096583611186337,0.35009546122679724,0.6753056439654892,0.3072897133315907,0.2216753506923277,0.23990191744885137,0.5492925725123222,0.11486656596173213,0.2838643738592,0.668080052852267,0.22329085799998427,1.9604799193997735,0.2798619102416571,0.2838466373350094,0.5177149772644043,0.3491918603334712,0.2215771362763893,0.11389601892395189,0.007764743302133733,1.4638468678276695,0.006473457075990989,0.00892183488766048,0.0034410290113010694
11.0,0.6491697108336869,0.4809688557425341,40.27056,40.27056,1.0,2.1150516330877513,0.34618177710519304,0.6780965871606285,0.3088404570214588,0.2189928461587561,0.24250672848080873,0.5407196842246546,0.11486656596173213,0.28460043762846426,0.6677150143999939,0.22266525687373603,1.9549871802139909,0.2762531186210025,0.2829159434664022,0.5152491927146912,0.3451405464627913,0.21907885942481323,0.11389601892395189,0.00731817487202327,1.459376217222598,0.00589347201550781,0.008621580248032,0.003167751184852975
12.0,0.6447707855214595,0.41349469414919743,43.93152,43.93152,1.0,2.133755396968891,0.34930808746798975,0.6802908414524991,0.31160473821021745,0.2208505843262311,0.24534813374683842,0.5681516282609314,0.11486656596173213,0.28285960795510967,0.666590194490901,0.22150329297745408,1.9447852090892774,0.27482532288799494,0.281405750798722,0.5330398678779602,0.3484447762955837,0.22132953035927252,0.11389601892395189,0.007188908298592354,1.5227293341558834,0.005628767997685285,0.008637134450013545,0.004129182835457711
13.0,0.64208946231161,0.4297659468524063,47.59248,47.59248,1.0,2.141529954770287,0.3407797035400091,0.6801332706605825,0.311909033974289,0.21621985870465354,0.24557900346613226,0.5423837419869407,0.11486656596173213,0.28643267669059963,0.6670397033028501,0.22120588838217436,1.9421740151415918,0.274721711877229,0.2817345597897503,0.5335118174552917,0.33975497186986403,0.21669667219266905,0.11389601892395189,0.007606118753671199,1.704036947977329,0.005343837772467145,0.009745556195638865,0.003909738369427221
