round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best,fed_auroc,fed_prevalence,fed_auprc,fed_ece,fed_f1,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,11.542531526299353,237.71772453179793,3.66096,3.66096,1.0,0.2586656135868589,0.28661086225833066,0.6468921922868341,0.1149996852772707,0.2107758650493108,0.4000760338946781,0.24877863543653622,0.5410968353511657,1.8566642874983896,0.6511090276790206,0.20574508600615093,1.8064291267592634,0.2524906837021827,0.27090581883623277,0.5353744626045227,0.40035850813856927,0.25833158522167887,0.11389601892395189,0.022617412668520104,2.4309900253629166,0.020039534328509946,0.024465119118538832,0.010371000312577355
2.0,10.02967720118005,394.55501241652445,7.32192,7.32192,1.0,0.24012511541503262,0.29472166303263875,0.6523854323782393,0.1149996852772707,0.21691484111730625,0.3761421603696373,0.271181009527813,0.557383771394628,1.9139722537033428,0.6561843020514488,0.2101134468948206,1.844783065114092,0.26609266092660927,0.2763576067431256,0.5582499504089355,0.37605702217220743,0.23939166088926703,0.11389601892395189,0.015194986346063127,1.7272405465046177,0.014256152235936285,0.015932419908194165,0.00448890644594652
3.0,9.461857705283709,523.4333671217827,10.98288,10.98288,1.0,0.24371122717940732,0.2989858680428008,0.6571536882365543,0.1149996852772707,0.22546839482875342,0.3813426442073366,0.27352530867819236,0.5615245108019301,1.985357465862762,0.6566436998313705,0.20870580645503226,1.8324240691361182,0.2680716543730242,0.27404718693284935,0.5523587465286255,0.3808110188787492,0.24307989747993003,0.11389601892395189,0.011265267194962743,1.358658482287865,0.010734776678179007,0.0117041707054987,0.003638388937639403
4.0,9.364956789860473,483.41484322210806,14.64384,14.64384,1.0,0.2408643231983894,0.3028246780638862,0.6579189004192028,0.1149996852772707,0.22691733651640608,0.3776183458514214,0.27822717577004047,0.5620975684806728,1.9996883958536706,0.6581613677777969,0.212053783401106,1.8618190996007844,0.2717024985473562,0.27730870712401057,0.5409648418426514,0.37701234580544246,0.24008211412275224,0.11389601892395189,0.009032447932248973,1.1456004713108996,0.009260486179938406,0.008926804456950026,0.0030633140699811556
5.0,9.348676772227122,485.6786044843152,18.3048,18.3048,1.0,0.2413612098934987,0.30509358629252914,0.659835860748622,0.1149996852772707,0.22802657574752783,0.3776174043010057,0.2744528648091506,0.5765671074154046,2.0070394527177284,0.6578938887633664,0.2079803174843497,1.8260543208557418,0.2682531097890752,0.2738877184285537,0.5461522340774536,0.3774170468720392,0.24079573686355138,0.11389601892395189,0.008280232983584209,1.1006427397696825,0.008267667169458716,0.008340937976428575,0.0028205584063109882
6.0,9.26021750864594,514.6060107702274,21.96576,21.96576,1.0,0.24236583993765906,0.30451762864200316,0.6608092753735882,0.1149996852772707,0.23480321803742085,0.378758964714833,0.27595955637348385,0.5823580716542751,2.0640758809341526,0.6589937729118478,0.21129361832069976,1.855144897222264,0.268001704303366,0.27478670197116795,0.6044990420341492,0.3783748430660731,0.2419399994366052,0.11389601892395189,0.008138653172747744,1.1327411715101334,0.007697062768252241,0.008529751919960372,0.002271226272926965
7.0,9.144633909125849,583.70882679345,25.62672,25.62672,1.0,0.2522505792427472,0.3105207643957174,0.6622896862609883,0.1149996852772707,0.23425919706810083,0.39178798923095026,0.2703740969792721,0.5971014399510345,2.0584426490180565,0.6595060164330553,0.21314203194295966,1.8713738544740015,0.2687343671835918,0.27554789460723955,0.5794724822044373,0.3911712578321068,0.251677357933402,0.11389601892395189,0.007042219028153298,1.0326592801411607,0.007071028077988658,0.00706579463427663,0.002109795246969331
8.0,9.140990887968263,651.8696285438584,29.28768,29.28768,1.0,0.23846861786647766,0.30847008601070725,0.6640002279996791,0.1149996852772707,0.23956724211287955,0.3741388421920964,0.2804304342183351,0.5741681266762937,2.103746521466313,0.6591482441133408,0.20978664541668127,1.8419137683535307,0.2732599015701898,0.2771302771302771,0.5428465008735657,0.37350262989125016,0.2379635399946299,0.11389601892395189,0.007007453368375635,1.0737210127499566,0.006814116610919728,0.007206319980596793,0.0020482401533681947
9.0,9.275874772828125,599.288646275418,32.94864,32.94864,1.0,0.24351197281387174,0.3097967311941193,0.6637288839200329,0.1149996852772707,0.23839623959424913,0.380784748592828,0.27781238491868676,0.5833593595018167,2.093226467588997,0.6593748244645438,0.21317207650556963,1.8716376438750166,0.27201984887786174,0.2763242685913133,0.5617616176605225,0.3797801421899261,0.24284511453117402,0.11389601892395189,0.007099785447289924,1.1366784633046336,0.006353000356099563,0.007746448222102583,0.0026973539399390224
10.0,9.297285553202922,647.8786718730191,36.6096,36.6096,1.0,0.24008924265218642,0.31156874501122406,0.6653112934755306,0.1149996852772707,0.24009744921756848,0.3765113187637623,0.2824390268280877,0.5815946443112266,2.1098157124235453,0.6590474343674969,0.21271343722690478,1.867610819381958,0.2735683335285162,0.2755830556877677,0.5077909827232361,0.37562023615541906,0.2395817451272057,0.11389601892395189,0.005989649680620541,1.004210759743728,0.005932719823311168,0.006067348245433569,0.0022717965879272303
