round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_f1_best,fed_f1,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6874238664774817,0.12000499984148867,7.32192,3.66096,1.0,0.21429725540914993,0.11379657603222558,1.9031335389759214,0.5153429830336169,0.6569268853818995,0.29223814346872884,0.2678963853961737,0.3560958061749932,0.22381813064711595,0.6645403293949974,0.21386036231643113,1.8776807507137296,0.2781973203410475,0.2786885245901639,0.4977191388607025,0.35544022451265933,0.22326047301297494,0.11389601892395189,0.02440896673950795,2.6377841247976903,0.02203414585272356,0.02607052708370388,0.01390095015440365
2.0,0.6607421760188714,0.24189521697256539,14.64384,7.32192,1.0,0.22118902684648853,0.11379657603222558,1.9680843342367274,0.5415216630131516,0.663207798885438,0.2958125008171221,0.2723341858064316,0.33774703430351394,0.2131061169711676,0.6706734849009263,0.2198876557060151,1.9306000137970896,0.28023898094916017,0.28818290575568256,0.5286743640899658,0.33699224186406196,0.2122942784788539,0.11389601892395189,0.01634199914348867,1.8842656523747792,0.016057796132859632,0.01661905465375555,0.006304575908311499
3.0,0.6503190461819882,0.3368170153973805,21.96576,10.98288,1.0,0.22445960644971732,0.11379657603222558,1.9938743511471035,0.569440678367907,0.6652392817598514,0.2967650576398007,0.2669566453710136,0.36162428035938216,0.22935111861894308,0.6710650026963751,0.22237514930727054,1.9524400537278648,0.27406363270237616,0.28873443382565883,0.5579788088798523,0.36090066703287205,0.22861311956392652,0.11389601892395189,0.01139640039073699,1.4072961588935868,0.012134434643881704,0.010938284163427448,0.005407923186950866
4.0,0.6474030321108092,0.3090842311411325,29.28768,14.64384,1.0,0.2279634640142486,0.11379657603222558,2.02639250094586,0.5437173957768584,0.6677606777982967,0.2977143040756523,0.2743852722791804,0.34432343302213947,0.2167159388241379,0.6715614590072911,0.22291978560082076,1.9572219266914306,0.27856975928955363,0.2877162877162877,0.5341635346412659,0.34330750560177326,0.21604293254078466,0.11389601892395189,0.009528716559302472,1.2533805147459134,0.009900110756158901,0.009293002215861124,0.005618604272064807
5.0,0.6474662418396206,0.31615858085376775,36.6096,18.3048,1.0,0.2321455459826676,0.11379657603222558,2.067157278223042,0.5512937284923513,0.6705438296883495,0.29939248730060775,0.2794739167987249,0.3314580277784578,0.20882054739428887,0.6738795686341814,0.2245440031925879,1.9714824566652802,0.28518836667075714,0.28809869375907116,0.5653141140937805,0.33043148570301556,0.20813569189053632,0.11389601892395189,0.009092724770026189,1.2659371685913356,0.009070759124693498,0.00913739905203223,0.0048942309937783516
6.0,0.6462944549403279,0.3523952200657312,43.93152,21.96576,1.0,0.23428838711016622,0.11379657603222558,2.0850225336190267,0.5490725022484619,0.6726873586502985,0.30176097324993634,0.2735507615244231,0.3497597313141836,0.2214254309838391,0.6734640186386465,0.22562959520983694,1.981013887416814,0.27854373115036624,0.2882242990654206,0.5865219235420227,0.3485103765986959,0.2207978313070421,0.11389601892395189,0.008540990945247066,1.2604173301433548,0.008128307137713842,0.008881904232852832,0.0051166978393643505
7.0,0.6479818071626524,0.39129133732853305,51.25344,25.62672,1.0,0.23865512217130772,0.11379657603222558,2.126325056760577,0.5472653010149165,0.6745059201638428,0.30718747967167964,0.2753445589377195,0.3466403351323858,0.21787784284713643,0.6738084885395144,0.22725624281456913,1.9952957527541644,0.281859410430839,0.2896701506719153,0.5311469435691833,0.34519596704764616,0.21736720880408497,0.11389601892395189,0.008223906256934104,1.2854997828417254,0.007516907183318005,0.008808445097086878,0.005491058144222932
8.0,0.6455201180538704,0.3068508382505747,58.57536,29.28768,1.0,0.24387724505774172,0.11379657603222558,2.184195436579961,0.5511662461940287,0.6762243412087636,0.30974876897671183,0.2807906388381533,0.33175321152735754,0.20861025105059178,0.6731033473955796,0.2265274945667013,1.9888973882217358,0.2820358560943328,0.28817143662766104,0.5309295058250427,0.33049912041399004,0.20841224526985802,0.11389601892395189,0.007762711329316545,1.287228540662909,0.006759868171829893,0.008611994502996849,0.005147719070872105
9.0,0.6457907975130651,0.4036957942911961,65.89728,32.94864,1.0,0.24559075297266147,0.11379657603222558,2.1968407699435946,0.5540853802035942,0.6790627200029985,0.31369162983523124,0.286378251910534,0.33127218771966005,0.20935406852294447,0.6736815508351434,0.22632826960978872,1.9871482054250516,0.2840950198962981,0.289044289044289,0.5437224507331848,0.32980962975860106,0.20937189648486448,0.11389601892395189,0.007572311983623012,1.332735027637682,0.006589663151838689,0.008431050403657055,0.005463184303651168
10.0,0.6420823073729659,0.42256848405493386,73.2192,36.6096,1.0,0.24775178199416167,0.11379657603222558,2.2159203931345353,0.5452759386680848,0.6798205371383567,0.314765017061005,0.28434431964815293,0.3242270005013407,0.2041110585989583,0.6731221213753857,0.2270495041717326,1.9934806002599006,0.2845239553976228,0.28990825688073396,0.5274484157562256,0.32280973658341394,0.20428747139363784,0.11389601892395189,0.007643266448684965,1.4301355185016291,0.00653526270964193,0.00864538966320755,0.0047233512486523355
