round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1,fed_f1_best,fed_auprc_lift,fed_ece,fed_brier,fed_auroc,fed_auprc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6317315792195897,0.12863556615376065,3.65056,3.65056,0.9971592150692714,0.11183134046570166,0.016783814754196085,0.2791867458554007,1.8645241033804336,0.2512180094648787,0.16852795264038767,0.6446253862563311,0.20753677244245122,0.3707029843645473,0.3532115226656401,0.08266290582200701,0.7257751991946343,0.15584563643618538,0.20450951154489178,0.4630226790904999,0.39568357084806494,0.2592490176184981,0.11389601892395189,0.025476340507525393,2.7190530821681023,0.021561592227901823,0.028091872558855372
2.0,0.614654037831042,0.2795029608214977,5.632,5.632,0.5412350858791136,0.11183134046570166,0.005233191900445432,0.2933881259128722,1.9974450173161633,0.153025484870934,0.12772018958161876,0.6604587408350456,0.2215540365133557,0.2930970955075071,0.35104104478904347,0.08221445536937436,0.7218378319638087,0.1770828095932425,0.20451875282422052,0.465312123298645,0.40887101929275005,0.2704178381212368,0.11389601892395189,0.0202982191049191,1.3588279406540096,,0.0202982191049191
3.0,0.6074756457389171,0.35387851860012026,7.61344,7.61344,0.5412350858791136,0.11183134046570166,0.010885171048795968,0.3018825432477326,2.1065535619255216,0.08856384654378763,0.11198986731539912,0.6722576956610974,0.231451793384699,0.23376801151986235,0.35044577409511046,0.082328740020926,0.7228412441342371,0.1800157047506871,0.2045002711006687,0.4542599022388458,0.41598782570446446,0.27673082978625796,0.11389601892395189,0.014371954779578302,1.0092147132381797,,0.014371954779578302
4.0,0.594097920174659,0.369800893076094,9.59488,9.59488,0.5412350858791136,0.11183134046570166,0.018159502623807038,0.30829000176262183,2.2218159256799055,0.08272841594365404,0.10889983918803242,0.6840390447409723,0.24317893670185273,0.2432551002506192,0.3508482852102854,0.08239960031200375,0.7234633931061434,0.17769809253448876,0.20450951154489178,0.45282337069511414,0.4126451302291079,0.2738353136686364,0.11389601892395189,0.011938100377736485,0.8788483282551169,,0.011938100377736485
5.0,0.6040839686980903,0.480505496880709,11.264,11.264,0.4559241291901578,0.11183134046570166,0.025965801560838993,0.2906283443492591,2.06219294066892,0.09363282992404312,0.11143991425971617,0.6608133561588593,0.2266498629687265,0.22838862284014547,0.34536983460173987,0.0813998636788867,0.7146857673158638,0.16375266524520257,0.20450951154489178,0.44338589906692505,0.4085586647906609,0.27103970868363747,0.11389601892395189,0.016243158323792493,0.7404981274157763,0.016243158323792493,
6.0,0.6003393899486106,0.39016470527269054,13.24544,13.24544,0.5412350858791136,0.11183134046570166,0.024477126097722218,0.30611300933194097,2.172415788382947,0.08200091059273372,0.10911955162358354,0.674700401436334,0.2382867752115959,0.2262999363501466,0.34557169253301095,0.0815327454871846,0.7158524613720154,0.16440390326686466,0.2045002711006687,0.4301583468914032,0.40764564985663526,0.27020382160641854,0.11389601892395189,0.009513112832363389,0.7330313117709011,,0.009513112832363389
7.0,0.5870200458627886,0.39873472890824885,15.22688,15.22688,0.5412350858791136,0.11183134046570166,0.035193290737990254,0.31142768278514615,2.249984430331124,0.0795026029996419,0.10774790877856073,0.6824051553356035,0.2459623893343217,0.22608004972723156,0.34428713065269345,0.08129572921088389,0.7137714731290552,0.1741350823611876,0.2045002711006687,0.43543848395347595,0.4228903410811987,0.28386484192368433,0.11389601892395189,0.009372881795053528,0.7531107999384403,,0.009372881795053528
8.0,0.5780396704983686,0.5348424532284877,17.20832,17.20832,0.5412350858791136,0.11183134046570166,0.052502493196064995,0.31688324927806083,2.311816535311138,0.07247374676756414,0.1063396719897872,0.6915523361006899,0.2531688305092494,0.2249383455799989,0.3441787912358042,0.08135679639851162,0.7143076392585185,0.17391304347826086,0.2045002711006687,0.42517346143722534,0.4242567417275906,0.2851639848628568,0.11389601892395189,0.008620851617054172,0.7232213215902448,,0.008620851617054172
9.0,0.5692927628318559,0.5029054412979951,19.18976,19.18976,0.5412350858791136,0.11183134046570166,0.07522566417593059,0.32339790878026115,2.37257600154311,0.07371204341711947,0.10562486897014323,0.6993715224053499,0.25954370310608293,0.2251666069874754,0.3442603626721277,0.08133629879528906,0.7141276715703041,0.17310012062726177,0.2045002711006687,0.41656896471977234,0.4185004670076746,0.279885863978873,0.11389601892395189,0.009825066339430383,0.8618555516004562,,0.009825066339430383
10.0,0.5981147728802888,0.5639326913386735,22.84032,22.84032,0.9971592150692714,0.11183134046570166,0.0463140507032078,0.2921666511369253,2.0802352452099413,0.0863721736710896,0.1093115783018047,0.6619104048213907,0.22926235727025857,0.22978497176443424,0.3420483084619096,0.08087934248080939,0.7101156233986751,0.1594655276271836,0.2045002711006687,0.40789082646369934,0.4055636547893216,0.2689752737038632,0.11389601892395189,0.008924285722144116,1.2552956563886255,0.013244642335926218,0.006583722699074475
