round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_brier,fed_f1,fed_ece,fed_prevalence,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6882055860454137,0.09003638862809096,3.66096,3.66096,1.0,0.2971473212555098,0.659227721254334,0.2297205686000737,0.5023786106314754,0.21620617987535976,0.27431499180393176,0.3454703530474882,0.11423716012084592,2.017353168448329,0.6598521805099083,0.21444760824459283,1.8828367336331484,0.2711965429891223,0.2756119673617407,0.4915526807308197,0.3452559777841252,0.21648781332593015,0.11389601892395189,0.0261933223357302,2.8511856632194394,0.022619946575027344,0.028697662054872907,0.013698619777663713
2.0,0.6612086195884448,0.22397449796813715,7.32192,7.32192,1.0,0.30601867783771725,0.6647030898435577,0.23486136516962425,0.5570417293530306,0.22383088293819892,0.271475877349386,0.35425198984342704,0.11423716012084592,2.0640060037179295,0.6656798447120802,0.2199513977946424,1.931159665391847,0.27412192167945093,0.28260002658513894,0.5337747931480408,0.35473955389303663,0.22446763402507736,0.11389601892395189,0.018450107408462212,2.1596601724586435,0.01729967417621677,0.019327761542132192,0.006703052940719607
3.0,0.6476864868011961,0.3434932810381938,10.98288,10.98288,1.0,0.3043899033400263,0.666814194392097,0.2382122528445394,0.5475301384693246,0.22075686194556177,0.2785741128521332,0.34993151895334235,0.11423716012084592,2.0913494009653326,0.6675871480361941,0.22286791390348398,1.9567664963978448,0.2792394428476675,0.2876234747239977,0.5386615991592407,0.35042953852321673,0.22163559210956582,0.11389601892395189,0.012383059805961086,1.561134754604609,0.012223053778351554,0.012554495254397693,0.004941567202275252
4.0,0.6469069238794446,0.3408682584400665,14.64384,14.64384,1.0,0.3051332410565462,0.6696529083778535,0.24149376774429993,0.5306878346867282,0.21800193629993134,0.28005962650396904,0.3459964286580997,0.11423716012084592,2.1203474033371195,0.6676074655985644,0.22269721899553074,1.9552678056660187,0.28196187819618784,0.28618602091359385,0.5262300372123718,0.3467318395722571,0.21914057416668808,0.11389601892395189,0.010445615232438971,1.3948016653403101,0.010235843872358416,0.010630631353950773,0.005732075500923597
5.0,0.6489804758368745,0.34910106009017877,18.3048,18.3048,1.0,0.3055584124420927,0.670250306893026,0.2422107952523669,0.5334866602679064,0.21865963366002467,0.2806244144347734,0.3470412062552325,0.11423716012084592,2.1261566723232317,0.6678937938895113,0.2229032017699522,1.95707632168236,0.28281897742975587,0.2868134783762271,0.5213184952735901,0.3477880205042056,0.21985772945116094,0.11389601892395189,0.009344378880304422,1.3194828129344387,0.009235032917825844,0.009460700942517993,0.004415970724414937
6.0,0.6452933025984234,0.3183417367135999,21.29488,21.29488,0.8167475197762336,0.30735645738416284,0.6722811923008225,0.24484470734478445,0.5277425407676809,0.2274840585606921,0.2805349476957785,0.36049184784825894,0.11423716012084592,2.1580044218567918,0.6677949167592356,0.22381958446247752,1.965122105030917,0.2763839933651254,0.2883948078653129,0.5273932814598083,0.3626847689174204,0.22988070295249435,0.11389601892395189,0.008743827001766872,1.0165920692961663,0.008910477925045988,0.008568517976530262,
7.0,0.6416989062623057,0.3566628348507478,22.61584,22.61584,0.36082339058607577,0.31308029150907607,0.6853257137719438,0.2574110296612368,0.549478159725951,0.21516461845877616,0.29490844089044843,0.34302107865986875,0.11423716012084592,2.276469829121832,0.6676355010737561,0.22361543544867912,1.9633296893194014,0.2768845270411359,0.28740664434715424,0.5259155631065369,0.3609546978146436,0.22871985491725486,0.11389601892395189,0.009147267282622974,0.540550209581852,0.009993041431925559,0.00914240870692672,
8.0,0.642949952702201,0.3261177517740319,26.2768,26.2768,1.0,0.3083325578164845,0.6729579040404531,0.24636803131094404,0.5523531052930148,0.22551666242234703,0.2806440629808118,0.35673680145120906,0.11423716012084592,2.1716979161255807,0.6685248179714575,0.22514088258509019,1.976723020805637,0.2812190560017604,0.2879573396533847,0.5455477237701416,0.3579357940379456,0.2272157433341436,0.11389601892395189,0.008291184561463265,1.2799005769211362,0.007897569130326998,0.008599181306909804,0.004683817985599713
9.0,0.6399373104296321,0.3480684872172505,27.59776,27.59776,0.36082339058607577,0.3158894695488055,0.6873346855253745,0.26067222725589606,0.5640506586238128,0.22609599598105648,0.28453573671297466,0.3576221624459632,0.11423716012084592,2.3043741237424378,0.6685846161090083,0.2248915680112086,1.9745340542707484,0.28054794520547943,0.2882301144702084,0.5440614819526672,0.35942911736360045,0.22816685370829112,0.11389601892395189,0.008701848752726003,0.5684725940227509,0.010731687634702145,0.008690772632666528,
10.0,0.639464405886548,0.4647611975007475,30.58784,30.58784,0.8167475197762336,0.30791529423341507,0.6749238584539371,0.2500150494765845,0.5303025910685218,0.21817334038332717,0.28490574363575666,0.346493562851345,0.11423716012084592,2.205178836527394,0.6680130889777713,0.22208997822897586,1.949936269302484,0.2816273889084301,0.287673111202523,0.5208300352096558,0.3495245633127585,0.22057854822979514,0.11389601892395189,0.008337063027093783,1.1507348367013037,0.007858587495297328,0.008820491662997252,
