round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_brier,fed_auprc,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_f1_best,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6883989785319344,0.10154548735133431,3.66096,3.66096,1.0,0.253506159125831,0.2120126757182159,0.20586635839769823,0.11145374449339204,0.64788913261426,0.4714220327559021,0.2761787227573327,0.341148544188713,1.8569426435740723,0.649360123534795,0.1986510545341752,1.7441439693060217,0.2576425855513308,0.270797333991607,0.4812139868736267,0.33872338072589697,0.2124317432181186,0.11389601892395189,0.024495448914903094,2.634076492281565,0.021645920385531404,0.02656840450516956,0.009009400652666697
2.0,0.6591417449608639,0.22364979895741696,7.32192,7.32192,1.0,0.2632017304469363,0.22680765615955442,0.21229521409594732,0.11145374449339204,0.6555001943821835,0.5216704006912273,0.28805009175920193,0.360638380189449,1.9220436773518519,0.6583053601870852,0.20542825734572054,1.8036473907212203,0.2741353702524931,0.27640474343344784,0.5054683685302734,0.3583715447896416,0.22705024084651304,0.11389601892395189,0.016817063230389236,1.9346384208329255,0.016185880635248912,0.017360915830474874,0.0054283006119888845
3.0,0.6478651528405072,0.3019239953577885,10.98288,10.98288,1.0,0.27006866016486464,0.20408346154528884,0.21795804222490778,0.11145374449339204,0.6587777890439123,0.48427965020968367,0.29193736794886227,0.3264003951053262,1.9803135075962017,0.6604756372724538,0.20856048040992872,1.8311481154506732,0.26949152542372884,0.27744076914272636,0.471897691488266,0.32409821323665317,0.2045203710719581,0.11389601892395189,0.013115707835632666,1.6162745629262645,0.01335029071342461,0.013043702081069421,0.00472945557875685
4.0,0.6461741949297972,0.35706316135360205,14.64384,14.64384,1.0,0.27574371973746353,0.20855962015585308,0.22039993884732745,0.11145374449339204,0.6609805698135398,0.5040532908850752,0.29242584225576884,0.3335478489816451,2.0025694631243884,0.6608946258177663,0.21105454659042444,1.853045862220567,0.27476709093294843,0.2776349614395887,0.4901491105556488,0.3309984399513219,0.2088270178680464,0.11389601892395189,0.010505406170422088,1.383971234141427,0.0104445113433487,0.010608359354776619,0.00427217369646795
5.0,0.6444685174011494,0.2957725383017724,18.3048,18.3048,1.0,0.2757806315016718,0.21878294897448017,0.22343533438609642,0.11145374449339204,0.662292133397239,0.5252896799652587,0.2940003654203489,0.34811614799173163,2.031878450951331,0.6611953483298613,0.21156082023807932,1.8574909135264683,0.2747016706443914,0.2761721258831085,0.4795297384262085,0.3454865209011686,0.21914460508862144,0.11389601892395189,0.008979565951975008,1.253425687114941,0.009086226647445204,0.008944639398804737,0.003997036397229807
6.0,0.6437411681024499,0.3116820121101564,21.96576,21.96576,1.0,0.2766060464360468,0.2163557542643713,0.22478720716357792,0.11145374449339204,0.6658886320408091,0.5165168949179562,0.2927026942890486,0.34360179910969624,2.0379949973138625,0.6608232068879021,0.21249448494571715,1.8656884318985656,0.2731976543635736,0.2744577246569278,0.49209627509117126,0.3409355075394202,0.21691219929296515,0.11389601892395189,0.008771016412824288,1.2965451110721915,0.008280357423148255,0.009184086968408731,0.00431624515238323
7.0,0.6466715945910643,0.4081055729621442,25.62672,25.62672,1.0,0.27956806277886387,0.21772888439118493,0.22680212107798697,0.11145374449339204,0.6688569729204654,0.5216703212958899,0.2950590722320117,0.34696092490432695,2.052461228957177,0.6605234506835911,0.21283545878185406,1.868682161085576,0.2720219078046554,0.2762997974341661,0.5264861583709717,0.3443807918218213,0.2184615347527155,0.11389601892395189,0.00837631373474763,1.3128373252729943,0.007523955405662835,0.00908449989257575,0.004930943091921396
8.0,0.6417582030377164,0.3705609047076094,29.28768,29.28768,1.0,0.28284489047827444,0.20959782308383784,0.22878201187788108,0.11145374449339204,0.6704315844858896,0.5220838751411796,0.2988628647164493,0.33512957555700795,2.0639333101734203,0.6602155247861963,0.21215248340426177,1.8626856795224378,0.2755126658624849,0.27637078927956726,0.5035083889961243,0.3322639813333281,0.21050757037507728,0.11389601892395189,0.00831747979964926,1.3847389123693574,0.007145298350291117,0.009313090180015225,0.005019193614555432
9.0,0.6387981971245973,0.3691274106120048,32.94864,32.94864,1.0,0.283041080023022,0.20918179487252034,0.23053736708114914,0.11145374449339204,0.6709810524479219,0.5166314547038662,0.2978781434822804,0.33366266117390775,2.080614211509144,0.6597041095288038,0.21169454694902426,1.8586650257755912,0.2736300110334682,0.2756290773532153,0.49007803201675415,0.33071077702506707,0.21025651650697158,0.11389601892395189,0.007741413043272968,1.37492613977156,0.0068839142491587246,0.008494367678488643,0.005071107370995192
10.0,0.6420152808942978,0.46671823673704205,36.6096,36.6096,1.0,0.28963326079732105,0.20677444901990694,0.23307154819428702,0.11145374449339204,0.6726785976084559,0.5142536375641146,0.303662647819223,0.33024091073988804,2.099771908430086,0.6589722004043033,0.21055918004031127,1.8486965745563166,0.2721833227243794,0.273749515316014,0.5036260485649109,0.32712358149953774,0.20828506834733415,0.11389601892395189,0.006654155843705542,1.2588292235395784,0.005859703226096679,0.007376144163505728,0.004094320566528236
11.0,0.6414286562848359,0.4433083533721779,40.27056,40.27056,1.0,0.2868754253017867,0.19992328743497842,0.234795311022807,0.11145374449339204,0.6741555508568515,0.5323096247927956,0.30298267282305985,0.3179560317318532,2.112447564124364,0.6598820984028613,0.21175310689133686,1.8591791784462979,0.2707875339454287,0.2741705901675244,0.4617968499660492,0.3151823306443365,0.2017344300667545,0.11389601892395189,0.0072450223505177175,1.4518148642819142,0.0058267078828037845,0.008562454792654679,0.004584800238992344
12.0,0.6426923758663312,0.4988959890039861,43.93152,43.93152,1.0,0.2858702571859817,0.20798710878022686,0.23737254272446198,0.11145374449339204,0.6765068289329745,0.5520975876916047,0.30481914995922,0.3322051659132641,2.129932460413006,0.6591648972358025,0.21181787930961957,1.8597478762716886,0.2726600985221675,0.27350872623078926,0.5121006369590759,0.3295334556580004,0.2099429754156817,0.11389601892395189,0.006775140146012305,1.4446430587486248,0.005342337375512818,0.008138915763757203,0.004873420074236529
13.0,0.6369374607102187,0.4566522414466034,47.59248,47.59248,1.0,0.28683182640583865,0.2105004663035569,0.23954296879011405,0.11145374449339204,0.6776084312367596,0.5571471467079644,0.30777399036513026,0.33565620422700865,2.150324202880023,0.6586816303986675,0.21142044972567112,1.8562584691115154,0.269898613215243,0.2744366298263241,0.5449751615524292,0.33307036506154114,0.21276969569121162,0.11389601892395189,0.0063097523282137835,1.4244394461893535,0.004663753384021902,0.007921150078069624,0.0038107415774187733
14.0,0.640791497319752,0.5103714405738928,51.25344,51.25344,1.0,0.2892152264774987,0.21211921576894585,0.24309235810642,0.11145374449339204,0.6794914544700474,0.5585550121179984,0.3124362341840439,0.33930732530944363,2.178892570481105,0.6592947087646224,0.21143438860942576,1.8563808516485552,0.271391324958521,0.2744056315579758,0.5243762731552124,0.33666877471582896,0.21447937906402725,0.11389601892395189,0.006054530866463195,1.445186690400078,0.004615894070129986,0.0075004026295323115,0.0033965689657613463
15.0,0.6372054678990394,0.5180800926750375,54.9144,54.9144,1.0,0.2891438755717939,0.20382621428779593,0.24426611618128635,0.11145374449339204,0.6799353981961402,0.545673019727346,0.31208405365359937,0.3261836545024936,2.1867590130301333,0.6586439192961826,0.21106293739997764,1.8531195330093484,0.2696876913655848,0.2739690721649485,0.511323094367981,0.3235255176832094,0.20631578564277622,0.11389601892395189,0.005964506118845929,1.504139576712987,0.004259863662608158,0.007726285967884118,0.002984083154322703
16.0,0.6398273603593458,0.5577865937557052,58.57536,58.57536,1.0,0.28745633521229536,0.21422401115787507,0.24540063368246864,0.11145374449339204,0.6818393285066098,0.5477593880955567,0.3152238982944418,0.3432707162511806,2.1960709180206894,0.6552467701601546,0.21044692020905276,1.8477109401827967,0.2678912213740458,0.27390451275343364,0.5179526805877686,0.3408445419020967,0.2169319093260844,0.11389601892395189,0.006134786339303747,1.6389900875747117,0.004082055143981069,0.008287249290663656,0.003713649768901358
17.0,0.6398615569402443,0.649044155066054,62.23632,62.23632,1.0,0.2912849517936084,0.20811612076129962,0.2503865374842946,0.11145374449339204,0.6840251313533827,0.5408578475535177,0.31673931073634254,0.33329802364523553,2.2382887914634155,0.6565338795791757,0.20894939592139106,1.8345627695811395,0.2723353293413174,0.27358262967430635,0.50187087059021,0.3308193359725191,0.2113742212366673,0.11389601892395189,0.006049483262845307,1.7110940026286698,0.0038103598146450902,0.008427860541625035,0.0037042824516679887
18.0,0.6432751291079084,0.7162589228924436,65.89728,65.89728,1.0,0.29310740881934755,0.2045884040979068,0.24990299349408893,0.11145374449339204,0.6841782390787343,0.5333452603759218,0.3173790807224211,0.32766607960133975,2.2297248564156176,0.6561427006189239,0.21093355027569574,1.8519835220626595,0.27035138176816303,0.27261989133002595,0.48750680685043335,0.32496347543527315,0.20796642881715952,0.11389601892395189,0.005550001843936761,1.6531548857292364,0.0036669998409302614,0.007578099165714091,0.0037841578397625904
19.0,0.6392933263266352,0.6638959060173378,69.55824,69.55824,1.0,0.29448365066385934,0.19516829058549484,0.25113971151154746,0.11145374449339204,0.6847992111288387,0.5377591754971546,0.31398178170195973,0.31079649471515486,2.242154878575728,0.6559769600097665,0.2090612510942996,1.8355448510793808,0.272951564731853,0.27413026419042635,0.5016989707946777,0.30841907399097984,0.19888824014853232,0.11389601892395189,0.005589245638337881,1.751118036761909,0.0033653553135839787,0.008039445324496672,0.003639046005861799
20.0,0.64067289601825,0.7800676221473928,73.2192,73.2192,1.0,0.29070107639886134,0.21532390782665328,0.25340733686117867,0.11145374449339204,0.6870375873258199,0.5634706023318575,0.32053437127169104,0.344796361385735,2.2603082494780096,0.6559509198974017,0.21015221890460642,1.8451234809613897,0.2718604651162791,0.27364185110663986,0.5042733550071716,0.34253927393795275,0.21917942429309206,0.11389601892395189,0.005284489110139604,1.7409598716367327,0.003167890039720357,0.007652193790964651,0.00558949057371433
21.0,0.6381892166232889,0.7405553418569768,76.88016,76.88016,1.0,0.2950757161275148,0.20859586538758476,0.2584140970183861,0.11145374449339204,0.6906103446599218,0.5632225728582629,0.32501452282698445,0.33353781839580626,2.3055351599122313,0.6542059437315714,0.20894523100365175,1.8345262018610502,0.2705840540220353,0.271287364534953,0.5010225772857666,0.33126896388130905,0.2132340728399319,0.11389601892395189,0.004814628371184897,1.6622905884632928,0.0029196570595489825,0.006971132290383537,0.00465754528456775
22.0,0.6398731393180832,1.0454376576014393,80.54112,80.54112,1.0,0.295947913717857,0.20699214037589117,0.2591270705633457,0.11145374449339204,0.6910166118881305,0.5678187873845132,0.3268425026293382,0.328885385148635,2.3068007852385226,0.6549004931382358,0.20882714975779687,1.8334894558275148,0.2694252873563218,0.2714355707986281,0.5148720145225525,0.32643630275469243,0.21187420626084763,0.11389601892395189,0.005142803432368165,1.86284927655106,0.0030336210984234662,0.007576678211907754,0.004619974413099316
23.0,0.6437820749663457,0.9766907797343091,84.20208,84.20208,1.0,0.2962559033221095,0.210870084351856,0.2623621806952304,0.11145374449339204,0.6938664611208272,0.5690189321173142,0.3289731053417054,0.33754404418034467,2.3336445733096993,0.6529685050425454,0.20922707402746785,1.8370007661739984,0.2703074804956402,0.27221037668798864,0.5067484378814697,0.33503991688730905,0.21582731118489354,0.11389601892395189,0.00474589868166462,1.7919545261720486,0.0027518199676881626,0.007076942314868539,0.004594698105425718
24.0,0.6388933040840079,0.978408671133257,87.86304,87.86304,1.0,0.3003639716104687,0.20139831483496573,0.2637815214541718,0.11145374449339204,0.6951438292553571,0.5430172573964951,0.32593363111632234,0.3234820437334511,2.3463888526021015,0.6506408076345243,0.2084590955470322,1.8302579626265942,0.2676392906552635,0.2694314381270903,0.5120769143104553,0.32123530882766144,0.2069138578685773,0.11389601892395189,0.0046939560412465435,1.8546734742558328,0.00266514528698463,0.00707779091281841,0.004249469421720846
25.0,0.6430593463161107,1.122438334360061,91.524,91.524,1.0,0.3007208530374902,0.20156002830765737,0.2668589131476588,0.11145374449339204,0.6963923881135128,0.5603515250867382,0.3304612327246578,0.32358855390821595,2.369891534945911,0.6518954767207922,0.20751941124921708,1.822007592625141,0.2709612733425241,0.2724874070520508,0.4910099506378174,0.3212627334834223,0.2074597975857959,0.11389601892395189,0.004351609255622907,1.7993573964085954,0.0024255540815697487,0.006619730569038127,0.003976274428125529
