round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_f1,fed_ece,fed_auroc,fed_f1_best,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688074469374861,0.1016528207241717,0.526995,3.65056,0.9971592150692714,1.7360879948397372,0.11404833836858005,0.2573098207124718,0.1963192417751969,0.1638772696259794,0.39516969995286166,0.6214636180962771,0.27075964660176205,0.5121587945705454,0.6147949929093088,0.19537644255240377,1.7153930786892224,0.0,0.24239120559643862,0.48600825667381287,0.37215699300989663,0.2393699083879601,0.11389601892395189,0.4871458601011525,10.322944987565279,0.33155463605730656,0.6111994852485962
2.0,0.6855858144871368,0.07589133966430894,0.8092425,5.632,0.5412350858791136,1.888318165864895,0.11404833836858005,0.2425419473168608,0.2139486903707435,0.2105627287933166,0.3778208323790948,0.6508191079604357,0.28769848867635517,0.5017079344377567,0.5396951833547686,0.17916817763020762,1.5730855153931043,0.012243113248797552,0.23388501742160278,0.4871593117713928,0.37229814440292464,0.23938488356574483,0.11389601892395189,0.07697078817171103,0.8863655683817342,,0.07697078817171103
3.0,0.6791208559610051,0.10567964769689919,1.09149,7.61344,0.5412350858791136,2.0096987887211624,0.11404833836858005,0.24189647513496676,0.22736896299325018,0.23050698857270266,0.37831608081857365,0.6653324630739488,0.29750614204623654,0.5090586250387169,0.6577273826376528,0.21524795956483087,1.889863768711279,0.032423208191126277,0.27698270721526536,0.48590731620788574,0.3718382121122407,0.2388647792150075,0.11389601892395189,0.047516455302254915,0.6051468164660037,,0.047516455302254915
4.0,0.6713477185369687,0.12577596443693118,1.3737375,9.59488,0.5412350858791136,2.0913813060663387,0.11404833836858005,0.23656791182284187,0.23623230891059271,0.24579691996885364,0.3724394376161776,0.6750451064253671,0.30515093441255986,0.5137988195547314,0.6616526503513419,0.2155833777376127,1.8928087195177317,0.021616947686986597,0.27831044311997927,0.48509523272514343,0.37002804338695044,0.23740248101650183,0.11389601892395189,0.03967770242229684,0.5633485186845064,,0.03967770242229684
5.0,0.6770637633788014,0.12268453132501504,1.618485,11.264,0.4559241291901578,1.9033499724789325,0.11404833836858005,0.2144514009163651,0.21476782083733806,0.2523711199659063,0.34015235189097104,0.6517516164385642,0.28677250133158216,0.5289093462219472,0.6653129865893044,0.22026503918879264,1.93391341742913,0.05190456257848472,0.2825067850974587,0.4846266210079193,0.36981836122135503,0.23713654734264591,0.11389601892395189,0.05884671658427062,0.5403922027908266,0.05884671658427062,
6.0,0.6725363183062868,0.13155777767428092,1.9007325,13.24544,0.5412350858791136,2.0063130230537283,0.11404833836858005,0.23246401647887918,0.22612237635817686,0.2620146776843218,0.3673917398828364,0.6653039340452691,0.29824405055067144,0.5107224400456308,0.6639864718918133,0.21978590412357624,1.9297066411981159,0.06808859721082855,0.28126520681265205,0.4859457015991211,0.3724247457843835,0.23922089212107636,0.11389601892395189,0.020642283674311382,0.3317489468026906,,0.020642283674311382
7.0,0.6621275898441332,0.16692132419778555,2.18298,15.22688,0.5412350858791136,2.101117711794429,0.11404833836858005,0.23269616555192685,0.23458396271196424,0.2738607734699064,0.3687479589096939,0.6743792194225879,0.3050030565912844,0.511224733016567,0.6453774922771929,0.21571575101916746,1.8939709487405383,0.11161731207289294,0.279391034677192,0.4873233139514923,0.37365593587550033,0.24010333788319552,0.11389601892395189,0.01973994157951471,0.3452075272798538,,0.01973994157951471
8.0,0.6501119761993552,0.2042440850536167,2.4652275,17.20832,0.5412350858791136,2.1616102828169046,0.11404833836858005,0.22134353968794498,0.24167674620740173,0.2868728103816815,0.3543235326048892,0.6806859011307955,0.3137995433649868,0.5101300352098268,0.6597681619304951,0.21896248286619627,1.9224770534990956,0.14742014742014742,0.27953367875647667,0.48720014095306396,0.3742416509699885,0.24030809182888646,0.11389601892395189,0.02128570345076329,0.4078890584351029,,0.02128570345076329
9.0,0.6376835020305208,0.2836303620598546,2.747475,19.18976,0.5412350858791136,2.227698354220137,0.11404833836858005,0.22395166528544733,0.24877094285203055,0.29160619597958715,0.35808203725119886,0.6870701450271347,0.3219329544543941,0.5110002869246799,0.6565034220597978,0.217772417222646,1.9120283507718752,0.12948061448427212,0.27780157030692365,0.48790717124938965,0.37397501210698636,0.2401722372962886,0.11389601892395189,0.02024569113139062,0.42675877387227956,,0.02024569113139062
10.0,0.6653874308702952,0.21108482352101735,3.27447,22.84032,0.9971592150692714,1.9260146841495696,0.11404833836858005,0.22454643091340196,0.21727164799554588,0.2598598035816222,0.3566371282920886,0.652582575833047,0.28796121213445286,0.5099745357872437,0.6635382305744905,0.22081545882686462,1.9387460677998114,0.1378563695416817,0.28050067863067407,0.48769858479499817,0.37247418292941864,0.2390234943119432,0.11389601892395189,0.022701419445502167,0.7662363911222201,0.03880977787218843,0.014702621366300048
11.0,0.6585948769805942,0.2309867449948307,3.5567175,24.82176,0.5412350858791136,2.030552512071228,0.11404833836858005,0.22602138983689546,0.22897111797484665,0.27590668243648325,0.35979410442303256,0.6671495596231628,0.2995151512119294,0.5195194480589927,0.626401014517758,0.21198879614578775,1.8612485155195124,0.15213615838832928,0.27636887608069166,0.4884146451950073,0.3749038023571644,0.24081203073094742,0.11389601892395189,0.016085546031977895,0.38330061188025866,,0.016085546031977895
12.0,0.6476647257262276,0.33726802818852053,3.838965,26.8032,0.5412350858791136,2.1528937473222034,0.11404833836858005,0.22967432326844456,0.24165239526448737,0.27828976758153934,0.3655805064427168,0.6785782831352548,0.31253139532410384,0.5397894481536516,0.66487309065739,0.22127043236018776,1.9427407072755503,0.17045080618624547,0.2794159748067564,0.4882746934890747,0.37296311328626974,0.2391483188442037,0.11389601892395189,0.014278242206177386,0.3600387854676228,,0.014278242206177386
13.0,0.6300494410356514,0.4041120517304833,4.1212125,28.78464,0.5412350858791136,2.2114720409411888,0.11404833836858005,0.2196169484136558,0.2481400922393992,0.2896286816486787,0.35162982437947216,0.6841996273162345,0.31827948583442384,0.5369113072329026,0.665060792807096,0.22135927870577007,1.9435207726933033,0.18970861748295104,0.2808199121522694,0.48819297552108765,0.3730968517442133,0.23921751328104066,0.11389601892395189,0.013902568208091179,0.3727305997599615,,0.013902568208091179
14.0,0.6186290377490169,0.42413128412293133,4.40346,30.76608,0.5412350858791136,2.2835307211959766,0.11404833836858005,0.21121133963221986,0.2557654356825395,0.2928270313779247,0.3395962718084515,0.6889999072140415,0.3225423651745087,0.5370797918863736,0.6646171571385624,0.22094207691564308,1.9398577667860857,0.1797680412371134,0.2808139534883721,0.4875833988189697,0.37260038806253487,0.23886514514561105,0.11389601892395189,0.013142057205025237,0.37928802362876013,,0.013142057205025237
15.0,0.6548439170669862,0.3612618744345791,4.6482075,32.4352,0.4559241291901578,1.9297530668318612,0.11404833836858005,0.20900467157158154,0.2179426758679707,0.265478945350396,0.33072987345327726,0.6540145162613529,0.2874684916550594,0.511592129065326,0.6651442341117291,0.22103836245211667,1.9407031478396402,0.18210862619808307,0.281455501972819,0.4872083365917206,0.37252077274446344,0.23876084476188691,0.11389601892395189,0.027832771976605344,0.3764416085323319,0.027832771976605344,
