round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc,fed_prevalence,fed_auprc_lift,fed_ece,fed_brier,fed_f1_best,fed_auroc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6879727352796576,0.1075998815663602,3.65056,3.65056,0.9971592150692714,0.20710271764222485,0.17048047494163127,0.11513282135213396,1.4963131498652895,0.39879791025294165,0.25966231654887506,0.25854900872453673,0.5617083146416787,0.5164434848399932,0.6437627292226382,0.2073484675030334,1.8205067171090457,0.2598684210526316,0.2657011558278791,0.5024753212928772,0.3855064995644995,0.24843464092547057,0.11389601892395189,0.02564588852788501,2.758536040317267,0.021293194999288043,0.028526034596241194
2.0,0.6815936560535988,0.12093719551842477,7.30112,7.30112,0.9971592150692714,0.24429818163307954,0.21035922305866972,0.11513282135213396,1.8299493151635848,0.3730223969002147,0.23869937941719616,0.28531064118469995,0.6444988184798273,0.5239940281555453,0.6582407179611619,0.2177977584322497,1.912250845024467,0.2755102040816326,0.28096987509184423,0.5030171871185303,0.3849177118609228,0.24725754967346722,0.11389601892395189,0.019175482813633397,2.1737838743720204,0.01537991229777545,0.021715401713984107
3.0,0.6711439777161499,0.17196452162819392,10.95168,10.95168,0.9971592150692714,0.26731861241934446,0.22789922767668455,0.11513282135213396,2.002368204767836,0.35768856126854937,0.22676270848193786,0.30078983261088876,0.6668561672156534,0.5165325179968103,0.6608451935273542,0.22116112854938866,1.9417810265787905,0.2822695035460993,0.28354139761802266,0.5002917051315308,0.38132523284104114,0.24404552603720353,0.11389601892395189,0.01499262845915533,1.8197790703270584,0.012913762894056158,0.016414788758529798
4.0,0.6626622431716447,0.2200434100937557,14.60224,14.60224,0.9971592150692714,0.27105460659435765,0.22936718411034812,0.11513282135213396,2.014835234209025,0.3626201474040383,0.23030907151434832,0.3051930266929365,0.6706200082764512,0.5446871255040093,0.6602904575625481,0.22242854654181182,1.9529088781437292,0.2691851265822785,0.28483920367534454,0.5078433752059937,0.390853682577811,0.2509581470784686,0.11389601892395189,0.01194220314102947,1.5476800119504333,0.010652488940989698,0.012858550548423156
5.0,0.6553345791797199,0.23541575520226726,18.2528,18.2528,0.9971592150692714,0.27783570679266717,0.23237107487584432,0.11513282135213396,2.041621309480646,0.35576070730502785,0.2252127052868005,0.3065872973719182,0.6721411309160671,0.5322366234139743,0.6615249973282218,0.22460201651071832,1.971991810009484,0.2683258798366712,0.2813975448536355,0.5143678188323975,0.38855035022344364,0.24899958607690564,0.11389601892395189,0.010311724914512939,1.4182981988415122,0.009653156119503913,0.010801135041660038
6.0,0.652455767039056,0.25164879281110736,18.2528,18.2528,0.0,0.29757597662621743,0.2503736067663318,0.11513282135213396,2.2080394741228244,0.3360092700283774,0.2126775191629849,0.32463598794776805,0.6886407387091895,0.5542713355300679,0.6615249973282218,0.22460201651071832,1.971991810009484,0.2683258798366712,0.2813975448536355,0.5143678188323975,0.38855035022344364,0.24899958607690564,0.11389601892395189,0.0,0.0,,
7.0,0.6298496328884561,0.38516753440426144,18.2528,18.2528,0.0,0.30636291167938207,0.26134890888750545,0.11513282135213396,2.3121047598211324,0.3298575612388661,0.20797899475987286,0.33320321727012936,0.6968843868157376,0.5604057565667265,0.6615249973282218,0.22460201651071832,1.971991810009484,0.2683258798366712,0.2813975448536355,0.5143678188323975,0.38855035022344364,0.24899958607690564,0.11389601892395189,0.0,0.0,,
8.0,0.6124175168033084,0.4891064231721235,18.2528,18.2528,0.0,0.31713597871606514,0.27711171498849385,0.11513282135213396,2.4551188898592398,0.32242020517316816,0.20407076575249486,0.34610431600130886,0.7116712563761799,0.5494727313267138,0.6615249973282218,0.22460201651071832,1.971991810009484,0.2683258798366712,0.2813975448536355,0.5143678188323975,0.38855035022344364,0.24899958607690564,0.11389601892395189,0.0,0.0,,
9.0,0.6459421412454186,0.2706699769236801,21.90336,21.90336,0.9971592150692714,0.28365433948653035,0.23657866757975304,0.11513282135213396,2.0777333519697105,0.33982920271699635,0.21553764635272624,0.3110711573391419,0.6761012019869446,0.5286108876552598,0.6621154992304927,0.22540820183349447,1.9790700672689798,0.2698017335857328,0.2813318368873925,0.5256724953651428,0.3824776114533236,0.24363802492393352,0.11389601892395189,0.008956334518858999,1.306142020272091,0.00767536202404941,0.009947513292696029
10.0,0.6451672183904551,0.3519679085095774,21.90336,21.90336,0.0,0.2983812860010048,0.2518182921666031,0.11513282135213396,2.217552613769523,0.35464916755103515,0.22461002981409467,0.3231633945510879,0.6908428999998676,0.5701057647226979,0.6621154992304927,0.22540820183349447,1.9790700672689798,0.2698017335857328,0.2813318368873925,0.5256724953651428,0.3824776114533236,0.24363802492393352,0.11389601892395189,0.0,0.0,,
