round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_f1_best,fed_brier,fed_auroc,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6881452397019603,0.09892983700190902,3.65056,3.65056,0.9971592150692714,0.23982223768698988,1.818988450589809,0.1147406847935549,0.5142915927920366,0.2814054506419209,0.24940517549519164,0.6465324824643908,0.3875576283985306,0.2062359923050664,0.44254431801234356,0.10159440242017342,0.8919925681336393,0.015181781861765881,0.2045002711006687,0.41671982407569885,0.3751146560079696,0.2422925881973145,0.11389601892395189,0.029092752909881874,3.1310144911985844,0.023762040453917586,0.03272048879386441
2.0,0.6779647012086214,0.13415537081334167,7.30112,7.30112,0.9971592150692714,0.27499970984266014,1.8942319641095025,0.1147406847935549,0.5027387777694162,0.29441584587270786,0.23348012286465744,0.6614566782341242,0.36780967083004606,0.21636997583270784,0.47042704127750606,0.10890369888687843,0.9561677389232821,0.12097560975609756,0.2045002711006687,0.384294718503952,0.37400235580002467,0.24146652075028704,0.11389601892395189,0.018646600254938507,2.1522073806263506,0.015756674488305332,0.02061816913767712
3.0,0.6694286693121565,0.17856549362293367,10.95168,10.95168,0.9971592150692714,0.2833182877504334,1.9554096493059119,0.1147406847935549,0.5024487563152868,0.2967635461540839,0.2211136437097211,0.6650393168834146,0.3505787399549633,0.22350599483175507,0.4492243786251915,0.10602843683052995,0.9309231159460007,0.10648251280908888,0.2045002711006687,0.36507803201675415,0.3745939924640273,0.24213463407700173,0.11389601892395189,0.013115824639320029,1.6224359683692455,0.011233630306407963,0.014432795413683664
4.0,0.6587669961540363,0.20526862397808307,14.60224,14.60224,0.9971592150692714,0.28095403031539073,2.024427617745542,0.1147406847935549,0.5274403737585951,0.3015933654098708,0.22838771611234837,0.6724991775856828,0.3612971159649219,0.2313629742527157,0.4246075246813832,0.10133153107003595,0.8896845739419108,0.1545198623709728,0.2045002711006687,0.3810356855392456,0.37971986980903577,0.2462801217965373,0.11389601892395189,0.011006933533568113,1.4486914607696235,0.010100760586702041,0.011661892158543328
5.0,0.6550096832039162,0.2097538307590841,18.2528,18.2528,0.9971592150692714,0.2843739269862274,2.0523727656372337,0.1147406847935549,0.52354357370212,0.3019109321322791,0.22811624351160564,0.6745044854156034,0.36128177979542747,0.23480607330479386,0.42671053670541453,0.10034140788487256,0.8809913536299305,0.138109756097561,0.2045002711006687,0.34801530838012695,0.37615894347937756,0.24356227551203197,0.11389601892395189,0.009516948486290481,1.3329815794713795,0.009178322246219256,0.009769878461549381
6.0,0.6479549929140835,0.21429037599342288,21.90336,21.90336,0.9971592150692714,0.28483797534146826,2.0737439778167976,0.1147406847935549,0.5547752864077343,0.3043591357607942,0.22660790884185683,0.6760132173892998,0.35852428954300986,0.23720682637378682,0.44929948709386774,0.10488727998500813,0.9209038294397377,0.09575787645745473,0.2045002711006687,0.3709295094013214,0.3727963078504384,0.24089269118213782,0.11389601892395189,0.008456678943780637,1.2585865888977423,0.007946312516007182,0.008852750257644438
7.0,0.6461042888355918,0.26392222247453934,25.55392,25.55392,0.9971592150692714,0.288993055291314,2.101644558786766,0.1147406847935549,0.5379706009066958,0.30364708693132264,0.21251603714547984,0.6776780932221254,0.3374656943805058,0.24059149033919577,0.47201258920840516,0.10892524592486212,0.9563569205837762,0.004314063848144953,0.2045002711006687,0.36361098289489746,0.36617376318940986,0.23560761672132308,0.11389601892395189,0.00802255740779278,1.2706416118890047,0.007811729867197417,0.00819220164537925
8.0,0.6452393491621483,0.3063696635158014,29.20448,29.20448,0.9971592150692714,0.28790815578078854,2.126434365371541,0.1147406847935549,0.5442178396551238,0.3057660060243926,0.22301824920949506,0.6798040566689149,0.35260648418439233,0.24274675423113584,0.4450611858559246,0.10148663643221227,0.8910463894262596,0.016726403823178016,0.2045002711006687,0.36250099539756775,0.3680000193130209,0.237282166563851,0.11389601892395189,0.007834319240074822,1.3169250478968024,0.0070175138377180655,0.008518338014675693
9.0,0.6416292671127881,0.2967085949423245,31.18592,31.18592,0.5412350858791136,0.2999811536893814,2.268480699883192,0.1147406847935549,0.5230197410295228,0.3161709075120178,0.21115524618912593,0.6930691136940813,0.33751286020172305,0.25763754776869363,0.45769751745239706,0.1042297854826923,0.9151310683851582,0.013024013024013023,0.2045002711006687,0.37208297848701477,0.3681624225068029,0.2372500752283959,0.11389601892395189,0.008352380156896478,0.7973647440085188,,0.008352380156896478
10.0,0.6360024633747106,0.3118767469727511,34.83648,34.83648,0.9971592150692714,0.29432662904091084,2.1387339835293573,0.1147406847935549,0.5443437479638982,0.30951130087127593,0.20983812486650236,0.6824114276219845,0.3327768991630025,0.24482061200162647,0.45235374755994734,0.10545972393398277,0.9259298518976153,0.013866231647634585,0.2045002711006687,0.33644503355026245,0.3667251483004169,0.23595725291527322,0.11389601892395189,0.007273333576165251,1.3273448336403817,0.006759829165353238,0.007700115651996998
11.0,0.6383509126819298,0.3663931983941512,36.81792,36.81792,0.5412350858791136,0.3016689137593996,2.2967797398681418,0.1147406847935549,0.5244503415547018,0.32095551217663887,0.20366620577220876,0.6967639287562643,0.3252624536989667,0.2613148853764013,0.45025835305312345,0.10555355117041271,0.9267536492288687,0.020384163073304585,0.2045002711006687,0.3374647796154022,0.36753525508326673,0.23658673160377827,0.11389601892395189,0.008110110636720791,0.8429642568808049,,0.008110110636720791
12.0,0.6244678334395302,0.3806170012701828,38.79936,38.79936,0.5412350858791136,0.3090851585287652,2.426128567140403,0.1147406847935549,0.5397837716722175,0.3324704238629709,0.20887957892206474,0.7074996266755901,0.33196868891426823,0.2740649416220977,0.4312516562138936,0.10206704928607457,0.8961423783760564,0.01909307875894988,0.2045002711006687,0.29451513290405273,0.3662014285642371,0.23655915456668433,0.11389601892395189,0.008422619330751219,0.9242376484908164,,0.008422619330751219
13.0,0.6096988647649646,0.49106162131074604,40.7808,40.7808,0.5412350858791136,0.3224815077639467,2.6439662346964314,0.1147406847935549,0.5359696091677009,0.3484984261946182,0.19684481905617093,0.7204126526425891,0.31569685067801884,0.29700561039495155,0.4526691027327736,0.10603289269090493,0.9309622381244322,0.0,0.2045002711006687,0.3037072718143463,0.3610272097688981,0.2324736027586193,0.11389601892395189,0.009083263296055091,1.055325930705294,,0.009083263296055091
14.0,0.594712656219046,0.5623786079002786,42.76224,42.76224,0.5412350858791136,0.32804981235061237,2.796183826438824,0.1147406847935549,0.5675611643857825,0.35878742085849735,0.20346326757104258,0.7338388958476385,0.32889891306154306,0.31388202772606916,0.44580584522339506,0.10465950195547281,0.9189039524318556,0.010766045548654244,0.2045002711006687,0.31139305233955383,0.3654593489173555,0.23567515178495788,0.11389601892395189,0.009672916481645264,1.190983661217615,,0.009672916481645264
15.0,0.6418441522033775,0.6094463100810797,44.43136,44.43136,0.4559241291901578,0.2883023352352381,2.201521015017485,0.1147406847935549,0.5520639484738865,0.31287081067564687,0.2184207468797068,0.6880820497901047,0.34371586965489853,0.2520044452851386,0.443156153982576,0.10228400122871317,0.8980472030107388,0.010625255414793625,0.2045002711006687,0.34371569752693176,0.3674899790258099,0.23715055711484218,0.11389601892395189,0.006434232499218692,0.5743083111010492,0.006434232499218692,
16.0,0.6412433977161373,0.533119231083709,46.4128,46.4128,0.5412350858791136,0.3058024625291755,2.3834507016754465,0.1147406847935549,0.5459171480500148,0.32946894354721884,0.2134469665357895,0.7056473284383146,0.34157427604857005,0.2714109002212055,0.4473726944711985,0.10291990760107508,0.9036304216198677,0.0,0.2045002711006687,0.3418106138706207,0.36641081637246387,0.23625633202782115,0.11389601892395189,0.006289980969882651,0.8091492768144235,,0.006289980969882651
17.0,0.6205741999447663,0.5542473096162859,48.39424,48.39424,0.5412350858791136,0.30533526378231096,2.5219839557240133,0.1147406847935549,0.5581424728200995,0.3397897484428405,0.21795154407381492,0.7155185381068839,0.3494512211209706,0.2864232866744562,0.43788094174499326,0.10086704584335086,0.8856064223868927,0.0,0.2045002711006687,0.3417913019657135,0.3672383055169651,0.23679177913640276,0.11389601892395189,0.007043697102278987,0.9375131435226649,,0.007043697102278987
18.0,0.6044301301154509,0.5604177398158499,50.37568,50.37568,0.5412350858791136,0.32006104067481805,2.628256369853276,0.1147406847935549,0.5451113911437514,0.34638336893734417,0.1943918353622201,0.725467662362321,0.3100639134917742,0.29726962017412323,0.45715605880753396,0.10508074499040257,0.9226024402184306,0.0,0.2045002711006687,0.3099295198917389,0.3617342316610559,0.2329752201077252,0.11389601892395189,0.0072509599097185734,1.0136795474682003,,0.0072509599097185734
19.0,0.5870894970843549,0.7450875740496614,52.35712,52.35712,0.5412350858791136,0.3254038205097912,2.8606265889464653,0.1147406847935549,0.5675164737550155,0.36174889405929617,0.20024439388679816,0.7389724319084694,0.3237413442685023,0.32196711081617246,0.46117674000281805,0.10666437504145243,0.9365066140957218,0.00088261253309797,0.2045002711006687,0.312125563621521,0.36459336543492377,0.2350441674093037,0.11389601892395189,0.007074436822381608,1.0403400897048414,,0.007074436822381608
20.0,0.6428089118638949,0.8135097652521092,56.00768,56.00768,0.9971592150692714,0.29402882093132654,2.224622077185368,0.1147406847935549,0.5504741541448557,0.31574812667087526,0.21962856307200357,0.6890849707583557,0.34748974084408163,0.2549465562713751,0.4488334883023298,0.10306706857525813,0.9049224858691134,0.0,0.2045002711006687,0.33081740140914917,0.3664986268357114,0.23644543209616117,0.11389601892395189,0.005727351606370419,1.4185288676526397,0.006107795656342847,0.005489229470635392
21.0,0.6374746685542878,0.5646024003249599,57.98912,57.98912,0.5412350858791136,0.2983245493573776,2.385732609792589,0.1147406847935549,0.5722330118804299,0.32822301260713244,0.21554350442619014,0.7038454331587076,0.34222833124214025,0.27144406206020943,0.44136839673575706,0.10172220699535471,0.8931146843971289,0.0008814455707360071,0.2045002711006687,0.31646785140037537,0.36703389201318326,0.2368503009609774,0.11389601892395189,0.005585198872419163,0.8700817269273102,,0.005585198872419163
22.0,0.6151770583588714,0.5893642776248628,59.97056,59.97056,0.5412350858791136,0.31347481108834346,2.5789112896695494,0.1147406847935549,0.5545392036550535,0.34391226557615084,0.2034218606034552,0.7195761081532477,0.3254835554352288,0.2920283090856574,0.437658803899707,0.10168451234144912,0.8927837276678093,0.0,0.2045002711006687,0.3111284673213959,0.36545578953400126,0.2358684118767002,0.11389601892395189,0.00542058059458619,0.8766898838803172,,0.00542058059458619
23.0,0.5948813534770598,0.6933400006270978,61.952,61.952,0.5412350858791136,0.3220514069724807,2.7569895595229945,0.1147406847935549,0.5711397211379694,0.3606146517074035,0.19879977844513275,0.7333649593949766,0.3197663940885747,0.30973523600108266,0.39784965897366864,0.09339074642838335,0.8199649760431059,0.005917159763313609,0.2045002711006687,0.30823788046836853,0.36918578589800727,0.23931861581918873,0.11389601892395189,0.006297445549165136,1.0578927873866633,,0.006297445549165136
