round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6907241993675021,0.10040044680879709,3.65056,3.65056,0.9971592150692714,0.5978053865137319,0.1879470514115291,0.2034251969986621,0.11151667715544364,1.8023934508518777,0.23600907971243612,0.26184908633684584,0.3713715529726915,0.4838243760707769,0.444202150785277,0.10760616749479461,0.944775493572282,0.056383668178872325,0.20453723788864786,0.4668481647968292,0.368298433506949,0.23688309817771636,0.11389601892395189,0.02864012727730542,3.0501034271437675,0.02390248922664797,0.03180308841709203
2.0,0.6828910278632954,0.14694316423749182,5.632,5.632,0.5412350858791136,0.6519344723043908,0.2184868447769265,0.23827358952664712,0.11151667715544364,2.1508598047304464,0.2427200035949848,0.2911073302803838,0.3832278247409229,0.519411434793037,0.4386299808711217,0.10160097686529969,0.8920502913551213,0.08889708594614533,0.20451237263464336,0.46972864866256714,0.3723654948316323,0.24025230991290542,0.11389601892395189,0.0227261844117531,1.536130823660642,,0.0227261844117531
3.0,0.6722174258132819,0.15666632672092964,7.61344,7.61344,0.5412350858791136,0.6688073713195413,0.2266070762464007,0.2720641047924025,0.11151667715544364,2.078574273100903,0.21639843928115368,0.2987080219034436,0.34749674850886086,0.49462998146115034,0.42439254002358995,0.094231598810041,0.8273476079349115,0.1007423117709438,0.20452488687782802,0.4712127149105072,0.3775908590815041,0.24456262474678206,0.11389601892395189,0.016743900497420708,1.2048374523874372,,0.016743900497420708
4.0,0.6581814183221699,0.22090282460731742,9.59488,9.59488,0.5412350858791136,0.6823534303877451,0.23630960397297535,0.2860631459863868,0.11151667715544364,2.1610740288733465,0.21053493670656648,0.31109077541265495,0.338566312228568,0.5137611859995587,0.41071041241564443,0.09085865705048576,0.7977333879523206,0.10441087613293051,0.20463180749050114,0.46719905734062195,0.3780357042498423,0.2453359233677817,0.11389601892395189,0.012862678456031978,0.9825223325751722,,0.012862678456031978
5.0,0.6628356617310589,0.281938006464045,11.264,11.264,0.4559241291901578,0.6631754504383985,0.22314259445549903,0.2719507086263226,0.11151667715544364,2.04815391863322,0.22631813269517953,0.29348919196754375,0.35951360510421887,0.5265041284792973,0.416974559098857,0.09159694050984639,0.8042154710517622,0.09993642720915448,0.204760825209703,0.46803614497184753,0.376876558278466,0.24446247356764747,0.11389601892395189,0.017231684618372173,0.7847774177789688,0.017231684618372173,
6.0,0.6547995417583753,0.25311253240968046,13.24544,13.24544,0.5412350858791136,0.6741579781319742,0.23461938450959052,0.2744772492328493,0.11151667715544364,2.1644998061525267,0.22181309076076047,0.30249949436650014,0.3530524731170013,0.5491607486320188,0.44961254571702525,0.10527179098743153,0.9242798122533261,0.1152048391531482,0.20474520697663828,0.4665650427341461,0.37522172335679843,0.24255536270903866,0.11389601892395189,0.010317561252861634,0.8278753142803907,,0.010317561252861634
7.0,0.6367757579024286,0.34705687329422974,15.22688,15.22688,0.5412350858791136,0.6831061690654088,0.24113285443382956,0.28513306110122644,0.11151667715544364,2.2216858249640845,0.21929526032819593,0.3087802292637803,0.35012501050619066,0.5394916224959813,0.43626798581148946,0.09865344982211557,0.8661711862640805,0.124283421233662,0.20469662006244058,0.46865278482437134,0.38010431281711166,0.24676181174887424,0.11389601892395189,0.008930510625164673,0.7519865325884894,,0.008930510625164673
8.0,0.6199474219737288,0.53269427510701,17.20832,17.20832,0.5412350858791136,0.6921757988658388,0.25038414304065376,0.2966380060656291,0.11151667715544364,2.317574267651046,0.2087752513559414,0.3184861536000311,0.3337534866007977,0.5479694160408309,0.40764055298104945,0.08909783734925053,0.7822734999082009,0.12426517138464321,0.20460404323639816,0.46682965755462646,0.3894610249094421,0.25554509739006487,0.11389601892395189,0.009093163639786423,0.7991988207213581,,0.009093163639786423
9.0,0.6075374217213387,0.501483939375782,19.18976,19.18976,0.5412350858791136,0.6998712600813429,0.2605607942807789,0.3015178470404745,0.11151667715544364,2.424759556067415,0.20262526673621378,0.32533272788093176,0.3257670351467637,0.537385249859961,0.4103569445578775,0.08988414133360198,0.7891772002462827,0.13238606827239646,0.20454648167397296,0.469706654548645,0.3910628641276878,0.25645899750895534,0.11389601892395189,0.010544750405225156,0.9739930729847401,,0.010544750405225156
10.0,0.646267782210601,0.48958278741452277,22.84032,22.84032,0.9971592150692714,0.6645223079774323,0.2276681932269747,0.2795838374869917,0.11151667715544364,2.0810108480587166,0.21566952617078897,0.29449010700530154,0.34352081996922673,0.5196992336915978,0.4146544541091398,0.09041540760910421,0.7938416852785204,0.13141870398982095,0.20453723788864786,0.4682048261165619,0.38969237273493823,0.25560106682172207,0.11389601892395189,0.009696501462238,1.4222240058006719,0.014172730172639139,0.007397136256395141
