round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_ece,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6908014549125026,0.11164669669103067,3.66096,3.66096,1.0,0.2690780167718532,0.6360262005402296,0.49038224656100843,0.20617507162971496,0.36400658458818386,0.11388101983002831,1.810355404063128,0.22990991623330553,0.2487424874682036,0.6451687823452706,0.20204864859117155,1.7739746349350365,0.2650918635170604,0.2668568464730291,0.49919676780700684,0.3637078964039462,0.2299802812582591,0.11389601892395189,0.007108709015951505,0.7737398194749403,0.005896480922685576,0.007854850121607882,0.012494260727691796
2.0,0.6692200040092131,0.23948952620827013,7.32192,7.32192,1.0,0.27421223997869276,0.641784945331169,0.49934050381690187,0.20970794851152547,0.35451131211086606,0.11388101983002831,1.8424327629237933,0.22476080065039522,0.25235020106269584,0.652525195659757,0.20568961602918942,1.805942103793179,0.26884670251289366,0.27319109461966606,0.5074425339698792,0.35509692207095045,0.22492933888733613,0.11389601892395189,0.005545770693279254,0.6136078100598752,0.005310772394911817,0.0057216769486164686,0.003711256270184863
3.0,0.6579140158691035,0.33669224202403986,10.98288,10.98288,1.0,0.27440665628271266,0.6443843618089861,0.4951876481936944,0.21061505174414552,0.3438579307258748,0.11388101983002831,1.8497872473065229,0.21882147282379422,0.2564357238156955,0.6532420956399742,0.206797786104672,1.815671768499217,0.27178207527552506,0.2740439013351437,0.514733612537384,0.34429641149278506,0.2189740830576781,0.11389601892395189,0.004598926154545347,0.5148148395555836,0.004702554781169534,0.004549426797162159,0.0030971891499236483
4.0,0.6532164304009173,0.36473951974968755,14.64384,14.64384,1.0,0.2766312594459306,0.6460820702297136,0.4892233912172579,0.21325343908475616,0.32514294299889474,0.11388101983002831,1.8732119775725147,0.2078637580637354,0.255863110085953,0.6549435503071629,0.2084891245005016,1.830521614980321,0.2736914129319193,0.2757636990372043,0.5071426033973694,0.32558277499901345,0.20795552664294584,0.11389601892395189,0.004104845235103399,0.46343050628547644,0.00438870818763307,0.003936336664031775,0.0025768567904633525
5.0,0.6497749753109519,0.4124359407668634,18.3048,18.3048,1.0,0.27777771805216483,0.648914449951899,0.5215319008132291,0.21605473469600855,0.354087666809315,0.11388101983002831,1.896764150271059,0.22642083042524014,0.2590026232634362,0.6574254177298352,0.21072669598365712,1.850167354175556,0.2703511572226656,0.2778532608695652,0.5243194699287415,0.35423404412430626,0.22646079735593988,0.11389601892395189,0.003849706662293524,0.43787406039791676,0.004118585202758672,0.003680892027234084,0.0030603330769809665
6.0,0.6498872451601302,0.3943583829050211,21.96576,21.96576,1.0,0.28268672344883455,0.6518904627907629,0.5155319488851537,0.2181472207988677,0.33740602912094597,0.11388101983002831,1.9133162112759805,0.21429096746638018,0.26327325237465243,0.6611852836695641,0.2129236666382304,1.8694566206076004,0.2803089667524908,0.28221817235095026,0.5225619077682495,0.33742808548608816,0.21426578273740432,0.11389601892395189,0.003610066734783085,0.41384671007654106,0.003978027538289998,0.0033695443167962615,0.003229852364314502
7.0,0.6446906681126413,0.3271832233338639,25.62672,25.62672,1.0,0.28375974477901816,0.6547995937395455,0.49134676746313477,0.2224768975966457,0.3391752792494755,0.11388101983002831,1.9526567763996856,0.21393269826782127,0.26590877454597855,0.6613117193958654,0.21427772711312582,1.881345187808527,0.28066825775656323,0.2825431625102767,0.5166571140289307,0.33903768372824294,0.214021607845993,0.11389601892395189,0.0035419696820574646,0.4088979311586627,0.003950589779914182,0.003271670729292874,0.003222564507878166
8.0,0.64827402861258,0.3440575277971558,29.28768,29.28768,1.0,0.2858286515756258,0.6557375543159172,0.4965794720100388,0.22262155981107073,0.3466701757056104,0.11388101983002831,1.9528488200260865,0.21936392219543524,0.269249265191587,0.6612690638093941,0.2157744352317702,1.8944861924967045,0.27700246276533363,0.28153182590511044,0.5158331990242004,0.3465388758000492,0.2193659302745662,0.11389601892395189,0.003446232314440944,0.400984780918634,0.003951639298638511,0.003109403926547051,0.0029949874629138615
9.0,0.6495311774346432,0.38772587337053166,32.94864,32.94864,1.0,0.28549779061332936,0.6569624569601369,0.5028449628613526,0.22453912032252046,0.3387322104189206,0.11388101983002831,1.9678810434712113,0.2145722610823827,0.26913742391975737,0.6611853715157262,0.21738940765741543,1.9086655504839536,0.28027274864801316,0.28141155315801303,0.49358171224594116,0.33851318270668507,0.21460465033272655,0.11389601892395189,0.0033665331057270253,0.39506358917151374,0.0038892217821752772,0.0030157751954773227,0.00279504946571214
10.0,0.6448271062280351,0.38665950808148597,36.6096,36.6096,1.0,0.28633753631091347,0.6577883808050564,0.4677557982042371,0.2260919835077608,0.31230557419648136,0.11388101983002831,1.981864628262918,0.19905349322926216,0.2633265972504659,0.6610291935887964,0.2178886524049041,1.913048888481237,0.27755102040816326,0.2807650667629015,0.48015889525413513,0.31199674809580213,0.19909401574867613,0.11389601892395189,0.0034381539160455127,0.4076183108227269,0.003853718877149574,0.0031542119136656202,0.0032196148810976636
11.0,0.6482418005010335,0.4339966237743614,40.27056,40.27056,1.0,0.29015233460426465,0.6612097672443887,0.4980201544853963,0.22838374915265533,0.33271558493948,0.11388101983002831,2.0013361388632083,0.21066465875200116,0.2694288492658518,0.6626448853027799,0.21931772732790744,1.9255960778957988,0.28024539877300614,0.28119555019434395,0.5142870545387268,0.3324425754333407,0.21089044316183858,0.11389601892395189,0.003444451882936138,0.41249058101038827,0.003934697738125789,0.003112125707394024,0.0027420136205195925
