round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_auprc,fed_auroc,fed_f1_best_threshold,fed_prevalence,fed_f1,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6900478871334211,0.09787585367423582,3.65056,3.65056,0.9971592150692714,0.2709978434980455,0.24343370174609974,0.19486880098571233,0.6194500881732469,0.4968484947431526,0.1100409191060749,0.21701602891018368,0.38323255761974745,1.7584696597077452,0.41677611461845976,0.11254909740122195,0.9881741123574365,0.19639200390053632,0.20473581744917826,0.4959314167499542,0.39459259364906013,0.2568202914122552,0.11389601892395189,0.027106829826248832,2.917241713963449,0.022940066800823094,0.029858008314156102
2.0,0.6838437783103627,0.11866770768370478,7.30112,7.30112,0.9971592150692714,0.2888927065949335,0.24564093889832073,0.20961938636559882,0.6540236076967727,0.5379340685348222,0.1100409191060749,0.2553917710143609,0.38835151597393125,1.9239320365292025,0.4805035733559879,0.1424079290809612,1.2503328072954565,0.20354514740593327,0.20461503312771304,0.4990456998348236,0.40207346982388115,0.2623517202237725,0.11389601892395189,0.020787987667437127,2.375426731770858,0.016520436408076104,0.023622442574222545
3.0,0.6747125174444911,0.16567802008720114,10.95168,10.95168,0.9971592150692714,0.29341720983724967,0.22926412668513918,0.21462233766618755,0.6648099879165957,0.557756897614818,0.1100409191060749,0.2631247100001215,0.36535682502429295,1.9701998702592183,0.49138707282983957,0.15156162299067077,1.330701673531435,0.20086712087283815,0.204630049931911,0.49567046761512756,0.4039386263493773,0.26380461870275096,0.11389601892395189,0.013979967855914068,1.7169689917936921,0.01193912228647714,0.015349622965923985
4.0,0.6677330751070893,0.23767110428680213,14.60224,14.60224,0.9971592150692714,0.29575005606349586,0.2283417627806215,0.2183804921260386,0.6695089785527716,0.5592683941435432,0.1100409191060749,0.2710648187874359,0.36470654219492143,2.009306312079184,0.48462006961532267,0.15473576359088492,1.3585704316338014,0.1908492635537449,0.20471941664024637,0.49371081590652466,0.3970018430852081,0.25827892351373355,0.11389601892395189,0.010845725139099188,1.4112161374650896,0.010286292625762024,0.011231748322773948
5.0,0.6600230888392247,0.23624573234198584,18.2528,18.2528,0.9971592150692714,0.2972055381543931,0.22548757162638622,0.21952062088969124,0.6706644098940351,0.5645295001254504,0.1100409191060749,0.2693584186409179,0.35946985002129866,2.0200013503340206,0.4592112699698798,0.11458064450179015,1.0060109702192084,0.2007178615282894,0.20476147370326786,0.4958028793334961,0.40941555823927717,0.2692241835743653,0.11389601892395189,0.009461574021537385,1.2970006484538317,0.009089148645368278,0.009729148315203877
6.0,0.6560623557354098,0.28863237776197787,18.2528,18.2528,0.0,0.30642076039355043,0.21569143157775836,0.22855003644768027,0.6854846121250574,0.5155278589784029,0.1100409191060749,0.28413504096170394,0.3437605488000613,2.1104050579486997,0.4592112699698798,0.11458064450179015,1.0060109702192084,0.2007178615282894,0.20476147370326786,0.4958028793334961,0.40941555823927717,0.2692241835743653,0.11389601892395189,0.0,0.0,,
7.0,0.6502917747848954,0.25043607094819964,21.90336,21.90336,0.9971592150692714,0.2989337996148779,0.21607968430463825,0.22259802585021485,0.6773837307368122,0.5403512890229332,0.1100409191060749,0.2715910667741032,0.34811501022982894,2.0446863866051546,0.49829372634334224,0.15754314050376916,1.3832190272511664,0.2034399852043647,0.20489352061622113,0.49698224663734436,0.4025743459202069,0.262547904075176,0.11389601892395189,0.008843295305101808,1.2754230087157339,0.008521713567131717,0.009082069749939727
8.0,0.6492775013775117,0.26969706449169645,21.90336,21.90336,0.0,0.31010466613228893,0.21230506779616715,0.23403287969313852,0.6898140108876577,0.5248329389496798,0.1100409191060749,0.28447595832425887,0.33960178090522675,2.156966388502379,0.49829372634334224,0.15754314050376916,1.3832190272511664,0.2034399852043647,0.20489352061622113,0.49698224663734436,0.4025743459202069,0.262547904075176,0.11389601892395189,0.0,0.0,,
9.0,0.6463916343036373,0.2795511556333835,25.55392,25.55392,0.9971592150692714,0.30082776120761473,0.21744920683422728,0.224261605176099,0.6784538601285063,0.555633842757486,0.1100409191060749,0.2747526999233631,0.34770814532054684,2.0590395996190165,0.5385270176393587,0.18201946307087793,1.5981196251680396,0.20510483135824978,0.2430260047281324,0.5280197262763977,0.40210243545383,0.26143486728731086,0.11389601892395189,0.008571551017522038,1.305802326882258,0.007444217383206596,0.009436891100690691
10.0,0.645161906234663,0.35589691478595137,25.55392,25.55392,0.0,0.31330255600372486,0.21393929346993346,0.23617111718540731,0.6916089079939584,0.5394925080345304,0.1100409191060749,0.2923728969397776,0.34161660552568923,2.1834059788569484,0.5385270176393587,0.18201946307087793,1.5981196251680396,0.20510483135824978,0.2430260047281324,0.5280197262763977,0.40210243545383,0.26143486728731086,0.11389601892395189,0.0,0.0,,
11.0,0.6421573623460766,0.3212773804663899,29.20448,29.20448,0.9971592150692714,0.2990272108683266,0.2191500958333285,0.22509125276624722,0.6786132648677903,0.539989167519399,0.1100409191060749,0.2752360067988615,0.3490556894888621,2.06546109700414,0.5869760083095442,0.19889283026400317,1.7462667452565086,0.2050698584626587,0.26802109787067785,0.5200895071029663,0.40138598956755306,0.2603985494321321,0.11389601892395189,0.008683274985066634,1.4018656993284822,0.007715029994255717,0.009439333955151282
