round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1,fed_ece,fed_auprc,fed_f1_best,fed_brier,fed_f1_best_threshold,fed_auroc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6902864988899887,0.10133703353376282,3.65056,3.65056,0.9971592150692714,1.5177111249508817,0.08483948322758374,0.37573221848962274,0.17232911671964532,0.24126065660824625,0.24099455901658814,0.487249117603911,0.577922647677835,0.11220893643801129,0.5514709864958361,0.14834552487919636,1.302464531075896,0.03162393162393162,0.211566554954026,0.47648173570632935,0.362384185882692,0.2319948218240112,0.11389601892395189,0.028613012581341392,3.047251195879653,0.02391487141657515,0.03174946524981289
2.0,0.686482555126228,0.1314687275704061,5.632,5.632,0.5412350858791136,1.8581577818878756,0.22503733195479428,0.3779219234586136,0.2080021294884527,0.2747114965826192,0.2405593570348296,0.5000901704917845,0.6406840444851205,0.11220893643801129,0.5440549381866715,0.13860923708131445,1.2169805265438076,0.023993144815766924,0.21061132197367358,0.47938549518585205,0.3655636290538184,0.23436600294452017,0.11389601892395189,0.02418621162687362,1.938071590848267,,0.02418621162687362
3.0,0.6783696291928625,0.14667485613431666,7.61344,7.61344,0.5412350858791136,1.9366597757243627,0.24495814480790365,0.3592489121806478,0.21757446454371548,0.28818853801853866,0.22548226364246393,0.4899953404374659,0.6611302726495885,0.11220893643801129,0.562703172486341,0.1595465926269895,1.4008092129499135,0.03048264182895851,0.21443576170069742,0.4746185839176178,0.3606429818373237,0.23058610226437945,0.11389601892395189,0.01653418500476956,1.6077816714532673,,0.01653418500476956
4.0,0.6715647578613609,0.2159709127753051,9.59488,9.59488,0.5412350858791136,2.026501810073991,0.26777004926960457,0.35904086874932734,0.2258841239758592,0.29993458905168974,0.22460537631426072,0.507794514969882,0.6733328962981937,0.11220893643801129,0.4575400218330342,0.10927087340562086,0.9593915084826694,0.029532403609515995,0.2045947901591896,0.4546954333782196,0.36107922076572985,0.23155996876905036,0.11389601892395189,0.01248935459945395,1.4258668757975101,,0.01248935459945395
5.0,0.6778739533965649,0.21025107119592312,11.264,11.264,0.4559241291901578,1.926479872236127,0.2620033337709301,0.3515506011799043,0.21269753021265525,0.2828587951610092,0.220988855407238,0.5111006036710258,0.6511148459700506,0.11220893643801129,0.45672905116255863,0.11072372448600094,0.9721474510880922,0.056508577194752774,0.20450951154489178,0.4477897584438324,0.3624970463311116,0.23259543211368702,0.11389601892395189,0.015483349175328882,0.8670874829404056,0.015483349175328882,
6.0,0.6691465053159253,0.21778441969302703,13.24544,13.24544,0.5412350858791136,1.9917368495388674,0.2638480559105362,0.36199352138818164,0.22175651324394727,0.2940684773662836,0.2271571955116164,0.5182987242618243,0.6666272621040054,0.11220893643801129,0.42733232439087854,0.09970636816248539,0.8754157441539647,0.07418460882541036,0.20461238729554618,0.4551478326320648,0.3669895627348153,0.2365062654843253,0.11389601892395189,0.009514350577458822,1.2444120564032346,,0.009514350577458822
7.0,0.6535868634693954,0.3336197577112531,15.22688,15.22688,0.5412350858791136,2.097144341593954,0.27930423348079925,0.3446732085753792,0.23131540656911145,0.30333629117916144,0.21513253248449893,0.5226755485210575,0.6751817682737742,0.11220893643801129,0.40899563023070556,0.09120951391947743,0.800813889556384,0.11384964421986181,0.20461538461538462,0.4631754755973816,0.3829370085426555,0.2491082685307924,0.11389601892395189,0.007410575192387894,1.0936141018755734,,0.007410575192387894
8.0,0.6412977280269084,0.4433052353299319,17.20832,17.20832,0.5412350858791136,2.15541033314202,0.2813454940991366,0.3366590665853796,0.2372874855070283,0.3042448569656726,0.20995844972711805,0.5283778240558409,0.6837995217767868,0.11220893643801129,0.3828401005582548,0.08558116727190922,0.7513973541871694,0.10709789871211388,0.20454648167397296,0.45255982875823975,0.3842792087088079,0.251059249498423,0.11389601892395189,0.006951540663793059,1.1389513714239001,,0.006951540663793059
9.0,0.6263553624444381,0.5109809331638386,19.18976,19.18976,0.5412350858791136,2.213284113364816,0.2881952594007594,0.3326839545152054,0.24299652885394663,0.3090376605081453,0.20735013435282393,0.5284001541782881,0.6895292565629498,0.11220893643801129,0.3811792182685481,0.08544733655585653,0.7502223287796347,0.1041479260369815,0.20452799493876814,0.4440813660621643,0.37965878375679685,0.24786747156917302,0.11389601892395189,0.006231963448326738,1.122476213844493,,0.006231963448326738
10.0,0.6559711948073176,0.5070035273548089,22.84032,22.84032,0.9971592150692714,1.9495826166582384,0.2637355332010642,0.33113901401518864,0.21544850790112305,0.2839765733996698,0.2069224785291453,0.48577183801622187,0.6544113670978728,0.11220893643801129,0.3898588834230728,0.08817124700425434,0.7741380940024434,0.1185434570745105,0.20452799493876814,0.4482116103172302,0.38657072006177157,0.2530840540027499,0.11389601892395189,0.007382067667865443,1.9734745403984562,0.011327258316607195,0.005963315691729137
