round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auprc,fed_prevalence,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_brier,fed_ece,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6880454487635114,0.12020930116662945,3.66096,3.66096,1.0,1.8802768536065904,0.21540746095459168,0.11413282971356625,0.6464854308839455,0.28336733425929556,0.5018154789300546,0.23464654782389616,0.3705797211756901,0.25980076091752613,0.6541492202096973,0.20788327601692064,1.825202302775164,0.269998884302131,0.2757636990372043,0.5038573741912842,0.3705544917298117,0.23476293249380425,0.11389601892395189,0.024953444691868918,2.7178130409374717,0.022307926292616888,0.02683462615602361,0.011206921086929916
2.0,0.6629709417069493,0.2176862585974905,7.32192,7.32192,1.0,1.9241968389009851,0.22035887276944324,0.11413282971356625,0.6517422623163521,0.2840815220959175,0.5036819881056328,0.21997135804358403,0.3478913635400094,0.2629925513518593,0.6600112824590942,0.21351308491941434,1.8746316766521625,0.2768566886213945,0.2814515109369073,0.5160624384880066,0.3483999423216584,0.22017526909307916,0.11389601892395189,0.015544282180410703,1.8147672742561554,0.015559918647966714,0.015628032890226,0.005561296386196925
3.0,0.6490325147710718,0.3685460860581643,10.98288,10.98288,1.0,1.9595944075527536,0.2247115217144614,0.11413282971356625,0.6553490434063375,0.28721253681479597,0.5045916637122575,0.21725442881612614,0.34239041928247643,0.2629833526468475,0.6602634887907545,0.2169406855840431,1.9047257984398376,0.27453971020808365,0.2794012829650749,0.5401455760002136,0.34255920835632436,0.21746353034487706,0.11389601892395189,0.012481689296650654,1.5568026363271201,0.012893286108858953,0.012266735055010749,0.005121258802671022
4.0,0.6447300680296721,0.3312123540534146,14.64384,14.64384,1.0,1.9927892977253039,0.22868068262819566,0.11413282971356625,0.6580088032078222,0.28982547371232903,0.5075271852312127,0.21423302941566422,0.33651322932749156,0.2684642565284217,0.6622411945391412,0.22000373773238777,1.9316192068072524,0.27927509293680297,0.2813127930341594,0.5234352350234985,0.3368384302242922,0.21460429523084112,0.11389601892395189,0.009566946582779364,1.272317375800867,0.01022998742894995,0.0091442061602311,0.004250947301232771
5.0,0.6432251963664897,0.35292541353997997,18.3048,18.3048,1.0,2.0225869700860977,0.2322490457153119,0.11413282971356625,0.660435460336015,0.2911310730075384,0.5308169800679113,0.22960246807678358,0.36055444829824934,0.2652973991739931,0.6625059503225434,0.221807427068724,1.9474554875954384,0.2769007062733693,0.28286948176583493,0.5258522629737854,0.36051621952272406,0.22984994764287772,0.11389601892395189,0.008969203891844723,1.264587928414585,0.009440173986390759,0.008665007907078625,0.003820012720877079
6.0,0.6435541202683192,0.402611883666476,21.96576,21.96576,1.0,2.0340164970173484,0.23385579780100174,0.11413282971356625,0.6625983014921744,0.29560474693710564,0.5313032126028957,0.2182638998719427,0.34439363123055783,0.26864089472579905,0.6647677380100154,0.22289131596815198,1.9569719650778663,0.281638288080994,0.2866441030981515,0.521672785282135,0.34423491265985684,0.21856755528114744,0.11389601892395189,0.008146753983765645,1.2184291308885804,0.007929983221440454,0.008333815813848759,0.004869041153758717
7.0,0.6422265296671543,0.3722607587432407,25.62672,25.62672,1.0,2.062128495448356,0.23717821778827394,0.11413282971356625,0.6661655606491205,0.29692349308055765,0.5107396587190067,0.21933162950761653,0.348380658448887,0.27195060927395087,0.6652001293697881,0.22490591697876225,1.9746600373181737,0.28427111476565253,0.2853063652587745,0.5016335844993591,0.3483840201050606,0.21984086375178982,0.11389601892395189,0.00808246740401458,1.2811275226222278,0.00758831898323006,0.008490260456719214,0.004712070006247602
8.0,0.6433958132982208,0.37168813460173794,29.28768,29.28768,1.0,2.0864661055772196,0.2395406782340759,0.11413282971356625,0.6674872384127322,0.2975524271856211,0.5166009267640257,0.22136533611973863,0.3510631841479287,0.27456205264182854,0.6637841245319243,0.22459137946503507,1.9718984174064436,0.28116458704694,0.2841959334565619,0.49620580673217773,0.35095371765899364,0.22214498822788065,0.11389601892395189,0.008280112290035772,1.3934992811391567,0.0070426970719866385,0.009298405677403686,0.004928295861702004
9.0,0.6449792200307349,0.3957589031233792,32.94864,32.94864,1.0,2.107022054729926,0.2418796192378748,0.11413282971356625,0.6692448618228953,0.30167955784487915,0.5271388881830139,0.2137585128063876,0.339105591923702,0.2770597209202581,0.6635730804019779,0.22584081847522303,1.9828684146196227,0.2807102307041913,0.2812538114404196,0.5015457272529602,0.3389276615014235,0.21462052253994818,0.11389601892395189,0.008316117020123344,1.4851445290933043,0.006963935644545698,0.009452438286426721,0.006414341249811482
10.0,0.6373224481567046,0.4201303276854801,36.6096,36.6096,1.0,2.120757690402215,0.24386963667140168,0.11413282971356625,0.6709769493773657,0.29778500298503463,0.5249527218527941,0.20050590082608785,0.3165641588363815,0.28230429058978573,0.6630438072747565,0.22598397772914736,1.9841253440125624,0.27993779160186627,0.2822469660953334,0.49312344193458557,0.3161635911375745,0.20157066736895074,0.11389601892395189,0.0082569807659364,1.5707547068650456,0.006682764830998604,0.00961784995996553,0.005206254568518514
11.0,0.6414045338591484,0.4891359972629802,40.27056,40.27056,1.0,2.152357857989807,0.24736175406949967,0.11413282971356625,0.6751180034565682,0.30425466930218725,0.5120657342895608,0.21072914257051018,0.3344325516371747,0.27762789498936313,0.6631811233757182,0.2266026899554771,1.989557599083241,0.2785024154589372,0.28107831864060306,0.5086072087287903,0.33416921961402923,0.21203790992101712,0.11389601892395189,0.007976935008034826,1.6129360816576082,0.006307934575734107,0.009448151562345698,0.004989266414982902
12.0,0.641955163571095,0.5376720491685034,43.93152,43.93152,1.0,2.1612581243745406,0.24844823890554935,0.11413282971356625,0.6759146182029268,0.30279433363624064,0.5349458158260102,0.21645959657632827,0.3419290797643628,0.2768749203924019,0.6619693859638599,0.22573736187640875,1.9819600720823531,0.27755555555555556,0.2810214294880021,0.5238518118858337,0.34166940191486084,0.21797080242854885,0.11389601892395189,0.007477311869697036,1.6096179897449474,0.005760262702504411,0.009025722944775714,0.004411258740007508
13.0,0.6377913412369351,0.5346067052126472,47.59248,47.59248,1.0,2.1705183612769097,0.24982563792211296,0.11413282971356625,0.6773976743653092,0.3052422812672415,0.5533401496893661,0.2143104272229918,0.33797197443511373,0.2785576396622409,0.661627739689634,0.22695089685204076,1.9926148340933263,0.27735254389914454,0.2799113737075332,0.5183547139167786,0.3376338916428407,0.21600228361231902,0.11389601892395189,0.007099807776506094,1.6180771014533093,0.005270934587529362,0.008781893102503038,0.004888551255692715
14.0,0.6354915689472229,0.6343616584963828,51.25344,51.25344,1.0,2.2152954202136605,0.2544314349724273,0.11413282971356625,0.6800945079199243,0.30785942357592655,0.5876508196363818,0.22090971687047603,0.3481224233792906,0.2765995664034478,0.6604663130298095,0.22712945295730186,1.9941825456511846,0.2740269226755713,0.28007608178792204,0.5262407064437866,0.3479887254184041,0.22306675203283255,0.11389601892395189,0.006713191082606447,1.6204750935467018,0.005243593322166247,0.008088460555962762,0.003901450114966726
15.0,0.6389390502043677,0.7528545869504636,54.9144,54.9144,1.0,2.2344876250608463,0.2569929179898734,0.11413282971356625,0.6836393344473023,0.31140409695349636,0.572005437134871,0.22102858433958048,0.35098378684232173,0.2830524849465933,0.6597702827878396,0.22608665981061304,1.9850268863354266,0.27680140597539543,0.2825505918289423,0.5227512121200562,0.3507295707684589,0.22344828161252875,0.11389601892395189,0.006621603324614091,1.6899765374710114,0.00493199445925922,0.008230665457450503,0.004284137370785585
16.0,0.6348708988271534,0.6542623864611691,58.57536,58.57536,1.0,2.2459369237813256,0.2582902829434147,0.11413282971356625,0.6852626679698477,0.3131290118263384,0.5762969964586941,0.2122212873938007,0.33668648369415666,0.2858639965408529,0.6595581594050436,0.22608500314765034,1.9850123409371032,0.2758165621906961,0.28175403225806456,0.5216348767280579,0.33646313245506904,0.2149709587916512,0.11389601892395189,0.006368068979832869,1.7214392156347458,0.004545009903227668,0.008132802736729198,0.0035866087104220587
17.0,0.6333920497203251,0.7295570186850875,62.23632,62.23632,1.0,2.2665758956045012,0.26056968420503585,0.11413282971356625,0.6872482909876956,0.31494573194669434,0.5902053497893501,0.22714155024026442,0.35892851235926027,0.27847615462726405,0.658770342473032,0.22667550078796295,1.9901968736880404,0.27275440167114295,0.2807101155725009,0.531651496887207,0.35877878932748525,0.2300793802333141,0.11389601892395189,0.006022196896799275,1.7191151609536064,0.004126076912923125,0.007872563181417595,0.003937386152098905
18.0,0.6387450357403984,0.8972403988511808,65.89728,65.89728,1.0,2.3041225404690984,0.26515500091511407,0.11413282971356625,0.6894108892294306,0.3191162637002835,0.5767342017099923,0.2146595189960875,0.3413988423084346,0.2848688611517099,0.6569134126482109,0.22564351577646452,1.9811361091306112,0.2741970723181123,0.27887039838628336,0.5252215266227722,0.3409940631633343,0.21783669352676227,0.11389601892395189,0.006123933934967459,1.837786387705819,0.0038341512993142163,0.008388447243528267,0.005025334014413394
19.0,0.6399132238261354,0.8412443688950499,69.55824,69.55824,1.0,2.3101413224288323,0.265998761967996,0.11413282971356625,0.6911894255379789,0.31386850231958036,0.5847366809920015,0.2136070958121838,0.3385815858574766,0.28521713508354024,0.6568369739376501,0.22550385179497856,1.9799098680134462,0.2753433616742969,0.2797696937974352,0.5306056141853333,0.3382225667429606,0.2171501455906085,0.11389601892395189,0.00549433210174459,1.7292496525478782,0.003572665976132203,0.0074124079185507235,0.004968212591493647
20.0,0.6450076137981364,1.039121901789565,73.2192,73.2192,1.0,2.3210821504982975,0.26721651344706854,0.11413282971356625,0.6906671460148163,0.3188218219795957,0.5829731257749046,0.21130376753859406,0.33436076215136806,0.2841851031470469,0.6573626328227699,0.22481938404607343,1.9739002835225068,0.2753178430512933,0.28133132447609915,0.5395806431770325,0.33468271887110895,0.2155029883047682,0.11389601892395189,0.005723328379582748,1.8866351864071476,0.0033575750678375774,0.008110329758550344,0.005718636995629575
21.0,0.6424056065774212,1.2869239833340997,76.88016,76.88016,1.0,2.3425863329613104,0.269500171542616,0.11413282971356625,0.6929963804788685,0.3227460180346389,0.6023699924410759,0.22033267599425022,0.3479210835639687,0.2839914309559358,0.6558529212287479,0.22500564590824323,1.9755356511493083,0.2732893220161375,0.27838079427914697,0.539896547794342,0.3482295946643259,0.2248474846957598,0.11389601892395189,0.004843974381170482,1.6729222768681211,0.00311474317596536,0.0066004402498187655,0.004490162358143384
22.0,0.6422722408318857,0.9491522695478226,80.54112,80.54112,1.0,2.3612942912198642,0.2717188250722036,0.11413282971356625,0.6946743966129282,0.3247282734969461,0.5969460924804155,0.22462496791687275,0.354965455841354,0.281557719093876,0.6547178609670337,0.223594122160483,1.9631425599675814,0.27181276945185795,0.2771595732476769,0.5220706462860107,0.35504109913491605,0.22942149381557145,0.11389601892395189,0.0047052352304614384,1.6934096059212607,0.0029447166118144116,0.0065222550317573244,0.004519409774317564
23.0,0.6414571649323787,1.0561423323148973,84.20208,84.20208,1.0,2.3783331077249934,0.27374275928412456,0.11413282971356625,0.6960904072429986,0.32456771388514155,0.5687130012732089,0.21042212652641143,0.33548479367001816,0.28594979814795257,0.6530925312741123,0.2213800584027602,1.9437032171473452,0.2754004827737547,0.27776462230641724,0.5129116177558899,0.3356718047132446,0.21526804940358044,0.11389601892395189,0.004366220593441023,1.6437447000307657,0.00273533789562194,0.006067969941962181,0.0037812259016595435
24.0,0.6376459001709309,1.0254654506423653,87.86304,87.86304,1.0,2.3921275124276877,0.27559483016204134,0.11413282971356625,0.6977666456378175,0.3269262368737846,0.5736343635059131,0.2136848204440086,0.3394984106826668,0.2851351198888963,0.6527582891764142,0.2241850128129664,1.9683305433410647,0.272264631043257,0.27636880777435413,0.5187146663665771,0.33944736469464926,0.21886131979314585,0.11389601892395189,0.004291116628753815,1.685880758190251,0.002670839235904804,0.005993375226490811,0.003949522692013936
25.0,0.6458978877504586,1.3818540901361605,91.524,91.524,1.0,2.4040179347226376,0.27676931133951305,0.11413282971356625,0.6982408721580435,0.32869055720985263,0.5623967037041082,0.20013548866835695,0.3140440453535873,0.2885494792401039,0.6488998598427032,0.22225155479785802,1.9513549015813703,0.2697914330567392,0.2749909779862865,0.5140330195426941,0.3145269764550324,0.2065624550830479,0.11389601892395189,0.00422239562977171,1.7252612271013277,0.00254589390156224,0.005996498227396361,0.00380644768697614
26.0,0.6529029069500375,1.6830925203262062,95.18496,95.18496,1.0,2.4289759467872716,0.27988640004867155,0.11413282971356625,0.7016479105956399,0.32930122200518674,0.5845594242360558,0.21534400494235376,0.3409923450577638,0.284869885880248,0.6507759652297862,0.22369611889204793,1.964038084960716,0.2668409410818419,0.2760677966101695,0.5464630722999573,0.3416594695936285,0.22108851111959354,0.11389601892395189,0.004057249779866,1.7196560678730748,0.002464842240377099,0.005753001953491109,0.0033952698299415823
27.0,0.6414678428229739,1.2008428692756055,98.84592,98.84592,1.0,2.4620081555932236,0.2836905358763153,0.11413282971356625,0.7028388109259073,0.33125321180589246,0.5749233804880015,0.20498757951697338,0.323229312372504,0.2874370044555917,0.6491873301337586,0.22388727721736965,1.9657164432310725,0.2717617431293113,0.2756653992395437,0.5164242386817932,0.32327255996837745,0.21155904965565175,0.11389601892395189,0.003890577848957661,1.7130296123023072,0.0024159894838635893,0.005467232609517448,0.0040700197777988195
28.0,0.6571685632362334,2.4069636234936924,102.50688,102.50688,1.0,2.46464516973163,0.28406814737736097,0.11413282971356625,0.7023618260216297,0.3307770516753159,0.5781062511047703,0.20284724987443073,0.32119063815282406,0.2941640513444109,0.6485834505159306,0.221400411693773,1.9438819177832858,0.2718936267767079,0.2743921692453426,0.5610702037811279,0.32105336394560174,0.20948627561812663,0.11389601892395189,0.003664221253476729,1.6752728770143221,0.0022122998792367355,0.005220511019483406,0.003589931146089502
29.0,0.6500372941658485,1.7297906451637242,106.16784,106.16784,1.0,2.4782859549832215,0.28554101499066525,0.11413282971356625,0.7040070531649965,0.3335390592376357,0.5687080367147302,0.20574858022250625,0.32599706505969794,0.292214783878209,0.6473348804632092,0.21905730475632612,1.9233095838283003,0.271279016841147,0.2750266240681576,0.5295060276985168,0.32606030062414426,0.21285707665922216,0.11389601892395189,0.003501941466552193,1.6588382998597808,0.002020336274994445,0.00509111096617772,0.005358338307591245
30.0,0.6582482510341056,3.0974957411354174,109.8288,109.8288,1.0,2.4877026746903175,0.28678066836955596,0.11413282971356625,0.7060514681985348,0.3345721382560941,0.578223885559683,0.21056716278731116,0.33492818412161823,0.2939864359570817,0.6473768583792865,0.21949426484433454,1.927146066368574,0.2699319130243795,0.27144535840188017,0.5105947852134705,0.33505943576584674,0.2174497337399801,0.11389601892395189,0.0036387649149821387,1.7844723284770225,0.00200735028321672,0.00539955880945304,0.004796242085606018
31.0,0.6613804983171369,2.899027221102691,113.48976,113.48976,1.0,2.5133509979530153,0.28977855915898243,0.11413282971356625,0.7068622669484712,0.3394138189882324,0.5805450860231522,0.2025101343514942,0.3200695592057951,0.2939896326681944,0.6468516512744295,0.22060432436488767,1.936892320285441,0.27002496029044704,0.27331327889987106,0.542897641658783,0.32020205990012435,0.20994307193775857,0.11389601892395189,0.003314785564238609,1.6806614538027134,0.0018995043011767938,0.004851207847482532,0.004176674303633619
32.0,0.6542044156779095,1.9718669123637933,117.15072,117.15072,1.0,2.5384365201898977,0.2925719534901814,0.11413282971356625,0.7071658531838766,0.3392734859229767,0.5716940349627487,0.19742309622746335,0.31108515103201256,0.2947658566031932,0.6483347203824029,0.21993639316797392,1.9310279256979557,0.2718653709409813,0.2721708555801537,0.518927276134491,0.31128491204028425,0.20527003763718188,0.11389601892395189,0.0032331701697230126,1.690072235873231,0.0017953096117442656,0.004805128983291376,0.004021617217418354
