round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6975321966812073,0.3585433374630143,13.324544,13.324544,0.9971592150692714,0.2087489866135242,0.2681803521896352,0.38418023702160603,1.6805921370861763,0.11514535990859466,0.24748536360045043,0.192291303988371,0.5091529462684663,0.6162164084295528,0.523136357473442,0.12901309318628076,1.132726976808755,0.18972972972972973,0.2048042704626335,0.4980434477329254,0.383368988678844,0.24778243876505826,0.11389601892395189,0.007800380858090764,0.8423623275011778,0.006736515262691322,0.008503662445010348
2.0,0.6946712073276752,0.38296126797003055,20.5568,20.5568,0.5412350858791136,0.2564415768488289,0.28779241545506346,0.36260326298149287,1.9343165648660285,0.11514535990859466,0.2304339387354994,0.221795838542733,0.5185018679174628,0.6537497398725344,0.5730010643441011,0.14128565101522883,1.2404792753078133,0.16248153618906944,0.22585950348500272,0.4871044158935547,0.37223785092236805,0.2390741168026667,0.11389601892395189,0.005798678512684427,0.39926110923988745,,0.005798678512684427
3.0,0.6864356792517816,0.47229034943942205,27.789056,27.789056,0.5412350858791136,0.2668655285389199,0.29958159006002233,0.3538319232646729,2.0425871503516513,0.11514535990859466,0.2239180826304101,0.23407725201720006,0.522425343046882,0.6676769588945155,0.568388086674947,0.13775015122284978,1.2094378058536466,0.18709979697017023,0.22360018509949098,0.4909413456916809,0.37137323642834197,0.23828953996629035,0.11389601892395189,0.004134704349873155,0.3029805956175551,,0.004134704349873155
4.0,0.6840625550338945,0.5531339201977141,35.021312,35.021312,0.5412350858791136,0.2844944675286967,0.31175034975226895,0.34601928433220097,2.1857002798599243,0.11514535990859466,0.21865412498415213,0.24742823551680437,0.528680361240773,0.6821361052156948,0.583668926588669,0.14405378553024714,1.2647833250996379,0.19305819374892075,0.22997123180193532,0.48555731773376465,0.3664988398677935,0.2343868177776298,0.11389601892395189,0.0034220726060823076,0.26443003746680915,,0.0034220726060823076
5.0,0.6866435971802709,0.6012895196837591,41.1136,41.1136,0.4559241291901578,0.26476534350166087,0.28585173919320483,0.35693389342848797,2.005898098112902,0.11514535990859466,0.2276201023930599,0.2257466005040932,0.5199232537862657,0.656171523389571,0.5732189730241504,0.13559986548905997,1.1905584301379286,0.17771883289124668,0.22700557209373332,0.4796735942363739,0.36481318309902394,0.2333350705803133,0.11389601892395189,0.0047237759043510874,0.21589168172795326,0.0047237759043510874,
6.0,0.6817556279955848,0.653082188133448,48.345856,48.345856,0.5412350858791136,0.2777528087251471,0.3005015634794909,0.34047078299343814,2.1319225548983156,0.11514535990859466,0.2145443250150786,0.23932797094675523,0.5174910046053338,0.6699602379096182,0.5925849481173037,0.1429329417497303,1.2549423860474553,0.1808324589017139,0.23588437921222105,0.47282978892326355,0.3587101107890068,0.22856949556033865,0.11389601892395189,0.0025934536335739827,0.21211376204155385,,0.0025934536335739827
7.0,0.6771433738711392,0.75002791458439,55.578112,55.578112,0.5412350858791136,0.29073557841244957,0.31379929001454104,0.3393054945656637,2.274470457169994,0.11514535990859466,0.21301987060137945,0.25319195378026166,0.5176016083390363,0.6821683453595939,0.6008432277812333,0.14559016770062905,1.278272665507644,0.21431334622823983,0.23928571428571427,0.4784800112247467,0.3648142227739421,0.23282852691029307,0.11389601892395189,0.0023088266782964207,0.19639499497134238,,0.0023088266782964207
8.0,0.6629738830296056,0.7082323651727289,62.810368,62.810368,0.5412350858791136,0.29534641267022843,0.32581182653697766,0.356112542435086,2.34656236991783,0.11514535990859466,0.22405891219664967,0.2617185199765753,0.5389493713357567,0.6898049607264242,0.5924949434494096,0.1413786000297266,1.2412953619048332,0.208688906128782,0.23488747215607958,0.48183274269104004,0.36636078964572555,0.2341345849907986,0.11389601892395189,0.002889966803947096,0.2556537331547588,,0.002889966803947096
9.0,0.6590892417150438,0.654414668109092,70.042624,70.042624,0.5412350858791136,0.30202765291592837,0.3320966097718991,0.33506173553777374,2.4425255945234032,0.11514535990859466,0.2100613883213258,0.2730626536042034,0.5407395072435537,0.6981757459348598,0.5860279474282384,0.13991863475825325,1.2284769571417296,0.1839344262295082,0.23240072202166062,0.4746081233024597,0.3595107628094531,0.22924836030168863,0.11389601892395189,0.002707393255907098,0.2521222758514341,,0.002707393255907098
10.0,0.6754873789068179,0.8239006885677411,83.367168,83.367168,0.9971592150692714,0.2668016490421217,0.2926397370018987,0.3306102039574086,2.0708135841121655,0.11514535990859466,0.20962426473500465,0.232407237057451,0.503502415346285,0.6575994159040136,0.5975892553401305,0.1447572296174342,1.2709595206667257,0.19477286869943994,0.23653556255995617,0.4655825197696686,0.35684192759460676,0.22704518216558225,0.11389601892395189,0.0027056433989656216,0.3989126683154609,0.004023022199362175,0.002036572040710665
11.0,0.6650333932719394,0.7973271833372774,90.599424,90.599424,0.5412350858791136,0.281918098473271,0.30648687073927683,0.3401291297645348,2.2457562209495507,0.11514535990859466,0.21421556829733573,0.2507671317421167,0.5239349666950255,0.67686202263454,0.6005773425471743,0.14595815112409466,1.2815035372004582,0.19578032888613092,0.23869217799281578,0.4709806442260742,0.3561167294371679,0.22645443739477078,0.11389601892395189,0.0020431241748622864,0.20506297022802755,,0.0020431241748622864
12.0,0.6579749447278539,0.774822085607531,97.83168,97.83168,0.5412350858791136,0.29074336243538873,0.31864473726138337,0.3464877236226824,2.36407720502585,0.11514535990859466,0.21827217643973446,0.2631862038299845,0.5490476227440747,0.6866471897671609,0.5969054984619642,0.14269265765849587,1.2528327065915397,0.18959283131583085,0.23734357224118316,0.4686874747276306,0.35648394470198286,0.22678257302678997,0.11389601892395189,0.002267445200728785,0.2353055650019087,,0.002267445200728785
13.0,0.6482492296514617,0.7899723388505069,105.063936,105.063936,0.5412350858791136,0.3003365691092193,0.3324412033434718,0.33348141109455703,2.5104280443588918,0.11514535990859466,0.20964213262894002,0.2793001982266821,0.5638469615264244,0.6972304313805977,0.6011260296762407,0.14598535593955947,1.2817423937972192,0.17204732303990375,0.23822351656352386,0.4637307822704315,0.34906856770651995,0.22147389332754702,0.11389601892395189,0.002393506408098672,0.2586962734349072,,0.002393506408098672
14.0,0.6324060557651668,0.9609488637918875,112.296192,112.296192,0.5412350858791136,0.2968533527452464,0.33341285637951956,0.34375327880187717,2.597020022976224,0.11514535990859466,0.21703974094211181,0.28920369973674037,0.5758430389291337,0.7039403114630425,0.5921416261850635,0.142370726676173,1.2500061724829348,0.1786421754006843,0.23411140948839768,0.4625057876110077,0.35271562602824896,0.22423966751627603,0.11389601892395189,0.0023025474683477107,0.2613944203185383,,0.0023025474683477107
