round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_prevalence,fed_ece,fed_auprc_lift,fed_f1_best,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6899459820658163,0.08357036042602325,3.66096,3.66096,1.0,0.52210970359984,0.6487920094861711,0.2122236165747019,0.11468496254799516,0.3815373579160812,1.8775272491266153,0.28788166257253556,0.2632421466027896,0.24351210015347272,0.6498550488125985,0.20853696874900854,1.8309416845223379,0.25690430314707774,0.2677663540842843,0.5120452642440796,0.3814443481518054,0.2431941442715289,0.11389601892395189,0.025421089084083644,2.736276366907987,0.023171736466955115,0.027064005487172468,0.011370594956101113
2.0,0.6610132913552026,0.16636380243853047,7.32192,7.32192,1.0,0.531350130042353,0.6542094769936723,0.21808973200899293,0.11468496254799516,0.3446134441217571,1.926837341513903,0.295657072920014,0.27523770398720926,0.21842020240599025,0.6551252287200326,0.21316020075548636,1.8715333755239763,0.2696551724137931,0.27077625570776254,0.49916934967041016,0.3441224482317888,0.21766287105171278,0.11389601892395189,0.018179382208675793,2.1036221895119525,0.01690680729334137,0.019146716964421814,0.006115711376161998
3.0,0.647800407248843,0.3290345703105949,10.98288,10.98288,1.0,0.5426169226533809,0.6605776592597528,0.22611020307629023,0.11468496254799516,0.3519247400430117,1.9999533270751535,0.30288688677675346,0.2763202652813379,0.22310179358801266,0.6584717784666367,0.2156968712694559,1.8938051857060623,0.2688207495329157,0.27405032067094226,0.5131189823150635,0.351026379486576,0.22241235293896403,0.11389601892395189,0.012595065696443742,1.5768098084408848,0.01287770576126034,0.012473017164805679,0.004772994636895129
4.0,0.6472362712000402,0.3195602516189099,14.64384,14.64384,1.0,0.5456754834711074,0.6612895316739403,0.229573836632563,0.11468496254799516,0.3423693390925294,2.028881783932294,0.3043517145493992,0.2779707476988903,0.21808805865998335,0.6587039433238648,0.21489784991155447,1.8867898276149693,0.27117494063100755,0.2726317019039832,0.5050942897796631,0.3412711362933482,0.21741946669758763,0.11389601892395189,0.010162888732171688,1.3547665973401308,0.00989100846920001,0.010405942606899438,0.0042098700485403056
5.0,0.6432359129272458,0.3321108341247125,18.3048,18.3048,1.0,0.5456060323187258,0.6613776904648957,0.22976678123572003,0.11468496254799516,0.3435801488660449,2.0306744333083464,0.30456796246786777,0.2779631304946337,0.21874376230665263,0.658718287347206,0.2148649946889908,1.8865013607934416,0.27184902269153,0.2726578411405295,0.51902174949646,0.34242552507370055,0.21809037096850484,0.11389601892395189,0.009606777190436193,1.3587723944037862,0.009167632899509783,0.00997193151801478,0.004539183397713424
6.0,0.6414079227643439,0.3325760557697943,21.29488,21.29488,0.8167475197762336,0.5511001455327624,0.6641736972872656,0.2345848271842685,0.11468496254799516,0.327159468052918,2.0750144692843846,0.30610587428881375,0.2817186590438557,0.2092199629215128,0.6592772399277974,0.21473614380012043,1.8853700579604917,0.27221259387637203,0.2742757677483526,0.5119481682777405,0.33657739575483747,0.21416112641305862,0.11389601892395189,0.008735744021000616,0.9962614222895354,0.008212512005107864,0.009313005463497039,
7.0,0.639047550973655,0.34843671146292887,21.31536,21.31536,0.005594161094357764,0.5870752283082686,0.6765301029485825,0.24766953778628575,0.11468496254799516,0.367658352572547,2.200940563698315,0.3175492128794088,0.2843453754324161,0.23545773277628287,0.6593659896505173,0.2147952490783645,1.8858889986469396,0.2709270927092709,0.27486437613019893,0.5220319032669067,0.3403943495327984,0.2166349294810456,0.11389601892395189,0.010350012323806647,0.006617064122110605,0.010584774087160471,0.010137878186991694,
8.0,0.6419704959902215,0.36667811545133966,24.97632,24.97632,1.0,0.547896266696421,0.6658115427605378,0.2371112995605843,0.11468496254799516,0.33032477787054676,2.0927802097979766,0.3058027302241134,0.2779190509726394,0.21060346636689645,0.6588085806524901,0.21386553947761056,1.877726205868601,0.2709144542772861,0.2735915992620973,0.5338869690895081,0.3292501400504651,0.21045490467270936,0.11389601892395189,0.008463313449296555,1.2525999215959018,0.007621779561360855,0.009144749074094969,0.0043149592466675355
9.0,0.6452766107202071,0.4079469193784389,24.9968,24.9968,0.005594161094357764,0.5564489581496087,0.6781150454025685,0.24987359124350084,0.11468496254799516,0.3550211473293013,2.219970385545513,0.31957720741387075,0.2895914789355418,0.2244258880827502,0.6589734929978326,0.21400450161889328,1.878946284872201,0.27155963302752295,0.2728967317012551,0.5134425163269043,0.3332365672740832,0.21295617880056625,0.11389601892395189,0.010499938373955346,0.007075551198795438,0.01153903780647867,0.009528215119795985,
10.0,0.6389804174524777,0.36681550203912733,27.98688,27.98688,0.8167475197762336,0.546736814267851,0.6690121636885219,0.24245082313834462,0.11468496254799516,0.34825222156301733,2.145168777470233,0.3131263411959049,0.28254339412879,0.22030911131230124,0.6598861142274189,0.2148415460989343,1.8862954836233874,0.2742212411086583,0.27699305721809914,0.49571657180786133,0.3360956553421321,0.2130359626618361,0.11389601892395189,0.009299354930371304,1.19883549422957,0.007876578687660056,0.01095764749587135,
11.0,0.637903884141929,0.36638659770453974,28.00736,28.00736,0.005594161094357764,0.5555602856266,0.6804033177042504,0.25367468807727217,0.11468496254799516,0.3546792864311767,2.252395140022995,0.32011391119038357,0.29081251207249054,0.22596686711738853,0.65993150559437,0.21475644784787806,1.8855483262436983,0.27485380116959063,0.27612382872731583,0.49512773752212524,0.3370492790640376,0.21374813522439656,0.11389601892395189,0.010117514453342184,0.007444898597896099,0.011171018864668068,0.00905692114631842,
