round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_ece,fed_brier,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_f1,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6901480927230491,0.11104656141123441,3.66096,3.66096,1.0,1.7558591828342487,0.35234682371113957,0.22284690113750474,0.280009496185772,0.6442679368031116,0.4929812619348187,0.20030105090659128,0.26288470615690496,0.1148036253776435,0.6448927822531075,0.203539250836576,1.7870620304339058,0.25719579987646696,0.2590506838294449,0.5070725083351135,0.3538621408652332,0.22312523929218844,0.11389601892395189,0.007832731614594189,0.849130230531955,0.006164448041373556,0.008904451780286027,0.013874257709800266
2.0,0.6669794633697798,0.29013628642730305,7.32192,7.32192,1.0,1.79564932591445,0.3489381788544214,0.22171991328843288,0.28518768659535354,0.6520841424584207,0.5060542648074791,0.20474866670110292,0.2698238602921261,0.1148036253776435,0.651935132988297,0.20771925109390574,1.823762174098459,0.2613154960981048,0.26298060169589965,0.5064494013786316,0.3502630737374249,0.22225555841166622,0.11389601892395189,0.005649418351605526,0.6229878095791719,0.005291882801288731,0.005918207055807113,0.003338680329524732
3.0,0.6571128862912363,0.29660075584437284,10.98288,10.98288,1.0,1.813069207848176,0.3409394314034287,0.21628333684115203,0.28791577573570676,0.6544212071241126,0.5077250221817334,0.2069420287911638,0.27149163443556984,0.1148036253776435,0.6548818697518507,0.210006031972568,1.843839968741915,0.263487191594853,0.2664214398318444,0.5176681876182556,0.3421984011270517,0.21672804517882063,0.11389601892395189,0.004507270936106398,0.5021372214523581,0.0044556426363187365,0.004558051213718199,0.003190237180135146
4.0,0.6528916904734039,0.28109568479057334,14.64384,14.64384,1.0,1.8416922499505923,0.35878038131477163,0.2288592850432635,0.290550456272401,0.6592870093921503,0.5296085357500948,0.2101786203892688,0.26879021993102437,0.1148036253776435,0.6588991123973573,0.21298103422576153,1.8699603044770905,0.2668422652213555,0.2731718955028033,0.5247475504875183,0.3601913104027193,0.22937468876655673,0.11389601892395189,0.003958267327360666,0.4441032667600666,0.0042113179650622385,0.003800665117266589,0.00275487856506449
5.0,0.6487984579178879,0.2901544034454806,18.3048,18.3048,1.0,1.8752503481044764,0.3581950892267556,0.22837113835476425,0.29016252888532745,0.6616744930491892,0.545058664804829,0.21381469911267384,0.2711591186489884,0.1148036253776435,0.6601704597049906,0.2141011193319923,1.8797945824159765,0.2686717803794913,0.2749971234610517,0.5219558477401733,0.35947427422076733,0.22900013721217016,0.11389601892395189,0.0035701833013339975,0.40371133990083763,0.0038730202842147243,0.003371279813151185,0.0029120995626669617
6.0,0.6479659942656557,0.3218156351132108,21.96576,21.96576,1.0,1.899687590606041,0.35861009651418,0.2282937130100047,0.29187906589243995,0.6641747758849537,0.5291937369166726,0.21618636867522775,0.274947313106369,0.1148036253776435,0.6612773213486404,0.21539764043654241,1.891177957504932,0.2668813525208816,0.2757158006362672,0.5646929144859314,0.3599094198416245,0.2290700358499155,0.11389601892395189,0.00351376768736336,0.39990677543846687,0.0037481637919087266,0.003356484184430211,0.0031979669774741194
7.0,0.6478836402046637,0.28202466126560904,25.62672,25.62672,1.0,1.9244462352539076,0.33507936671263683,0.2128143991217619,0.29506903490590997,0.6661280679475365,0.5217787629764337,0.21932206341880803,0.2763576822097933,0.1148036253776435,0.6614235726592423,0.2163994837726795,1.8999740800173968,0.2737306843267108,0.2773358290438309,0.5586519241333008,0.33627601551736,0.2137663312331354,0.11389601892395189,0.0033405796473255298,0.3832791720105888,0.0036947625827988134,0.0031001716484372575,0.0029339403387944746
8.0,0.6531482475517469,0.3735319155653798,29.28768,29.28768,1.0,1.9422644247629586,0.357824518181166,0.22834913924458117,0.2968434150784825,0.6671688469518547,0.5581106294025286,0.22121426046335033,0.2772817459193966,0.1148036253776435,0.6605456632131746,0.21606147237873713,1.8970063608895837,0.26964715316760224,0.27547869054972207,0.5789608359336853,0.35897912080481487,0.22943429736448634,0.11389601892395189,0.003293047512283105,0.3812987115861688,0.0036367285568521105,0.003059523435009571,0.0027649404968685515
9.0,0.650421533237859,0.322860788658482,32.94864,32.94864,1.0,1.9586495148671683,0.3428093085012962,0.2172553788840397,0.29721712140880197,0.6685349346274312,0.5208241712031859,0.22341547465969194,0.2801398491377113,0.1148036253776435,0.6624444580090074,0.2172091772187656,1.9070831383825246,0.2735827918440511,0.27846572032618544,0.5544993281364441,0.3438808614801248,0.21821114157276417,0.11389601892395189,0.003149330619391495,0.3671007355760594,0.003601589114435029,0.002831501172464815,0.0031031907258635364
10.0,0.6442448748260323,0.3255062261680257,36.6096,36.6096,1.0,1.9616779733483205,0.33674565506845805,0.21367049339629762,0.2973918366256929,0.6698757426717463,0.519294842355486,0.22396978593170763,0.28016589383550783,0.1148036253776435,0.6640457304029393,0.2192514751626071,1.9250143879831376,0.27676908752327745,0.2802998161504738,0.5404972434043884,0.3377741140978248,0.21467802826810337,0.11389601892395189,0.003148445710993788,0.3701716554151062,0.0035593606929431084,0.0028594728654869105,0.002899904254410595
