round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_brier,fed_prevalence,fed_auroc,fed_auprc,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6898027847061987,0.0964046307832484,3.65056,3.65056,0.9971592150692714,0.42421917567791184,0.5149364096172057,0.18527695379679188,1.1909713037680096,0.27892535627959414,0.109663204280768,0.5187070993809004,0.12911419865522947,0.2102548263888308,0.46603744384936063,0.10668081654058814,0.9366509694409835,0.07155529272619751,0.2045002711006687,0.2547904849052429,0.3377407559439427,0.2167033589454867,0.11389601892395189,0.02705722634348975,2.911755073349923,0.022929664988228377,0.029782911295918722
2.0,0.6970920528653696,0.9355630653940399,5.632,5.632,0.5412350858791136,0.43077684834313384,0.5611416866109926,0.21268733910850945,1.6246834335582547,0.28141572013983496,0.109663204280768,0.6163973282406118,0.1751295536421366,0.26082049246428496,0.42553421384637236,0.09432371574167236,0.828156388895841,0.17181069958847736,0.2045002711006687,0.12832431495189667,0.4107315129007473,0.27600574846893,0.11389601892395189,0.008498810095701534,2.6198437947314233,,0.008498810095701534
3.0,0.7006655043276703,1.8657540032108788,7.61344,7.61344,0.5412350858791136,0.4004143017247146,0.5478185227411064,0.23790944533190972,1.7721359943835022,0.2557514293379141,0.109663204280768,0.6403932776515967,0.18980485201238553,0.27782256462494775,0.4584792729992171,0.10448261043391968,0.9173508558159744,0.14898989898989898,0.2045002711006687,0.11031530052423477,0.3609139087657617,0.23635209730380063,0.11389601892395189,0.003293853072656883,1.8386796270497143,,0.003293853072656883
4.0,0.7079671941981402,2.6544558678454644,9.59488,9.59488,0.5412350858791136,0.3654615364463393,0.5129560192107103,0.2529411572413671,1.8372062464933563,0.22894142657924285,0.109663204280768,0.6454982919181547,0.19593619293497266,0.28031186323111523,0.4732232724663171,0.1098209089694934,0.9642207867056404,0.13216821409066085,0.2045002711006687,0.06409485638141632,0.3263749848051714,0.21244576712724333,0.11389601892395189,0.001843818123155419,1.4903914778260514,,0.001843818123155419
5.0,0.7144540288413724,3.7122232602443184,11.264,11.264,0.4559241291901578,0.34204708158894837,0.478203216102238,0.23965598940737196,1.7518740643090929,0.2131197500970442,0.109663204280768,0.6323427231626322,0.19005722154185054,0.2625045613811255,0.4630940828883256,0.10304357576690851,0.9047162204651812,0.15105675356721382,0.2045002711006687,0.11374656856060028,0.34895102809849327,0.2382881986730809,0.11389601892395189,0.0030650881576773405,0.7692193472757936,0.0030650881576773405,
6.0,0.7252106592041494,6.470544397670461,13.24544,13.24544,0.5412350858791136,0.37275926523745473,0.5125294839150132,0.2527477389996123,1.7842607114876645,0.2351640757090356,0.109663204280768,0.6376528598178697,0.19457938370778993,0.27070618908948013,0.45954320296845735,0.10209397884036263,0.8963788181967145,0.14218444929367177,0.20455572629485672,0.03857965022325516,0.3311083259415715,0.22871986864008778,0.11389601892395189,0.0015984113264355703,1.6796758088748902,,0.0015984113264355703
7.0,0.7199707399048452,5.318743287296226,15.22688,15.22688,0.5412350858791136,0.3639159455465087,0.5207899510222559,0.25292133781324777,1.839609974971784,0.22781073629027562,0.109663204280768,0.6513704978307968,0.19994095166786072,0.2783335344505099,0.45289662429285715,0.10407520972388266,0.9137739027856052,0.16177622986504137,0.2045947901591896,0.05335719883441925,0.37784365009082416,0.26309480273028946,0.11389601892395189,0.0009646513885854703,1.255376949440688,,0.0009646513885854703
8.0,0.7164481151766935,6.462501031094996,17.20832,17.20832,0.5412350858791136,0.3652035132524238,0.5257450951301418,0.26101441488517413,1.8985501856716187,0.22961355367173047,0.109663204280768,0.6603268813262527,0.2053087272523138,0.2894524373747273,0.4534734598421811,0.10339417017129729,0.9077944176462686,0.15557729941291584,0.20453723788864786,0.07026048004627228,0.36604095470484416,0.24860468756129345,0.11389601892395189,0.0006969017089801889,1.0761361608747393,,0.0006969017089801889
9.0,0.7083522780549828,7.749173539786442,19.18976,19.18976,0.5412350858791136,0.3567553208206936,0.5167901921504918,0.27019153688483105,1.9047719569418438,0.22273215145579386,0.109663204280768,0.6620816647988128,0.2061026848737895,0.2897958863278397,0.46486483562803405,0.10730112767337575,0.9420972628114462,0.16108311097934577,0.20454648167397296,0.029053768143057823,0.35399155474351196,0.24343284643544594,0.11389601892395189,0.0005663230795190364,1.0153944982448593,,0.0005663230795190364
10.0,0.7319481331131138,9.4435438517066,22.84032,22.84032,0.9971592150692714,0.39392684799697286,0.5246253741342839,0.23151207948951766,1.7110162753743847,0.2518359710054243,0.109663204280768,0.6164796535670809,0.1816727582721143,0.24893955248343086,0.4582795484747421,0.10859000863902038,0.953413557953467,0.1630714427073026,0.2045002711006687,0.0017240216257050633,0.3541660283227516,0.24856841478085348,0.11389601892395189,0.0007956959004963995,1.985963043058291,0.001424803107035656,0.0006542091299855527
11.0,0.7729949380534913,14.729885181677474,24.82176,24.82176,0.5412350858791136,0.358878700499419,0.5025339311835975,0.2541095259565332,1.8785182915021494,0.2248590769050425,0.109663204280768,0.6442053689031403,0.20058015952352165,0.27541189480492484,0.4727326767493647,0.11372206828541745,0.9984727241550858,0.17441163885323063,0.2045002711006687,0.0006140826735645533,0.3853111427899428,0.2703130094577362,0.11389601892395189,0.0006544391018324327,1.503811805974692,,0.0006544391018324327
12.0,0.746359194378506,14.097116754350054,26.8032,26.8032,0.5412350858791136,0.35980688141301853,0.5090980151632427,0.25299374863165597,1.8919605829102675,0.22470031173687016,0.109663204280768,0.6474997757092722,0.20345407305163485,0.27754707700379516,0.4613455175792971,0.10977083561897408,0.9637811457858576,0.16374269005847952,0.2045002711006687,0.00015730810991954058,0.35897593723268684,0.2576256869211811,0.11389601892395189,0.000477846095942592,1.2094730294775218,,0.000477846095942592
13.0,0.7285926531477797,14.676521644424792,28.78464,28.78464,0.5412350858791136,0.35724018728738693,0.5092862111838464,0.26052910691885567,1.9816857442322702,0.2228105058470033,0.109663204280768,0.6618692565551336,0.21095011550568907,0.28479290568193877,0.43861613882585015,0.10023745910919468,0.8800786898102471,0.16052547260493433,0.2045002711006687,8.337766303156968e-06,0.40453516957719166,0.309342980693241,0.11389601892395189,0.00036891388094470023,1.02700961031951,,0.00036891388094470023
14.0,0.7176461063281576,16.67064125147411,30.76608,30.76608,0.5412350858791136,0.3375924941676478,0.48956268647574847,0.2607282234328966,1.9750951896707092,0.21035470606698464,0.109663204280768,0.6630451143489852,0.21224115882682185,0.28769697241359565,0.4294311699969315,0.0959177610431104,0.842152008027203,0.16293017278309296,0.2045002711006687,2.6948733648168854e-05,0.45053306975482044,0.35436653660351075,0.11389601892395189,0.0003415615059566538,1.0344639424001798,,0.0003415615059566538
