round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_ece,fed_auprc,fed_f1,fed_brier,fed_prevalence,fed_auprc_lift,fed_auroc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6871585412780077,0.11336973680542681,3.66096,3.66096,1.0,0.29590304414737695,0.3563158391784475,0.21674215296139265,0.27186728668280546,0.22414876059496147,0.11423716012084593,1.9112273351982703,0.6588177148173353,0.5164421294653584,0.664531883613975,0.2138662476238791,1.8777324233490293,0.27806709458641155,0.2785892411827574,0.4982832670211792,0.356051760270867,0.2236949090892489,0.11389601892395189,0.024470710286714926,2.6439986938603397,0.022046488735061365,0.026163996493589376,0.014056180382416626
2.0,0.6621957208798054,0.22153105725963806,7.32192,7.32192,1.0,0.29695721682404846,0.3355467677574084,0.22314907208142715,0.2755252751781299,0.2120141205564248,0.11423716012084593,1.9717369516607297,0.6643482906503174,0.5464124370043701,0.6704266371851599,0.21966638473038586,1.9286572683199454,0.2809747168516188,0.28662096978928664,0.5193169713020325,0.335379901689752,0.2113579898794604,0.11389601892395189,0.016079412315280695,1.8546741025547817,0.016204989860636194,0.016083477422406726,0.006145941319776877
3.0,0.6479769061903731,0.3061516130080389,10.98288,10.98288,1.0,0.29829074969827735,0.36190928560883284,0.22798053507246174,0.27311617600191157,0.2295402818366584,0.11423716012084593,2.013541736836562,0.6674543500483219,0.5695212255743185,0.6711114482172725,0.2225687257442429,1.9541396428689184,0.27455402911626,0.2890489913544669,0.5564399361610413,0.3615661187306391,0.22903303578406353,0.11389601892395189,0.011735610711782293,1.4491924600897619,0.012060013101264708,0.01155594175226613,0.006456088987487326
4.0,0.6514340070782182,0.34733499888507136,14.64384,14.64384,1.0,0.29998101136049493,0.34697966312113604,0.22981480448891384,0.2803108265214328,0.21834865494253428,0.11423716012084593,2.0270151912201704,0.6694232442106334,0.5486946280610495,0.6719505422091021,0.2232080944837177,1.9597532608470998,0.2795302786092563,0.28883638511518017,0.5396829843521118,0.3463813785036652,0.2178732917529034,0.11389601892395189,0.009596455170609952,1.261351143878528,0.009861105409394087,0.009437375532850433,0.005717176376377695
5.0,0.647344251472498,0.31109100529618633,18.3048,18.3048,1.0,0.3006898370503233,0.3316852838806396,0.23380280271147372,0.27988275218041303,0.2086875427135884,0.11423716012084593,2.063293758469878,0.6718210233885458,0.5450367532062745,0.6737751195473323,0.22519445156792064,1.9771933531608552,0.2868625973373524,0.28961267605633806,0.5256539583206177,0.3310020770398556,0.20806569799502286,0.11389601892395189,0.009208834252720278,1.2814745512987429,0.009163166280578403,0.009262373671475926,0.006255154481802664
6.0,0.6478732219836159,0.3497197051531743,21.96576,21.96576,1.0,0.30460625314117895,0.34649837361545505,0.2372334959443645,0.2808031003960161,0.21901902628317077,0.11423716012084593,2.0933490317241845,0.6740025974069827,0.5576611187624159,0.6733145295694951,0.22590303527827527,1.9834146743013925,0.28050921861281825,0.2883487007544007,0.5434620380401611,0.34557280280856567,0.2185606917447103,0.11389601892395189,0.008859100570152531,1.311870752178038,0.008495217112435628,0.009157610972482036,0.005574750058096045
7.0,0.6533535545080066,0.427723185634503,25.62672,25.62672,1.0,0.30836562435595377,0.3484848823223905,0.23963418757096883,0.2797513855953877,0.21902105349366305,0.11423716012084593,2.112501587600886,0.6753529398346476,0.5447786207135471,0.6735739392864553,0.2281438574917205,2.0030889547074655,0.28275784501180967,0.2897278314310799,0.5417447686195374,0.3471355443962196,0.2185358667716954,0.11389601892395189,0.00824071146298713,1.2911782192313694,0.007781404704837525,0.008614051485830894,0.006520477340757454
8.0,0.6468063937823938,0.31257176178020013,29.28768,29.28768,1.0,0.30995655995248333,0.3327446971763928,0.24157892116673918,0.28348590538278473,0.20970291646197767,0.11423716012084593,2.1286454546847113,0.6767554323738924,0.5425715994442487,0.6733204152623621,0.227573743300904,1.9980833873820862,0.28493150684931506,0.2888888888888889,0.5214052200317383,0.33171529729459065,0.2094348562424266,0.11389601892395189,0.007998479582822514,1.3275763050842215,0.007220730880669157,0.008646494261920884,0.00609900982281049
9.0,0.6447358655869794,0.4157753035046029,32.94864,32.94864,1.0,0.3143526562570426,0.3304789310784528,0.24489061896596587,0.2862374234687856,0.20971378401658386,0.11423716012084593,2.1530004565435554,0.6789132705784426,0.5576971192344317,0.6738563145001034,0.22733124987144343,1.9959543100732255,0.2850450872467502,0.29103026936961957,0.538352370262146,0.3294102477090781,0.2096599264729268,0.11389601892395189,0.007794959284580074,1.3747596169159806,0.006930495871199371,0.008545759435807236,0.0050101269611810976
10.0,0.643652545349825,0.42343032625103766,36.6096,36.6096,1.0,0.3163966615260692,0.3276335544554068,0.2503011301340528,0.28928374086417874,0.2064436259793532,0.11423716012084593,2.2018887243890757,0.6814847193127495,0.5548848899030703,0.6731804763259863,0.22817204327495266,2.0033364241405365,0.284796573875803,0.2919148936170213,0.5339292883872986,0.3264667530956538,0.2067325783618743,0.11389601892395189,0.007509161184078564,1.4098250523074967,0.006626998497795551,0.008300554357067731,0.0045442022392223926
