round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_auroc,fed_ece,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,11.369090367946548,248.89431835990848,3.66096,3.66096,1.0,2.010390404177518,0.11392245720040284,0.6585524026429885,0.36428447627656585,0.2737645030265058,0.5059318871172623,0.29252321546579013,0.23063842385668828,0.22837938536743144,0.6620132337482466,0.21402906925038578,1.879161987156834,0.27404044572843583,0.2783375314861461,0.49528780579566956,0.3641169765745065,0.2306823804338769,0.11389601892395189,0.02315468753995664,2.5172553891243297,0.019602911092268298,0.025634365108014475,0.011757832830408214
2.0,10.251292385801149,363.5805288075382,7.32192,7.32192,1.0,2.028576523070457,0.11392245720040284,0.6635192671031985,0.37677416972223243,0.27093280048872276,0.5577557501997443,0.298509970804677,0.23894487769506773,0.230722959479588,0.6655363291819579,0.2154435499125376,1.89158103986399,0.2736084740681523,0.281479752596569,0.5283157229423523,0.37661489368840984,0.23906313700901385,0.11389601892395189,0.015650836651153823,1.7952580831424712,0.014571741541742712,0.01645902997542828,0.005933271017625597
3.0,9.604963317922245,494.3259389734162,10.98288,10.98288,1.0,2.061567998185888,0.11392245720040284,0.6643648795918847,0.37846855997611567,0.27222749208969876,0.5546813918219471,0.30275218759481226,0.24026609515844216,0.23448269746554004,0.6673241742749391,0.21728784175462315,1.9077738081407898,0.2743682310469314,0.2843122220518326,0.5747132897377014,0.37852756598586257,0.2405429622787682,0.11389601892395189,0.010429212795723963,1.2674328755647366,0.01070308781052977,0.010297768806825572,0.00364596340162309
4.0,9.585983759259335,548.4250813565731,14.64384,14.64384,1.0,2.0798397565868356,0.11392245720040284,0.6642721398843902,0.3783701704843166,0.274525028584115,0.5635219163318564,0.3023152787167457,0.2403531254692216,0.236359573030286,0.6669658874277031,0.21323223004248712,1.872165788207767,0.2762396041688599,0.2863359442993908,0.5799286961555481,0.37845884340087455,0.24075252473251924,0.11389601892395189,0.009030676056240186,1.1506169017211505,0.009043649388181382,0.009070390525633912,0.0031337472458441316
5.0,9.55729389270962,805.2578925211052,18.3048,18.3048,1.0,2.091165129325856,0.11392245720040284,0.6666737420970313,0.36915690818949715,0.2834891282551471,0.5722421350207064,0.305347411096763,0.23317876388772218,0.23783388585081003,0.6691935657053402,0.2160833080143636,1.8971980764195273,0.28501285948094457,0.2861430715357679,0.5226072072982788,0.36954594636258625,0.23384684695394375,0.11389601892395189,0.008492332867742654,1.131425247865991,0.008583296900002197,0.008476774559982104,0.0023328812384065456
6.0,9.327593170312777,688.3938401771843,21.96576,21.96576,1.0,2.0968537869368236,0.11392245720040284,0.6663786856675722,0.3833724934934129,0.27592705420930336,0.572942157918428,0.3079009518650249,0.2442146903249983,0.23810591644111434,0.6678073783648155,0.2144302991573138,1.8826847609176613,0.2773662551440329,0.2850460003118665,0.5987294316291809,0.38371975009031833,0.24494876306756014,0.11389601892395189,0.00837250699051162,1.1692213224505394,0.008065335313156615,0.008650875236177247,0.00249050689008315
7.0,9.330554324492123,577.3901714394036,25.62672,25.62672,1.0,2.1070833650168326,0.11392245720040284,0.6677573339004377,0.38128416053575626,0.28047749039409026,0.5744889781651841,0.3091420075604659,0.24265378684689534,0.23884443616168177,0.6680619941912102,0.21684714084914333,1.903904481454542,0.28042105263157896,0.28631578947368425,0.5957052111625671,0.38187826098112526,0.24352447725382986,0.11389601892395189,0.007590628929675677,1.1137921467743581,0.007461998749602057,0.007731597519349761,0.0023538116865745966
8.0,9.222168125271867,665.7290498782588,29.28768,29.28768,1.0,2.1327238995198083,0.11392245720040284,0.669419510624691,0.37839035226514206,0.2867581119698509,0.5811148466953159,0.30915150347156767,0.24013794807072353,0.24158838578209277,0.6687475707398791,0.21872076980740648,1.9203548277964468,0.28166182711637255,0.28475390156062425,0.5313380360603333,0.3788753587776393,0.24121888232272584,0.11389601892395189,0.007127935240581359,1.0938348618997225,0.00685402054658019,0.0073841863428715645,0.002040214374015728
9.0,9.270140762178034,566.774545409756,32.94864,32.94864,1.0,2.156117528171316,0.11392245720040284,0.6724480922445494,0.381830619773776,0.28013886693946405,0.5920637636356363,0.3134479484093898,0.2431420008265996,0.2446698974627586,0.6698951930027872,0.21566670756343262,1.893540350233249,0.278523140925637,0.28867899427963284,0.5847565531730652,0.38237628841251353,0.24397966780756095,0.11389601892395189,0.006960391442901705,1.122243313517174,0.006643367290479756,0.007256340893710234,0.0018888778630746297
10.0,9.274825432017831,871.6518831503503,36.6096,36.6096,1.0,2.1538768675498607,0.11392245720040284,0.6721949084489371,0.381067580688831,0.28025961572449437,0.5854056744413283,0.3162550739892975,0.2426615501717373,0.24390409709286662,0.6672650287088788,0.21465912318147484,1.884693821693647,0.2774469863156795,0.28500680945895757,0.5694221258163452,0.38165665879403887,0.24363053179922042,0.11389601892395189,0.007025783455029061,1.1856637078062704,0.006300113895689907,0.007660776894768427,0.0025294084300188486
11.0,9.211845687202793,634.2292034261193,40.27056,40.27056,1.0,2.142640806831947,0.11392245720040284,0.6708359560905182,0.36593510454552475,0.28731954029507933,0.5698764734514139,0.31635502004607086,0.2309600793441698,0.2422986121691417,0.6672224986169248,0.2143204226526762,1.8817200520044293,0.28112354201380624,0.28430864836872083,0.5382329821586609,0.3663547104924379,0.23197650665613703,0.11389601892395189,0.006843855992837643,1.213124827694628,0.0061519603299988726,0.007468246350167351,0.0017123187567611247
12.0,9.420214805672307,725.6569845780879,43.93152,43.93152,1.0,2.1629061041048416,0.11392245720040284,0.6727907114855269,0.37554179984149555,0.28823845197172504,0.573797395496,0.31706780565558756,0.2379109731622341,0.2440031466083844,0.668061027883426,0.21946080483589497,1.9268522895644706,0.2810721062618596,0.2866191607284244,0.5553227663040161,0.3757082908075177,0.23897116944974892,0.11389601892395189,0.006116320273265182,1.1340688541804411,0.005533672282029516,0.006650644488872937,0.0018047361615516973
13.0,9.282259728877865,638.0377902486573,47.59248,47.59248,1.0,2.151279445866411,0.11392245720040284,0.6729417984930033,0.3805463118919463,0.2836189707715786,0.5896902377628097,0.31728071751889264,0.24209449367255126,0.2435826610839137,0.6653330280637366,0.2161738790185804,1.8979932842333953,0.27710587736049225,0.28432711272947964,0.6076374053955078,0.3808735470895025,0.24323545164774868,0.11389601892395189,0.0061328076232389905,1.1892073781800718,0.005205588243134447,0.006975855014727319,0.002495840907190933
14.0,9.309138511152804,854.4397452312782,51.25344,51.25344,1.0,2.1519494111802535,0.11392245720040284,0.6746419025114431,0.37636474417175536,0.28627390749359527,0.5814163830780311,0.31798672370906855,0.23887974470682677,0.24435836583778822,0.6672151571876558,0.22150193118013556,1.944773252593068,0.28024485253199777,0.28418532601042107,0.5941333770751953,0.37695562601917443,0.2401237268648402,0.11389601892395189,0.006077501985641818,1.2308291219560488,0.005053523424989637,0.0070171621287392115,0.002563740807813724
15.0,9.145745702819305,759.761662622297,54.9144,54.9144,1.0,2.15332473725567,0.11392245720040284,0.6762787066628554,0.37617652913534866,0.2888022448522432,0.5800399247290565,0.3196949305129049,0.23847673680202933,0.24417627388490515,0.6661065260713103,0.2195661394635579,1.9277771210788475,0.2799081515499426,0.283933125531312,0.5850027799606323,0.37658328374544875,0.2397581990756505,0.11389601892395189,0.005359154157638342,1.1312016713868616,0.004609340061808396,0.006056493313596156,0.002741991145705259
16.0,9.344202472546232,771.8908037552634,58.57536,58.57536,1.0,2.123420934014245,0.11392245720040284,0.6758255825582735,0.37601339964483077,0.28781842436451177,0.5854660821112562,0.31890475090200626,0.23847305320674064,0.24130904512823903,0.664399110414544,0.21540931682561193,1.891280475478605,0.27981284948077145,0.2817515973196198,0.6049617528915405,0.37645024746225936,0.23980761994289257,0.11389601892395189,0.005038898796891806,1.1099454550544579,0.0038902154029218927,0.006109066518673212,0.00268066646364735
17.0,9.308196251498703,821.6865948243391,62.23632,62.23632,1.0,2.159865417553646,0.11392245720040284,0.6770836972374089,0.3750371143638278,0.28914738814132185,0.5927763160764571,0.32289662295371,0.23780504990691126,0.24526431400424933,0.6669924671664929,0.21822107186070236,1.915967510738089,0.2801814761535908,0.2836607570675611,0.6112983822822571,0.37571803883983285,0.23944371008742713,0.11389601892395189,0.005085451252726533,1.1656615479760148,0.003981938365896017,0.006127092070564626,0.002443876130959458
18.0,9.378642363287549,801.0089595035668,65.89728,65.89728,1.0,2.162351995740015,0.11392245720040284,0.6773343806811277,0.37416576073399005,0.2889276851361782,0.5781365576812627,0.32124170408427327,0.23692745543344632,0.24564010741978182,0.6656668811284306,0.21809297869591066,1.9148428606756733,0.2768336314847943,0.2833407506304703,0.5969590544700623,0.3745990485917388,0.23842365538765065,0.11389601892395189,0.005159028372420358,1.2258752783627642,0.003987638720174271,0.0062787840720147006,0.002191966690243712
