round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_ece,fed_auprc,fed_brier,fed_auroc,fed_prevalence,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6885845961649437,0.11012838025405366,3.66096,3.66096,1.0,0.28686897391594435,0.26950355930480335,0.4983972025244717,0.36322902638081356,0.2139375177638422,0.22979999820732297,0.653751475061166,0.11498520989363713,1.862382827099781,0.6553042466491332,0.20817487085250608,1.8277624873921534,0.27487928394770933,0.2788029925187032,0.504296064376831,0.36395959030898506,0.22977946311482927,0.11389601892395189,0.02501256688243464,2.7211555233316176,0.02240747912189576,0.026879905395900697,0.01048578125957983
2.0,0.6569741052880372,0.25488285367451413,7.32192,7.32192,1.0,0.2917124604130022,0.2735676257532918,0.5062986360212819,0.347603647021577,0.2205768266463623,0.21987980971653998,0.6607403352363832,0.11498520989363713,1.9213884084488648,0.6606135055492922,0.21591837063037342,1.8957499363919086,0.2791577951265673,0.2838022059734787,0.506909966468811,0.34815176245451535,0.2198423332474691,0.11389601892395189,0.016861944453495658,1.9645904319477268,0.017420977594752363,0.01660152790679846,0.005567715272765434
3.0,0.646507850689299,0.34941987549053033,10.98288,10.98288,1.0,0.29488925768056623,0.2722341861959545,0.5443171539288035,0.35647583460408666,0.22472693827446236,0.22716893467829558,0.6634337606467067,0.11498520989363713,1.9606279566478078,0.6618722281084729,0.2206220167337935,1.9370476581898997,0.27199504337050806,0.2832186341979884,0.5415928959846497,0.3566878405792184,0.22702463794794436,0.11389601892395189,0.011073770763876735,1.380379026497394,0.012248635401994563,0.010332317622228913,0.0043606298937719275
4.0,0.6457864836122462,0.4047449044114539,14.64384,14.64384,1.0,0.29867911396622815,0.2755559290270879,0.5408080545030087,0.35693084808373987,0.22747328548557638,0.22721314545680693,0.6670737306669041,0.11498520989363713,1.9859767925895417,0.6619581040067438,0.22161665659356944,1.945780534625555,0.27248623291862123,0.2857142857142857,0.5584051609039307,0.35715671141645355,0.2272997593467804,0.11389601892395189,0.010323714149913104,1.3616842408191587,0.010940808954146942,0.009929809780878388,0.004695982920023906
5.0,0.6466539588054441,0.4089493876334037,18.3048,18.3048,1.0,0.3003662019391725,0.28143211016463887,0.5232974524179574,0.31629023762849234,0.23017206834806717,0.20189588087966562,0.668488338389495,0.11498520989363713,2.008506914212461,0.663883779728208,0.222716651709793,1.9554384236950406,0.2838159709163846,0.28594793512334743,0.516060471534729,0.31622440858717693,0.20208758406479074,0.11389601892395189,0.008971409476011168,1.256704548966809,0.008939167955557298,0.009030785575339175,0.004612899295084774
6.0,0.6486558447161112,0.458641790596961,21.96576,21.96576,1.0,0.30229560625975416,0.2842898472204777,0.5260732593035352,0.335983852003668,0.2335693021336648,0.212056918805636,0.67156459227479,0.11498520989363713,2.0367730245314406,0.6638713055731764,0.2239364889025758,1.9661485187827126,0.2813044560617376,0.2866275972296217,0.5097448825836182,0.3361763277554333,0.21235643289569936,0.11389601892395189,0.008316485119101269,1.2368316346110078,0.008252334860313272,0.008394889092734873,0.004552378948934841
7.0,0.6448726021144813,0.3670768143924114,25.62672,25.62672,1.0,0.3045252444148506,0.27894754831272384,0.5659074878177196,0.35627338314691864,0.23612229434481294,0.22687255519173868,0.6733485428943575,0.11498520989363713,2.0591480224578986,0.6645593543638384,0.22533443106553896,1.9784223644901429,0.27365782327135996,0.2844739530132789,0.5377452969551086,0.35650445957585586,0.22728826206445443,0.11389601892395189,0.00852386358676204,1.347674343566723,0.007287971937656515,0.009573562793457875,0.0045580066872838425
8.0,0.6385947552174775,0.4289073597315296,29.28768,29.28768,1.0,0.3042748448083559,0.28484921363837057,0.519869205961294,0.3324922475839804,0.23921348358376074,0.20975568330485667,0.6749882890911366,0.11498520989363713,2.084255620171598,0.6644190640428139,0.22480047448465584,1.9737342587430962,0.2792479942521854,0.2866026003391747,0.5243669152259827,0.3326693775279574,0.21040670115651033,0.11389601892395189,0.007986327494735114,1.3489294658429571,0.007132590459496505,0.008739344360967205,0.0048310835252178145
9.0,0.640147555093935,0.4806563351266477,32.94864,32.94864,1.0,0.3069313524458079,0.287191934644368,0.5415408975906674,0.33891653719452697,0.24298671789946244,0.2138455940230064,0.6778490393050649,0.11498520989363713,2.1197026965523804,0.6642710181606128,0.22460803750824324,1.972044673995265,0.28008346858335265,0.2852669039145908,0.5337158441543579,0.33915646582192405,0.2147651791769897,0.11389601892395189,0.007351119508206614,1.3208187659547548,0.0064506335213040935,0.008164586421887967,0.005591195059965976
10.0,0.6413335757340062,0.6179358708529733,36.6096,36.6096,1.0,0.3049046626356408,0.2880492713246774,0.557862523507799,0.3520611148643872,0.24553929190246318,0.22198144103254086,0.6792499636075063,0.11498520989363713,2.1425802360203066,0.6636829132036245,0.22471050881062882,1.9729443656908456,0.27338286713286714,0.2854971115840681,0.551233172416687,0.3525523849638247,0.22308166037598826,0.11389601892395189,0.007765709687007926,1.4875809712093542,0.006394952077743837,0.009046233386794927,0.004829759977177112
