round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_brier,fed_auprc,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.532596333528494,284.3738780604523,3.65056,3.65056,0.9971592150692714,0.5855757434045917,0.49548992955362064,0.24381032291488094,0.18018093485423037,1.606770592313533,0.11164254247954684,0.38162756506154333,0.20770199960179347,0.25848551712798745,0.6229649118835225,0.19059185856351055,1.673384727263982,0.11420413990007137,0.2650306748466258,0.4796791076660156,0.3651758229446325,0.2334898591501393,0.11389601892395189,0.024370597282925503,2.593221275601536,0.020584304373929836,0.026900045948816943
2.0,11.190333033881592,320.70799543560514,5.632,5.632,0.5412350858791136,0.6431730063832213,0.5258533606557743,0.24678645788781536,0.2111102617656578,1.90000819102269,0.11164254247954684,0.3876365071838947,0.24074000380685087,0.2849829778059476,0.6391254432654597,0.19639571129623082,1.724342195203186,0.1987885462555066,0.2729026036644166,0.48136287927627563,0.3657103224188603,0.23346590536044473,0.11389601892395189,0.018548058834371987,1.2322979005984962,,0.018548058834371987
3.0,10.812566218121272,333.2440206490323,7.61344,7.61344,0.5412350858791136,0.6645787955387773,0.5138271305098182,0.23416944737544898,0.22362652397271546,2.0405169558353715,0.11164254247954684,0.3716051808837977,0.2599052307332953,0.2961935338197213,0.6167025723213609,0.19163397014395223,1.6825344024702549,0.21128154379020286,0.27306370605339675,0.479791522026062,0.3642340774678688,0.23235383692999254,0.11389601892395189,0.013943962169037021,0.9734070617705584,,0.013943962169037021
4.0,10.423720418625791,374.19584483807523,9.59488,9.59488,0.5412350858791136,0.6782093039019522,0.5575556149397951,0.2384155455246115,0.2367938054157026,2.172012248790573,0.11164254247954684,0.37834083404722557,0.2755453235069586,0.3109233102450584,0.623963496857542,0.19362302352716435,1.6999981681225047,0.21359223300970873,0.2747210465563678,0.4792555570602417,0.3631379351584587,0.23147872839180686,0.11389601892395189,0.0114051054786502,0.8299888707697392,,0.0114051054786502
5.0,10.435613656938218,472.78263569005503,11.264,11.264,0.4559241291901578,0.6583135172273945,0.561659690872763,0.2423175884842683,0.22207488628573366,2.022437449153936,0.11164254247954684,0.3824996136621231,0.27087177063719686,0.2917677989817073,0.6280086996815302,0.1990784902721312,1.7478968286420569,0.23848827106863596,0.2757257566399012,0.48082074522972107,0.3646766058397531,0.23240762147252184,0.11389601892395189,0.017307016120795195,0.7778905872255564,0.017307016120795195,
6.0,10.061621923834348,461.823300171039,13.24544,13.24544,0.5412350858791136,0.6693912885862887,0.581142787351182,0.2485786482189238,0.2297246685005176,2.0998283057216134,0.11164254247954684,0.39076433457091886,0.2690601362209709,0.30227805187866125,0.6450289438045089,0.20235332886452517,1.7766497088861029,0.25690140845070425,0.2752935298526105,0.48622849583625793,0.36474736881211706,0.23227105088844172,0.11389601892395189,0.009689925962875027,0.729542049113661,,0.009689925962875027
7.0,9.601947555100406,483.87060451267155,15.22688,15.22688,0.5412350858791136,0.6772074180265869,0.5808159982505424,0.24451452577389304,0.233512624739672,2.1357175890688262,0.11164254247954684,0.38607369322046076,0.27626577296389576,0.3131659126156848,0.6339547930597917,0.2006238823947096,1.7614652758729497,0.25733800996861733,0.27434141812695834,0.4829021692276001,0.36620269869454913,0.23345680383972947,0.11389601892395189,0.008178469872875906,0.639186057378538,,0.008178469872875906
8.0,9.19016094553388,527.200519858772,17.20832,17.20832,0.5412350858791136,0.6809410880747305,0.5661868586376675,0.23429064653701956,0.24030169912672916,2.2183760253731375,0.11164254247954684,0.3733842653662547,0.29192030244111133,0.31718209577152107,0.6135990803560972,0.1951334936400051,1.7132600022683433,0.255030959752322,0.27322121604139715,0.4868682324886322,0.3663375755925082,0.23378244128902945,0.11389601892395189,0.007943463032465469,0.6391647027339786,,0.007943463032465469
9.0,9.04954168411125,548.4772139139493,19.18976,19.18976,0.5412350858791136,0.6848051216073487,0.5650619927144336,0.2350544562462126,0.2504148981593413,2.3338101241590743,0.11164254247954684,0.37464527195733316,0.2979935093468063,0.32176576723478545,0.6121862254306205,0.19490388247021653,1.7112440304024445,0.26187198898830005,0.27416020671834623,0.4869324564933777,0.3663905190604941,0.23376792372630537,0.11389601892395189,0.008224683849519599,0.6860478010494262,,0.008224683849519599
10.0,9.69782436739435,695.3888297076164,22.84032,22.84032,0.9971592150692714,0.6591973977145802,0.5587469456479411,0.2414756308121676,0.2219648981060947,2.0390563785272775,0.11164254247954684,0.38115814809081966,0.27416425864466765,0.2937903520864624,0.6073867252602242,0.19455490789379154,1.708180055210669,0.25918895599654873,0.27609096496619545,0.48090192675590515,0.36713612013172986,0.23427950091039018,0.11389601892395189,0.008958561860307577,1.20955963851884,0.012459743829708006,0.006981422077217966
