round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_auroc,fed_auprc,fed_f1_best_threshold,fed_ece,fed_f1_best,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6881897641330611,0.11372818174343854,3.65056,3.65056,0.9971592150692714,0.11385235068286237,1.3246209882231028,0.5432738497056364,0.15099681101590245,0.48466690602007845,0.3939191771484665,0.2287428584177686,0.18642427366932027,0.25554699874211434,0.4568042474773971,0.10471611767995209,0.9194010349902643,0.2045002711006687,0.20453723788864786,0.5098397731781006,0.4240428432285998,0.2810468560380294,0.11389601892395189,0.027177139516461734,2.927116066450253,0.023025573320763916,0.02993242413129028
2.0,0.686184061363457,0.2448931390894189,5.632,5.632,0.5412350858791136,0.11385235068286237,1.677653782553793,0.6237262944141706,0.19122264097759953,0.5074933298648182,0.3879188516624055,0.2632327574013458,0.22956287210104126,0.24931829568108466,0.5276030210847356,0.12371443028574287,1.0862050443426536,0.2044046488490933,0.20823827629911282,0.5255010724067688,0.41632660815727673,0.2741898703486054,0.11389601892395189,0.01836012667350679,2.2990733042825013,,0.01836012667350679
3.0,0.6782324373115838,0.2810309380960752,7.61344,7.61344,0.5412350858791136,0.11385235068286237,1.9108081303812565,0.6598015865134234,0.21796872225840197,0.5174932377878899,0.37755582030105045,0.28551055916379814,0.24269521191014243,0.24014218941428847,0.44895721334705474,0.10257295667813993,0.90058421398054,0.20443238353686116,0.20465747230386613,0.49909406900405884,0.4303465854813225,0.28704324009560384,0.11389601892395189,0.009499336837144769,1.8018476751167327,,0.009499336837144769
4.0,0.6719550400636833,0.49466627679400743,9.59488,9.59488,0.5412350858791136,0.11385235068286237,2.0405221102849485,0.6743184974563747,0.23234035175786183,0.5135226718702989,0.3695088465635874,0.29806734323611817,0.2608281459293026,0.23306975386597292,0.45735974895875947,0.10966953835460429,0.962891762071424,0.2045002711006687,0.20459894984609817,0.5268672704696655,0.45339133919584323,0.30707606171504426,0.11389601892395189,0.006219588700592888,1.564996447879821,,0.006219588700592888
5.0,0.6824086956306827,0.5400311177292281,11.264,11.264,0.4559241291901578,0.11385235068286237,1.8806463941653135,0.647383271927529,0.21313529773501308,0.5069563752626997,0.35167709008057113,0.2798528372550765,0.25673228157296757,0.2228443746744447,0.4340349865663139,0.1013614498088732,0.8899472586179856,0.20422375977931534,0.2045002711006687,0.47465047240257263,0.4578660119026246,0.3122038816138072,0.11389601892395189,0.008818295381885999,0.8498178855516016,0.008818295381885999,
6.0,0.6765286258900943,0.6068137280048279,13.24544,13.24544,0.5412350858791136,0.11385235068286237,1.9584726312277685,0.6571605050264615,0.22114805453678754,0.5122075161637395,0.3695697784855229,0.285882632891667,0.2610835745971608,0.2335943356310116,0.41798455152450986,0.09713598751181629,0.8528479610571268,0.2042537753389869,0.20460404323639816,0.4903285801410675,0.4567875743881254,0.31166137621936413,0.11389601892395189,0.005473055859968596,1.705529909580946,,0.005473055859968596
7.0,0.6645521951263393,0.6722232208523772,15.22688,15.22688,0.5412350858791136,0.11385235068286237,2.0222398119522644,0.6709200180224189,0.2295674713160327,0.52382042696053,0.3553275700478732,0.29336605058037607,0.2765626746745407,0.22334040020768647,0.45787249445803657,0.10386920542762515,0.911965197808875,0.2045002711006687,0.2046431642304385,0.5238823294639587,0.4653592846721052,0.31883449839195427,0.11389601892395189,0.0034348013299680814,1.2865564225940034,,0.0034348013299680814
8.0,0.6580211180403169,0.8040602377846225,17.20832,17.20832,0.5412350858791136,0.11385235068286237,2.0986458529014214,0.6813542459988831,0.23562258900155977,0.5211047512655615,0.3577045999353427,0.2995538649921362,0.28030703564223114,0.2243100233915667,0.4484355702864924,0.10159679197450555,0.8920135482728461,0.20450951154489178,0.20455677854780993,0.5274240374565125,0.4831803739430879,0.336240009920571,0.11389601892395189,0.002714741233589087,1.1866733556380495,,0.002714741233589087
9.0,0.6533011960321942,1.125456273958846,19.18976,19.18976,0.5412350858791136,0.11385235068286237,2.142968700164525,0.6883203677077913,0.24095444530835247,0.5447248052759944,0.35204125719706586,0.306805006166708,0.2838869865178781,0.22069431503762021,0.42776843038836687,0.09499864161905344,0.834082196345105,0.20451875282422052,0.20452799493876814,0.5026130676269531,0.4922571884943211,0.34595173660015427,0.11389601892395189,0.0022751798877699418,1.1471081308554858,,0.0022751798877699418
10.0,0.6664568516450782,1.2402170223949818,22.84032,22.84032,0.9971592150692714,0.11385235068286237,1.8184122598456984,0.6420174483198886,0.20761336914112571,0.5234285895782719,0.3660139518814155,0.27213878503915956,0.25656092154997334,0.23234638562945875,0.4062134544278456,0.090017458681578,0.7903477183138635,0.20355104629042486,0.2045002711006687,0.3977390229701996,0.5034657679492571,0.36057324896438026,0.11389601892395189,0.002931005695367678,2.083648997358978,0.005338436076779309,0.002297295455272492
11.0,0.6673201268235553,1.5533506433166646,24.82176,24.82176,0.5412350858791136,0.11385235068286237,1.946807087348226,0.6647809330513298,0.2220537757705587,0.5254801399844041,0.36354522794800204,0.29282797877861544,0.27011259935168364,0.2297985622471327,0.38255086079450373,0.0859199229064019,0.7543716077009718,0.20278257706647268,0.2045002711006687,0.39381077885627747,0.5035316997070223,0.36347354214795846,0.11389601892395189,0.0023190797602412765,1.4463552712695673,,0.0023190797602412765
12.0,0.6556940907940393,1.40115051553885,26.8032,26.8032,0.5412350858791136,0.11385235068286237,2.0598341096194233,0.6752927184259752,0.23373114125929062,0.5383166755278871,0.3544727304351436,0.301529622984187,0.281290512612559,0.22277501431630603,0.3903404184358674,0.08703468267360082,0.7641591294926092,0.19953336444237052,0.2045002711006687,0.3617766797542572,0.4870270858551825,0.34863342923499,0.11389601892395189,0.0016935792723462247,1.1611908818595111,,0.0016935792723462247
13.0,0.6524997426659329,1.6372608382166693,28.78464,28.78464,0.5412350858791136,0.11385235068286237,2.1651059156339225,0.6859783499437918,0.24457246466019944,0.5493957129326963,0.36308240910713147,0.3146032602644534,0.28065231782848366,0.22876406043112857,0.41403887840228815,0.0905812405285548,0.7952976880520792,0.20179393038062926,0.20452799493876814,0.41157266497612,0.48611792773525814,0.34640972486081956,0.11389601892395189,0.0015279753792048596,1.1448335277382284,,0.0015279753792048596
14.0,0.6427958277578689,1.9255754857180005,30.76608,30.76608,0.5412350858791136,0.11385235068286237,2.2105220585882677,0.6921665683987619,0.24830274657389917,0.5330216038822791,0.3388143556128159,0.3186638856064991,0.29367606736182333,0.21131294864320896,0.3931832457389968,0.08734946315568352,0.7669228826514697,0.1987356590962304,0.20450951154489178,0.3887253701686859,0.4955734166515103,0.3587526424735112,0.11389601892395189,0.0014210341434931102,1.1601115565281361,,0.0014210341434931102
15.0,0.6654841167613271,1.871593986600767,32.4352,32.4352,0.4559241291901578,0.11385235068286237,1.924791951419984,0.6552350233803798,0.218108833016103,0.4960028948545442,0.3354034003476863,0.28764912690456723,0.26773889572045956,0.2114496428707337,0.39177138222020785,0.08705139728408914,0.764305882738651,0.19579481775947125,0.20450951154489178,0.23091523349285126,0.49850244387310055,0.3633535364376842,0.11389601892395189,0.003571245481919354,0.7219262323342264,0.003571245481919354,
16.0,0.6643194352999555,2.0121643221444376,34.41664,34.41664,0.5412350858791136,0.11385235068286237,1.9896007498696633,0.66643975064958,0.2264044462241669,0.5173980275401012,0.3635361736572459,0.29345809188767774,0.27389326007742315,0.2290492905002707,0.4290972290860751,0.09281396176047468,0.8149008423415252,0.19546155072540788,0.20453723788864786,0.3638744056224823,0.4528415297665746,0.3151610754876855,0.11389601892395189,0.0014832365967448425,1.2979654093505815,,0.0014832365967448425
17.0,0.6551701513940987,2.179549223042142,36.39808,36.39808,0.5412350858791136,0.11385235068286237,2.0793221932421875,0.6761674815056061,0.23569099593486917,0.520363315460673,0.34773557252262405,0.3023845626618375,0.2858976251295316,0.21767926932872686,0.4375525351423552,0.0943303473953326,0.828214614404712,0.20309622181293244,0.2047294515848694,0.44940754771232605,0.4730970768151199,0.33421018756236803,0.11389601892395189,0.0011709349090966014,1.0992009851615876,,0.0011709349090966014
18.0,0.6598504448653824,2.9081632452450044,38.37952,38.37952,0.5412350858791136,0.11385235068286237,2.116970384947081,0.6833707418152418,0.23871279762819847,0.5433612053645206,0.3555053830502228,0.30716812685463013,0.2853600949328411,0.224239146994928,0.4153082303470942,0.0906405170010947,0.7958181318138535,0.20410082768999246,0.20489755122438782,0.45942771434783936,0.49619137720334777,0.35719431854784695,0.11389601892395189,0.0011138096847163916,1.1224762874189764,,0.0011138096847163916
