round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_f1,fed_prevalence,fed_auprc_lift,fed_ece,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6307750465935774,0.11795096680877397,3.65056,3.65056,0.9971592150692714,0.28075076344825944,0.6306594096774147,0.39760915242178185,0.025022578891321423,0.11468496254799518,1.7869910715099218,0.27292261253863004,0.17896373919068645,0.2024518930954248,0.4297842864700495,0.09381647139138424,0.823702814880872,0.2045002711006687,0.20460404323639816,0.5223236680030823,0.4170972921808819,0.27505697798340656,0.11389601892395189,0.0255122522165531,2.726914798375219,0.02198704193827611,0.02787768245486413
2.0,0.6158199427607346,0.21187659777040854,7.30112,7.30112,0.9971592150692714,0.2904830437850462,0.6466705975061512,0.2849466278834843,0.010902834602715007,0.11468496254799518,1.8712448104594168,0.14407385518626542,0.12721189330480043,0.2128492620360075,0.5035370880724037,0.11016315136818004,0.967225653793358,0.20453723788864786,0.20518892206321426,0.5209752321243286,0.410235126223776,0.26923071133243304,0.11389601892395189,0.01818053185175385,2.036734323017299,0.014069037231660015,0.02102435384262754
3.0,0.608162720547111,0.32373103492075866,10.95168,10.95168,0.9971592150692714,0.29285802174390296,0.6555559385703489,0.24872767158397122,0.018392719091403546,0.11468496254799518,1.9469734360250666,0.1013886839012566,0.11528838062013898,0.2206631753983203,0.5535106237885701,0.1508911586078646,1.324815037728529,0.20452079566003617,0.2114700441155543,0.5223920941352844,0.40904053053616396,0.268124280931503,0.11389601892395189,0.012588973846947689,1.5022651480976492,0.011614548795258093,0.013281773971443788
4.0,0.6036457965307545,0.3534568706720335,14.60224,14.60224,0.9971592150692714,0.29496867895671786,0.657061917648879,0.24541134877285029,0.02635188770179415,0.11468496254799518,1.989197379929591,0.08611934377058618,0.11153052220573802,0.22571626587044064,0.5525485702685717,0.16324306737086328,1.4332640325195238,0.20451155011075448,0.20936519952417001,0.5224468111991882,0.4076637822351504,0.26685629007632017,0.11389601892395189,0.009967368802171753,1.2658481148537248,0.009632262808969142,0.010214862198913256
5.0,0.5987285405290064,0.37961009104999727,18.2528,18.2528,0.9971592150692714,0.3010500566880294,0.6612526764149942,0.22838770694640967,0.03803651764213218,0.11468496254799518,2.039259854221018,0.07575130816463474,0.10957290408830583,0.23082220672733272,0.6279991244498508,0.2054494657124288,1.8038335988688678,0.20446735395189003,0.2643059490084986,0.5200586915016174,0.40395343437775133,0.26363472127846377,0.11389601892395189,0.008443829354640824,1.1374035445041955,0.008623323348255585,0.008306390903909989
6.0,0.5943068752828436,0.4345738521193069,18.2528,18.2528,0.0,0.31222209064498707,0.6752639721437559,0.21835270467748147,0.06496658549488016,0.11468496254799518,2.168834748731817,0.07847034623290089,0.10959795793471298,0.24487087343143277,0.6279991244498508,0.2054494657124288,1.8038335988688678,0.20446735395189003,0.2643059490084986,0.5200586915016174,0.40395343437775133,0.26363472127846377,0.11389601892395189,0.0,0.0,,
7.0,0.5812493959847387,0.3540681584662151,18.2528,18.2528,0.0,0.31558463818930926,0.6839279663745854,0.27257996213220775,0.0995655976862725,0.11468496254799518,2.2848036627106465,0.09209150855205593,0.10937061853343927,0.2581952469487003,0.6279991244498508,0.2054494657124288,1.8038335988688678,0.20446735395189003,0.2643059490084986,0.5200586915016174,0.40395343437775133,0.26363472127846377,0.11389601892395189,0.0,0.0,,
8.0,0.5650696376994431,0.4460225985515686,18.2528,18.2528,0.0,0.32015095232428026,0.6917619294084694,0.2410467196099519,0.09997148957187758,0.11468496254799518,2.3799881639986613,0.07352653798806266,0.10745045260069827,0.26817789751280047,0.6279991244498508,0.2054494657124288,1.8038335988688678,0.20446735395189003,0.2643059490084986,0.5200586915016174,0.40395343437775133,0.26363472127846377,0.11389601892395189,0.0,0.0,,
9.0,0.5965587691435108,0.3954614885019797,21.90336,21.90336,0.9971592150692714,0.3028994896053883,0.6631330619840391,0.24129075124928276,0.05409187716742106,0.11468496254799518,2.0789962769714485,0.09388954330114017,0.11338411823427047,0.23555466997731528,0.6572278642605117,0.21421844277459642,1.8808246749838515,0.2577469335054874,0.27593181161514013,0.5091861486434937,0.38685824697490095,0.2493228846146132,0.11389601892395189,0.008759026436505349,1.2431659144349396,0.007519710109368587,0.00975195705893306
10.0,0.5945197135439324,0.2929472860553456,21.90336,21.90336,0.0,0.3097131027968142,0.6748904077512154,0.22421526692959148,0.07908430517457414,0.11468496254799518,2.221199347789823,0.07336154441651871,0.10938745448504228,0.2508778795437899,0.6572278642605117,0.21421844277459642,1.8808246749838515,0.2577469335054874,0.27593181161514013,0.5091861486434937,0.38685824697490095,0.2493228846146132,0.11389601892395189,0.0,0.0,,
