round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_prevalence,fed_ece,fed_f1_best,fed_f1_best_threshold,fed_auprc_lift,fed_auroc,fed_f1,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6876314721645364,0.11712691449399026,3.66096,3.66096,1.0,0.22392718089997254,0.11461480362537763,0.3556334798909867,0.29637697278261754,0.5152900947871254,1.9094274692861464,0.6587780777755482,0.2725351911179829,0.21717046452205208,0.6645370163397375,0.21386318242395128,1.8777055110832912,0.27783179387457463,0.2788873038516405,0.49794936180114746,0.3556531975407191,0.22341213089060433,0.11389601892395189,0.02446287840420951,2.6430460540905187,0.022017031925652016,0.026171057841743953,0.013991084683612804
2.0,0.6617727934956004,0.21877567966434874,7.32192,7.32192,1.0,0.2118903828745609,0.11461480362537763,0.3348768927140043,0.2989554800011499,0.5403953069597783,1.9731408300891573,0.6653579528978706,0.27611516861328717,0.2240479911839516,0.6707402103358389,0.21988467846368276,1.9305738737935982,0.2796187017703132,0.2869645935552314,0.5270233154296875,0.3349869721400143,0.21119705327076588,0.11389601892395189,0.016398471655443357,1.890853334683925,0.016357171992628337,0.01651550915727562,0.006186302948149116
3.0,0.6476782614906665,0.3540040466635618,10.98288,10.98288,1.0,0.23094360494952307,0.11461480362537763,0.3636047291313368,0.3005908930169173,0.5683378421092803,2.0157331354450267,0.6679261195404743,0.27217668866888295,0.22908564873734788,0.6710624928060268,0.22270767225733698,1.9553595846579885,0.27326932794340575,0.28961982058949165,0.5571080446243286,0.3635575364960344,0.2304581887343996,0.11389601892395189,0.011485378895577856,1.4204271152148067,0.011783101399417285,0.011327292140229085,0.005755999674355893
4.0,0.6460845821240804,0.3008496515062377,14.64384,14.64384,1.0,0.21499665357060943,0.11461480362537763,0.34144464208981756,0.3031233776142231,0.5399885441327593,2.0398736154912633,0.6704333753268301,0.2801250402199904,0.232141024535487,0.6728734163407617,0.22343471103559065,1.961742940152961,0.2822609313899751,0.28913202042304886,0.5365152955055237,0.3412149912708688,0.21448922346162536,0.11389601892395189,0.009219976240132377,1.2098776519524108,0.009896971924380174,0.008765720998486968,0.005414645818989438
5.0,0.6457347976431074,0.3068752902288959,18.3048,18.3048,1.0,0.20978068358576368,0.11461480362537763,0.3327032566194357,0.3052089545375829,0.5495427650383562,2.064853192479411,0.6724044442389516,0.28183213694769316,0.23494293014980658,0.6740154164492892,0.2247313798084536,1.9731276117605674,0.2853982300884956,0.2899450007051192,0.5237665772438049,0.33232857672189864,0.20920897726015084,0.11389601892395189,0.009260712989027139,1.2867773049401876,0.009230757254601015,0.009312132544348263,0.004999440325415026
6.0,0.6462181468279831,0.37213884948771536,21.96576,21.96576,1.0,0.2198182210095027,0.11461480362537763,0.34721205251859755,0.30823868447255887,0.5576313170759161,2.0943594762203683,0.6740811484557356,0.27910772340086404,0.23820730574679483,0.673221751472766,0.22517996305865806,1.9770661449458582,0.2802067628688348,0.29113218070273283,0.5466446280479431,0.34663044276286203,0.21941083615137624,0.11389601892395189,0.008969451490103546,1.3271205105538684,0.008384102371458747,0.00944908593843145,0.0046584130563108155
7.0,0.6476716780992036,0.35532874801553416,25.62672,25.62672,1.0,0.21506026344194878,0.11461480362537763,0.3427942458273841,0.31279642104339195,0.5461076858686986,2.124936801803268,0.6760979041645916,0.281636455760169,0.24202751156545055,0.6737321376751156,0.22704261968575234,1.993420154898901,0.28301435406698566,0.2899693385895751,0.5328564047813416,0.3419484122736392,0.21471542021094855,0.11389601892395189,0.008859436318210637,1.3897300328926576,0.007890659258399114,0.009654650680676818,0.005360475135500072
8.0,0.644072408150313,0.31263206850616687,29.28768,29.28768,1.0,0.20793247335961101,0.11461480362537763,0.33052752068508245,0.3137400026319344,0.5470690481150889,2.14085967325788,0.677789339734322,0.28378432011990223,0.2438833842908722,0.6731858600407837,0.2267827595720715,1.9911385991769723,0.2866249846757386,0.2886278559442365,0.5099233388900757,0.32968643625898275,0.20787694750238683,0.11389601892395189,0.00787969795384889,1.314349236246926,0.007114419486065556,0.008527865547945084,0.004897313340291603
9.0,0.6458123700405424,0.3801928938323039,32.94864,32.94864,1.0,0.20998805642959859,0.11461480362537763,0.3314206130926433,0.3165156146324695,0.5556554339426567,2.16829215195199,0.6798045766767775,0.2879454831680748,0.24707094865481846,0.6738150644522273,0.22644763830696327,1.9881962552015258,0.28401070820150887,0.2907137375287797,0.5525638461112976,0.330513444940969,0.21005419037430806,0.11389601892395189,0.007529352948877545,1.3346285380139307,0.006535144876094016,0.008395173600048303,0.004666759216429684
10.0,0.6440152348456862,0.42572718881866595,36.6096,36.6096,1.0,0.2046825411722705,0.11461480362537763,0.3252006093694754,0.3174937713217974,0.5425054189811902,2.2112457961136633,0.6810742392834498,0.29079847625731964,0.25184963555577633,0.6732917523145832,0.22742254450352528,1.9967558712949818,0.28500373041531957,0.29120723777212326,0.5238795280456543,0.3243085108496797,0.204992003008872,0.11389601892395189,0.0071467204585249095,1.3452250424743397,0.006304019913356852,0.007906934881218335,0.004025304454227908
11.0,0.6378881521886108,0.4324403024166553,40.27056,40.27056,1.0,0.22388560560868295,0.11461480362537763,0.3541944879111867,0.3183993706741408,0.5654645960305302,2.2269566837530412,0.6826621170026543,0.279332405793607,0.25413824991507644,0.6732871466657938,0.22774193119638841,1.9995600666995321,0.2742185082017951,0.291970802919708,0.5673794746398926,0.3532107102661849,0.22421416852852008,0.11389601892395189,0.007753509517991661,1.5430513988603707,0.006095524552524307,0.009284515237342961,0.0048953744792200925
