round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6895009526942599,0.09382408015167625,3.66096,3.66096,1.0,0.2603975823810454,0.2797598702735686,0.36567457871322123,1.843672492394019,0.11436304128902315,0.2316004272559196,0.20882265746450365,0.512742798287733,0.6451592983814092,0.6575616545779471,0.21475587191414974,1.8855432695811936,0.2731236008012254,0.2755695588948134,0.5017891526222229,0.3647803000993665,0.23035779836731748,0.11389601892395189,0.024901506012095457,2.695783581787964,0.022923357735195174,0.026386161332906288,0.010769305391709635
2.0,0.6648873622252245,0.177236104996169,7.32192,7.32192,1.0,0.26952062956954553,0.2867428156583003,0.32741958750758887,1.909550645752356,0.11436304128902315,0.2051944096208811,0.2160391208250011,0.5095078245589411,0.6537048429265193,0.6634436704556139,0.2215173452610072,1.9449085872695324,0.27737881508078993,0.27988994497248626,0.475911408662796,0.3258156354157408,0.2034950087532587,0.11389601892395189,0.0171993815393919,1.9891755540970735,0.016841567854318895,0.017571031861548722,0.004972263879028542
3.0,0.6547634282222041,0.2783987677104546,10.98288,10.98288,1.0,0.26824971908748657,0.29418648633414696,0.3436498035876548,1.95855973982878,0.11436304128902315,0.2167259791187736,0.2214564722617686,0.5318359652813617,0.6581187696621835,0.666022469843542,0.22433034881882105,1.9696065844812882,0.2807819243462808,0.2821405953134895,0.5381391644477844,0.3420982759936574,0.21503216358471466,0.11389601892395189,0.012509650917852635,1.5580742544216264,0.012907122956678185,0.012325918343629021,0.0033575050735448796
4.0,0.6492084605694128,0.3179712626888168,14.64384,14.64384,1.0,0.27236082944680223,0.2962341921990094,0.33857721747776115,1.9736893025227917,0.11436304128902315,0.2137578998041448,0.22401151508872003,0.5343705420377631,0.6603134487656643,0.6660651128805616,0.22372163315150234,1.9642620985802917,0.27884736378507613,0.2824509955240006,0.538031280040741,0.33693407571269574,0.21232022253863833,0.11389601892395189,0.009847075228309913,1.31335801363457,0.010401638779537821,0.009504920608497617,0.0038338390217848317
5.0,0.6492906454777758,0.36627806135431773,18.3048,18.3048,1.0,0.27499287901450686,0.2967718410047177,0.33805000237756655,1.9934876929978511,0.11436304128902315,0.21399448532611154,0.22646767117941238,0.540192449632338,0.6629352369271373,0.6676136148299181,0.22407549593940174,1.9673689919664044,0.2801671172278201,0.2832362108686814,0.521655797958374,0.3363534486429087,0.2126199916177223,0.11389601892395189,0.008918496762155614,1.2604817455567172,0.008772521628549563,0.009075779033003956,0.0036365348839135793
6.0,0.64902956514989,0.3404452013698725,21.96576,21.96576,1.0,0.2751772953792202,0.298464577593652,0.3459853751749956,2.0169522660974546,0.11436304128902315,0.2186217248180033,0.2289684455201003,0.5538351520284455,0.6664686275146776,0.6677356080503026,0.22397328204992387,1.9664715603402285,0.2778475951102479,0.2821017139645968,0.5363366007804871,0.3442876352458207,0.21749012687039734,0.11389601892395189,0.009312958980808337,1.3984599956165766,0.008543721605045395,0.009962362625043348,0.0038182288054459074
7.0,0.6444338472184885,0.3462936191096464,25.62672,25.62672,1.0,0.2788111234116881,0.29806107921153885,0.3538514065405228,2.0279734708130936,0.11436304128902315,0.22326944264015375,0.2303739499779706,0.5466342099078472,0.6676343136760952,0.6665994057884798,0.2237544727679061,1.964550428380701,0.27553102124084966,0.28200056513139304,0.5288079977035522,0.352815844983686,0.22254068309752825,0.11389601892395189,0.008565933585350452,1.3729596178718566,0.007800263302201535,0.009223155342391633,0.004360865404484265
8.0,0.6458163775584319,0.29359901478684625,29.28768,29.28768,1.0,0.2822472198477094,0.30018034281548334,0.3278815096519956,2.0513215242780127,0.11436304128902315,0.20699356344351447,0.23359873323186453,0.5403542443772278,0.6692210692276658,0.666575072401552,0.22351110089010112,1.9624136383497213,0.27624602332979853,0.2824461064672239,0.5258338451385498,0.32620399788819254,0.2063807634569092,0.11389601892395189,0.007483194482564337,1.2789380812700983,0.006861012947031069,0.008039078481861365,0.004026342752932326
9.0,0.647229161963861,0.44301724929770403,32.94864,32.94864,1.0,0.28348929429688646,0.30441385764695233,0.3443247737702496,2.0778805771495503,0.11436304128902315,0.2172850784767219,0.23664658684220116,0.5523943827250244,0.6726163599755741,0.6656854668664607,0.22328349170825573,1.960415243814111,0.2798782035016493,0.2833309769546162,0.523607611656189,0.3429125477324327,0.21715791209323218,0.11389601892395189,0.007544481657269696,1.3687224505283666,0.006571055683914363,0.008428366141130166,0.0034957101684995654
10.0,0.6458373702934725,0.400454314622081,36.6096,36.6096,1.0,0.28143334794212876,0.3060847779468905,0.34672403218522885,2.0965515254492586,0.11436304128902315,0.21938889997029976,0.23865206437112868,0.5703090591579376,0.673474110557933,0.6641977419118908,0.22147044734189808,1.9444968264410838,0.27460393662986077,0.27999369383572437,0.564715564250946,0.34536158252049776,0.21956905918233652,0.11389601892395189,0.0070878643172285856,1.3657503160866327,0.006299459911306768,0.007823789225932012,0.0036526698917257587
11.0,0.645344291165988,0.4869460250271157,40.27056,40.27056,1.0,0.28160223145403207,0.3079228234733192,0.34435790203125305,2.1173149827270272,0.11436304128902315,0.21759378027597417,0.2412940618663584,0.5594211431597205,0.6764401138376139,0.6654447558325961,0.22226984573569564,1.9515154948840197,0.276503118013884,0.28139929110802897,0.5574464201927185,0.34259854766936637,0.21761757924915132,0.11389601892395189,0.007162328271129962,1.455708530580523,0.005820138806844896,0.008439549643090629,0.0035752315371194976
12.0,0.644211683473993,0.5069765476422121,43.93152,43.93152,1.0,0.2801508538509833,0.3112513291157161,0.3470011484567244,2.1675720797228393,0.11436304128902315,0.21918231567600946,0.24683613901690832,0.5598094815844135,0.6790146380580081,0.6636698617738128,0.2182596929397504,1.916306601422846,0.2749012724879333,0.27932960893854747,0.5368989109992981,0.34551911772788396,0.21981709818828135,0.11389601892395189,0.006800860120995084,1.4638694555160328,0.005426535274527682,0.008140869295982647,0.0035913906348542493
13.0,0.6390415081601482,0.5542754504061198,47.59248,47.59248,1.0,0.2808232152760112,0.31437162269783175,0.3394805669483484,2.1566767080007683,0.11436304128902315,0.2152266031245035,0.24627548549302067,0.5717479767688631,0.6785665551426854,0.6665336341118996,0.2210969457838142,1.9412175058676995,0.27501360914534567,0.28261753149979674,0.5400786995887756,0.3379609152671674,0.21570456512031053,0.11389601892395189,0.006763272494536714,1.545598520518979,0.005128538170595434,0.008385944565950324,0.0029365227565835207
14.0,0.6425806315537922,0.6064858833100985,51.25344,51.25344,1.0,0.2865819867896916,0.3126705326875273,0.31846460350038813,2.191055932016101,0.11436304128902315,0.20196573931233075,0.25046538514148337,0.5595061493154019,0.6810459145446508,0.6656383813235245,0.2208987270462725,1.9394771576148424,0.27768633905478485,0.2812142038946163,0.5350724458694458,0.31660847852061963,0.20278855170013943,0.11389601892395189,0.006355820105166375,1.5411094735427469,0.0045420890731452425,0.008179375122638458,0.0032639304010711055
15.0,0.6454268633012272,0.6465632970432991,54.9144,54.9144,1.0,0.28526087874721123,0.3134745015691561,0.33839677398731743,2.223168577292892,0.11436304128902315,0.21411351609434015,0.25381071655731535,0.5692668069184036,0.6851422328951292,0.662369449935945,0.22137375684059651,1.943647889821393,0.27032407919477935,0.2783813145029875,0.5380092263221741,0.3370119649934699,0.21550682995679651,0.11389601892395189,0.005871886815625675,1.5018361320744589,0.004283951090411818,0.007495851083510148,0.0026394066634683393
16.0,0.6398438203582323,0.6360137161388779,58.57536,58.57536,1.0,0.2911418310651381,0.31431394965152454,0.33324694539882693,2.2523637182669103,0.11436304128902315,0.21062968436218166,0.2574157306653359,0.584534508083297,0.6859258949548385,0.6609100992917643,0.2186268859268094,1.9195305331329102,0.2759725400457666,0.2777928784995923,0.5343465805053711,0.3316811696546139,0.21261279337897301,0.11389601892395189,0.005956920404577575,1.6037250524150295,0.004119154185810433,0.007864827545842288,0.0036333450481623457
