round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_brier,fed_auprc_lift,fed_f1_best_threshold,fed_auprc,fed_ece,fed_f1_best,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6882319564216461,0.09804976632196394,3.65056,3.65056,0.9971592150692714,0.20707263064443543,0.11494397582777288,0.2596409961179914,1.4877885372025461,0.5161994316821643,0.16934182778526938,0.3989539257501995,0.2580141919998255,0.5607352247308134,0.6437725930917075,0.20740299572991502,1.8209854715676896,0.2600061418773672,0.26610926913651434,0.502863883972168,0.38553046092568755,0.24845040098446378,0.11389601892395189,0.02564787569133568,2.7587673959787935,0.02126309706476728,0.028549224324479625
2.0,0.6810970140247422,0.11795029683952149,7.30112,7.30112,0.9971592150692714,0.2443548285714404,0.11494397582777288,0.23789434435261855,1.8270452490891118,0.5243768366697409,0.20923159252498513,0.3721993126216199,0.2854027716745962,0.6420494295531111,0.6572831069470804,0.21742945651931306,1.9090171770138007,0.2743296921549156,0.28132603406326034,0.503350019454956,0.3845218221871517,0.2470355810498872,0.11389601892395189,0.019461965649935384,2.206361719407141,0.015593622124925195,0.022049796601802747
3.0,0.670772107852686,0.18402033206789276,10.95168,10.95168,0.9971592150692714,0.2618262401265284,0.11494397582777288,0.2231698243511752,2.0102758590168195,0.5133948101983717,0.22749498816710287,0.35249380632929184,0.3019883138024529,0.6668409075050385,0.6623273716242539,0.22197322611335513,1.9489111929501781,0.2805925925925926,0.2826783114992722,0.49945467710494995,0.3781055855735438,0.24153209626870212,0.11389601892395189,0.01451765695263352,1.7637237021699548,0.01251278596501037,0.015888117962912455
4.0,0.6604304179453541,0.2358404069229405,14.60224,14.60224,0.9971592150692714,0.27056791499571187,0.11494397582777288,0.2289461791489616,2.0529027056336435,0.5383311456638484,0.23141818257879188,0.36083235807766556,0.30717431039985965,0.6697357087453629,0.6621483160467982,0.22347166245351371,1.962067371316334,0.2785577895091542,0.2821522309711286,0.504249632358551,0.3864109454991214,0.24745991880196633,0.11389601892395189,0.011487525089675427,1.4845277490094304,0.010412067376027592,0.012251529050616893
5.0,0.6540613550384624,0.25603733655125605,18.2528,18.2528,0.9971592150692714,0.278751163431937,0.11494397582777288,0.22528994502474323,2.0681671937150687,0.5321913824567833,0.23316178798948928,0.355795462572288,0.30840924321837,0.6712180733901215,0.662159472509397,0.22497928066975503,1.9753041659864616,0.2739463601532567,0.2802340702210663,0.5151487588882446,0.3839949137854693,0.2455082641742215,0.11389601892395189,0.010422291036933571,1.42915801377967,0.00978692237067194,0.010892570255585422
6.0,0.6513891587486416,0.2455985244435675,18.2528,18.2528,0.0,0.29548005570297964,0.11494397582777288,0.21342082530022005,2.2410832655236983,0.5453993719852979,0.2519871340767271,0.3367999260835927,0.32582975861757785,0.6875619553217369,0.662159472509397,0.22497928066975503,1.9753041659864616,0.2739463601532567,0.2802340702210663,0.5151487588882446,0.3839949137854693,0.2455082641742215,0.11389601892395189,0.0,0.0,,
7.0,0.6497228501909944,0.2697249282752424,21.90336,21.90336,0.9971592150692714,0.2884549628980713,0.11494397582777288,0.2125000871975135,2.0817093159352087,0.5219615062980826,0.23485716638911536,0.33701102262339155,0.3103191870660521,0.6729028724504815,0.6621327296277346,0.2264018381773532,1.9877941328969646,0.2754372998275437,0.28196626783912354,0.5037952661514282,0.37661750594468885,0.23979405600008513,0.11389601892395189,0.009109609473603734,1.325706904521212,0.008958385949322712,0.0092261257921694
8.0,0.6458342956893349,0.2838621866992514,21.90336,21.90336,0.0,0.30044875595777676,0.11494397582777288,0.2103692705805644,2.242125281673304,0.5450203691166112,0.25217379226888603,0.3319055539984164,0.32274651717188085,0.6884205393447442,0.6621327296277346,0.2264018381773532,1.9877941328969646,0.2754372998275437,0.28196626783912354,0.5037952661514282,0.37661750594468885,0.23979405600008513,0.11389601892395189,0.0,0.0,,
9.0,0.646112741162815,0.2937613752112786,25.55392,25.55392,0.9971592150692714,0.2849903839947597,0.11494397582777288,0.21417828788805496,2.1027133551961428,0.5271506916811795,0.23750499268032724,0.3377261254338477,0.31243717758824197,0.6760433325681068,0.6625150863234116,0.22699946866063275,1.99304129156788,0.2770624701955174,0.28210890233362146,0.5144051313400269,0.3705679136449566,0.23479044357524395,0.11389601892395189,0.008493301631431539,1.3117813726421446,0.007703705247922348,0.009125426870093909
10.0,0.6415225653610979,0.325044741744,25.55392,25.55392,0.0,0.2995769506718244,0.11494397582777288,0.22462596495704135,2.261224339132914,0.5740547643644479,0.2543738490687037,0.35517317694406064,0.3275395582397261,0.6920167475949802,0.6625150863234116,0.22699946866063275,1.99304129156788,0.2770624701955174,0.28210890233362146,0.5144051313400269,0.3705679136449566,0.23479044357524395,0.11389601892395189,0.0,0.0,,
