round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best_threshold,fed_auprc,fed_f1_best,fed_auroc,fed_ece,fed_f1,fed_brier,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6883342021005039,0.09856415458335507,3.66096,3.66096,1.0,0.1123977344241661,0.474078979765641,0.20972646517858182,0.2810727836809128,0.6477097700651717,0.34083427530253274,0.2609128928004771,0.21237496261841712,1.885940698202486,0.6493902171200725,0.19865710760777838,1.7441971149177855,0.2585895117540687,0.2704169750801875,0.48179712891578674,0.33924010818087047,0.21278328321666376,0.11389601892395189,0.024556713890059267,2.640310588356442,0.021666367613072883,0.026658323764262568,0.008976386184249823
2.0,0.6578768694936964,0.22477337724010046,7.32192,7.32192,1.0,0.1123977344241661,0.5224765745028523,0.21800067572548998,0.2937736251626026,0.6550847803417381,0.3585115899767344,0.2665598882748713,0.22558672668211396,1.98153043758766,0.6581154618833244,0.2054786272673564,1.804089635517059,0.2768077129084092,0.27709808971882377,0.500190258026123,0.3568372799952525,0.2258423967318712,0.11389601892395189,0.017184198891122302,1.9770831607866057,0.01642562849799608,0.017822010653402817,0.004967378224891048
3.0,0.6455171732097617,0.26855555090723005,10.98288,10.98288,1.0,0.1123977344241661,0.49610023760923116,0.2243346077458059,0.2994441368762161,0.6589282386250018,0.3256895410088041,0.27527981745434854,0.20356413823191746,2.055629856424317,0.660058681738324,0.20805497758386696,1.8267098319106727,0.27019420208274697,0.27652019529516203,0.46894654631614685,0.3238332974343159,0.20404180207141867,0.11389601892395189,0.012542774833364898,1.5481848655508657,0.012771680935419005,0.012476860164530791,0.003984805929514798
4.0,0.6463007942099324,0.3241363303331904,14.64384,14.64384,1.0,0.1123977344241661,0.5163115749050041,0.22633476431774902,0.3020649965761806,0.6614324255658738,0.33161343455764763,0.27888658414046835,0.20803872364212275,2.067290927386969,0.6611941184835904,0.210700222059104,1.849934914755783,0.2731851123940548,0.2765957446808511,0.48649486899375916,0.3296413281956379,0.2083524428751132,0.11389601892395189,0.010238763177204324,1.3471494255863945,0.010289310459670672,0.01026024800638714,0.004324092419866481
5.0,0.6441062792313591,0.3219029068101985,18.3048,18.3048,1.0,0.1123977344241661,0.5129755329211751,0.22704954821982148,0.30091375801456305,0.6621072072832276,0.3335878246081107,0.2798200459134257,0.20911333217885916,2.071941053098568,0.6611055946510019,0.21090584314516386,1.8517402551706852,0.27299925205684367,0.2755850155669378,0.4662654995918274,0.3316804159598955,0.20947569038266736,0.11389601892395189,0.008950436038924684,1.246359233988187,0.009016733589043388,0.008944393641446172,0.00408610813566509
6.0,0.6454858438260832,0.34333765190053267,21.29488,21.29488,0.8167475197762336,0.1123977344241661,0.5360025527156169,0.23113008314712177,0.3001806277313698,0.6648657347908581,0.3436151977190061,0.27825100191121005,0.21689458431875855,2.107337067667,0.660414283002887,0.21085266169734151,1.8512733253488636,0.2725655319653659,0.2741238598175708,0.5019168853759766,0.3370936378447397,0.21339210925435453,0.11389601892395189,0.009350485302599935,1.0754517274908721,0.009210154946595812,0.009497366871270545,
7.0,0.6391214971249702,0.3425459188282963,22.61584,22.61584,0.36082339058607577,0.1123977344241661,0.5381102979952167,0.24074346991719822,0.30833463599820116,0.6754703702670827,0.34758723047758283,0.28595301182610855,0.21859852600868324,2.2004162844824835,0.6602209963471558,0.2104850401047948,1.8480456305091328,0.27251015046572724,0.2745006424483121,0.4969128370285034,0.33649714190599705,0.21302692506764742,0.11389601892395189,0.008008440809814865,0.4738762299530208,0.010880911382448507,0.007993167704932665,
8.0,0.6446237266209864,0.39032892459830515,26.2768,26.2768,1.0,0.1123977344241661,0.5155128151684755,0.23162907090707785,0.29925737329546576,0.6670953324560622,0.3283101998668109,0.2813970681900953,0.2062323901205417,2.1070072415365595,0.659957771596866,0.21057912089938055,1.848871654065308,0.27439024390243905,0.27589098532494755,0.4734013080596924,0.32607283810660487,0.20697104111208342,0.11389601892395189,0.007583809119759462,1.1570177856883674,0.007693473101285839,0.007533144129443423,0.003938806568598953
9.0,0.6392707228377571,0.387940194404138,27.59776,27.59776,0.36082339058607577,0.1123977344241661,0.5274841337814654,0.24296364371948095,0.3076644032230012,0.6780743578937488,0.3334118396128176,0.288222104603212,0.20869954769046378,2.2223632085262364,0.6599935626332344,0.21052577409688794,1.8484032724397113,0.274582560296846,0.2757527733755943,0.47353819012641907,0.32834323397342835,0.2079852885497774,0.11389601892395189,0.009415841080157592,0.6044950191862881,0.009984457361805343,0.009412763617230159,
10.0,0.6424033163059205,0.46264554007106495,30.58784,30.58784,0.8167475197762336,0.1123977344241661,0.5294129104022337,0.2344872918725118,0.3029315678718494,0.6693318529460093,0.3361094318860128,0.28811948775872187,0.21130001696063164,2.127799064192146,0.6600154865254277,0.21053694974393905,1.848501393929441,0.2728419989904089,0.27448969125038464,0.46437373757362366,0.32648026945681685,0.2066713300097101,0.11389601892395189,0.008103653840501199,1.1089825388044119,0.00787164468299373,0.008341205854381962,
11.0,0.6389328465942834,0.43378726813241714,30.6032,30.6032,0.004195620820768323,0.1123977344241661,0.5359385738382554,0.2436802861597537,0.3120812977020307,0.6778412958515619,0.32073750948314206,0.29266485440128504,0.20317626258060784,2.233699558208932,0.6601090175892614,0.21063303118252194,1.8493449830161415,0.2728286457688019,0.27438084472305,0.4659624993801117,0.3278718496390116,0.20785560817658125,0.11389601892395189,0.009309019344754584,0.005340192350558937,0.010291672811596519,0.007541423987065807,
12.0,0.6420449115051057,0.3940991144062889,34.25376,34.25376,0.9971592150692714,0.1123977344241661,0.5363250138869894,0.2362721826160686,0.304289818381618,0.6713765054658271,0.33602021186512315,0.28467984042811595,0.21070746290781833,2.1401041308464688,0.6599494262114576,0.21137266834329177,1.8558389515302094,0.2731719246759599,0.27570142932768665,0.47207674384117126,0.3301105300832919,0.2094671735615044,0.11389601892395189,0.0075578258398903845,1.2851412579184398,0.0063854168964076335,0.008485949963663957,
13.0,0.6371630512729076,0.4147550377122597,34.26912,34.26912,0.004195620820768323,0.1123977344241661,0.5316060556864274,0.2483096525290969,0.31550484426615333,0.6811784682285721,0.33312955466014094,0.2915397867497686,0.20968481758447408,2.2699910316767604,0.6600291905267301,0.21138997989610975,1.855990945892976,0.27367164179104475,0.27589055240061955,0.4709852933883667,0.33248555042047234,0.2112206903909098,0.11389601892395189,0.00860464023202384,0.005600204807706177,0.009331562941728933,0.007339288937446257,
14.0,0.6374517366138646,0.444472857738157,35.9536,35.9536,0.4601197500109261,0.1123977344241661,0.5154012910051117,0.24145259769118618,0.3072828827676946,0.6767624611240275,0.3394026142319393,0.29074070412156944,0.21279958926294854,2.1842152028142685,0.6597678607436535,0.21143145871136806,1.8563551273248662,0.272329033828182,0.2745786516853933,0.4923367202281952,0.33175946910468074,0.21059055127522336,0.11389601892395189,0.006908928358637178,0.5658830991014838,0.006915652949495056,0.006123142434445231,
15.0,0.6297626178631446,0.46525917263653327,35.96896,35.96896,0.004195620820768323,0.1123977344241661,0.5544677885168374,0.2558113553547622,0.3220841757106433,0.6900753046944003,0.3264182313050561,0.2967235960643535,0.20400669970221513,2.342293394410016,0.6597226827173819,0.21146820870433092,1.8566777899895497,0.27292523590612144,0.274468085106383,0.495684415102005,0.33285617338113516,0.21130828579219302,0.11389601892395189,0.006987880076463657,0.004930966766551137,0.008410464269449146,0.0047054788157064285,
16.0,0.6404727084916642,0.4095997217622691,39.62992,39.62992,1.0,0.1123977344241661,0.5504327403216185,0.2366153895165137,0.30606548613756257,0.6746658258212589,0.350996164633389,0.28328407705823583,0.2206040827934043,2.1343183789739637,0.6585694884979003,0.21190063693140598,1.860474483071191,0.2685301867338756,0.27187894073139973,0.5210789442062378,0.3489958021152876,0.22217516319351338,0.11389601892395189,0.007368300973573642,1.38809227037018,0.005285053153136822,0.009234169202728158,0.003934974407121668
17.0,0.6407592147975486,0.42196462437806226,40.29552,40.29552,0.18181023556662734,0.1123977344241661,0.5318232994960341,0.25553203099774363,0.32087735332839606,0.6906093330502293,0.3341448414805852,0.300080763877434,0.2085776181029527,2.327977184422633,0.6585509404082256,0.2118925758035219,1.8604037068670687,0.26907169117647056,0.2723921058338755,0.487151175737381,0.3467274497647166,0.22077180690051845,0.11389601892395189,0.009678782634237769,0.29305014573037624,0.008324305258836935,0.009700236446879559,
18.0,0.6286456934760181,0.5362674301358555,42.28208,42.28208,0.5426336261527032,0.1123977344241661,0.5457128027387202,0.2658299838839273,0.3327105039681609,0.6991857756352056,0.3276327161785376,0.30658109259346095,0.2040296328293692,2.446575469202815,0.6579191759086268,0.21149637851425274,1.8569251191779441,0.26692995702172145,0.2719153159113464,0.4883025288581848,0.34270873854839656,0.21864389834341383,0.11389601892395189,0.009290699015032029,0.9885494052432477,0.006172052327080859,0.009305103256430905,
19.0,0.6090904352002091,0.5673541473441368,42.94768,42.94768,0.18181023556662734,0.1123977344241661,0.5570209272745046,0.2797737874392727,0.34172776199102867,0.7104230684349454,0.30784372895548107,0.312060733573672,0.19268144945738505,2.5985175150662494,0.6579135537542463,0.21131650346811848,1.8553458274008157,0.26719515038470504,0.27165043432482233,0.5262634754180908,0.338928108621756,0.21645800587865052,0.11389601892395189,0.00835190427501055,0.27294803597033024,0.006012871328484773,0.008388879293724234,
20.0,0.6368073999210584,0.5610020044625523,46.60336,46.60336,0.9985577553428608,0.1123977344241661,0.5442167372918112,0.239095407546942,0.30782157133575777,0.6761530798976337,0.3480792576689776,0.2855258487893962,0.21830538862466137,2.1618364009457416,0.657399063881177,0.21136928402997415,1.8558092374686506,0.2673407006818716,0.2720963729213042,0.5199609398841858,0.3507336367635448,0.22276149276839,0.11389601892395189,0.006620917457291224,1.3744462702888995,0.005227336644678501,0.007809077167944685,0.004658561957771461
21.0,0.6420759871178116,0.512336229861007,46.62384,46.62384,0.005594161094357764,0.1123977344241661,0.5421944842839705,0.2594435916495154,0.32537605262488867,0.6929902375540002,0.32616979876278773,0.30327622853466296,0.2043488421518729,2.3648432820654834,0.657533832443435,0.21134068837306114,1.8555581693700183,0.26821742226441964,0.272314270443613,0.5226749181747437,0.3491574860409909,0.22174313447032049,0.11389601892395189,0.006904825987484656,0.0075187471229583025,0.006484177238206968,0.007358739676942268,
22.0,0.6202026731377127,0.4998713603987084,48.6104,48.6104,0.5426336261527032,0.1123977344241661,0.583367131820184,0.26978163767224694,0.3328431665038484,0.6997953425047205,0.33526417822386567,0.3000664072589953,0.2100708897076286,2.4904709775291076,0.6569156590000728,0.21026641246850059,1.8461260933878205,0.26926626672819565,0.27211601845748185,0.5247685313224792,0.3462558469129345,0.22031206791873245,0.11389601892395189,0.008683255854290584,1.0185180136468261,0.005302126225608319,0.008700228338113614,
23.0,0.6095675461301385,0.6669884852225357,48.63088,48.63088,0.005594161094357764,0.1123977344241661,0.596186700527063,0.28474977012987857,0.3461043058044867,0.7142659741621266,0.3477513701577018,0.3017388735983523,0.21768900628430793,2.643571932153102,0.6570430359352546,0.2103045225987336,1.8464606979735916,0.26926159129937033,0.2727881140409584,0.5288008451461792,0.3475026499051213,0.22120567787845538,0.11389601892395189,0.006112542355803639,0.007222226122394204,0.005307329014089465,0.006964783781186894,
24.0,0.6428088137741498,0.5322399526259107,52.29184,52.29184,1.0,0.1123977344241661,0.5373160104319462,0.24183360020198005,0.30864268316838145,0.67634040445563,0.3298842662203378,0.28758311968312555,0.2067652503819377,2.181266645554886,0.6547519578274169,0.21007291210831397,1.8444271721962395,0.26819824470831183,0.2698291252231574,0.4978593587875366,0.3275917967610525,0.2087936523675884,0.11389601892395189,0.005928870200697455,1.2917723082464363,0.005163464295900862,0.006527060869570386,0.0050062161495416585
25.0,0.6400361594541693,0.744102398063659,52.31232,52.31232,0.005594161094357764,0.1123977344241661,0.5351515397176267,0.2545211746937651,0.3225212995767093,0.6913856732779156,0.3284382892182932,0.2990403619646542,0.2059759090665462,2.3164995429049116,0.6551035934652294,0.2102306279263566,1.8458119073215993,0.26804123711340205,0.2701965065502184,0.5129410624504089,0.3286804269187985,0.20967443832150087,0.11389601892395189,0.00631118318576417,0.007891219109296799,0.006459809587417023,0.006160875153901014,
26.0,0.6194809791175502,0.6505776684138672,54.29888,54.29888,0.5426336261527032,0.1123977344241661,0.5675375058712488,0.2719229981804555,0.33342241139753154,0.7054922174390129,0.34869483192061534,0.30829052722271,0.2171390341832758,2.4980510141682775,0.6544813665489544,0.2097113136062753,1.8412523597185522,0.2670540677109651,0.26966292134831465,0.5088814496994019,0.33529672176890774,0.2137806474139603,0.11389601892395189,0.008712161101418724,1.1081961565651,0.0057670241589755375,0.008727145693636258,
27.0,0.6038816663188091,0.7028664981153602,54.31936,54.31936,0.005594161094357764,0.1123977344241661,0.5779270424754308,0.2927327317595674,0.3509485997381358,0.719143425948231,0.33259967964018305,0.31665904476279244,0.20674874761681103,2.7088659306681473,0.6544095460366347,0.20949923135672183,1.8393902906878947,0.2670368500757193,0.26992561105207225,0.4879836440086365,0.33472478159611585,0.21348847827272996,0.11389601892395189,0.005299045675201234,0.00709102232940495,0.005043636489722851,0.00555151932963447,
28.0,0.6387260936448861,0.6710349727333835,57.97504,57.97504,0.9985577553428608,0.1123977344241661,0.5354787379634537,0.24337484712030089,0.31045636225440304,0.6796139795553984,0.3241959482679919,0.2901998010929611,0.20436109440682496,2.187389492941201,0.6553073840120687,0.209868969086901,1.8426365650851242,0.2674505879409557,0.2696372465009997,0.5260225534439087,0.3254085885877098,0.20865982952818923,0.11389601892395189,0.0057813549332535585,1.360063477884978,0.004925200398403496,0.006451414031327603,0.0035231632705162714
29.0,0.6396831310821545,0.6905994263123026,57.99552,57.99552,0.005594161094357764,0.1123977344241661,0.5520883829939508,0.25970223123529107,0.3255207819744552,0.6966733860624781,0.323492848819451,0.3047517204972482,0.20274771273793638,2.348643936603224,0.6552709906020168,0.20982554767047773,1.8422553277351843,0.26743170762130475,0.26994175740693843,0.5029547214508057,0.3263391466755332,0.20924104662563892,0.11389601892395189,0.006014604019812865,0.008556362241506577,0.005579243929786858,0.00646986308221486,
30.0,0.6203324558470337,0.7187737332542378,59.98208,59.98208,0.5426336261527032,0.1123977344241661,0.5497532717419389,0.2809031001738853,0.3440606588819243,0.7120316774231236,0.3303601899753395,0.3141106773823369,0.20409567926321437,2.5801808563412334,0.6542364890971116,0.20859048193180948,1.8314115269567488,0.2677961815653053,0.26935146443514646,0.5059217810630798,0.32666551463714316,0.2089035587464687,0.11389601892395189,0.006826903770320917,0.9434986766427755,0.004313157958637762,0.006840729475180751,
31.0,0.6024871707174525,0.7332163226460428,61.30304,61.30304,0.36082339058607577,0.1123977344241661,0.5471505425800084,0.297630116383866,0.3576707562357891,0.7218924190267434,0.3130008436558923,0.3274047661064869,0.19346093914423024,2.76690799366509,0.6540636203993646,0.20819830937438896,1.8279682761642662,0.2688837329208559,0.2697228144989339,0.5061541199684143,0.3248173761116333,0.20764305802439387,0.11389601892395189,0.008141612452050513,0.838474553078413,0.0039088795737948,0.008173001646210971,
32.0,0.6398752055626307,0.8070088876590156,64.964,64.964,1.0,0.1123977344241661,0.563815493813245,0.24626546337969515,0.315026313145367,0.682570918037507,0.3447590772604101,0.28770258144859023,0.21833767878417837,2.2098322433333943,0.6557849659475647,0.21002153187123407,1.8439760568933052,0.27029438001784123,0.2737241099228374,0.5418025851249695,0.3424142626082269,0.22117753612127877,0.11389601892395189,0.005655991073495759,1.4639971916694776,0.004731436466559756,0.006347950530089114,0.003701478076615127
33.0,0.6425672641871769,0.9326610747529896,66.28496,66.28496,0.36082339058607577,0.1123977344241661,0.5538804619547852,0.26359179376903824,0.3310208280137134,0.7018007955252069,0.33799172373145075,0.30492549347343983,0.20996360308408973,2.381394171473309,0.6551151640597357,0.20942910906528836,1.8387746213072091,0.2699331848552339,0.27300541303836195,0.5116596221923828,0.3439066712186509,0.22119382925214143,0.11389601892395189,0.006239326294085783,0.6932779029011726,0.005100122682523196,0.006247633210081962,
34.0,0.6176899184601414,0.7991541087993477,68.27152,68.27152,0.5426336261527032,0.1123977344241661,0.5626303545778993,0.2790386770363439,0.3400790578476231,0.7137550140088427,0.3459722058225101,0.3059388693363575,0.2158027102743352,2.549296867472655,0.6550938048928705,0.20967079935553462,1.8408966471034545,0.2708424268878219,0.2735504797945668,0.5466687679290771,0.3439813039578545,0.22223915416407133,0.11389601892395189,0.006580966771452735,1.0419001784175634,0.004053313922031494,0.0065941206579029745,
35.0,0.6015398073160725,1.0033816349885563,69.59248,69.59248,0.36082339058607577,0.1123977344241661,0.5834947856193521,0.30392874234116535,0.3576753417119962,0.7305471949313643,0.3305095588342363,0.3185930376444045,0.20424440563453827,2.8023735960467047,0.654444169973991,0.20825171323243705,1.8284371587341102,0.2706321334503951,0.27388609519354457,0.5135482549667358,0.34410495292460036,0.22178334482498382,0.11389601892395189,0.00667203262920841,0.8027391966897994,0.0036901104947196506,0.0066933998203492365,
36.0,0.6390420448003382,0.9675347065121661,73.24304,73.24304,0.9971592150692714,0.1123977344241661,0.5662071445402368,0.2504406731685432,0.3159061625975813,0.6861940063655249,0.34100494761842837,0.28653348950179863,0.2147760681898456,2.241651301558686,0.6531527811919258,0.2080009952915664,1.8262358707238766,0.27078651685393257,0.27223320158102765,0.5227403044700623,0.3432465544982644,0.22080866153905745,0.11389601892395189,0.005400629968229844,1.5475369223859161,0.004441032919597944,0.006068247207340474,
37.0,0.6395521327039634,0.9899046236425383,75.20912,75.20912,0.5370394650583453,0.1123977344241661,0.5562687144968177,0.2692373887985692,0.33486632163497615,0.7062255421714387,0.3342894743621593,0.30580500278055006,0.20706397439404095,2.435409244509948,0.6529110913008255,0.20723471822754247,1.8195080055073094,0.26928312159709616,0.2718204488778055,0.5212691426277161,0.3435982723535082,0.22011433853680856,0.11389601892395189,0.005806905591800146,1.0025809109210968,,0.005806905591800146,
38.0,0.6100886548372249,0.7600669522234231,77.19056,77.19056,0.5412350858791136,0.1123977344241661,0.5597712378519897,0.2847108300771406,0.3407874296854061,0.716111100714806,0.31428089567323547,0.31878491881087595,0.1955111132998599,2.6083949250994465,0.6532498010033437,0.20690141679893667,1.8165816395837704,0.2690730106644791,0.27231971307800695,0.5204290747642517,0.33326599406249735,0.21460916703602395,0.11389601892395189,0.006231027388954131,1.1183183072134852,,0.006231027388954131,
39.0,0.5920847859913746,1.0001820877269059,79.15664,79.15664,0.5370394650583453,0.1123977344241661,0.5946931178011632,0.30605710623620236,0.3574072856724678,0.7308665226777376,0.322268610758252,0.31219534980464414,0.20187076199889656,2.832765966965442,0.6530389200162701,0.2061198720497488,1.809719725035996,0.2709618460132511,0.2727477986001355,0.4975261092185974,0.33294583531684835,0.21527621891228646,0.11389601892395189,0.006737372296615225,1.2560746371746063,,0.006737372296615225,
40.0,0.642600311609846,1.2047325366425725,82.8176,82.8176,1.0,0.1123977344241661,0.5671186496170156,0.25382043580581454,0.31760091487578573,0.6881985681919176,0.34369059957568565,0.2922847492430289,0.21525865830026988,2.270460250722001,0.652441415519927,0.20745218111601998,1.821417316214848,0.26879589695768735,0.2711948438274665,0.5135802626609802,0.341250933261653,0.21869931580921997,0.11389601892395189,0.004860270781046094,1.5545466288767784,0.0042255530737856,0.005271124446529378,0.004636941069564307
41.0,0.6396404696659577,0.9233809286490315,82.83808,82.83808,0.005594161094357764,0.1123977344241661,0.5480930099909677,0.27413572554743476,0.33511061301273687,0.7066840476798595,0.3277888277326367,0.3075222233790035,0.2043150369880591,2.4813928771146014,0.6527264386678927,0.20774290431468417,1.8239698479135924,0.26994009162457416,0.27083333333333337,0.5363752841949463,0.34024385749192027,0.21788521305640157,0.11389601892395189,0.00459810761199391,0.008314648177474737,0.004601890008305739,0.0045943147711479445,
42.0,0.6130574614660642,0.8203788581994917,83.52416,83.52416,0.1874043966609851,0.1123977344241661,0.5789932678224454,0.2933569941682728,0.346588560701702,0.7204833244739222,0.3383559813012607,0.31125271607627025,0.2098404573046907,2.6777534021812324,0.6527872784099383,0.20775813961490694,1.8241036129070198,0.26941326235389423,0.27138320008761363,0.48942044377326965,0.3382178308045032,0.21726838319247,0.11389601892395189,0.006030721303975449,0.3278353463392705,0.00384041171195011,0.006093322934895509,0.00421685507364877
43.0,0.5903778264571385,1.016432912268195,83.54464,83.54464,0.005594161094357764,0.1123977344241661,0.5950897314906344,0.3149318222240128,0.3610266768134798,0.737508130954156,0.3184966876180613,0.3268500206060377,0.19680424580330605,2.893503671819438,0.6528930702881238,0.20790939848712792,1.825431656447523,0.2698117592377411,0.2711032319650893,0.5371545553207397,0.3380158204005774,0.21719086179872257,0.11389601892395189,0.004087679745361087,0.007877407362684608,0.0032264418391144438,0.00494263021407264,
44.0,0.6389407293768756,1.1561771777438095,87.20032,87.20032,0.9985577553428608,0.1123977344241661,0.541847315537547,0.2550686307684945,0.3175812371337935,0.6872173292954566,0.3262683531781687,0.2929853640402885,0.20421817863947633,2.2752947030344584,0.6506622922959067,0.20626877778690633,1.8110271081962181,0.2695871946082561,0.27040254496512905,0.5038391351699829,0.3271832546997606,0.20987300922792607,0.11389601892395189,0.004261483365444825,1.4265740613918751,0.00365438526276159,0.004665181881129386,0.003845703112457392
45.0,0.6382671607247133,0.9260347892305907,87.2208,87.2208,0.005594161094357764,0.1123977344241661,0.5619467022097882,0.27103885067614364,0.33106823632132326,0.7088783932162164,0.34264402793072124,0.30599988072591144,0.21304971725644764,2.44531857914682,0.6506403684037132,0.20630875488461195,1.8113781046408992,0.2689316903935878,0.2713255409102213,0.5082647204399109,0.32884057175709874,0.21083981701404098,0.11389601892395189,0.004228911064708657,0.008462593425065279,0.003980370600780234,0.004480647481676684,
46.0,0.6147964347809827,0.9866852514535113,88.56224,88.56224,0.36641755168043355,0.1123977344241661,0.538993397915866,0.28560167353221616,0.3416216101493455,0.7204356895367594,0.31593020057095866,0.3163749968959308,0.19493354762045162,2.603381392106365,0.6502353599476416,0.20571725978574396,1.806184814265553,0.2696377443047429,0.27163171848638223,0.49291443824768066,0.31960116979630016,0.20541857017250711,0.11389601892395189,0.005128282819940565,0.7872774563729763,0.00313285179840154,0.005148105398834556,0.003792149391506653
47.0,0.5935001384091272,1.1235506661965822,88.58272,88.58272,0.005594161094357764,0.1123977344241661,0.5660179784081879,0.3101588422177932,0.3593521366205042,0.7374518705489391,0.3054035798663873,0.3323355921972154,0.19085077118071753,2.861975566057598,0.650479095399376,0.2056813190635644,1.8058692569482815,0.2708511417755526,0.27106315917080853,0.4980708062648773,0.3198668135828717,0.20603652762802901,0.11389601892395189,0.0035496882136897183,0.0074356477707624435,0.002939351601830449,0.004162147473730708,
48.0,0.6415232649135572,1.1677107335701253,92.24368,92.24368,1.0,0.1123977344241661,0.5217179953676861,0.25452209669002857,0.3173281243988684,0.6895311155861348,0.3133130186110209,0.2961937083431797,0.19605504735353646,2.269398382060559,0.6504866125209696,0.2033876868859405,1.7857313083237967,0.26814644725092485,0.27053571428571427,0.4780156910419464,0.31101572412751494,0.20024303284368167,0.11389601892395189,0.0042217544798158115,1.4960465255389863,0.0034396185664469932,0.004742934785507046,0.00407045824569969
49.0,0.6434798568840832,1.0948239827726702,92.26416,92.26416,0.005594161094357764,0.1123977344241661,0.5681482243792976,0.27652008947559015,0.3344663767636113,0.7117464456512258,0.33362634046873,0.30458739710394767,0.20790696359752245,2.4892520817045005,0.6506591674824229,0.20357001936968275,1.7873321762510943,0.26613605272976,0.2704237658366099,0.4787505865097046,0.31583090604278374,0.20307970991285354,0.11389601892395189,0.003835602071444647,0.008345981128513813,0.0036532492952756133,0.004024219977115962,
50.0,0.6109707110750425,1.0221606503148535,93.6056,93.6056,0.36641755168043355,0.1123977344241661,0.580817935639691,0.29219560580884163,0.35077888332875606,0.724511489713,0.33832832452131323,0.3064222558266929,0.21036264040191152,2.648701664153251,0.6509583589614053,0.2043588576591835,1.7942581276316025,0.2655858862796519,0.2705377763114484,0.48650062084198,0.3208623894639498,0.20631921487569135,0.11389601892395189,0.004646916191414069,0.76056435611099,0.002775394876817742,0.004666024016540967,0.003330060022173396
51.0,0.5921182359015373,1.0515838562880844,94.26608,94.26608,0.18041169529303788,0.1123977344241661,0.6150178479240553,0.3091758124845303,0.36443094224527633,0.7405290585602924,0.32966393979603,0.3208107481989204,0.205789932663284,2.8250358004823,0.6506682281865807,0.2043647400321686,1.7943097745025,0.2678135534116006,0.27023470059223514,0.48889508843421936,0.3212512182889741,0.20815493885198436,0.11389601892395189,0.006094971097028658,0.34849178814329207,,0.006094971097028658,
52.0,0.5724716662261238,1.3590163014390158,96.268,96.268,0.5468292469734715,0.1123977344241661,0.5831249610049082,0.3176204191006606,0.3673811213368817,0.7467485454939988,0.3249080704014651,0.3277518753852659,0.20133807718139712,2.9191205356649164,0.6506119062471623,0.2041784042349143,1.7926737577302305,0.2694154855335598,0.27096774193548384,0.48364248871803284,0.3178148940011753,0.20889292776448576,0.11389601892395189,0.004878253689584259,1.124365647090599,0.0027732816104943385,0.004895226590853346,0.002901053846222878
53.0,0.5497438480400002,1.7093564195194861,96.92848,96.92848,0.18041169529303788,0.1123977344241661,0.627578598551588,0.3372023602819072,0.3819165712836044,0.7549802079763346,0.32737342565279226,0.3229457851847769,0.20491039216608875,3.123205778663166,0.6504941421920147,0.20412808614722575,1.7922319680332426,0.2689324817518248,0.27045404694011843,0.49206387996673584,0.31724983773409077,0.2100023041834994,0.11389601892395189,0.005702866514608289,0.35792416729964316,,0.005702866514608289,
54.0,0.5322693441602584,1.9645468195783677,98.90992,98.90992,0.5412350858791136,0.1123977344241661,0.6070027035576055,0.3563252386553541,0.39157903342694717,0.7711718835134278,0.301289379258865,0.34943800981342005,0.1861236061770769,3.3253259236447223,0.6487455392346311,0.20224051194569947,1.7756591833182072,0.2691029900332226,0.2696475419185582,0.4920215904712677,0.3102473006180992,0.20542260778770355,0.11389601892395189,0.005723240382248566,1.3753293312620372,,0.005723240382248566,
55.0,0.5088879152440231,2.5399864211029684,99.5704,99.5704,0.18041169529303788,0.1123977344241661,0.6256051807451577,0.3824058132614259,0.4086225371639924,0.7829726200109501,0.3002288324030808,0.35518128569402535,0.18418764350657932,3.5874345233577807,0.6486656996226481,0.20219965448916885,1.7753004573775057,0.26879542475872753,0.26999999999999996,0.47818106412887573,0.3123129509696466,0.20640815415372676,0.11389601892395189,0.006610160811610458,0.44851686526089907,,0.006610160811610458,
