round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best,fed_auprc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6888336595112156,0.09271855119092012,3.65056,3.65056,0.9971592150692714,0.49677678290350014,0.62288372847601,0.11010387157695939,0.24337242555357444,0.21805088126728278,1.7496160052793692,0.27110833066379875,0.19544827922994604,0.3830389368785489,0.4171139458593561,0.11270338182996502,0.9895287200970282,0.19625803936854413,0.20473581744917826,0.4959345757961273,0.39459171892412415,0.2568167360583962,0.11389601892395189,0.02707474247493362,2.914033222477883,0.022892616499408346,0.029836629057595217
2.0,0.6836805630189716,0.12085353585211131,7.30112,7.30112,0.9971592150692714,0.5402527960133995,0.6544391578613915,0.11010387157695939,0.2448447375502414,0.2542157984844726,1.9088760260057471,0.29330705550761355,0.21002605826762982,0.387287966960025,0.48346731462665204,0.14686995237257683,1.2895090957537467,0.20410934105720493,0.20464821848435522,0.4995955526828766,0.4033941018037812,0.2633127695189291,0.11389601892395189,0.020645659505710096,2.358632519142702,0.016532744874081552,0.023379983424769334
3.0,0.6752481010397289,0.16024537936657798,10.95168,10.95168,0.9971592150692714,0.5521755209256538,0.6650060204504099,0.11010387157695939,0.23057959665736666,0.26644886751246444,1.9334016567352141,0.29221164711507,0.21293747521837986,0.36696297944079864,0.49482178247493164,0.15491093764481353,1.36010844899019,0.20174043230092636,0.20456612697835183,0.4978906214237213,0.4058157468851262,0.265237514511937,0.11389601892395189,0.014433321245876098,1.7668795583304018,0.011927631398216506,0.01612752534694646
4.0,0.6650519343904292,0.23629708275486044,14.60224,14.60224,0.9971592150692714,0.5544416678863612,0.6687994473197254,0.11010387157695939,0.22860505979162837,0.27253018916646393,1.970802633457073,0.2959127733302033,0.21632896380357083,0.3650412953937433,0.4913812122358761,0.16043966199918736,1.4086503067882694,0.20223132325942664,0.20470375395748533,0.49692270159721375,0.39987126045722865,0.26040947337113285,0.11389601892395189,0.011457436573594148,1.4894069000147283,0.011108851965505285,0.011699833150581056
5.0,0.6595096024171913,0.24941387354666134,18.2528,18.2528,0.9971592150692714,0.564168834813856,0.6711067585417788,0.11010387157695939,0.22584908390275932,0.2746282182652137,2.006295903298216,0.29676152534482664,0.21881336470231277,0.3599487599211742,0.46810778965050726,0.1251707754688179,1.0989916649535763,0.2046381012772896,0.20475585405699762,0.500450074672699,0.4129192870875431,0.27184091506124375,0.11389601892395189,0.00886112483937858,1.219135212362744,0.008708583447299266,0.008971350978554624
6.0,0.6550244556899872,0.31650266263593496,18.2528,18.2528,0.0,0.5324183016405715,0.6874214680764799,0.11010387157695939,0.21411102523493217,0.28380632164466413,2.084962152310386,0.3062142837846951,0.22709889605053998,0.34187074850518856,0.46810778965050726,0.1251707754688179,1.0989916649535763,0.2046381012772896,0.20475585405699762,0.500450074672699,0.4129192870875431,0.27184091506124375,0.11389601892395189,0.0,0.0,,
7.0,0.6318227466062182,0.33200473574637596,18.2528,18.2528,0.0,0.5310150859901505,0.6993160932507793,0.11010387157695939,0.21041489837887226,0.2933893064219891,2.240179288327094,0.3195672606679673,0.2386947911422857,0.3387229668147109,0.46810778965050726,0.1251707754688179,1.0989916649535763,0.2046381012772896,0.20475585405699762,0.500450074672699,0.4129192870875431,0.27184091506124375,0.11389601892395189,0.0,0.0,,
8.0,0.6168534898932708,0.47104139586673266,18.2528,18.2528,0.0,0.5667785686725411,0.7075924957043214,0.11010387157695939,0.21424605009501604,0.30184981259731225,2.334875214352664,0.3266459521503779,0.2486266012744919,0.342231753840339,0.46810778965050726,0.1251707754688179,1.0989916649535763,0.2046381012772896,0.20475585405699762,0.500450074672699,0.4129192870875431,0.27184091506124375,0.11389601892395189,0.0,0.0,,
9.0,0.6502478956061082,0.27467511061828287,21.90336,21.90336,0.9971592150692714,0.5692096160367708,0.6789189076897016,0.11010387157695939,0.21942997210263973,0.2744636751339193,2.0881893057841308,0.30150248277171887,0.22335526335857345,0.3501794174730983,0.48094046996893614,0.13181511881283084,1.1573285884631621,0.20447835763273833,0.20473083197389885,0.49914056062698364,0.41243835650258803,0.2712838474468114,0.11389601892395189,0.009234301718603987,1.3328969933791086,0.007867122214403124,0.01025630541465985
10.0,0.6455932415018779,0.32118757974542617,21.90336,21.90336,0.0,0.5454328768314113,0.6915158104997944,0.11010387157695939,0.21403609113513383,0.2881898513484638,2.1814076042139003,0.3160759347593478,0.232962979315653,0.3419881047413039,0.48094046996893614,0.13181511881283084,1.1573285884631621,0.20447835763273833,0.20473083197389885,0.49914056062698364,0.41243835650258803,0.2712838474468114,0.11389601892395189,0.0,0.0,,
11.0,0.6325437448182203,0.4103608116337637,21.90336,21.90336,0.0,0.5577770795055181,0.7005133219865988,0.11010387157695939,0.21207871260775493,0.29551349062167415,2.27009414486495,0.3258195934558686,0.2420723084453113,0.3362731530676107,0.48094046996893614,0.13181511881283084,1.1573285884631621,0.20447835763273833,0.20473083197389885,0.49914056062698364,0.41243835650258803,0.2712838474468114,0.11389601892395189,0.0,0.0,,
12.0,0.618691079186259,0.5262622718672129,21.90336,21.90336,0.0,0.5661572285613286,0.7087503393089462,0.11010387157695939,0.21225113731740655,0.30174271288795873,2.3642928079482513,0.33235669293115944,0.25167534358523486,0.3392730969026905,0.48094046996893614,0.13181511881283084,1.1573285884631621,0.20447835763273833,0.20473083197389885,0.49914056062698364,0.41243835650258803,0.2712838474468114,0.11389601892395189,0.0,0.0,,
13.0,0.6438084675731869,0.3418935128080479,25.55392,25.55392,0.9971592150692714,0.5696928280121056,0.6800019144326658,0.11010387157695939,0.2243672489001225,0.2769307832865386,2.056153594039002,0.30179564292194877,0.2228782520391814,0.3575918117764989,0.46042102456836287,0.11478661622957914,1.0078193892467997,0.20456497175141242,0.2045649717514124,0.5003086924552917,0.41847566446022527,0.27706270175950215,0.11389601892395189,0.00903764509189591,1.3824259189423174,0.006808741923426193,0.010740742322093625
14.0,0.6442972921017792,0.3327929876681524,25.55392,25.55392,0.0,0.5584235982021372,0.6906548900307368,0.11010387157695939,0.20284129664350226,0.2873392673441124,2.1763760276001416,0.31185201846836924,0.23282041388243174,0.3225062302607183,0.46042102456836287,0.11478661622957914,1.0078193892467997,0.20456497175141242,0.2045649717514124,0.5003086924552917,0.41847566446022527,0.27706270175950215,0.11389601892395189,0.0,0.0,,
