round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_f1_best_threshold,fed_auprc_lift,fed_ece,fed_brier,fed_prevalence,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6879392731032907,0.09579567005847082,0.4589,3.66096,1.0,0.25783489937783594,0.2786476131190981,0.4761547703799996,1.874174437252388,0.34118485413046284,0.21258533592683695,0.11246066708621773,0.20925430595218322,0.6489960529539239,0.6496708479599285,0.1988147967033136,1.7455816154211832,0.2589515032482248,0.27177615571776154,0.48076826333999634,0.339518737177093,0.21296172980871006,0.11389601892395189,0.031582860368969186,3.3991255328637635,0.029019193929986843,0.0335042103217206,0.012883376511476356
2.0,0.659251416432834,0.22449564161573052,0.9178,7.32192,1.0,0.266809477504811,0.2915888544113632,0.5189810947062009,1.9763835501819458,0.3606014750133601,0.2270901306879619,0.11246066708621773,0.2181547826555512,0.6564837744786567,0.6583062511981589,0.20536568885416007,1.8030980432361052,0.27363972530375064,0.2754863813229572,0.5060328245162964,0.35898875369117983,0.22733686995892216,0.11389601892395189,0.02931032661819165,3.394984130483863,0.03322423169321879,0.026933474498518982,0.0092035640716204
3.0,0.6474056003268103,0.2737422918906617,1.3767,10.98288,1.0,0.2734413301731703,0.29664717654924333,0.49604551541947794,2.0306960775335594,0.3259897180562727,0.20393808346978148,0.11246066708621773,0.22348035294669827,0.6600147496567499,0.6600956273242526,0.20850036610984102,1.8306203156148613,0.2722199537226079,0.2776046304541407,0.471748411655426,0.3239574530949151,0.20430206348692706,0.11389601892395189,0.027644510835716014,3.4976652888872195,0.03200431217003237,0.024753182938960606,0.009788592762937092
4.0,0.6450603691271894,0.31005774090354965,1.8356,14.64384,1.0,0.2781838732311971,0.29826489970054254,0.5070774201517061,2.0749867324116935,0.3312600581553313,0.2076050783858942,0.11246066708621773,0.2271281829144688,0.6623691504727586,0.6613517395974708,0.2108763406682254,1.8514812252483297,0.27542640555906506,0.278041074249605,0.4943806231021881,0.3291752872238331,0.207823117927776,0.11389601892395189,0.025770902422331685,3.4571890157549205,0.02984795312113257,0.023031755718958734,0.008498400075066664
5.0,0.6434030273159167,0.305824681063376,2.2945,18.3048,1.0,0.2745131034866296,0.29780971315663074,0.522121764125878,2.087270148188852,0.352952404560309,0.22253910748961017,0.11246066708621773,0.22898138666799656,0.6639418734428603,0.661600494829902,0.2114261969352756,1.8563089292562929,0.2726033621081327,0.27484041912561724,0.511302649974823,0.3507240315465864,0.22285624360643674,0.11389601892395189,0.031152845036741608,4.862266299620387,0.04172742807536194,0.021598894167148025,0.009652620078808186
6.0,0.6416535565485986,0.3184258447085041,2.7534,21.96576,1.0,0.2764582875096468,0.297906456382772,0.5300081418624383,2.0877200874358364,0.34816785770778463,0.22034546760981155,0.11246066708621773,0.22958540295843718,0.6661078393791529,0.6613821092706865,0.21209866404177788,1.8622131488493525,0.2704695803058237,0.27431141090500283,0.5424605011940002,0.34591461969847476,0.22062161002897432,0.11389601892395189,0.021118963881263247,3.337591235856962,0.021044984141400578,0.021266111698415673,0.01090202397075676
7.0,0.6386991224381113,0.36044814637537204,3.2123,25.62672,1.0,0.2845538607372149,0.3001371702085185,0.5289206327470762,2.0928855184050534,0.34507817064556706,0.2167477067718666,0.11246066708621773,0.23106498117012308,0.669667348597869,0.6613417000360772,0.21266891792147943,1.8672199426345006,0.2724275156338829,0.273921200750469,0.5054188370704651,0.3429368088185274,0.21739026436367462,0.11389601892395189,0.021603658277557607,3.7088685882135906,0.020140152840478244,0.022987358035562403,0.0095113433660529
8.0,0.6399234841586681,0.3874401155573023,3.6712,29.28768,1.0,0.287557983558085,0.3074169260595028,0.523365994021906,2.1275738216410613,0.3338484493346241,0.2091792910069437,0.11246066708621773,0.234923381695278,0.6721415970535788,0.6612817889534606,0.2125716651681016,1.8663660694763635,0.27184466019417475,0.2735906243685593,0.46315810084342957,0.3317974868956915,0.21019869758432844,0.11389601892395189,0.021106100697518265,3.743545605066174,0.019981847676148523,0.02214421934243315,0.009799501107241999
9.0,0.6397409572635666,0.45101534585181186,4.1301,32.94864,1.0,0.2878534306459226,0.30373057011404647,0.519094497809401,2.1213437431941475,0.32980921775515226,0.20703295952635295,0.11246066708621773,0.23451855903730406,0.6719099217037966,0.6595337381719534,0.2117466977415211,1.8591229065074162,0.27397599307016457,0.2753789326200484,0.5054721236228943,0.32727660885067283,0.20796171675681918,0.11389601892395189,0.03710984883705706,6.911439564526518,0.05325788646912931,0.022832916046718027,0.010028553314779884
10.0,0.6392105881241573,0.43300050180178157,4.589,36.6096,1.0,0.2877081860539733,0.3070213786549415,0.521231217685175,2.147295204498183,0.33670716181706895,0.21139756994298875,0.11246066708621773,0.23789822840016428,0.6730000445603074,0.6592494679910923,0.21009857373799018,1.8446524797172457,0.27406955460646737,0.2753776835409488,0.5165011882781982,0.3341365657760666,0.21265517921289492,0.11389601892395189,0.022592805347647463,4.302799761167989,0.022706292289802626,0.022599501732158987,0.007824327360913621
