round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_brier,fed_f1,fed_auprc_lift,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6881405322651363,0.10819355917721618,3.65056,3.65056,0.9971592150692714,0.11455186304128903,0.6070310263277223,0.5139590595273933,0.20256084597049437,0.24431041662497097,0.21745473758787345,1.7499947450013367,0.3813105307684504,0.27599599770025274,0.5326856870842398,0.12512568049209344,1.0985957338477261,0.0,0.20847704453130989,0.47204065322875977,0.3580118967888129,0.22908802302756212,0.11389601892395189,0.027907570875160614,3.014409556053579,0.023091821698048604,0.031127813687042136
2.0,0.6810108537877775,0.14067174506475305,7.30112,7.30112,0.9971592150692714,0.11455186304128903,0.644732280480342,0.5469494928462357,0.22403977450602525,0.23444454858179156,0.24925288392702435,1.9502726268377912,0.36971324024401214,0.29512066924548985,0.4413670790433242,0.10406003072326467,0.9136406320992247,0.0,0.20451875282422052,0.38246622681617737,0.3593633276922209,0.23040496882501188,0.11389601892395189,0.01985767714085829,2.282706562196836,0.01521597749060801,0.02298852701118692
3.0,0.671654530651532,0.19852760237576836,10.95168,10.95168,0.9971592150692714,0.11455186304128903,0.6590595914810584,0.549031383100023,0.23265134218971914,0.23235564985901372,0.2692494092188128,2.020362944711452,0.3672604141578694,0.2986221641513954,0.452774518127407,0.10748991624706782,0.9437548148090987,0.0,0.20451875282422052,0.39267072081565857,0.3595364903673515,0.23053711880174135,0.11389601892395189,0.014153174030725866,1.748263505520299,0.01247838938768892,0.015301164999762059
4.0,0.6642195818916039,0.22762911831839414,14.60224,14.60224,0.9971592150692714,0.11455186304128903,0.6675808940543305,0.5512185422750517,0.23834803397785984,0.22266380998494986,0.2738368435204134,2.0716070421698265,0.3529973649424534,0.3027720346707005,0.37217043119263615,0.0879834333025046,0.7724891013201343,0.0,0.20451875282422052,0.40595781803131104,0.36095607202134306,0.23209004992825755,0.11389601892395189,0.011285847604219426,1.4780454409774393,0.010627557360924111,0.01175334551360947
5.0,0.6583643640968281,0.26199470975198436,18.2528,18.2528,0.9971592150692714,0.11455186304128903,0.6742079310049309,0.5109744864156749,0.24681278645734198,0.21581617392843083,0.28848947708417805,2.1481303791882653,0.34352315581532156,0.3086394606158595,0.37227646151040483,0.08637275641839731,0.7583474579218454,0.0,0.20451875282422052,0.4370809495449066,0.3646191840362246,0.234386274895915,0.11389601892395189,0.010988590290181321,1.534218035521917,0.00988162402724757,0.011806139082789442
6.0,0.6536946238746671,0.2870478521315677,18.2528,18.2528,0.0,0.11455186304128903,0.689995828679109,0.5527873166929651,0.2638418484261395,0.22135911819052873,0.2941565194954716,2.3228957025115,0.35266420875665655,0.32088251137207546,0.37227646151040483,0.08637275641839731,0.7583474579218454,0.0,0.20451875282422052,0.4370809495449066,0.3646191840362246,0.234386274895915,0.11389601892395189,0.0,0.0,,
7.0,0.6331058954794134,0.3946731234644159,18.2528,18.2528,0.0,0.11455186304128903,0.6979633311445584,0.5484453300304883,0.2718018275083115,0.2098347846279349,0.3027180947975956,2.4029032324824025,0.3344631780734734,0.3313247170013749,0.37227646151040483,0.08637275641839731,0.7583474579218454,0.0,0.20451875282422052,0.4370809495449066,0.3646191840362246,0.234386274895915,0.11389601892395189,0.0,0.0,,
8.0,0.6214125534049504,0.5236275437713405,18.2528,18.2528,0.0,0.11455186304128903,0.7079356494904852,0.586718786549112,0.2814394490645001,0.21261532045176035,0.31028558668440276,2.482637831160905,0.3391997907574505,0.33534166332064475,0.37227646151040483,0.08637275641839731,0.7583474579218454,0.0,0.20451875282422052,0.4370809495449066,0.3646191840362246,0.234386274895915,0.11389601892395189,0.0,0.0,,
9.0,0.6500850610858231,0.30478649800210544,21.90336,21.90336,0.9971592150692714,0.11455186304128903,0.6763186484210272,0.551217914709947,0.2498100555622506,0.2289422753815522,0.27949364349565,2.197411310447919,0.3623225057876528,0.31152469300697117,0.4497119248253706,0.10357999373297733,0.9094259370218853,0.0,0.20450951154489178,0.454367995262146,0.3659734537964576,0.23496770411507872,0.11389601892395189,0.008670618915725344,1.2862609955482185,0.007564404294441207,0.00951495928627162
10.0,0.6463098535170836,0.334414165871641,21.90336,21.90336,0.0,0.11455186304128903,0.6896133339911278,0.5554215895989301,0.26514936834325614,0.21900951064111765,0.2968245471762437,2.334119461281305,0.3478695253315424,0.3223883507318152,0.4497119248253706,0.10357999373297733,0.9094259370218853,0.0,0.20450951154489178,0.454367995262146,0.3659734537964576,0.23496770411507872,0.11389601892395189,0.0,0.0,,
