round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best,fed_f1_best_threshold,fed_auroc,fed_ece,fed_f1,fed_auprc,fed_brier,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6879121221138456,0.11740789685549491,3.66096,3.66096,1.0,0.11318854265029901,0.2794359342927643,0.5033036372291618,0.6468105750052038,0.37139955171632205,0.25825051741887334,0.21231940767934715,0.23465112374120684,1.876490867645159,0.6541470491545459,0.20788733931486159,1.8252379782797103,0.27011943297242996,0.2759207487541024,0.5051934719085693,0.3705420589760809,0.23475365135497506,0.11389601892395189,0.024996743025776785,2.7226276110282015,0.022295523879310372,0.02691595544765702,0.011176884267126687
2.0,0.6635362070533833,0.19582491870478005,7.32192,7.32192,1.0,0.11318854265029901,0.2823531121627021,0.5082950679431144,0.6526746957562516,0.34728871871830724,0.26166568245986727,0.21891846240035462,0.21906226286127894,1.9424959840498057,0.6602053848291886,0.21390084394078104,1.8780361768711349,0.27728547392035896,0.2808328884143086,0.5257343053817749,0.34685295756713713,0.21926732641869962,0.11389601892395189,0.015699504108940877,1.8328005930343352,0.015723216264676414,0.015782694125037543,0.005230857236426699
3.0,0.6470639178986184,0.29801514002207574,10.98288,10.98288,1.0,0.11318854265029901,0.2855178721155211,0.5145092751513046,0.6559316719149111,0.34877457561116193,0.2605533400413273,0.22431948379132433,0.22085350398770032,1.9881781589416807,0.660412965310454,0.21764741313015634,1.9109308225731667,0.2738145195132186,0.27854205077294,0.543110728263855,0.34785318711895474,0.22103171764036442,0.11389601892395189,0.012443388229204476,1.5526105830549568,0.01265146547612141,0.012363142928737976,0.005585642675532834
4.0,0.6459473114386405,0.38364572684932885,14.64384,14.64384,1.0,0.11318854265029901,0.28922950061946406,0.5150027940736314,0.6589188520234518,0.3374863416941466,0.2671354579803832,0.22747020538272095,0.21372914522976585,2.007711298995209,0.6627947634049354,0.2208721615192736,1.9392439139312625,0.2813857897827364,0.2826915979825317,0.5068844556808472,0.33679228735033695,0.2141206335325994,0.11389601892395189,0.009932908457480587,1.3200964069283145,0.010108904902718213,0.009852384308837813,0.004654045636770805
5.0,0.6424775748513407,0.3656510063635893,18.3048,18.3048,1.0,0.11318854265029901,0.2897218803205509,0.5347885518937805,0.66087920433336,0.35621189770080924,0.2663189229713031,0.23120744738641455,0.22601563533205699,2.0445746603130472,0.662427252710669,0.22247814142587702,1.9533443181576449,0.2761721258831085,0.281948280190811,0.5299201011657715,0.3551699539751595,0.22619098266804732,0.11389601892395189,0.009341755800621639,1.31710558593295,0.00946083189276854,0.009293420847342318,0.004294997106281516
6.0,0.6446202867261838,0.41203655798837363,21.96576,21.96576,1.0,0.11318854265029901,0.29377321607969475,0.5330100865344563,0.6637645053695265,0.34580875325116645,0.2677851902652238,0.23271686103404193,0.2183515950302665,2.048641684029565,0.6648452685228777,0.22413295356018936,1.9678734663223165,0.282874251497006,0.2860501567398119,0.5149521231651306,0.34485476137233545,0.21876519868812158,0.11389601892395189,0.00826931427908293,1.2355821860610376,0.008227535283114741,0.008318605111184764,0.005815258332419113
7.0,0.639864201790598,0.3995279077709574,25.62672,25.62672,1.0,0.11318854265029901,0.29344797234999287,0.5144750861428165,0.6664827246074272,0.3482481467806396,0.27100005850624104,0.2362780454297867,0.21849190862855855,2.0791411624349374,0.6655364672259271,0.22599046902903608,1.9841823372240026,0.28517065049351886,0.2871419865935405,0.5032167434692383,0.34744882212007844,0.2190522851854878,0.11389601892395189,0.008790676901323825,1.3896487478532435,0.008310104050833765,0.009196972395305791,0.004597127470278856
8.0,0.6396248846289064,0.3858356748185285,29.28768,29.28768,1.0,0.11318854265029901,0.2941012158413525,0.5274020300727241,0.6671698903015642,0.35520468156762497,0.27108588173828313,0.2373558596143729,0.22365848730322135,2.0905063264005257,0.6642410751687562,0.22540621085634882,1.9790525866128124,0.2852553069420539,0.28661844484629295,0.49743974208831787,0.35437657834194325,0.22442895349805944,0.11389601892395189,0.00874660393237603,1.4743830150546273,0.007449722966558649,0.00982506724665813,0.005307420980393364
9.0,0.642898336606426,0.42762443403068956,32.94864,32.94864,1.0,0.11318854265029901,0.2963474718778942,0.5258995838967516,0.6687196774751223,0.3389345527759956,0.27516963465413125,0.23968720228861795,0.21325508538556365,2.1103534986865307,0.6640843325164978,0.2265178273039592,1.988812510252923,0.28050389922015595,0.28237606464293513,0.485306054353714,0.33811567246169943,0.214245360769395,0.11389601892395189,0.007563987808672059,1.3576027210679058,0.00679173622531135,0.008230406060954418,0.004315029263994853
10.0,0.6393173229197522,0.44459727722202846,36.6096,36.6096,1.0,0.11318854265029901,0.29804426630854974,0.5352025849473225,0.6706680807365208,0.317523126063067,0.2757363733690591,0.2423734250923804,0.20047419260454813,2.132203356271133,0.6637222431853842,0.2273111004627408,1.9957773995113552,0.27598752598752596,0.28372771111360323,0.4739450514316559,0.31656496625471814,0.2016566672658703,0.11389601892395189,0.007725345526899207,1.4729018103353155,0.006336663905422497,0.008939587362819822,0.004449735798867816
