round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_ece,fed_brier,fed_f1_best,fed_auprc,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.687315689619927,0.09989315018244163,0.526995,3.65056,0.9971592150692714,0.11555891238670696,0.3870179077360895,0.2515842769808057,0.28026017454505425,0.20383861271050538,0.6423804038043129,0.5032126797365037,0.21600653875874737,1.7706571716787787,0.4600330331688536,0.10629400532973204,0.9332547909396579,0.1812483399734396,0.2045002711006687,0.4888207018375397,0.3869842720656313,0.2507653979623587,0.11389601892395189,0.5055528262126663,10.6822813693434,0.3321271419942163,0.6450564423355433
2.0,0.6845582159410148,0.07991985037063674,1.05399,7.30112,0.9971592150692714,0.11555891238670696,0.37504259465976963,0.24143151359685658,0.28679053603031307,0.2125431724817748,0.6501929176298549,0.497281658623559,0.24714908125812654,1.8446335752746184,0.5165635695740851,0.12270848009995447,1.0773728639443196,0.19835996041283754,0.2045002711006687,0.4818463921546936,0.3863816436034599,0.2502380961304519,0.11389601892395189,0.06722814621608313,1.4428505897521973,0.059149880409804775,0.07346823442651973
3.0,0.677984090895004,0.0958909908536073,1.580985,10.95168,0.9971592150692714,0.11555891238670696,0.3641639083965277,0.23231713833678538,0.2870144909760407,0.2173123998065603,0.6534707904105466,0.5001426595886879,0.2668519404495418,1.8890109056095465,0.5432353209439457,0.12811683808612967,1.124857912476054,0.20481231953801732,0.2130717975593322,0.4983401894569397,0.38470827539311875,0.24885973538353573,0.11389601892395189,0.03658352458330026,0.9034115968970582,0.029104873754631656,0.043068099991765536
4.0,0.6710520262808098,0.11184610525577196,2.10798,14.60224,0.9971592150692714,0.11555891238670696,0.3642773776233557,0.23148929057668233,0.29176155940783327,0.22186875995690905,0.6586206209004486,0.5064242137792968,0.26860126530505307,1.926460622391843,0.5485377152940017,0.12978012212825252,1.1394614434671893,0.20818776314610768,0.21679660785118315,0.49800190329551697,0.3849557690801255,0.24903421236040374,0.11389601892395189,0.02481145028870134,0.7062063220364507,0.02087717860182921,0.0285284644569059
5.0,0.6659969782839011,0.1252493663762717,2.634975,18.2528,0.9971592150692714,0.11555891238670696,0.3613240238699278,0.22877905959011047,0.2915909786013703,0.2240405800756677,0.6620876039646153,0.5089730848253433,0.2728551284627115,1.9445886552559108,0.5281415180589873,0.1276947369746475,1.1211518908304337,0.2042197097836731,0.20957925377083886,0.4977807104587555,0.38532788790618056,0.2494191714430792,0.11389601892395189,0.0182695454888143,0.5921418161306065,0.015845365671186627,0.020698636057783156
6.0,0.6618483263517101,0.15025188392653077,2.634975,18.2528,0.0,0.11555891238670696,0.3595915940699936,0.22917733165807158,0.30554368008351784,0.24010491833221984,0.6770527127175051,0.5399272120843782,0.27828959168321427,2.1017413612803595,0.5281415180589873,0.1276947369746475,1.1211518908304337,0.2042197097836731,0.20957925377083886,0.4977807104587555,0.38532788790618056,0.2494191714430792,0.11389601892395189,0.0,0.0,,
7.0,0.6418713469507729,0.26869050274373657,2.634975,18.2528,0.0,0.11555891238670696,0.3325347069518178,0.2108921890726226,0.315923029945892,0.24947105304652864,0.6860293114527819,0.5251954881960202,0.28689679930921175,2.19112412889696,0.5281415180589873,0.1276947369746475,1.1211518908304337,0.2042197097836731,0.20957925377083886,0.4977807104587555,0.38532788790618056,0.2494191714430792,0.11389601892395189,0.0,0.0,,
8.0,0.6257903100285912,0.400782839919317,2.634975,18.2528,0.0,0.11555891238670696,0.347424640384135,0.22200238212448686,0.3172159005442324,0.2602563590156741,0.6928844097708297,0.5572289511437591,0.2900348607430374,2.2883067996470157,0.5281415180589873,0.1276947369746475,1.1211518908304337,0.2042197097836731,0.20957925377083886,0.4977807104587555,0.38532788790618056,0.2494191714430792,0.11389601892395189,0.0,0.0,,
9.0,0.6629385762794386,0.13216201056911805,3.16197,21.90336,0.9971592150692714,0.11555891238670696,0.3504258275054553,0.22086572028634804,0.29288407859016025,0.22638880098764463,0.6637583224912482,0.5090126829486329,0.27478318732932705,1.9689981951488829,0.5313293548894095,0.12524153882426586,1.0996129628366498,0.19107695836678518,0.21187875057701186,0.4971576929092407,0.3838437180483345,0.24826408333287167,0.11389601892395189,0.017931750822783855,0.6485400755773298,0.013757250525813286,0.022350368794102588
10.0,0.6569968009382857,0.1710457385397755,3.16197,21.90336,0.0,0.11555891238670696,0.3381517489843094,0.21465975426587913,0.3049325470626325,0.2345437992664842,0.6750841616262029,0.5126236004497919,0.2878181111503009,2.049481453748311,0.5313293548894095,0.12524153882426586,1.0996129628366498,0.19107695836678518,0.21187875057701186,0.4971576929092407,0.3838437180483345,0.24826408333287167,0.11389601892395189,0.0,0.0,,
