round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auprc,fed_f1_best_threshold,fed_auprc_lift,fed_f1,fed_brier,fed_auroc,fed_prevalence,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6915569917247677,0.08398965526137026,3.66096,3.66096,1.0,0.36135443105747755,0.2117852308461031,0.5020160416159208,1.9214264520630402,0.2587536097574871,0.22793475655738887,0.653957341413844,0.11374795417348607,0.28403054191803273,0.6469888042325185,0.20667031715023426,1.8145525989650926,0.2645311289072591,0.26684029833076833,0.4947246015071869,0.3614406509061387,0.22822817615875576,0.11389601892395189,0.007226601914785771,0.7827987877280975,0.005610169202170834,0.008224774266675481,0.014114985908228687
2.0,0.6690406361459098,0.18425063024288343,7.32192,7.32192,1.0,0.33393376807706954,0.21583387997835446,0.4982241097507978,1.9590854037700434,0.26820912089776394,0.20964296890841314,0.6594000414279033,0.11374795417348607,0.2917771763880121,0.6556451023078994,0.21206406159500635,1.861909341507371,0.27179080824088747,0.27398958591619144,0.4914200007915497,0.33475255473905974,0.21055068897636642,0.11389601892395189,0.00555928109217225,0.6119662776445693,0.0051520380900378256,0.005834627987605042,0.004876720686149582
3.0,0.6558814074084074,0.2720874079213111,10.98288,10.98288,1.0,0.3234294632996838,0.2178412337318399,0.5326578128995215,1.9754706867193292,0.2695085807243256,0.20508719692227637,0.6617789762335795,0.11374795417348607,0.29413102265251406,0.6581300568957004,0.2138157292081383,1.8772888747841359,0.27367149758454107,0.2795166690930266,0.5327140092849731,0.3245740734227104,0.20632727986422178,0.11389601892395189,0.004634998243476351,0.5162095302498528,0.004621069980310904,0.004661405320881702,0.003222328337853446
4.0,0.6517176822893699,0.3328781800177662,14.64384,14.64384,1.0,0.3505561586737213,0.22007781380808028,0.5405880145716394,1.9958703596624983,0.2691778058604101,0.2227333680005032,0.665158498603194,0.11374795417348607,0.2973526427593699,0.6587510163173493,0.2151845389160318,1.8893069393383277,0.27012503875167926,0.2812135355892649,0.5568534731864929,0.3515486021949094,0.2241193216028354,0.11389601892395189,0.004111644808964717,0.46178901715575194,0.004338655937095619,0.0039744074855948995,0.0030856808541654583
5.0,0.6488892622221006,0.30557919225139535,18.3048,18.3048,1.0,0.36081281310081265,0.22306343308501697,0.5423677620904415,2.01000885156185,0.2688426125348765,0.2288954970355551,0.6667250136587397,0.11374795417348607,0.2981595480160366,0.6594217845129625,0.21743749987806663,1.9090877972060565,0.263903412871946,0.2820702951208661,0.5615139603614807,0.36167991906217006,0.23034220338469766,0.11389601892395189,0.0036253345016839453,0.41003904760145815,0.003973188980303846,0.0033982930595957517,0.003338641596458396
6.0,0.6474050942792513,0.28717091248491783,21.96576,21.96576,1.0,0.3459783798667807,0.22532988075092056,0.5487227375551929,2.033861283465932,0.27291828892699777,0.21909997240456794,0.6685481131482278,0.11374795417348607,0.30351920365774765,0.6612637553913071,0.21930264464241261,1.9254636528502413,0.2696535988384153,0.2836041358936484,0.5524200201034546,0.34696227443782807,0.22057361782766172,0.11389601892395189,0.003448266104932784,0.3927977755347456,0.0037634965009719456,0.0032422374682236025,0.003089276484691269
7.0,0.6453558857022422,0.30380049288722416,25.62672,25.62672,1.0,0.32994750730133354,0.2273067423363611,0.5140450972630818,2.047197487421616,0.2805424096600854,0.20778589078972423,0.6699602289743396,0.11374795417348607,0.30319405723631143,0.6617095746644439,0.22076906825124362,1.9383387614158019,0.2767087711014048,0.28309838686237465,0.5290014147758484,0.33088791134526163,0.20926312663938626,0.11389601892395189,0.0034849155398199564,0.40022260292607825,0.0038296150694888792,0.0032626267520784813,0.0027019123850187117
8.0,0.6489649864406586,0.3103644625083438,29.28768,29.28768,1.0,0.3335989691747626,0.22884217203016863,0.5374880193947364,2.0647802946464053,0.2819832487722576,0.21152266473922615,0.6717157864227397,0.11374795417348607,0.3038204064404787,0.6619998560326896,0.22104149603621182,1.9407306605141372,0.27733154841588575,0.2806017418844022,0.5595455765724182,0.3348545890060163,0.21338038271417967,0.11389601892395189,0.0033129274135628496,0.38363586115337966,0.003701608478465078,0.0030496599555453123,0.003351954748984431
9.0,0.6446731183742218,0.3472338312924216,32.94864,32.94864,1.0,0.33545971017865084,0.23103834655192243,0.550340109238483,2.0832791628006713,0.28083369332082386,0.21243436883299074,0.6736350561367708,0.11374795417348607,0.3070010546657807,0.6623439745489086,0.22133966621010287,1.943348576194668,0.27623338094714867,0.28390075014425853,0.5436416864395142,0.3365568668317696,0.2144224089867347,0.11389601892395189,0.003240941377966818,0.3787228206419968,0.0037162093474236665,0.002924628322426315,0.002628873848121915
10.0,0.6447784159944729,0.3368416339276573,36.6096,36.6096,1.0,0.3584019700891872,0.23230558187103328,0.561829628753269,2.098363336034842,0.2778569431550349,0.2270516644536563,0.6740563529758249,0.11374795417348607,0.30988984443312234,0.662265866761266,0.2218252595041138,1.9476120552749612,0.27036924015868175,0.28351836037574724,0.5527079701423645,0.35942090629430345,0.2289699740654999,0.11389601892395189,0.0032574775110447794,0.38361561827878177,0.003719361084200215,0.0029431428191609705,0.0030174736751563493
