round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_f1_best,fed_prevalence,fed_ece,fed_brier,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.688308727207513,0.09532220214304146,3.66096,3.66096,1.0,0.21688913384659997,1.9162642759389923,0.5198751866749939,0.6592449217900972,0.2912797071938016,0.11494397582777288,0.3677679295468117,0.2331363566110969,0.2677559730150353,0.6528975253434923,0.2115748393108392,1.8576140001180133,0.27048578323365857,0.27297099683158665,0.5108460187911987,0.3691285647145514,0.2336308164707414,0.11389601892395189,0.024403946065870243,2.6448043918981057,0.021718774616269622,0.026310937623389534,0.010858463240005124
2.0,0.6600745425434711,0.17984333169522457,7.32192,7.32192,1.0,0.22590195752770104,1.9959387172777048,0.5120500406037195,0.6651009971459817,0.2978261369365632,0.11494397582777288,0.33988253258043943,0.21411887967624318,0.2761827094772572,0.660853425967697,0.2191192455093386,1.9238534198077986,0.27570264022387153,0.2824968719588488,0.5198376774787903,0.3421005953107617,0.2152362531612438,0.11389601892395189,0.016233131769203282,1.8786916449516866,0.01615500958635017,0.016380585980226292,0.006020198241972083
3.0,0.6495117216250536,0.29196693944300167,10.98288,10.98288,1.0,0.23144788710936334,2.0481272034652314,0.518523970381763,0.668711347332453,0.30240287777118247,0.11494397582777288,0.32783078019480616,0.20800822037251762,0.2761556675301627,0.6627341872013764,0.22266082511215746,1.9549482696215008,0.2763048389014386,0.2829771554900516,0.5361537337303162,0.3301581385830843,0.20951060166244317,0.11389601892395189,0.012685665234969045,1.569787191105661,0.012835188996569984,0.01265144627696482,0.005111504884927223
4.0,0.6449905760100736,0.3432728601007746,14.64384,14.64384,1.0,0.23234629172985777,2.0506639814145906,0.5474796049802441,0.6711353603178826,0.3069445971601759,0.11494397582777288,0.3511898511896187,0.2227565482282431,0.2781132299590132,0.6624978182778146,0.224258083675061,1.9689721009897423,0.2766003460207612,0.28178225916337374,0.537778377532959,0.3535072319878924,0.22444224551906033,0.11389601892395189,0.010223711566503526,1.350396988533248,0.010710648548883464,0.009922060639083841,0.005144078182523494
5.0,0.6423525262414784,0.28882388511044627,18.3048,18.3048,1.0,0.23524991837145104,2.076151272377852,0.5303381697388362,0.6735732338828596,0.3088960900797589,0.11494397582777288,0.35088448080498164,0.22202401375691377,0.283029639449053,0.662117720483451,0.22393625994792116,1.966146508575009,0.27423167848699764,0.2811791383219955,0.5148307681083679,0.3532816353648927,0.22399053235628025,0.11389601892395189,0.008884848513868466,1.2420169536690082,0.009164211773990247,0.00871040951449153,0.0047738505166509335
6.0,0.6429856190510647,0.28950570716461,21.96576,21.96576,1.0,0.23651755065125735,2.0835149792250385,0.5530759509581095,0.6759748216586113,0.31368996186112935,0.11494397582777288,0.34051041048801955,0.2155365455814779,0.28328482736322547,0.6634839792946094,0.22579668174686443,1.9824808968751433,0.2781427457966819,0.28217104203575455,0.5569542646408081,0.3430276353198489,0.217605598115629,0.11389601892395189,0.009169523941439816,1.3604791357938666,0.008951416265014245,0.009374824791568235,0.004224562561627104
7.0,0.6395397052171908,0.35399064536900837,25.62672,25.62672,1.0,0.23848054936800617,2.1002373847834015,0.5399025717543127,0.6770954266890454,0.3118922773095122,0.11494397582777288,0.33254660053471086,0.20938505565254825,0.2876347017062478,0.6627546804560712,0.22567562510507252,1.981418027049353,0.27964809384164224,0.28278433809819764,0.5393442511558533,0.3350352833882882,0.21154543527792735,0.11389601892395189,0.008547789431001223,1.3486385019459703,0.00798738764578414,0.009032251790136211,0.0037345601459476165
8.0,0.6429190048158235,0.33635712154356967,29.28768,29.28768,1.0,0.24057372043865585,2.1178130497074035,0.5479047259260271,0.6792272818887781,0.3136032717609582,0.11494397582777288,0.3350986440241689,0.21268700680881453,0.28515417566326084,0.6629317657696034,0.22499274342143336,1.9754223681133272,0.2787743732590529,0.2806632862820337,0.540277361869812,0.33789668232540016,0.21536283553275776,0.11389601892395189,0.00751138977201345,1.25919812111988,0.006906784814829482,0.008032879951337812,0.004903552996055336
9.0,0.6391665757599584,0.35971828357974084,32.94864,32.94864,1.0,0.2446280752719544,2.151088793263533,0.5667636289218952,0.68176762466,0.31720077024545346,0.11494397582777288,0.3340040347775149,0.21189593395948397,0.2898521116774995,0.6630980460051857,0.22617515346503625,1.9858038551466217,0.2763143512952235,0.2840690978886756,0.5622997283935547,0.3366655563784987,0.21476836400579188,0.11389601892395189,0.007112332535896691,1.2646942098981526,0.006364598364291454,0.0077805286717741095,0.003644407294640217
10.0,0.6394728047996809,0.4068040942186017,36.6096,36.6096,1.0,0.2463455673771142,2.166615352564206,0.5726599284984387,0.6836515790685469,0.3169378624311341,0.11494397582777288,0.35862437992946594,0.2272315719319931,0.2897716055816039,0.6626511474791991,0.22581350787284124,1.982628629220275,0.2722566236930261,0.28277634961439585,0.5423352718353271,0.36113777802064184,0.23024350783715472,0.11389601892395189,0.007961477668600317,1.5027910482949665,0.0064509889279876645,0.00933380520328588,0.0044025204755480515
