round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_prevalence,fed_brier,fed_auprc,fed_f1_best,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6890586478620421,0.11333226113906966,3.65056,3.65056,0.9971592150692714,0.38614520438442645,0.11448171691107058,0.24882460140187804,0.17214326651538966,0.2498341831273735,0.5669515692190551,1.4885255383678486,0.49736906664323033,0.20989124194827952,0.3947786700884169,0.08903410915697535,0.7817139703225555,0.2045002711006687,0.20450951154489178,0.5218513011932373,0.4216155728910318,0.27915181976230996,0.11389601892395189,0.027177298049899615,2.926770578837022,0.023009832892261,0.02994336437767526
2.0,0.6816935579173485,0.13272249849066506,7.30112,7.30112,0.9971592150692714,0.3694472835485432,0.11448171691107058,0.23502389756068034,0.2141976264808901,0.28635738295234275,0.6483185153826307,1.873793787252711,0.5098094290720374,0.2555903737556008,0.3569215923808564,0.08270636652439523,0.7261567814729158,0.2045002711006687,0.20452799493876814,0.5152864456176758,0.4239255931706317,0.2820938633795855,0.11389601892395189,0.020292100055925192,2.3109856641385704,0.016515684706941338,0.022814055118291564
3.0,0.6728104227247631,0.19394165206849395,10.95168,10.95168,0.9971592150692714,0.3692939504104172,0.11448171691107058,0.23445294781213014,0.21901507542870585,0.2907049249970562,0.6592103377125882,1.9111352642943407,0.5294853086096877,0.2652569793596821,0.44011568536396095,0.09893002531960252,0.8685995020217332,0.2045002711006687,0.20455059483421542,0.5197583436965942,0.42148798362760825,0.2790703599403564,0.11389601892395189,0.01507268916547751,1.8517359574325383,0.012702539570649795,0.0166959526933797
4.0,0.6613149838755835,0.256252848173316,14.60224,14.60224,0.9971592150692714,0.36223804056306824,0.11448171691107058,0.2294502157254868,0.22563446388466893,0.296274121970636,0.6675496700855728,1.987143068173886,0.5301829919531316,0.27468921409010294,0.38977831594288875,0.08658254386347335,0.7601893787111585,0.2045002711006687,0.20459271313624447,0.5119467377662659,0.42720630337028154,0.285016265166647,0.11389601892395189,0.010938921038534393,1.4458597162738442,0.010852665858420539,0.011000232561931703
5.0,0.6591916511009528,0.37584430035635774,18.2528,18.2528,0.9971592150692714,0.33255302551161975,0.11448171691107058,0.21095305207382228,0.22826004054508195,0.2983097278944697,0.6695918345640651,2.010208844244776,0.49630407474063354,0.2832263600108687,0.38780658373353116,0.08639984798341262,0.758585320186666,0.2045002711006687,0.20455572629485672,0.5153611898422241,0.440198764988698,0.2971700987000501,0.11389601892395189,0.00950154888687648,1.3322772602550685,0.009103961214262149,0.009798282707721777
6.0,0.6492297088262464,0.33250036879742983,18.2528,18.2528,0.0,0.33041857954296855,0.11448171691107058,0.2080495072603476,0.24189435406359583,0.3100960443560015,0.6852113564042198,2.13288793193106,0.5306777516454394,0.29330117576924386,0.38780658373353116,0.08639984798341262,0.758585320186666,0.2045002711006687,0.20455572629485672,0.5153611898422241,0.440198764988698,0.2971700987000501,0.11389601892395189,0.0,0.0,,
7.0,0.6296925710387049,0.4215080347871508,18.2528,18.2528,0.0,0.3471435572178558,0.11448171691107058,0.22225229036859798,0.25149422184742926,0.3179521388105767,0.6961708871088625,2.2194542593914988,0.5666729538753115,0.29558580811285423,0.38780658373353116,0.08639984798341262,0.758585320186666,0.2045002711006687,0.20455572629485672,0.5153611898422241,0.440198764988698,0.2971700987000501,0.11389601892395189,0.0,0.0,,
8.0,0.6097584298970148,0.46694593292740755,18.2528,18.2528,0.0,0.3298380472364097,0.11448171691107058,0.2072103210557149,0.2639021799341329,0.33205404579590825,0.7065746006849796,2.329302479278565,0.5617597800469607,0.30367638127364116,0.38780658373353116,0.08639984798341262,0.758585320186666,0.2045002711006687,0.20455572629485672,0.5153611898422241,0.440198764988698,0.2971700987000501,0.11389601892395189,0.0,0.0,,
9.0,0.6442919805142214,0.4153746581561689,21.90336,21.90336,0.9971592150692714,0.34866548563814487,0.11448171691107058,0.21985108582970941,0.2323072847448141,0.2994746528761634,0.6726775417654687,2.0414022943607097,0.5113052855943807,0.2849228443169867,0.40303972318118164,0.0887336627484118,0.7790760694424189,0.2045002711006687,0.20452799493876814,0.5140994191169739,0.43481325088650535,0.29176915322373875,0.11389601892395189,0.009363137546411007,1.391618671710603,0.007498601893459502,0.01080987654260187
10.0,0.642883186110507,0.44043956787394434,21.90336,21.90336,0.0,0.35054826356113733,0.11448171691107058,0.22045707491519495,0.2477032828998614,0.3132421451467066,0.6890495185902024,2.181811829876297,0.537871923785549,0.2937353449126222,0.40303972318118164,0.0887336627484118,0.7790760694424189,0.2045002711006687,0.20452799493876814,0.5140994191169739,0.43481325088650535,0.29176915322373875,0.11389601892395189,0.0,0.0,,
