round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_ece,fed_prevalence,fed_f1_best,fed_auroc,fed_f1,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6892666605433224,0.11000442956684045,3.65056,3.65056,0.9971592150692714,0.5165612627588559,0.2597128299875501,0.3993835413386926,0.11462923328717109,0.2588330348282746,0.562851964952565,0.2061312578527221,0.16955348746255874,1.4980870384456126,0.6437288708018382,0.20734042169788222,1.8204360754375704,0.2596232596232596,0.265697105299958,0.5025531053543091,0.38552443759869404,0.2484519467299555,0.11389601892395189,0.025637951357702762,2.757383840624243,0.02127714341477498,0.028523513098840672
2.0,0.6818094342155269,0.11988764356775568,7.30112,7.30112,0.9971592150692714,0.5218317268905691,0.23872610443578474,0.37361582256145376,0.11462923328717109,0.2861495195989378,0.6474791687344446,0.24405928472410943,0.21082162621366426,1.8518907097847275,0.6566857153958029,0.21715238481116372,1.9065845045572303,0.27834913850674503,0.2805872756933116,0.5002623200416565,0.38362272368373057,0.24642170546778902,0.11389601892395189,0.01907715036263439,2.1619438452180475,0.015100673664903117,0.02173814311029239
3.0,0.6724627268476033,0.17520737011800638,10.95168,10.95168,0.9971592150692714,0.5169995593458852,0.2252657721966792,0.3559280262898171,0.11462923328717109,0.30203722361318813,0.6649862239000234,0.264195195863773,0.2248648361238588,1.9885378038193458,0.6612689383148767,0.22108836169035315,1.9411421380581646,0.2812939521800281,0.2825839499146272,0.500287652015686,0.3836194387415322,0.24597029860896436,0.11389601892395189,0.014620995611757209,1.7715172064490616,0.01259032540939968,0.01600869581666215
4.0,0.6626276865687226,0.23005822751370597,14.60224,14.60224,0.9971592150692714,0.5406843842325322,0.2320927558810814,0.3654891109762588,0.11462923328717109,0.30304296771887546,0.6682785549548104,0.26764918066550236,0.22739239825298482,2.006876587795889,0.6555685130039177,0.22144331525270916,1.9442586083765259,0.26923845692584447,0.2813059650089544,0.5075141787528992,0.392817594481076,0.25282719013004423,0.11389601892395189,0.01127654289776854,1.4567556553520262,0.010098151820012516,0.012116220133092794
5.0,0.6569269305120502,0.2345985913123993,18.2528,18.2528,0.9971592150692714,0.5394674996318616,0.2276557387645375,0.35960711878631185,0.11462923328717109,0.3054189845519404,0.6697678466530133,0.2729395523427664,0.22855443898425695,2.0159266255758674,0.6592994273584774,0.22403339082824564,1.9669993116952773,0.2665171288743883,0.28047976802425195,0.5052593350410461,0.39093900326993963,0.25136124948816135,0.11389601892395189,0.010069338833885158,1.377715916140005,0.009535646382979887,0.0104668881647163
6.0,0.6515603186940315,0.22774875067880593,18.2528,18.2528,0.0,0.55738425351624,0.21575654556892304,0.34077776338326815,0.11462923328717109,0.3243316120642589,0.6864080090500138,0.2922633755996877,0.2477357672820255,2.207547262041203,0.6592994273584774,0.22403339082824564,1.9669993116952773,0.2665171288743883,0.28047976802425195,0.5052593350410461,0.39093900326993963,0.25136124948816135,0.11389601892395189,0.0,0.0,,
7.0,0.6337964980050177,0.4059897309863013,18.2528,18.2528,0.0,0.5630553585991787,0.2061272625545963,0.3277396437827272,0.11462923328717109,0.33398192587177394,0.6942095227439313,0.3030048656377586,0.2597393533819142,2.3209102665476897,0.6592994273584774,0.22403339082824564,1.9669993116952773,0.2665171288743883,0.28047976802425195,0.5052593350410461,0.39093900326993963,0.25136124948816135,0.11389601892395189,0.0,0.0,,
8.0,0.6122187946068054,0.4713711804962437,18.2528,18.2528,0.0,0.5597658517055122,0.20426463168041473,0.3234185452687497,0.11462923328717109,0.3441935020787467,0.7091451054878241,0.31328024735943244,0.2746480086491297,2.4595590595350876,0.6592994273584774,0.22403339082824564,1.9669993116952773,0.2665171288743883,0.28047976802425195,0.5052593350410461,0.39093900326993963,0.25136124948816135,0.11389601892395189,0.0,0.0,,
9.0,0.6463057673267579,0.2584417363897072,21.90336,21.90336,0.9971592150692714,0.521140815335828,0.21527863120532836,0.3404211770223945,0.11462923328717109,0.30750923633485455,0.6740654323305704,0.2840112501845428,0.23379522095562272,2.0632339711101197,0.6619985634391601,0.22531029491526194,1.9782104505838884,0.27274637528892626,0.28147670482024834,0.5133877396583557,0.386954864047663,0.2477815956456287,0.11389601892395189,0.010049109921389892,1.4618066549301147,0.008401993624123825,0.01132768043071068
10.0,0.6436121516580637,0.3046630898970405,21.90336,21.90336,0.0,0.5719638307580386,0.2250417721159662,0.35562366672468987,0.11462923328717109,0.32234838030086915,0.6889377827569291,0.29560704964423434,0.2500173974501565,2.222965769493082,0.6619985634391601,0.22531029491526194,1.9782104505838884,0.27274637528892626,0.28147670482024834,0.5133877396583557,0.386954864047663,0.2477815956456287,0.11389601892395189,0.0,0.0,,
