round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best_threshold,fed_f1,fed_ece,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6878693802837567,0.10382046891902182,3.65056,3.65056,0.9971592150692714,0.25961782306867515,0.516107317682599,0.20688041174723404,0.3990488711148444,1.4978536400225178,0.2584726190846206,0.11481807881153216,0.17063963155081374,0.5620533308674583,0.6437464149353735,0.20739643130841728,1.820927836353046,0.25968156137647663,0.26577410625267056,0.5027040243148804,0.38548333798820855,0.24841673193212777,0.11389601892395189,0.025639253769407438,2.7577350318897516,0.021261596980531112,0.028536544884144803
2.0,0.6808649894697213,0.11744518378200394,7.30112,7.30112,0.9971592150692714,0.2389410292310602,0.5264448854712535,0.24754741702558927,0.3737398415023488,1.845889920754477,0.28685554583409223,0.11481807881153216,0.21169732782244205,0.6449907955601061,0.6557921567834128,0.2173706020547581,1.908500438456027,0.2740628166160081,0.2796377607025247,0.5010069012641907,0.3862918271929756,0.2485256688036828,0.11389601892395189,0.0191553800173056,2.171178912045434,0.01528270518054172,0.021746913271304957
3.0,0.6705175513227271,0.18513148299341378,10.95168,10.95168,0.9971592150692714,0.22315978681473594,0.5245415463201287,0.26515563442712203,0.3527267341859977,2.00262078996826,0.3012357462195168,0.11481807881153216,0.22741761874156452,0.6669393703092167,0.6617870800784028,0.221659464878793,1.9461563887214928,0.2818505338078292,0.283068017366136,0.5004975199699402,0.38400186580676626,0.24611142397276983,0.11389601892395189,0.014240915555151784,1.725551413372159,0.012287081307662125,0.015578083385984147
4.0,0.6642819537210046,0.234376939831724,14.60224,14.60224,0.9971592150692714,0.22896191010552525,0.5394378476511783,0.2725284148709187,0.36111501230429477,2.0449116064973913,0.3065615711554325,0.11481807881153216,0.2315242855287583,0.6703628079135887,0.6548923359946035,0.22135335691652977,1.9434687797501236,0.27353071144498453,0.2816477350485836,0.5062553286552429,0.39311449432284246,0.2529678295031653,0.11389601892395189,0.011174235417213279,1.4419574874918908,0.010453375362218317,0.01168822527103075
5.0,0.6565823869524252,0.23584990247688659,18.2528,18.2528,0.9971592150692714,0.2256515565688446,0.5288442607983584,0.2776230197394855,0.3569110541134401,2.0707820254860647,0.3079885053044703,0.11481807881153216,0.2341679899249587,0.6715227328927907,0.658343171685184,0.223532207792161,1.9625989556440329,0.2681766273315569,0.2804049724464949,0.505978524684906,0.39259035627869193,0.2525497028818245,0.11389601892395189,0.009790097996677502,1.3376453316304833,0.00944073359432579,0.010050717144389714
6.0,0.6536053862450426,0.22691115086753216,18.2528,18.2528,0.0,0.21374288551286486,0.5404891322763083,0.2933827994091152,0.3376535936518444,2.2222848296321183,0.32114727355654443,0.11481807881153216,0.25063770586625245,0.6861257043831086,0.658343171685184,0.223532207792161,1.9625989556440329,0.2681766273315569,0.2804049724464949,0.505978524684906,0.39259035627869193,0.2525497028818245,0.11389601892395189,0.0,0.0,,
7.0,0.6324834800374448,0.358488787587009,18.2528,18.2528,0.0,0.20662777811732813,0.5462192573149497,0.30709746806024335,0.32861067046520726,2.35229982169769,0.3359683793214927,0.11481807881153216,0.2644138034630022,0.6972844202601927,0.658343171685184,0.223532207792161,1.9625989556440329,0.2681766273315569,0.2804049724464949,0.505978524684906,0.39259035627869193,0.2525497028818245,0.11389601892395189,0.0,0.0,,
8.0,0.6144685309426626,0.45323520075732276,18.2528,18.2528,0.0,0.20259701454814782,0.5632990389916003,0.3131412561016916,0.32112331066271693,2.4650463208554894,0.3460487658648017,0.11481807881153216,0.2768226997871905,0.7095726970881372,0.658343171685184,0.223532207792161,1.9625989556440329,0.2681766273315569,0.2804049724464949,0.505978524684906,0.39259035627869193,0.2525497028818245,0.11389601892395189,0.0,0.0,,
9.0,0.6472198018799292,0.26521035503573764,21.90336,21.90336,0.9971592150692714,0.21790278503986557,0.5409798745816801,0.2825700508472716,0.3441751354731489,2.1075178556205865,0.3113758910335463,0.11481807881153216,0.23857313350123768,0.6752568149520867,0.6608807586735913,0.22441888578939018,1.9703839336055649,0.26705561306107084,0.2801128768750928,0.5143361687660217,0.39004191585405223,0.24999036175984798,0.11389601892395189,0.009606976480286775,1.3917303578928113,0.007960533597582385,0.010886057288485546
10.0,0.6425347162376889,0.3164120013454139,21.90336,21.90336,0.0,0.22501768876031628,0.5765926971268056,0.3000185740010251,0.35578766990212407,2.2388905408764863,0.3227373621128082,0.11481807881153216,0.25295366134160974,0.6892480940817531,0.6608807586735913,0.22441888578939018,1.9703839336055649,0.26705561306107084,0.2801128768750928,0.5143361687660217,0.39004191585405223,0.24999036175984798,0.11389601892395189,0.0,0.0,,
