round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,fed_prevalence,fed_brier,fed_auprc,fed_auroc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.7960717233752426,24.4365659285169,33.45408,33.45408,0.9993834153056396,0.18431402692438176,1.8812264873101172,0.27706430293870327,0.4692523418571876,0.11337740006295247,0.23219065448709975,0.2065475883873993,0.6295416471214866,0.3394652021331797,0.6290577585504561,0.18697455940513782,1.6416250644368906,0.167624810892587,0.2547706306078605,0.46315646171569824,0.335142976336897,0.21125408291569306,0.11389601892395189,0.0059655181551363555,10.217543908045627,0.013632908511390403,0.005766708568678533
2.0,0.6915111056842072,6.953200203383538,66.90816,66.90816,0.9993834153056396,0.20668253193719172,1.946148232956718,0.28025712020063287,0.4883985222915002,0.11337740006295247,0.22510720321226252,0.21767620519062875,0.637134103623332,0.3420444368696978,0.6522365331707861,0.20723043540428412,1.8194704025840571,0.2125033539039442,0.27567658429988234,0.4655933380126953,0.32642405670976365,0.2044858250724327,0.11389601892395189,0.0021971017735047905,3.787476691242773,0.009376579796986086,0.002003725473623539
3.0,0.6705271485979377,5.184926167105558,100.36224,100.36224,0.9993834153056396,0.2199660472542091,2.0770074436857326,0.28364307586674764,0.490154213585642,0.11337740006295247,0.21641830894141476,0.22307626206328743,0.6490434862224438,0.3359712419295634,0.6532808985447605,0.20620536885621665,1.8104703817075425,0.22421078796917723,0.2740857732960758,0.45249035954475403,0.32857680114347904,0.20584913000991148,0.11389601892395189,0.001548018026984436,2.6892714720161166,0.00690661575960018,0.0013930958798462542
4.0,0.6645598583044353,4.318336657414514,133.81632,133.81632,0.9993834153056396,0.2612732713214525,2.0789953827557266,0.29013020381230936,0.4923631499426748,0.11337740006295247,0.20995363074889975,0.23194053306566959,0.6618629713502047,0.33046647186620004,0.6581606524590475,0.21178066284249333,1.8594211179927087,0.2315112540192926,0.28103851359665316,0.43221595883369446,0.30693909432124983,0.1914125425999377,0.11389601892395189,0.001334136197176923,2.335416866262676,0.00593799314336841,0.001189875707374922
5.0,0.6495197520373407,3.1023418597814674,167.2704,167.2704,0.9993834153056396,0.26846539821511156,2.112692690141261,0.29095748233907515,0.49910465782454905,0.11337740006295247,0.20892843049128312,0.23286118810648426,0.6630167034260632,0.33211297695840125,0.6599584116189049,0.2132914571898845,1.8726857988978411,0.24482196881545265,0.2824319091261133,0.44234180450439453,0.3115017758359414,0.1941811063015078,0.11389601892395189,0.00126135530162379,2.2261663747776765,0.005094310261179136,0.0011304716053823864
6.0,0.6525176519727852,3.0520949032615206,200.72448,200.72448,0.9993834153056396,0.26943710955618244,2.0894085901710158,0.2940722695554846,0.5012396931366835,0.11337740006295247,0.20479889971114545,0.2339604778588628,0.6631124827039366,0.32279082029673306,0.658389253271981,0.21531403526184284,1.8904439092432856,0.2082975679542203,0.28104665651391386,0.4277011454105377,0.30105883948479795,0.18793490167355084,0.11389601892395189,0.0011824446159279462,2.106068112072535,0.00428449184379059,0.0010670185534847117
7.0,0.6509420624596175,2.754917562736694,234.17856,234.17856,0.9993834153056396,0.2693130390735947,2.0894241694246407,0.2959313915660502,0.5246702610789735,0.11337740006295247,0.21140459180716967,0.23524479171871393,0.6653976117256379,0.3368324499442438,0.655711777545005,0.21125328634986418,1.8547907850134562,0.16508972267536703,0.27865700340186367,0.42222386598587036,0.29766328706403666,0.1864055845383253,0.11389601892395189,0.0011365632776480228,2.0426608198613394,0.004207387195039257,0.0010127620563149396
8.0,0.6467118969461143,2.720487964752059,267.63264,267.63264,0.9993834153056396,0.2712264306933645,2.1156374919270298,0.29439212063506875,0.4933116132315502,0.11337740006295247,0.21129829962205296,0.2357483815716369,0.6643570807720243,0.3367439568155324,0.6571404949774835,0.21122186143524255,1.8545148762071737,0.1699935608499678,0.27899408284023663,0.4215092658996582,0.29616889965942794,0.18551275593642247,0.11389601892395189,0.0014102115865442814,2.56336304769502,0.004016699528697996,0.0012964864439785207
9.0,0.6511521082040975,2.535410021483985,301.08672,301.08672,0.9993834153056396,0.27046232816149474,2.101497890427538,0.295086736402205,0.52379417581156,0.11337740006295247,0.21428528411628295,0.23562555204722122,0.6661680567345278,0.3395646182431491,0.6577075419544486,0.21197369968998214,1.861115969571478,0.04556962025316456,0.2777569626576746,0.40006905794143677,0.27801733427891534,0.1753725793659122,0.11389601892395189,0.0013398407138013667,2.4663799905683845,0.0035975725313522277,0.0012335699936477762
10.0,0.6467256420507542,2.2925585679609854,334.5408,334.5408,0.9993834153056396,0.2747267127319657,2.111272784317002,0.29494861378755954,0.5090317450700632,0.11337740006295247,0.19266054251381584,0.2371733490695093,0.6680954093876751,0.3039596079016468,0.653040727137321,0.2122452774887149,1.8635004058432507,0.06085526315789474,0.2756277695716396,0.39955082535743713,0.2749233080616138,0.17370494676423565,0.11389601892395189,0.0014324924531213565,2.668499218940269,0.003245735416543852,0.0013400603688710191
