round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_prevalence,fed_ece,fed_f1_best,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.689701111374071,0.09496460462270584,3.65056,3.65056,0.9971592150692714,0.21652280681751856,0.4961453570391271,0.19352042579101356,0.6184650654397396,0.11035568146049732,0.3829923329561209,0.2699807733541348,1.7340760595568863,0.2434068225366597,0.4169693636258358,0.11273516742339107,0.9898077956409002,0.19661908705607248,0.2047450873856742,0.49597397446632385,0.3945989069910941,0.2568222459047568,0.11389601892395189,0.027058857570208775,2.911815155763179,0.02291755986048406,0.029793654733803104
2.0,0.6832485550854129,0.12180923433150095,5.632,5.632,0.5412350858791136,0.2588813706709214,0.5361223289960579,0.21606570791030175,0.6622672908273824,0.11035568146049732,0.38565087277896015,0.2970859485752961,1.9677176425632164,0.2433542022571402,0.45086243346217947,0.13115603270485426,1.1515418532093458,0.2044653349001175,0.2050932241928149,0.5024309158325195,0.40257260785488513,0.2628387018500511,0.11389601892395189,0.02346454055400462,1.6108956718817353,,0.02346454055400462
3.0,0.672002349974424,0.16510954084393986,7.61344,7.61344,0.5412350858791136,0.2704710988220743,0.5435333896384962,0.22637060374560267,0.6809926496864086,0.11035568146049732,0.36730142498038865,0.3044973013047561,2.0874799617671127,0.230110644391011,0.45718237500783715,0.1370607900540907,1.2033852574391197,0.20436300966030205,0.20454854963911212,0.5003021955490112,0.4031391234455246,0.2633038345200381,0.11389601892395189,0.016007976350287577,1.1759197022765875,,0.016007976350287577
4.0,0.6590198553041354,0.23757448946551474,9.59488,9.59488,0.5412350858791136,0.27951700664516516,0.5588070683465052,0.23294752000919897,0.6901888077966846,0.11035568146049732,0.3642309660070304,0.31464708465924307,2.1536801762291833,0.22696084284695273,0.4516387550963951,0.13536126188438202,1.188463505250016,0.1958722741433022,0.20450951154489178,0.4925141930580139,0.3977954979451411,0.25907689225130504,0.11389601892395189,0.013055786113578308,1.0070145740173757,,0.013055786113578308
5.0,0.6656016036217338,0.25314025756155845,11.264,11.264,0.4559241291901578,0.26940642461779557,0.5420927160503656,0.21991946210818789,0.671367336603435,0.11035568146049732,0.3571188420132342,0.2971166954128589,2.0256706827757403,0.22427067699955888,0.48513314140034514,0.15075491593657767,1.323618835503253,0.19889126629060494,0.20483293285578275,0.49635303020477295,0.3984907544746967,0.2594072450586117,0.11389601892395189,0.017193178379538255,0.7848628517240286,0.017193178379538255,
6.0,0.659228387353405,0.2789666437510325,13.24544,13.24544,0.5412350858791136,0.27994223157384024,0.5215265006643068,0.22527611261599337,0.6791335409891673,0.11035568146049732,0.3535099120251893,0.30421558489828776,2.0852192936838465,0.2204317091545145,0.5016805347311348,0.15965927099728533,1.4017985220702882,0.20390574860181535,0.20484930886018582,0.49855080246925354,0.4025997354214634,0.2624361637119842,0.11389601892395189,0.010957163034580246,0.8834496065974236,,0.010957163034580246
7.0,0.6421472333222698,0.32036586137719936,15.22688,15.22688,0.5412350858791136,0.2845520198032512,0.5279082001306217,0.2343858288886425,0.6941403000521852,0.11035568146049732,0.35267757215813567,0.3140298678268909,2.168143065093897,0.21853712541450823,0.5467502341351211,0.1822962687186815,1.600549961631234,0.203125737759101,0.2487826471890217,0.5217276811599731,0.39874503085319135,0.25871155521669337,0.11389601892395189,0.010434202677676344,0.8803482700604945,,0.010434202677676344
8.0,0.625870886627691,0.3713861938514075,17.20832,17.20832,0.5412350858791136,0.29174805650833474,0.5611987397998693,0.24595218383966783,0.7033359498822119,0.11035568146049732,0.3453666916394387,0.32660608237769395,2.2927811452229876,0.21504202544819,0.5390666315148158,0.17968637871745935,1.5776352888807776,0.20322283609576428,0.24560622914349275,0.5252895355224609,0.40145812062835823,0.26085922568824194,0.11389601892395189,0.010270496121259862,0.9039205667795613,,0.010270496121259862
9.0,0.6143858934487826,0.5315824521218714,19.18976,19.18976,0.5412350858791136,0.30152503570182926,0.5833316437076915,0.2548159448910042,0.7107301185514371,0.11035568146049732,0.33576168916934235,0.3302185407698652,2.3697146490476277,0.20923573678139473,0.5503083927369998,0.18529712522505215,1.626897296109837,0.2038228266862709,0.25724411090264754,0.5241212248802185,0.4018960482050389,0.26100693245855594,0.11389601892395189,0.009943832838710722,0.9226278121350333,,0.009943832838710722
10.0,0.6476660768410579,0.49591135099257666,22.84032,22.84032,0.9971592150692714,0.2768828730677266,0.5620346920667372,0.22341272583575936,0.67663338361552,0.11035568146049732,0.3535210965534858,0.2965327786871573,2.0597865471193795,0.22135139822667776,0.5400522905535408,0.18246469537652044,1.6020287372673816,0.2029442174191325,0.2444590739521615,0.5197438597679138,0.39743538067585527,0.2578220028454871,0.11389601892395189,0.009967374250532504,1.459502711542882,0.013671280949201461,0.008085898990857626
