round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_auprc,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.8152150651838035,23.918651948928378,33.45408,33.45408,0.9993834153056396,0.21824019972451955,1.6593260821432387,0.18477478002433825,0.1107963487566887,0.6098464287482354,0.4846638473617907,0.2237752454307284,0.26259359662770937,0.3479104030646354,0.6380703230113424,0.18302399097554914,1.6069393180261538,0.2045002711006687,0.26447442383361436,0.7185564637184143,0.5914229747483364,0.4492570598945651,0.11389601892395189,0.006122891332226517,10.475633332855068,0.013325950712755361,0.0059358056528700355
2.0,0.6848401256070429,5.726121955857918,66.90816,66.90816,0.9993834153056396,0.23724735560173646,1.8550496706895883,0.20469675960752795,0.1107963487566887,0.6462236430265185,0.5271615263591745,0.2315944409886813,0.2839568148239838,0.36573292401214424,0.631920941064311,0.17947430575615475,1.5757733014003705,0.2045002711006687,0.2587622149837133,0.6945840716362,0.5719056737261549,0.4268656272581011,0.11389601892395189,0.0021768942005148764,3.7480048863508273,0.008748426578987263,0.00199923472043893
3.0,0.6732505027433852,4.661374185798119,100.36224,100.36224,0.9993834153056396,0.2473347811819511,1.9516963552420048,0.21489801932246666,0.1107963487566887,0.6634829073315783,0.5485012189337095,0.22315881768088905,0.2968668154535346,0.3551390362378745,0.6256421617203671,0.16443808163922186,1.4437561838664157,0.2045002711006687,0.2515148853956266,0.6561082601547241,0.5358190390404797,0.38681998055799977,0.11389601892395189,0.0016037887238582057,2.7824632239498897,0.0065169252795588386,0.001461827267025365
4.0,0.6627598645344986,3.6608315007249423,133.81632,133.81632,0.9993834153056396,0.26771653431154546,1.9725755424943923,0.21659446324550377,0.1107963487566887,0.6705375160687784,0.5454377714308846,0.2261287539351275,0.2950676934209479,0.3610267069623423,0.5741999636668274,0.14408792455963135,1.2650830636656276,0.2045002711006687,0.22439090971132195,0.6290091276168823,0.5166924088072888,0.36735376913436224,0.11389601892395189,0.0013975088226896581,2.443039658886846,0.00563779987852601,0.0012650405587385297
5.0,0.6538547213889544,2.872425512032679,167.2704,167.2704,0.9993834153056396,0.272952117238591,2.0226767056493573,0.22103198541394115,0.1107963487566887,0.6768723431612413,0.5510974661111457,0.22195482301645308,0.3014690574804301,0.3527710337026486,0.6262115930931632,0.17475472770980627,1.5343356981290943,0.2045002711006687,0.24729483282674766,0.645664632320404,0.5241833401017906,0.37460448442365524,0.11389601892395189,0.0013850770952776917,2.4417731769935926,0.005194507510288858,0.0012560553941729725
6.0,0.6527975371986324,2.950476202867951,200.72448,200.72448,0.9993834153056396,0.27861575379455134,2.0161638818029433,0.22077403561089112,0.1107963487566887,0.6775909782447457,0.5153126083551279,0.20366682460717334,0.29936397101767087,0.32689080773695933,0.6160757774046519,0.1690954424120919,1.4846475233256093,0.2045002711006687,0.24041435867923175,0.6156789064407349,0.5009658948525225,0.3508125412273781,0.11389601892395189,0.0012539013005227802,2.231661922269268,0.004778090798323457,0.0011240937077293337
7.0,0.6537359246094088,2.1631644779851262,234.17856,234.17856,0.9993834153056396,0.2792860610267725,2.02442645862791,0.2218896867267268,0.1107963487566887,0.677934066338795,0.5239599062918414,0.21247036065233232,0.3004829717768975,0.3417585799894432,0.5819575829535074,0.15478118428468207,1.358969222515399,0.2045002711006687,0.22399195238494427,0.6076684594154358,0.49263331755891504,0.34314345713558014,0.11389601892395189,0.0011961022698770178,2.1482614525884856,0.0043098454991354306,0.0010716571419679263
8.0,0.6480913044526418,2.1055262706795395,267.63264,267.63264,0.9993834153056396,0.2803338259343417,2.0295996603633135,0.22288522364179597,0.1107963487566887,0.6785106357152644,0.5512771965423993,0.21126872489597923,0.29836537904843974,0.3357205883226643,0.6261490591751326,0.17974181878194184,1.5781220492171464,0.2045002711006687,0.2464381979206777,0.6121547222137451,0.4958422863343634,0.34578965563212183,0.11389601892395189,0.0012285973579547148,2.2303136053087655,0.003835511054926316,0.00111548767119437
9.0,0.6473954022582801,1.8792821448531025,301.08672,301.08672,0.9993834153056396,0.278434714781487,2.0604839163933955,0.22615156183013838,0.1107963487566887,0.6798243495005747,0.5515012303312733,0.2111367263840107,0.29997658821441964,0.3331178135895526,0.5666714597206021,0.14063761280789455,1.2347895399381603,0.2045002711006687,0.21996072129976793,0.5994100570678711,0.4909227781293616,0.34152554471361085,0.11389601892395189,0.0013327097857114055,2.446091300720582,0.0034969496400490295,0.001231235315356201
10.0,0.6510069388977705,2.0252863421036333,334.5408,334.5408,0.9993834153056396,0.2790767489845491,2.076216464736919,0.22790497838154736,0.1107963487566887,0.6814561320977065,0.5629011331788016,0.2209644345414279,0.30129582947030875,0.3500148611020696,0.5809628255622694,0.14407983488960713,1.2650120368632807,0.2045002711006687,0.22630572855645312,0.5948297381401062,0.48580061610904535,0.3364045174587482,0.11389601892395189,0.0013043219911943417,2.4222567177494057,0.003295066780361762,0.001203641546747783
11.0,0.6450445181980673,1.4889830607793841,336.20992,336.20992,0.049862104895873664,0.28504559374653166,2.1338299682638167,0.23351966899212856,0.1107963487566887,0.6875182870562546,0.5332998212606306,0.21550302221462764,0.30748463275374804,0.33864049208888397,0.5836646472256249,0.1463324573545689,1.284789922747649,0.2045002711006687,0.22599748758748583,0.5939936637878418,0.485929926428463,0.33651455210014025,0.11389601892395189,0.0031953054561543576,0.30916115903528407,0.0031953054561543576,
12.0,0.6433647107848601,1.4134801588710224,369.664,369.664,0.9993834153056396,0.2792223600077894,2.0762648838585047,0.228224443634216,0.1107963487566887,0.6820096514009636,0.5713173521626923,0.22091798966285267,0.30518927075923985,0.3479010834459768,0.5717804921182164,0.14193352037238388,1.2461675281833386,0.2045002711006687,0.22269754934914138,0.5869922041893005,0.477766234403504,0.32870894030496056,0.11389601892395189,0.0016484654302017653,3.1132512924377806,0.00286149204236818,0.0015777929777105004
13.0,0.6433244392866991,1.6848240986146525,371.33312,371.33312,0.049862104895873664,0.28532135909566797,2.144704996761957,0.2348779109340559,0.1107963487566887,0.6893631849054607,0.5586496392998412,0.21732607477270385,0.30948774250391264,0.3444911873074196,0.5690759095754777,0.14199161019346562,1.2466775532187222,0.2045002711006687,0.22030079766181576,0.5884938836097717,0.47905011090426414,0.3299744450844187,0.11389601892395189,0.002694402360249928,0.3016498237266205,0.002694402360249928,
14.0,0.6445401782223371,1.4303267765605654,404.7872,404.7872,0.9993834153056396,0.28116424967440734,2.0836299987452507,0.22893424374126262,0.1107963487566887,0.6833344667936532,0.5438518117181077,0.20402768220160916,0.3035362943546245,0.32291956347679246,0.6571465312637715,0.19486822840792872,1.7109309899412883,0.2045002711006687,0.2699464695386184,0.6007221937179565,0.4732750509806288,0.3232237490402821,0.11389601892395189,0.0018187702625723956,3.4972560220048763,0.0024541302415871068,0.0017765519378136242
15.0,0.6402295734996872,1.243056575857946,406.45632,406.45632,0.049862104895873664,0.2875289762080942,2.170460093447215,0.23817599496106048,0.1107963487566887,0.6899258461372617,0.5489621201588142,0.21320378860227082,0.3114550060327999,0.33992120470402565,0.6575676783147834,0.19513685529506505,1.7132895173918017,0.2045002711006687,0.26966792957432584,0.5971927046775818,0.47180842796493483,0.3218249577788079,0.11389601892395189,0.0024250138152277848,0.3115655676811002,0.0024250138152277848,
16.0,0.6406800977613822,1.2131518802927594,439.9104,439.9104,0.9993834153056396,0.2799940768648285,2.1013672833519497,0.2311576765873615,0.1107963487566887,0.6837975025353557,0.5725223857837913,0.21920397258167224,0.3032522673774193,0.34736420976072496,0.654479195493803,0.18948980452883246,1.66370876101784,0.2045002711006687,0.2707371908649864,0.6038511395454407,0.48253422842345417,0.332405427726207,0.11389601892395189,0.0021993207895403904,4.313937243307009,0.0021644177799047763,0.0022019568123664555
17.0,0.6409163132454414,1.1254334670089559,441.57952,441.57952,0.049862104895873664,0.2871927994927035,2.1645743753749627,0.23737452844590146,0.1107963487566887,0.6913487940304903,0.5350077343392305,0.2092685794224397,0.31459830015511875,0.3317688340496484,0.6575979099440299,0.19223751976893413,1.6878335308391303,0.2045002711006687,0.2740758182246291,0.6034656763076782,0.4820577938283441,0.33189749581762296,0.11389601892395189,0.002122567994498085,0.3109238494071178,0.002122567994498085,
18.0,0.6416886857113123,1.2168050804961918,475.0336,475.0336,0.9993834153056396,0.2853499092090764,2.091224785490752,0.23023553138145167,0.1107963487566887,0.6850292034220723,0.5240897213226976,0.2143596361293349,0.30437503410186534,0.3407402886753754,0.6195101858629021,0.1687956714277561,1.4820155526284073,0.2045002711006687,0.24750154225786555,0.5950725674629211,0.47599153774806635,0.3267420362766313,0.11389601892395189,0.0024834491504702235,4.974181679950561,0.0020625039568853694,0.002518983190060592
19.0,0.6384591698207416,1.032227494285795,476.70272,476.70272,0.049862104895873664,0.2860880705152617,2.169117066809099,0.23796553259332276,0.1107963487566887,0.6909158595581392,0.5618539441427345,0.2170235788070838,0.3143634273297272,0.3439693597284623,0.6172310799320262,0.16674569717635318,1.4640169055222985,0.2045002711006687,0.24486529741264337,0.5970916748046875,0.47689487104465333,0.3276236213349219,0.11389601892395189,0.0019522934256874065,0.3239884541835636,0.0019522934256874065,
20.0,0.6403646502181659,1.0822478162651223,510.1568,510.1568,0.9993834153056396,0.2752821114559414,2.1157381455143454,0.23268584057564023,0.1107963487566887,0.6831719484076964,0.5766567299660176,0.22462552309925174,0.30548141235067244,0.35359172293571023,0.651417028873126,0.19470492075906554,1.7094971588872616,0.2045002711006687,0.2692992874109264,0.5973617434501648,0.4738019646321037,0.3240418888447532,0.11389601892395189,0.0022737506544888513,4.6600258377729915,0.0019097587602193873,0.00230797858629677
21.0,0.6414628345654791,0.9943967901114222,511.82592,511.82592,0.049862104895873664,0.29612816693538263,2.1976253687686835,0.2408253676116946,0.1107963487566887,0.6928169175414721,0.5413581412338332,0.21405457565062308,0.31546423474762086,0.3425518186321452,0.6510614527074665,0.19478822442110383,1.7102285598863949,0.2045002711006687,0.27171152869476894,0.5945649147033691,0.4736283736893957,0.32385173200077066,0.11389601892395189,0.001821202205702296,0.34041730558965355,0.001821202205702296,
22.0,0.6412935649127763,1.023573687078133,545.28,545.28,0.9993834153056396,0.2864022265969013,2.1316057335609937,0.23410425545541616,0.1107963487566887,0.6879714591206038,0.5390010914751522,0.20608068327200021,0.31210738743615696,0.3289194803521962,0.6477513089203661,0.19144567016578873,1.6808811403111164,0.2045002711006687,0.2670306195110373,0.592004656791687,0.4716254134825896,0.3220864753548734,0.11389601892395189,0.0030543792741858523,6.392401532561053,0.0015956537852134718,0.0032068208982995164
23.0,0.6392910916685355,0.9854590785137092,546.94912,546.94912,0.049862104895873664,0.2884834254236653,2.2296198516015644,0.24461334359705122,0.1107963487566887,0.6961383789463694,0.5661802401267249,0.2188079378122093,0.3165133706534837,0.3484540612846941,0.6451228137035394,0.18927382372271917,1.6618124629017708,0.2045002711006687,0.26666666666666666,0.5929527282714844,0.4721377433513298,0.32259075578077734,0.11389601892395189,0.001566972746484598,0.3271504567237571,0.001566972746484598,
24.0,0.6391401998100259,0.9103427477085543,580.4032,580.4032,0.9993834153056396,0.2856945307052921,2.1494169531600114,0.23663114154951506,0.1107963487566887,0.6893058824573779,0.5444544109264035,0.21308754485891787,0.3086128546968303,0.3382920352325223,0.6525610243444806,0.20459471787097877,1.7963289656997248,0.2045002711006687,0.274818588852864,0.5917958617210388,0.46254870394970665,0.31293925050460475,0.11389601892395189,0.0025046352203113866,5.372790233639535,0.001567266363031402,0.002611777208278937
25.0,0.6460277947724158,0.899640581320161,582.07232,582.07232,0.049862104895873664,0.2951525921356344,2.2305842669674707,0.2446071574548314,0.1107963487566887,0.6985865280884636,0.532419341356078,0.21228700921096894,0.3144068525441619,0.3403396660806175,0.6514721460651772,0.20523680919088644,1.801966487765675,0.2045002711006687,0.27565424266455196,0.5909834504127502,0.46167636929223604,0.31217049690616633,0.11389601892395189,0.001424309273268378,0.33066766802221537,0.001424309273268378,
26.0,0.6379093439239474,0.8616080288418557,615.5264,615.5264,0.9993834153056396,0.28819018819873493,2.1744214268894737,0.23872001866669953,0.1107963487566887,0.6894488930156113,0.5523308381011436,0.2057200527867406,0.3087716094453885,0.32411189016950265,0.6498024038625405,0.19950709809746622,1.751659978832769,0.2045002711006687,0.2726553851020085,0.5919288992881775,0.46167989220603123,0.3121848474676195,0.11389601892395189,0.003496533832322012,7.671273419808131,0.0013296034626690976,0.003766621675096114
27.0,0.6369234508851663,0.9127645290863159,617.19552,617.19552,0.049862104895873664,0.289437642603594,2.2805001488090233,0.24997459541899184,0.1107963487566887,0.7023342052180231,0.5812631839733287,0.22431277505065358,0.3221302828249571,0.3568794547385828,0.6483057938961374,0.19880227519039403,1.7454716773123902,0.2045002711006687,0.2740122068743977,0.591267466545105,0.4614037409289037,0.3119740107901963,0.11389601892395189,0.0013178933093992136,0.3340332305524498,0.0013178933093992136,
28.0,0.6381415962502694,0.8546845706035725,650.6496,650.6496,0.9993834153056396,0.2891979006926236,2.1800553853528384,0.23971972433644662,0.1107963487566887,0.6923328587406762,0.5694641733154547,0.21067734822259648,0.31246490110436015,0.33271157832726544,0.6431421964823485,0.19740876390931422,1.73323673447378,0.2045002711006687,0.2711223203026482,0.5936627388000488,0.4663087748138455,0.31675780903328166,0.11389601892395189,0.002585458380381847,5.825208821683191,0.00131198401779489,0.002754917678571368
29.0,0.633595758390223,0.732324265557146,652.31872,652.31872,0.049862104895873664,0.30039508600715803,2.29771110368512,0.2516777861037298,0.1107963487566887,0.7010704320701718,0.5398058684678207,0.19871616992641922,0.3233512258663808,0.31647733476717665,0.6404090262885413,0.19492666141381737,1.7114440281180456,0.2045002711006687,0.270179200490121,0.5924394726753235,0.4660093082600004,0.31652346911627116,0.11389601892395189,0.0011931428992096984,0.33067127282265574,0.0011931428992096984,
