round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_auroc,fed_prevalence,fed_f1_best,fed_auprc_lift,fed_f1,fed_brier,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688272666468738,0.10374759394878685,3.65056,3.65056,0.9971592150692714,0.15073876719363835,0.39666946938735953,0.5510481172316589,0.11404833836858005,0.23173673814864862,1.334229624198588,0.17624473035405086,0.25872528709722625,0.5088646917417271,0.5412286510609382,0.13278138208199147,1.1658123201887267,0.12006946167204167,0.2092726064509533,0.4802786111831665,0.3752507918271836,0.2415270200648963,0.11389601892395189,0.026703883236918562,2.867340967990458,0.023374773554503053,0.028946068831637885
2.0,0.6860353212106973,0.20699911047524505,5.632,5.632,0.5412350858791136,0.20504923049836576,0.3812462208381772,0.6298997692577055,0.11404833836858005,0.27920615829365686,1.794383635461792,0.22186846675224095,0.24426609618897435,0.5036676930186732,0.5183811443182432,0.13128865571913062,1.1527062750699983,0.17815205788162733,0.20455572629485672,0.4648616313934326,0.3811923447789949,0.2461354777473738,0.11389601892395189,0.017226818737278167,2.1727782427333295,,0.017226818737278167
3.0,0.6812854296106815,0.27746872739629563,7.61344,7.61344,0.5412350858791136,0.21445561607610142,0.373407162294497,0.6493475406706131,0.11404833836858005,0.29092165715423346,1.8740688730612434,0.24026193033482196,0.2372497244837262,0.5124572055097313,0.5026336153931374,0.1192528617174213,1.0470327483267539,0.09397024275646046,0.2047422586933853,0.45911747217178345,0.3713921336221362,0.2388036915847094,0.11389601892395189,0.0095984831112679,1.816252218093723,,0.0095984831112679
4.0,0.6767109182726848,0.40017543696021934,9.59488,9.59488,0.5412350858791136,0.22648882081543542,0.3608761536612101,0.6665974972588409,0.11404833836858005,0.30056043331783466,1.9893311533255902,0.2638838161864334,0.22773986569287405,0.5157132055366567,0.5651093039677502,0.16635907548840292,1.4606223910203613,0.20752269779507135,0.2136518023446916,0.4925655722618103,0.3736839020109433,0.23987443178461504,0.11389601892395189,0.005851453462156033,1.4914313585031778,,0.005851453462156033
5.0,0.6810889271990083,0.5094372406169752,11.264,11.264,0.4559241291901578,0.2061877577625886,0.36528999869939605,0.6386979383551612,0.11404833836858005,0.2741705934807645,1.8344893310810593,0.2423842881290217,0.23198202423672748,0.5360600716825518,0.5974618407565934,0.17897096211056102,1.5713539753313022,0.22295719844357978,0.23947642421538,0.49372196197509766,0.36616211116232933,0.23385722442243942,0.11389601892395189,0.00935939666856982,0.887655193451792,0.00935939666856982,
6.0,0.6775366594637404,0.550925323825389,13.24544,13.24544,0.5412350858791136,0.21610017397379466,0.3594319049732278,0.6539760596474029,0.11404833836858005,0.28557736573153286,1.920270617264556,0.26025460672612377,0.22664235394065568,0.526720676760584,0.6025658157251558,0.16916085046582935,1.485221801990969,0.2007522331922896,0.2390799256505576,0.47967785596847534,0.35540809076939556,0.22599396083608034,0.11389601892395189,0.005093956773064086,1.617403234820813,,0.005093956773064086
7.0,0.6687070153731228,0.6887513420024243,15.22688,15.22688,0.5412350858791136,0.22458745031540375,0.36971225359449905,0.6653058164952054,0.11404833836858005,0.2994039527916176,1.9875701792859852,0.2593070325435714,0.23426444771549082,0.5356714510155348,0.6319722557724843,0.19297977229190283,1.6943504620715055,0.25668623613829095,0.26418988648090813,0.4883750379085541,0.35608758286486886,0.2254190247198492,0.11389601892395189,0.003524960565462255,1.3295782881323248,,0.003524960565462255
8.0,0.6606934653269093,0.8101482444603274,17.20832,17.20832,0.5412350858791136,0.23169558650564684,0.34972009450208474,0.6732360802882049,0.11404833836858005,0.3020642753966151,2.0515734292890624,0.27872436866467326,0.2201039305156428,0.5453295781570678,0.6243727595777541,0.18280765815500313,1.6050399292451423,0.22843822843822845,0.25341685649202733,0.4829522371292114,0.34391771726555115,0.2171939006718142,0.11389601892395189,0.0030210771047356074,1.3205454950220883,,0.0030210771047356074
9.0,0.649847937718599,1.0271179107641617,19.18976,19.18976,0.5412350858791136,0.24010542832742,0.35011918624827393,0.6867350385577914,0.11404833836858005,0.3105907299572237,2.1375610043779094,0.28601340915355067,0.21948541920802275,0.5403042924942115,0.6055057004880582,0.17893971858172997,1.5710796590810396,0.23149028664583615,0.23661616161616164,0.49768057465553284,0.3672844798739264,0.23430995183100722,0.11389601892395189,0.0024198247653386103,1.2044754149392247,,0.0024198247653386103
10.0,0.67488004865339,1.1705480399934851,22.84032,22.84032,0.9971592150692714,0.20063209232158374,0.3591219810956539,0.6385304491789789,0.11404833836858005,0.27502627979958605,1.7696067727758507,0.2500020092053123,0.2278687339627244,0.5113353565755449,0.6171099275249082,0.19805341035227705,1.7388966903620824,0.23428331936295055,0.25436801511097124,0.48481395840644836,0.34371510317879184,0.21682650279873356,0.11389601892395189,0.002935396760947139,2.084324943367392,0.005268481586279441,0.002324331983684015
