round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_brier,fed_auprc,fed_f1,fed_auprc_lift,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17057268354453176,0.037843811103985256,3.65056,3.65056,0.9971592150692714,0.2663604099045454,0.617155216500681,0.5107129078880212,0.2535009035260576,0.19245062475389402,0.21950288631587395,1.7043678364978259,0.3923007813684213,0.11375511488825935,0.5736108045558928,0.1455938227343008,1.2783047564771641,0.2216863319266213,0.2257690075449797,0.5006029605865479,0.38542665907382556,0.24933549138263292,0.11389601892395189,0.022982540178356395,2.4798929626122117,0.019511360609494894,0.02527821942204492
2.0,0.16992829086437336,0.028170525350820534,7.30112,7.30112,0.9971592150692714,0.2782815049323773,0.6417587801480626,0.5074790416215628,0.2462785236608387,0.21164904829010786,0.24408910723815017,1.8687750241901682,0.38442674910905866,0.11375511488825935,0.5634508186233261,0.135797821174034,1.1922964688055153,0.21270745359913582,0.22190634130932638,0.4973571300506592,0.3822994319144298,0.24656319706758373,0.11389601892395189,0.015578723618823863,1.7597327067051083,0.013723778052630111,0.01680972685037675
3.0,0.16749364142455234,0.030117246331172076,10.95168,10.95168,0.9971592150692714,0.28503082695316573,0.6540194258583248,0.5029088220226342,0.24097590555691079,0.2235157134533707,0.2529438584904367,1.975751289981565,0.378460941877161,0.11375511488825935,0.5649548578651606,0.13351730715173,1.1722736967731875,0.21005475360876058,0.22249093107617895,0.49158361554145813,0.37950832377058963,0.24462079168401044,0.11389601892395189,0.011678633451052281,1.4009262737818062,0.01068118938546677,0.012355846855552266
4.0,0.16578576252390115,0.041171274681166145,14.60224,14.60224,0.9971592150692714,0.2879527664762991,0.6584614502570522,0.5097558158052617,0.23797300900046098,0.22672332760298328,0.26051321488106116,1.9914285503242795,0.3750131060670373,0.11375511488825935,0.5527593383105797,0.12994758200044287,1.140931730785152,0.20209413439056623,0.21834415584415587,0.48964059352874756,0.37830565890132395,0.24383247657202908,0.11389601892395189,0.00958116324884833,1.217074621701613,0.0091914434177506,0.009853254549449101
5.0,0.16703709723114848,0.06627063518715685,18.2528,18.2528,0.9971592150692714,0.29188529909391836,0.6627608478213652,0.5147430039330178,0.24205789458134774,0.23129628258372514,0.2674364538815013,2.033321136497751,0.38087427011255126,0.11375511488825935,0.5268787294774424,0.12045513483092932,1.057588631884991,0.19635241811087922,0.20862361137262284,0.4891771376132965,0.38101152430645524,0.24595595333908615,0.11389601892395189,0.008463871367493474,1.1318696574307978,0.008648739137649726,0.008329740603012512
6.0,0.16349001603442812,0.16453626407722405,18.2528,18.2528,0.0,0.30386000746219544,0.6782339593703733,0.525227552958168,0.2359898273052294,0.24645690680173085,0.277681891543085,2.172383825496889,0.374147474887726,0.11375511488825935,0.5268787294774424,0.12045513483092932,1.057588631884991,0.19635241811087922,0.20862361137262284,0.4891771376132965,0.38101152430645524,0.24595595333908615,0.11389601892395189,0.0,0.0,,
7.0,0.16206179682740884,0.06625125844531654,18.2528,18.2528,0.0,0.31697852128837367,0.6908164960843293,0.5129783985766369,0.2336752189947514,0.25524932969505004,0.29212319732701547,2.2562427665589415,0.3709490063958172,0.11375511488825935,0.5268787294774424,0.12045513483092932,1.057588631884991,0.19635241811087922,0.20862361137262284,0.4891771376132965,0.38101152430645524,0.24595595333908615,0.11389601892395189,0.0,0.0,,
8.0,0.15819567360599646,0.09090817398686528,18.2528,18.2528,0.0,0.32600705367221994,0.6993716681972072,0.5268653996023773,0.2350559177902273,0.2682887591773065,0.2934906032599092,2.368968323654303,0.37430262724333374,0.11375511488825935,0.5268787294774424,0.12045513483092932,1.057588631884991,0.19635241811087922,0.20862361137262284,0.4891771376132965,0.38101152430645524,0.24595595333908615,0.11389601892395189,0.0,0.0,,
9.0,0.16352572485190978,0.0524497519541773,21.90336,21.90336,0.9971592150692714,0.2942722754243698,0.6648907423354511,0.5109020815636327,0.2386857795545879,0.23498636420853025,0.2677913775477878,2.066538562963158,0.37626919380178386,0.11375511488825935,0.553783084935342,0.1291053719211627,1.1335371783922146,0.20756316771239613,0.21861845283279274,0.49356675148010254,0.38148239858077654,0.2461528894513362,0.11389601892395189,0.008920377822560688,1.2542556269327179,0.007626518474033748,0.009899528939726758
10.0,0.16219967350560102,0.03970014147988553,21.90336,21.90336,0.0,0.30843255683266363,0.6811092287797386,0.5074720553605857,0.2264185149665344,0.2503376286071652,0.2888024626154365,2.205222401337329,0.3612041405941805,0.11375511488825935,0.553783084935342,0.1291053719211627,1.1335371783922146,0.20756316771239613,0.21861845283279274,0.49356675148010254,0.38148239858077654,0.2461528894513362,0.11389601892395189,0.0,0.0,,
