round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_ece,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_auprc,fed_brier,fed_f1,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6887450456666622,0.10171041488439798,3.65056,3.65056,0.9971592150692714,0.5165645900101171,0.39948408843122346,1.4980835163558577,0.11450333627093037,0.25873889763955693,0.17006830828605843,0.2596489168095345,0.20711521746507444,0.5616468623857134,0.6437486236388802,0.20738132118660896,1.8207951704183531,0.25976161117961366,0.26576446875899795,0.5028001070022583,0.38549118724555215,0.24842534642356293,0.11389601892395189,0.025628774224638363,2.756022392772138,0.021267883652125775,0.028514830747361712
2.0,0.6815481720151781,0.11233472522701157,7.30112,7.30112,0.9971592150692714,0.5195396272741126,0.37215917344832017,1.8462561168886842,0.11450333627093037,0.28689281338909994,0.2112419076686341,0.23739210396185853,0.2489314084350685,0.6448067934175215,0.6566227045986059,0.21696327509587768,1.9049241329562498,0.2747098584364239,0.27983074753173487,0.5012927055358887,0.38465809183407756,0.2472508015835354,0.11389601892395189,0.019467002835920146,2.206679481314495,0.01529393783995229,0.022259520273185007
3.0,0.6712174369654442,0.1899508109544111,10.95168,10.95168,0.9971592150692714,0.5161547575206461,0.3528664987269298,2.1030471476975503,0.11450333627093037,0.3009330347341353,0.22878670450071698,0.22304821561316746,0.26634007011437705,0.6667594870565834,0.6609182438859448,0.22135793725867495,1.9435089948707964,0.2811492231017297,0.28190641749963785,0.4995476007461548,0.3812119174620977,0.24394407777868052,0.11389601892395189,0.014234145766822514,1.7306644704658538,0.012216106332107006,0.015610619066669782
4.0,0.6624040949382468,0.2257760104669424,14.60224,14.60224,0.9971592150692714,0.540322217974452,0.3621256912829938,2.0911351750670746,0.11450333627093037,0.30664750874910235,0.23002329669884075,0.22969103520490466,0.2738026782078486,0.6708758139032965,0.6541902694663457,0.2205356035287385,1.9362889555954508,0.2691584882021299,0.28050332249399124,0.5090817809104919,0.3926287531489736,0.2525579624738399,0.11389601892395189,0.011946703471310566,1.5485059048514813,0.010965677702757652,0.012642424352874814
5.0,0.6567932347051398,0.2491356123827611,18.2528,18.2528,0.9971592150692714,0.5328490056466143,0.3576104542545118,2.1058806124294653,0.11450333627093037,0.3086830750999976,0.23173543692764795,0.22590190957199988,0.27899178437185834,0.6717940064303637,0.659409887632711,0.22333479443337056,1.9608656785667873,0.2664624808575804,0.2809070958302853,0.5043872594833374,0.3914291889841864,0.2515708230485255,0.11389601892395189,0.010390985451088542,1.4315204960294068,0.009718128241299147,0.010889878289266462
6.0,0.6526499571509711,0.21776002291223007,21.90336,21.90336,0.9971592150692714,0.5330788695146618,0.35336279148878685,2.142732418821431,0.11450333627093037,0.31202761081164804,0.23595386655037773,0.22351547118278675,0.27902778614252677,0.6753881364608891,0.6607254466588315,0.22407905557639507,1.9674002453589896,0.27505036581486586,0.28221193135385453,0.5071372389793396,0.3895808376461482,0.2500288171114427,0.11389601892395189,0.009542570152667398,1.3959525503451005,0.008985204457174897,0.009974199227898054
7.0,0.6472480078764594,0.28343127601282414,25.55392,25.55392,0.9971592150692714,0.5189110644815491,0.33499080706052414,2.148846240831354,0.11450333627093037,0.3142534870735538,0.23688405152742564,0.21066194115364972,0.28593919190585987,0.6763085414243984,0.6609840908592354,0.22546422081473882,1.9795619104587032,0.27890662796323173,0.28130307241006636,0.5077588558197021,0.38414365034577613,0.24586076111434024,0.11389601892395189,0.008607941294690554,1.3417740381555632,0.008269570489947524,0.008879854782945036
8.0,0.6453164597664078,0.29971064998753294,29.20448,29.20448,0.9971592150692714,0.5308463234160328,0.3341823524523334,2.159609580369808,0.11450333627093037,0.3141569905865215,0.2386417137742333,0.21127682519051166,0.2833690386380256,0.6787262173644705,0.6610634033942452,0.22565384646435793,1.9812268119312098,0.2778227204437767,0.2808349146110057,0.5033696889877319,0.38509701076508573,0.2462345413859937,0.11389601892395189,0.007893793171458321,1.3053824312519282,0.007424195670975788,0.008284824434229435
9.0,0.6421986926234066,0.3192469375636586,32.85504,32.85504,0.9971592150692714,0.5336711276568831,0.3396180849032244,2.180231194168681,0.11450333627093037,0.3162572549774296,0.24107870801070946,0.2146902431223904,0.28610485329436697,0.6808641111423546,0.6619797267120954,0.22628790422533127,1.986793799846711,0.2777150598329194,0.28234124518454085,0.5031274557113647,0.38266161908092555,0.24400713255034276,0.11389601892395189,0.0078056631742369565,1.3666735511505976,0.007104722021110556,0.008410405729357978
10.0,0.6427721564917152,0.3686537688015801,36.5056,36.5056,0.9971592150692714,0.547239702164444,0.36018692772030214,2.184604958855485,0.11450333627093037,0.31532172938789627,0.24232853539385507,0.2277079088820355,0.2835739903187013,0.6821099339620479,0.6632143292250277,0.2263688832427206,1.98750479060964,0.2754414125200642,0.2833642876094455,0.5103976130485535,0.38555244394304816,0.24621635743849202,0.11389601892395189,0.008063173622116695,1.4958518717903644,0.006653727025734049,0.00932621842743352
11.0,0.6430509476687134,0.3117820845603627,40.15616,40.15616,0.9971592150692714,0.5397348408339291,0.33945120615366653,2.211293140956013,0.11450333627093037,0.31845973598427885,0.24549130403192088,0.2139908733018462,0.2941198254490093,0.6848831648651663,0.6629605667613515,0.22615189848825212,1.9855996778891212,0.27726690722849495,0.28293370944992946,0.5089812278747559,0.3783171676420663,0.24074939007040708,0.11389601892395189,0.008223044253732202,1.6165113594615832,0.0059642960421316445,0.01030494672151
12.0,0.6398426759483319,0.3988664982220277,43.80672,43.80672,0.9971592150692714,0.5481468950371651,0.3376567365727586,2.215909164904409,0.11450333627093037,0.3217892124645999,0.24741035090886002,0.2134280335811174,0.2863111149321562,0.6862754923042028,0.6644678939595423,0.2283510987990781,2.0049085205651274,0.2791595684270301,0.2845324272418378,0.5110413432121277,0.3767991001466553,0.23961613180445682,0.11389601892395189,0.007941927957337034,1.657232455094345,0.005717296058773195,0.010021281840040861
13.0,0.6392906374768669,0.4493125265200553,47.45728,47.45728,0.9971592150692714,0.5825545111265167,0.3565344208379875,2.2344627458064723,0.11450333627093037,0.3232759788961618,0.24837445333138405,0.22717119353279933,0.2869467559573686,0.688457999492112,0.6629249388678558,0.22586294121701883,1.9830626509239713,0.27092600080873436,0.28201773513592093,0.5182385444641113,0.37974291573389646,0.2415790774222586,0.11389601892395189,0.007059216375182296,1.5611376520246267,0.005368849112273229,0.008673322867000115
14.0,0.640448296217582,0.4690536906045694,51.10784,51.10784,0.9971592150692714,0.5546048297196811,0.33823788745030264,2.249435387906915,0.11450333627093037,0.32361567566743815,0.2502477999221883,0.21500241680380855,0.2959733222444275,0.6894421987703582,0.6624258346226222,0.22687271873821352,1.9919284350903952,0.2790857930400827,0.28443026964337487,0.5115761160850525,0.3734782091297149,0.23698401015854817,0.11389601892395189,0.006651238396086232,1.554920380236581,0.00491963971704665,0.008348094436334538
15.0,0.6376700584165759,0.5088062248652095,54.7584,54.7584,0.9971592150692714,0.5594433773457667,0.33886601926481474,2.264921058539449,0.11450333627093037,0.329813772066302,0.25390591321280875,0.21343552313308317,0.2974829451616257,0.691550017542227,0.661645597559463,0.22729665025298765,1.9956505275636816,0.2747522114462326,0.2839609483960948,0.5091963410377502,0.3777649547167697,0.24051139622861678,0.11389601892395189,0.006768710306163055,1.6763533424818888,0.0048651739728394795,0.008665171155865497
16.0,0.6407377703125295,0.5247819039198511,58.40896,58.40896,0.9971592150692714,0.5777719307835781,0.34350584953531854,2.3156171915712127,0.11450333627093037,0.3278313562655123,0.25812050219628946,0.21768541241150893,0.2929796966576368,0.6928148926254007,0.660870166936321,0.22745462264058555,1.997037515353864,0.2730259671436142,0.28708810634987975,0.5138254761695862,0.3771299766218652,0.23988149209817444,0.11389601892395189,0.0064223801944171665,1.6776623704936355,0.004306305554844824,0.008571564616231868
17.0,0.635900549290223,0.5445585392894169,62.05952,62.05952,0.9971592150692714,0.5641798596943143,0.3405354570048208,2.3291122072580825,0.11450333627093037,0.3306098073809969,0.261889108239792,0.21431207432539848,0.2958869256856562,0.6957280813630956,0.6604441506980331,0.22583436640857302,1.9828117658735913,0.2751903269144648,0.28643216080402006,0.508675217628479,0.3731057901325208,0.2372269536973683,0.11389601892395189,0.00591513107275266,1.6234429166652262,0.00397055485244924,0.007915510185098704
18.0,0.6398023963781907,0.5893038722419478,65.71008,65.71008,0.9971592150692714,0.5753644951120306,0.3379799959937001,2.3310629154395563,0.11450333627093037,0.3297697692042006,0.26177373951200666,0.21362324557837134,0.29779357853588406,0.697202202597551,0.6609805268149406,0.22415600734372876,1.968075877115575,0.2767211656100545,0.28455398403584936,0.510570228099823,0.3713920768238805,0.23573097868343929,0.11389601892395189,0.006006857390010611,1.7281532133929431,0.003828896927118842,0.008280643548389198
19.0,0.638228459421596,0.6203241186939146,69.36064,69.36064,0.9971592150692714,0.56023675849797,0.33916626708263353,2.3598268712312023,0.11450333627093037,0.32974091737164324,0.2640298572480309,0.2132514556013199,0.294328886178462,0.6969365544413765,0.660468195447571,0.22327361054201844,1.9603284877858438,0.2728672620880813,0.2833747623921626,0.5131195783615112,0.3763267821808803,0.23968004145261287,0.11389601892395189,0.005755113277137998,1.7404719486366957,0.003636353640301411,0.007983878678198764
20.0,0.6351818356990628,0.5884202282327122,73.0112,73.0112,0.9971592150692714,0.5781095030812642,0.3374147151300082,2.3838955084400544,0.11450333627093037,0.3329081012129477,0.2666732299290834,0.2140019243071847,0.29377898166729854,0.6987333494795074,0.6620563787633358,0.22718966365485455,1.9947111918507754,0.2733532011098551,0.285480572597137,0.5129994750022888,0.3767169384257027,0.2397574940249072,0.11389601892395189,0.005432387900568004,1.7261937879957259,0.0034155338192436695,0.007575770752585214
21.0,0.6385630570080172,0.7328541364797833,76.66176,76.66176,0.9971592150692714,0.5497836166089719,0.33017981473551594,2.4028834374860355,0.11450333627093037,0.33358618871276613,0.2705538201950484,0.2077640939308925,0.2998449420356873,0.702269978109176,0.6616521232743688,0.22622976992159297,1.9862833842563545,0.2778095346976106,0.28446215139442227,0.5054775476455688,0.37222812763157515,0.23656493943720858,0.11389601892395189,0.005451495017950344,1.8189850305207074,0.0031856502594475424,0.007864796991395095
22.0,0.6356164728298774,0.6948347336446006,80.31232,80.31232,0.9971592150692714,0.5709094231324248,0.3419248704182602,2.426308099231201,0.11450333627093037,0.337044043802172,0.27283982781333677,0.21596856448015983,0.2966251180799515,0.7035727334847385,0.6601162837218201,0.2255968629474457,1.980726500177993,0.2674523119944073,0.28378012455997836,0.5106725096702576,0.3770865145822291,0.24032594764882625,0.11389601892395189,0.004927106515667505,1.7222021245397627,0.003026074939912373,0.006962842175065276
23.0,0.6402187983221542,0.7379267263850113,83.96288,83.96288,0.9971592150692714,0.5701214353413602,0.34363239191483785,2.4571723328534794,0.11450333627093037,0.33880587302364185,0.27616636286277985,0.2159097069765666,0.30342962093315334,0.7063923084345044,0.6593033176885175,0.22751849758412004,1.9975983334064875,0.2692688725975827,0.28190476190476194,0.5171254277229309,0.38130494009189103,0.24353907553621146,0.11389601892395189,0.0046670214515223876,1.7052105409093201,0.0028088821008848486,0.006666399262028517
24.0,0.6367369022451459,0.7423286618998648,87.61344,87.61344,0.9971592150692714,0.5568555004516716,0.34230381682028327,2.456578430421194,0.11450333627093037,0.3395912829542076,0.27761310730953265,0.21545245620912729,0.29853918798062606,0.7067177220749287,0.6587592864060474,0.22602808718776748,1.984512622330425,0.2685363042643104,0.28268863068098254,0.5162476897239685,0.3820855089754048,0.24409781289829183,0.11389601892395189,0.004446243744900516,1.6903174119070172,0.0026174255893162126,0.00642642111984143
25.0,0.6391914507501102,0.7739579124085118,91.264,91.264,0.9971592150692714,0.5553604341883001,0.33863397635790116,2.4978937775867087,0.11450333627093037,0.3384227647497015,0.2804689151172046,0.2121026673138911,0.30033176267103684,0.7070554145974918,0.6582560784900942,0.22575467791974574,1.9821121058715987,0.26812174609531436,0.283667202807428,0.5139197111129761,0.3794673203123049,0.2421720977888615,0.11389601892395189,0.004537707209912887,1.7968657311284915,0.0025134399589453477,0.006726362000403596
26.0,0.6393479744026083,0.9051722510291491,94.91456,94.91456,0.9971592150692714,0.5940137359146115,0.32811345852334944,2.5265830033900527,0.11450333627093037,0.34097512591397416,0.28353916760788606,0.2069049993439759,0.30510605150735737,0.7093263891181393,0.6588903152316862,0.22811481293296795,2.0028339452784536,0.2716475484722363,0.28402744534865165,0.5199797749519348,0.37896612850695405,0.24143351202622781,0.11389601892395189,0.004144971210051429,1.7063152197515592,0.002412759340980628,0.006027379675583454
27.0,0.6389810809881619,0.9236540793574962,98.56512,98.56512,0.9971592150692714,0.5699419406080041,0.30872265581606373,2.5385607525936407,0.11450333627093037,0.34345313675166395,0.2857867926282992,0.19456537224661186,0.30925911371098624,0.7109971698543923,0.6593055012931206,0.2264655855720925,1.988353831079057,0.27391021470396876,0.28372150952796116,0.5063866376876831,0.3741670689242817,0.2379406753220054,0.11389601892395189,0.004159829978308261,1.7786102581303567,0.0023164183149709514,0.006167580021358693
28.0,0.6399087609772292,0.9237079888605525,102.21568,102.21568,0.9971592150692714,0.5716779851746863,0.33356686918874334,2.5117600826378634,0.11450333627093037,0.34223380786877317,0.2849236350937903,0.20976141158661862,0.30391631405138814,0.7093406501260324,0.6609574358237352,0.22789958223636492,2.0009442330774787,0.2741407528641571,0.2838088180807707,0.5081344246864319,0.37686982108993006,0.23991200406035587,0.11389601892395189,0.0036763072781713264,1.629168294603005,0.002156473781774007,0.00534104651743289
29.0,0.6411162608042182,0.9609129086899271,105.86624,105.86624,0.9971592150692714,0.5716374835371595,0.32129443275251424,2.5150699567833965,0.11450333627093037,0.34557222086614725,0.28532602382442745,0.20259906690424226,0.3077145963526549,0.7121566480432948,0.659672861393966,0.2260103494329639,1.9843568859405918,0.27202910266774455,0.282304725168756,0.5074973702430725,0.37887510518041,0.24150457617069268,0.11389601892395189,0.0034845681624735394,1.601663788082078,0.0019172179358764778,0.0052037200039281245
