round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auroc,fed_f1_best,fed_f1,fed_auprc_lift,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.473715594396486,307.7265281530637,3.65056,3.65056,0.9971592150692714,0.18049812858659053,0.39633734545351185,0.5154036682520423,0.5959033996094222,0.2613906908148324,0.20029919329991863,1.5702270860758605,0.11404116055132484,0.25692214861654783,0.3690588573804506,0.0864400299264799,0.7589381151609496,0.2045002711006687,0.20452799493876814,0.5196812748908997,0.4217862858824596,0.2793824604143778,0.11389601892395189,0.024560739038645394,2.642697107512504,0.02014044891977709,0.027497513397800454
2.0,11.09051973762961,327.56633560972125,5.632,5.632,0.5412350858791136,0.2189852297068508,0.3842519877450463,0.5274146860283119,0.6572875792180272,0.29192505439400207,0.24207069708984627,1.910675639881578,0.11404116055132484,0.24613687756633798,0.35073360832026645,0.08219763860483525,0.7216901818115208,0.2045002711006687,0.20453723788864786,0.5171060562133789,0.42366392718713075,0.2815236770525732,0.11389601892395189,0.019623803375254698,1.322511368431151,,0.019623803375254698
3.0,10.587134482486439,389.40218853542564,7.61344,7.61344,0.5412350858791136,0.2291080370224822,0.3825827421475945,0.5217427850534863,0.6749501082631043,0.30284368741001083,0.27268794033234856,2.006288840206593,0.11404116055132484,0.24383825972522105,0.3512147166517019,0.08294555221895955,0.72825681707402,0.2045002711006687,0.20453723788864786,0.5179640650749207,0.4242237516921626,0.28194206194089416,0.11389601892395189,0.013351840822391227,0.9449615022167563,,0.013351840822391227
4.0,10.234044807744375,428.1602697389829,9.59488,9.59488,0.5412350858791136,0.24031009974230919,0.38581151728648383,0.5479389037642682,0.6876214429314862,0.31349051606228995,0.28499852172491186,2.1273655131453064,0.11404116055132484,0.24592582607533192,0.34755843388665203,0.08224038564257757,0.7220654981583623,0.2042753197451078,0.2045002711006687,0.4862711727619171,0.41986260970181566,0.27833234270610074,0.11389601892395189,0.011691604719342266,0.8594387124758214,,0.011691604719342266
5.0,10.515893923553136,482.8248476212172,11.264,11.264,0.4559241291901578,0.2220661170628231,0.3738894515554018,0.5090800291382725,0.662320299250402,0.29595546312807075,0.27623111378312903,1.9601942356896411,0.11404116055132484,0.23775278913517126,0.343419524306506,0.08149479764103751,0.7155192816304791,0.20405026670282977,0.2045002711006687,0.4831932485103607,0.4197315035978568,0.27830903283180763,0.11389601892395189,0.01630090018083958,0.7352352989837527,0.01630090018083958,
6.0,9.998818229266572,442.2573195175958,13.24544,13.24544,0.5412350858791136,0.22978210279115444,0.3738850912443679,0.5374772338208007,0.6719212358801041,0.30290114228742226,0.28082185630755746,2.0406092840523575,0.11404116055132484,0.23705909601722763,0.3413027580833654,0.08104656234081709,0.7115838034245225,0.2031334903097265,0.2045002711006687,0.4738192558288574,0.41764302244933493,0.2766943214456694,0.11389601892395189,0.008697627634653019,0.6651728751603514,,0.008697627634653019
7.0,9.646312144163558,476.33177669298186,15.22688,15.22688,0.5412350858791136,0.23774446254804657,0.38329016894103973,0.5852320411014125,0.6770489242186939,0.31453306287878796,0.2822115637747339,2.1205950665330735,0.11404116055132484,0.24414132717706785,0.34064472758127035,0.08081567928670905,0.7095566644929836,0.20388042150965582,0.2045002711006687,0.4796566069126129,0.4203668589278552,0.27918095583760183,0.11389601892395189,0.00734366897030967,0.5822378299199045,,0.00734366897030967
8.0,9.219565858459053,645.0421021746271,17.20832,17.20832,0.5412350858791136,0.24627124428053002,0.3766087508462691,0.5965668105446632,0.6854460840631812,0.3193172458541467,0.2932263728442017,2.2003992830890984,0.11404116055132484,0.23869332641846014,0.3415491791177725,0.08095781672028511,0.7108046223664802,0.2036366925999638,0.2045002711006687,0.4769863486289978,0.4193067285019676,0.27821419812708886,0.11389601892395189,0.007056098437296187,0.5748592497548088,,0.007056098437296187
9.0,8.809526696429907,1090.7129162461624,19.18976,19.18976,0.5412350858791136,0.2472074156008513,0.3796963480737468,0.5878675738855399,0.6887729313032597,0.3256605040932321,0.293381297491836,2.213524511276796,0.11404116055132484,0.24070320842337845,0.3420670322439088,0.0810913816452109,0.7119773141443638,0.2041129943502825,0.2045002711006687,0.4881410002708435,0.4198430498537057,0.27867043562192967,0.11389601892395189,0.007417821455274619,0.621645494713448,,0.007417821455274619
10.0,9.537916755303144,757.5466133128642,22.84032,22.84032,0.9971592150692714,0.2233973014789538,0.3802116475757865,0.5350701098111512,0.6631161345460163,0.29441093457968714,0.27607380748871657,1.9709144624582036,0.11404116055132484,0.2426478028613325,0.34085560856834396,0.08110905063436516,0.71213244677605,0.20382511190486954,0.2045002711006687,0.48579344153404236,0.4170263197717936,0.27629867808289177,0.11389601892395189,0.010168465298613821,1.375834583537653,0.013882865315497121,0.008069418860983415
11.0,9.45805058269438,651.7674399252786,24.82176,24.82176,0.5412350858791136,0.23039999541766917,0.3826126449339506,0.5832564937692509,0.6699795913014935,0.30330377486731946,0.2803814291474421,2.040865383721998,0.11404116055132484,0.24422599952739088,0.34230282389269034,0.08131363670589795,0.7139286998274353,0.2042753197451078,0.2045002711006687,0.49145737290382385,0.4200388433795984,0.2789336607159844,0.11389601892395189,0.0063259954846543644,0.5660739480517805,,0.0063259954846543644
12.0,9.014931019100878,656.2830776055637,26.8032,26.8032,0.5412350858791136,0.23881040026035524,0.38024140312302684,0.577865399537959,0.6775187123330995,0.31135458803922,0.2872937027650453,2.1097733734047033,0.11404116055132484,0.24187926220758468,0.3441542570576485,0.08172136710172564,0.7175085474786508,0.1989705279460666,0.2045002711006687,0.4593254625797272,0.41657061782995114,0.27603952484369715,0.11389601892395189,0.006351508836573788,0.584029104327783,,0.006351508836573788
13.0,8.901931822220103,688.3530541916091,28.78464,28.78464,0.5412350858791136,0.2424046764463661,0.38122897506683023,0.5991185105982103,0.6851779812352473,0.3217296801502954,0.29306496529976556,2.1475585372154504,0.11404116055132484,0.242001420338578,0.3561257061513748,0.08521210630519405,0.7481570217312861,0.19782727770677377,0.2045002711006687,0.4631577730178833,0.41452458039480355,0.2741221031226629,0.11389601892395189,0.005889028224885275,0.5562873739982024,,0.005889028224885275
