round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best_threshold,fed_auprc,fed_brier,fed_f1,fed_prevalence,fed_f1_best,fed_auroc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.688440028735193,0.09950063151548079,3.66096,3.66096,1.0,1.9435201691127053,0.5033226437207697,0.21294115966582247,0.23028944883609404,0.2679352668413196,0.1104186339313818,0.28918125651996957,0.6652922769171367,0.3684945397456561,0.6616499271203139,0.2113995786534598,1.8560752223886843,0.2718419195483416,0.2742696772547518,0.4944102168083191,0.3655223055246809,0.23084745275936963,0.11389601892395189,0.02482460856936375,2.692273582645612,0.021960094903955455,0.026880390691806613,0.009114337934733681
2.0,0.6658550462886076,0.18429443483580146,7.32192,7.32192,1.0,1.9847566926085516,0.5611209802331886,0.21765886372983348,0.23344794263329405,0.2704055457177659,0.1104186339313818,0.29911833169962265,0.6726296925302215,0.37240702965404393,0.6656057652984468,0.2161603850133373,1.8978748077021645,0.27473124117710934,0.2832823513765128,0.5315677523612976,0.36979385996100067,0.23448685892666732,0.11389601892395189,0.017233355287229895,2.0022622277811024,0.01694572249015887,0.017545054276325762,0.005441465910738763
3.0,0.6504733819075106,0.3179079516785513,10.98288,10.98288,1.0,2.0076685701371604,0.5758874430947609,0.22021108143718574,0.22075455887971834,0.27348058664533714,0.1104186339313818,0.29852190697712244,0.6746600558704854,0.3511228526739869,0.6686820375028819,0.2204787685295644,1.935789947818787,0.2739963207445082,0.28288169200264374,0.5412086248397827,0.34894051303698653,0.2222272661154297,0.11389601892395189,0.011712233123528749,1.45483372232502,0.0121401476570817,0.011493959677247586,0.004420550838134048
4.0,0.6493926295982357,0.4100504788144482,14.64384,14.64384,1.0,2.029737259526239,0.5699452007683636,0.22216425255058225,0.22225599337135737,0.2745785305791309,0.1104186339313818,0.29832532650958676,0.675912729428163,0.3551426802664235,0.6697543630553376,0.22230069060758603,1.951786310951006,0.2789961564548949,0.28523946215440404,0.5532745122909546,0.35279852724323113,0.22339035797856685,0.11389601892395189,0.010443405827630599,1.3691334383674985,0.010320007200708138,0.010584160837246632,0.004484555299926464
5.0,0.6450066753713823,0.3054536715033743,18.3048,18.3048,1.0,2.0345036802895193,0.5468270908502952,0.22317713411621648,0.22000165269597616,0.27625699990141966,0.1104186339313818,0.2978397528428471,0.6775593142584421,0.3508245801068268,0.6693762606238012,0.22236366222998774,1.9523391978999673,0.2752688172043011,0.2798842698340186,0.5607607960700989,0.3486839951365635,0.2215569669717191,0.11389601892395189,0.009330139497343319,1.2913047612837545,0.009138540992426525,0.009514455929400062,0.004035336267450933
6.0,0.6450025344723385,0.39293906627205755,21.96576,21.96576,1.0,2.0397412355877114,0.5547287833683139,0.22385169838681065,0.22009098586974735,0.28022488158111203,0.1104186339313818,0.3000041389449967,0.6778422334034323,0.3511456787914535,0.6696269484718005,0.22255920505512047,1.9540560518074188,0.27857061308368536,0.2795344751866491,0.491927832365036,0.34873674616440353,0.2214942246046542,0.11389601892395189,0.008607774355745326,1.2578028090620137,0.00831226165559321,0.008866034931723518,0.004395192948732118
7.0,0.6444764574737798,0.32598230809675377,25.62672,25.62672,1.0,2.0589380472948116,0.5250376644339393,0.22608073589892597,0.21540077581558575,0.28307206383196404,0.1104186339313818,0.2999008927679166,0.6798002128393716,0.3465388762039099,0.669859590208195,0.2237900889729632,1.9648631364577136,0.2803066602779109,0.28146558332055804,0.5403696894645691,0.3438107692280079,0.2167117391338486,0.11389601892395189,0.008366736242986296,1.2917797782320122,0.00814544292798963,0.008570023287424434,0.004526903737363237
8.0,0.6449723208641055,0.3541119392908898,29.28768,29.28768,1.0,2.0915389760217957,0.5274839953784114,0.22929859832144125,0.2117316506996401,0.28283048759929386,0.1104186339313818,0.3020374189930275,0.6821423316344581,0.33933513863847653,0.6698841745841577,0.2223213393916095,1.9519676059972997,0.2789846228948011,0.28170633551799473,0.4891485571861267,0.3366098058014333,0.21336794842190218,0.11389601892395189,0.008192667836207817,1.3427183015410264,0.007310282896393485,0.008941238380830007,0.004616134708865937
9.0,0.6465035587906521,0.3916869123944811,32.94864,32.94864,1.0,2.104066990211371,0.5275722474432006,0.23106067450471413,0.2103235901098436,0.285956278335097,0.1104186339313818,0.3047461701233153,0.6841468727221666,0.33632232944545865,0.6704952073894785,0.22299228885960992,1.9578585008182012,0.27837209302325583,0.28196072891651364,0.5360339879989624,0.3337341892763668,0.21225762619446806,0.11389601892395189,0.008358549504383962,1.45374638938938,0.006987180728247001,0.009548693757064908,0.0038469916969590913
10.0,0.6420439400544201,0.4087861358858083,36.6096,36.6096,1.0,2.107873975604945,0.5500903255297097,0.2320014528850119,0.21798872154182855,0.28199430789537605,0.1104186339313818,0.30557042422665925,0.6860262341627171,0.348524120726749,0.6696837472903852,0.22215741201959827,1.950528333812372,0.2809631789223626,0.2824796658606287,0.5035046935081482,0.3460679092523742,0.22016538175268724,0.11389601892395189,0.007029937305710555,1.3001815933585021,0.006193756703474271,0.007774450326505047,0.003986279322511914
11.0,0.6434908446830605,0.4615494280555185,40.27056,40.27056,1.0,2.136410002678282,0.5634059233901108,0.23499096451274942,0.21706059067381459,0.2871140713097008,0.1104186339313818,0.306151205409292,0.6868072369221793,0.3470357048537771,0.6711335979995974,0.22352461835396878,1.9625323208462242,0.2804132874125097,0.28374413145539906,0.5518134832382202,0.3446342669402271,0.21923952446192332,0.11389601892395189,0.007369114100553868,1.439323389366109,0.00606566788064824,0.008547059949472023,0.005089586099070797
12.0,0.6468560676641717,0.523065745175561,43.93152,43.93152,1.0,2.16058153905471,0.5597537477154533,0.23750740427461672,0.21889208214497632,0.2851663324477859,0.1104186339313818,0.31032232674563026,0.686739411712533,0.34981646693124313,0.6699977973202302,0.22195919970497813,1.9487880419523687,0.2779488268393672,0.28210838901262064,0.5603293776512146,0.3473506844119029,0.22127431578552248,0.11389601892395189,0.007129575573305797,1.4800234589420143,0.0054631119776784864,0.008658002506387642,0.004877568031414716
13.0,0.6387195562676633,0.4575963014441579,47.59248,47.59248,1.0,2.199915243004484,0.5554204068920842,0.24191811907907312,0.21904732435868407,0.28243529653028,0.1104186339313818,0.31053152984788757,0.6905730465620473,0.3493580950246429,0.6708509717969143,0.22301298990086538,1.9580402546797588,0.27905464006938424,0.286955262776893,0.5618258714675903,0.34675002646236847,0.22165222408872126,0.11389601892395189,0.006961732310257593,1.5350199862523368,0.005530521495967893,0.008298067351362504,0.00450709175859724
14.0,0.6424776506605869,0.5556520101179584,51.25344,51.25344,1.0,2.212069342650607,0.552034131055513,0.24384912069964992,0.19977357370777005,0.2885043663096108,0.1104186339313818,0.3143137591302047,0.6917518144983039,0.3193002687433548,0.6708618145232195,0.22215310771476227,1.9504905422821968,0.28180039138943247,0.28301200436522367,0.4982817471027374,0.3168346273021763,0.20273922083272755,0.11389601892395189,0.006954471185223074,1.6233814712450112,0.005030450337217712,0.008778682413742028,0.004400790010129837
15.0,0.6393130193874176,0.6131955380039249,54.9144,54.9144,1.0,2.2625352876243223,0.5543345241922607,0.2485897606197279,0.21316680829927545,0.2935348802274722,0.1104186339313818,0.31446845890484776,0.6933444819620235,0.34244295865306695,0.6710263629344614,0.22274071298597636,1.955649680211385,0.28062308236960115,0.2849517031011693,0.512678861618042,0.339649927045617,0.21590953066739796,0.11389601892395189,0.006355874038457408,1.5681698119733483,0.004640142895078795,0.008003342635081193,0.004253142320438703
16.0,0.639822085810448,0.6171627379272203,58.57536,58.57536,1.0,2.269386912788094,0.5827578895884489,0.25011009258708633,0.2179373032239724,0.2859566022308802,0.1104186339313818,0.3163091992029989,0.6938155316912675,0.34796139781753477,0.6710767113348506,0.22291868178034832,1.9572122352159702,0.27796105139938276,0.28520960904380593,0.518933117389679,0.3452591619130571,0.2209165801665846,0.11389601892395189,0.0058925068724096944,1.53219539278507,0.00433563567988768,0.0074112947364179,0.0033444750512762198
17.0,0.6407235079918301,0.6843631941483979,62.23632,62.23632,1.0,2.302888835825284,0.5602764485427933,0.25404298551200843,0.20714109112057083,0.29547765411464805,0.1104186339313818,0.3200899307280914,0.6966666313410783,0.33417815341091506,0.6715438897748522,0.22309695446344766,1.958777458344782,0.2824749728621397,0.28776588538138465,0.5181790590286255,0.3315038827915719,0.21054266874374986,0.11389601892395189,0.005987197455102744,1.6384723275295983,0.004101813478970991,0.007842735481120449,0.0037880901773884386
