round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_auprc,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6901056619156021,0.09258487814741945,0.526995,3.65056,0.9971592150692714,0.12735335463666841,0.25780499573939936,0.1097261567516525,1.7309449136475252,0.500528299530835,0.6124330611685959,0.1888644006160364,0.24962429394914148,0.3895599252554017,0.6411143807731556,0.20627388872659866,1.8110719819305297,0.028241335044929396,0.2744611567684912,0.49050456285476685,0.37629456048109217,0.2423447758759543,0.11389601892395189,0.4904864421112688,10.396134816110134,0.3201460133621015,0.6259049546312592
2.0,0.6868239185676233,0.06963464077836992,0.8092425,5.632,0.5412350858791136,0.18788214537717954,0.29241849045445045,0.1097261567516525,1.9777037433906455,0.5082911883355088,0.6539823961629129,0.21465032328701827,0.24712345588670684,0.38831293874279227,0.6214726440274223,0.20304462117098393,1.7827192125701634,0.19833285426846795,0.28054429646786333,0.49376288056373596,0.3797143785275188,0.2445937792177528,0.11389601892395189,0.07730707764720215,0.9092188704526052,,0.07730707764720215
3.0,0.6792543789062293,0.09524037757855804,1.09149,7.61344,0.5412350858791136,0.2277853547092289,0.3007690676496976,0.1097261567516525,2.0634915010397066,0.5052033661707864,0.6754036139819459,0.22313473275320417,0.23908327226561618,0.37976382063513553,0.6591981407334673,0.21137260029466645,1.855838354067489,0.23864406779661018,0.2788203753351206,0.49408453702926636,0.3797454966339145,0.24434895591395955,0.11389601892395189,0.051682050215787305,0.660169932001736,,0.051682050215787305
4.0,0.6730231729777987,0.11979259211813151,1.3737375,9.59488,0.5412350858791136,0.2525777949714538,0.3043328870915822,0.1097261567516525,2.1012716510842546,0.5119270643405205,0.6828343824451015,0.2272405444117447,0.23391551450209616,0.3741018904261068,0.6518594221459372,0.2099333721409739,1.8432020199156034,0.21169463995668653,0.27659873506676036,0.4939044117927551,0.3799383008874257,0.24459803087611168,0.11389601892395189,0.036035233954559036,0.5207340301712975,,0.036035233954559036
5.0,0.6761342762825431,0.12057664354989409,1.618485,11.264,0.4559241291901578,0.2705211448680388,0.2931661322737587,0.1097261567516525,2.0530865891840873,0.49789671017232845,0.6732069150724255,0.21793615704318073,0.21641052622045104,0.348508852263423,0.6536328228199633,0.21419437833058458,1.880613390654169,0.239618138424821,0.28354978354978355,0.4937618374824524,0.3803365655553509,0.24476753007928956,0.11389601892395189,0.06831905184386353,0.6107237028190866,0.06831905184386353,
6.0,0.6716952074760102,0.1378543212448635,1.9007325,13.24544,0.5412350858791136,0.2731082429906445,0.30402448457578124,0.1097261567516525,2.0912575205240875,0.5003482953028218,0.6809611921982274,0.22558159689132817,0.2296456899464047,0.36874179463736234,0.6618151908503052,0.21663125573843028,1.9020090235381666,0.25049789776499226,0.28236591755135804,0.4934436082839966,0.3796112065142693,0.24428917222591362,0.11389601892395189,0.02512721213772064,0.40289821656187996,,0.02512721213772064
7.0,0.66042686982897,0.18238058976320257,2.18298,15.22688,0.5412350858791136,0.289822105865456,0.3118393794428059,0.1097261567516525,2.1633074591331516,0.5065628105621499,0.6902695901338174,0.2314711021983871,0.22546855115504824,0.36375065181178046,0.665336755250904,0.2176157346539733,1.9106526875120615,0.2564,0.2828149710068529,0.49265414476394653,0.37833522278263343,0.24303070296181087,0.11389601892395189,0.023439852127391313,0.4151089585502632,,0.023439852127391313
8.0,0.6477372599609572,0.21072317646136507,2.4652275,17.20832,0.5412350858791136,0.29075968326418966,0.3201899715807394,0.1097261567516525,2.2789274515645257,0.5092946875628188,0.6964246591493815,0.2396220915086459,0.22338549110280473,0.36192626292352076,0.6647218697638981,0.2177307029301966,1.911662101864815,0.25322679778733864,0.2830138445154419,0.4922555387020111,0.3778316783787434,0.24262345847052513,0.11389601892395189,0.023686489349925014,0.45576284162234515,,0.023686489349925014
9.0,0.6380864239908648,0.29854654950828985,2.747475,19.18976,0.5412350858791136,0.29905299414950537,0.3255324365699017,0.1097261567516525,2.3257428071625563,0.5154034622405211,0.6987147384168659,0.2440320744091666,0.21934634245148035,0.3566541238320035,0.664918482024341,0.2179461764970701,1.913553946451739,0.2639252336448598,0.2835397316821465,0.49203962087631226,0.37757838996471016,0.24222938773986005,0.11389601892395189,0.019959944494435895,0.4209889674966689,,0.019959944494435895
10.0,0.6624476893102053,0.22870618061597678,3.27447,22.84032,0.9971592150692714,0.27210646492432394,0.29330116069746953,0.1097261567516525,2.0542758991914463,0.5069563248095965,0.6713290494289322,0.21836300263863698,0.21424180783137772,0.3475141354672069,0.6655618924151565,0.21999629306622434,1.9315538430989003,0.2725820763087844,0.2820860559733695,0.4918306767940521,0.3782370206550033,0.24270071313626196,0.11389601892395189,0.023454711682815974,0.7822467026417144,0.042563126314838926,0.014451447224929808
