round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_auprc_lift,fed_ece,fed_prevalence,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6884597595704618,0.10429859953883461,3.65056,3.65056,0.9971592150692714,0.6094518554192264,0.21797198470101523,0.5147092762925595,0.24437702219227966,0.2772615050792857,1.768737471674221,0.38152250446649294,0.11423716012084593,0.2033040022318385,0.5326531840042279,0.12512587191269375,1.0985974145087547,0.0,0.2088248812624483,0.4720148742198944,0.3579862665125706,0.22906922299607507,0.11389601892395189,0.027857777304061297,3.0090266936458647,0.023053729862089912,0.031069552870696855
2.0,0.6816777293419387,0.1382476664908642,7.30112,7.30112,0.9971592150692714,0.6464050353504248,0.25017956881912706,0.5456708362147829,0.23676477362919673,0.29520607699886325,1.9471352076665582,0.37290097387603227,0.11423716012084593,0.22349209185013116,0.41356376870878536,0.09618622367939697,0.8445090933654169,0.0,0.20451875282422052,0.38972795009613037,0.35990232789160664,0.230880272885261,0.11389601892395189,0.019253506294422705,2.2137059548404068,0.01514015551570982,0.022028235508955017
3.0,0.6724730428750696,0.1905773165539313,10.95168,10.95168,0.9971592150692714,0.6582528619732713,0.2710145149981444,0.5484772609473626,0.23072817190900952,0.29651708642062136,2.016480371285137,0.3654472941095675,0.11423716012084593,0.2325954248157706,0.469341739591949,0.10742937623413862,0.943223277240875,0.0,0.20451875282422052,0.39563530683517456,0.3597105750950481,0.23050912145658808,0.11389601892395189,0.014522840125394872,1.792918651830405,0.012456224523600377,0.015945164972220812
4.0,0.6667034205332631,0.2968670895799921,14.60224,14.60224,0.9971592150692714,0.6646475456054507,0.27192399021066754,0.5448860196905044,0.22303042975163156,0.3004373002774636,2.050473516887476,0.3536663239236549,0.11423716012084593,0.2363952190058567,0.43385989661560864,0.1011576764142981,0.8881581408200128,0.0,0.2045002711006687,0.4107009172439575,0.35789242236973856,0.2294553402202622,0.11389601892395189,0.011333801136545063,1.4892844206187874,0.010402144099531616,0.011992959550743521
5.0,0.6582191137325084,0.29004519642433857,18.2528,18.2528,0.9971592150692714,0.6701431789505237,0.28282653092015675,0.5167337965148934,0.21628594493703535,0.3033580834868968,2.1035196468160016,0.34385284372161773,0.11423716012084593,0.24189726693587843,0.4252172021459161,0.09961486103085575,0.8746123171993251,0.0,0.20450951154489178,0.43102696537971497,0.36256961968393997,0.23259263593954202,0.11389601892395189,0.009752292098632888,1.3626983056310564,0.00968233737497844,0.009803715772141345
6.0,0.6532839172562731,0.2969219286169055,21.90336,21.90336,0.9971592150692714,0.67209802795416,0.27874808570875154,0.5531235327090681,0.22686342367103915,0.30551218089861154,2.1358505101541003,0.36024517237892506,0.11423716012084593,0.24499003874090444,0.5672470654236552,0.15855161683004154,1.3920733870066704,0.0,0.21515151515151518,0.47759678959846497,0.3636316486403089,0.23302351419799835,0.11389601892395189,0.00931329183832254,1.377990106586367,0.00892953755164525,0.009607415577377404
7.0,0.6489164045164959,0.25816197433592836,25.55392,25.55392,0.9971592150692714,0.6747448393007436,0.28665614485247987,0.5389531694862837,0.2189027821717262,0.30978494172519316,2.1949477061567633,0.34884568053782583,0.11423716012084593,0.24837006944697668,0.5335880805106562,0.14560111795909345,1.2783688080995261,0.0,0.20664950184708383,0.4762984812259674,0.3639073910680917,0.23326944744534567,0.11389601892395189,0.007998983198670352,1.2568270571064204,0.007762551037453425,0.008186932425435434
8.0,0.646213153699591,0.31066036851948764,29.20448,29.20448,0.9971592150692714,0.6755925835586656,0.28222109119275196,0.5503401913795497,0.22187453925721826,0.310612078803772,2.2852239000586465,0.3527827012406105,0.11423716012084593,0.25167806624740346,0.5384708211944578,0.15040189090566927,1.3205192975716937,0.002644336712208021,0.20625124427632888,0.4749246835708618,0.36438855943415105,0.2335751240559719,0.11389601892395189,0.007826933799685064,1.3018373729428276,0.007533533094902986,0.008067174230817573
9.0,0.6433845724868285,0.34195162497593434,31.18592,31.18592,0.5412350858791136,0.6892709038145131,0.286671505944995,0.5644703615355529,0.22593138654470094,0.3222598091949108,2.4142023996023303,0.35896432957699204,0.11423716012084593,0.2652782088033143,0.6098406199549635,0.20333924149032315,1.78530596074734,0.04461279461279461,0.255877178954102,0.4814644753932953,0.36532496692784044,0.2338982060310025,0.11389601892395189,0.008483349560559236,0.8119867822388187,,0.008483349560559236
10.0,0.6441839213996798,0.4482371490385481,34.83648,34.83648,0.9971592150692714,0.6773896452037123,0.2835748105327655,0.537405822030292,0.21932579318024625,0.31415452894434653,2.303914395919439,0.3489130538375251,0.11423716012084593,0.2542720629312118,0.5871430666111346,0.19116035043458868,1.6783760507224226,0.019113814074717638,0.237204910292729,0.48273658752441406,0.3653926966615601,0.23408412485072766,0.11389601892395189,0.007861690255544734,1.4232153822667897,0.007374458084785374,0.008254643630299575
11.0,0.6436008286124586,0.373224677097225,36.81792,36.81792,0.5412350858791136,0.6920347043606497,0.2989924037468143,0.537637087206046,0.2020991372810399,0.326988328257096,2.4602694053718204,0.32261724961023075,0.11423716012084593,0.27024776712833626,0.629553537190978,0.21182525101878147,1.8598125994220809,0.01310615989515072,0.2748091603053435,0.47945094108581543,0.36351903295221777,0.23262355866069742,0.11389601892395189,0.007993817710690233,0.8347321436740458,,0.007993817710690233
12.0,0.621114137548289,0.4639453446417665,38.79936,38.79936,0.5412350858791136,0.7068085614322178,0.30932854669643195,0.5568506827771154,0.21035316114125593,0.3387665154231516,2.6019960227338257,0.33689608369707275,0.11423716012084593,0.2842960382800025,0.6057123272109912,0.1994617912029639,1.7512621871019396,0.04535909281814364,0.2502472799208704,0.4820604622364044,0.36682831166650803,0.23505795718984984,0.11389601892395189,0.008787948803999815,0.9630267189349979,,0.008787948803999815
13.0,0.6023700816102853,0.5413155202145961,40.7808,40.7808,0.5412350858791136,0.7173012268673107,0.31560062896376534,0.5735563780148284,0.20987803697100219,0.3454634370707642,2.7288986241463635,0.33769943833319244,0.11423716012084593,0.2974695018401928,0.5958778866060656,0.1956704516034661,1.717974459968744,0.05228215767634855,0.2460443037974684,0.48217564821243286,0.3652323155813761,0.23387067495977945,0.11389601892395189,0.009234099186349857,1.0687085748650134,,0.009234099186349857
14.0,0.591876105910751,0.7818317017715499,42.76224,42.76224,0.5412350858791136,0.7285054996599197,0.3165071434127734,0.6066292464294192,0.2055180824337213,0.35953821887004955,2.8700729772685682,0.3295759934436555,0.11423716012084593,0.31197559791980595,0.5557699015856935,0.14690148031663203,1.289785909152082,0.07086907870197687,0.21664994984954866,0.4811565577983856,0.3694052458217432,0.23713751811165937,0.11389601892395189,0.011047672533137917,1.3509574498748407,,0.011047672533137917
15.0,0.6385862588422128,0.7571713023776198,44.43136,44.43136,0.4559241291901578,0.6836353473048609,0.28792646924021775,0.5426038351127539,0.21271037814249516,0.3144430558759989,2.2805523367603886,0.3373339222603424,0.11423716012084593,0.25693566011010455,0.5692895137935793,0.1528020784221101,1.3415927954789684,0.06408227848101265,0.22220328874499445,0.4818243086338043,0.36867539921598375,0.23656634848081992,0.11389601892395189,0.007289685416121898,0.6341290031559765,0.007289685416121898,
16.0,0.642096598671318,0.614294370733888,46.4128,46.4128,0.5412350858791136,0.7021210288176487,0.29209078171276937,0.5693871677822216,0.22437398096948954,0.329432834642161,2.4644437984238587,0.3573330270899281,0.11423716012084593,0.27503707982455305,0.5616924396430354,0.14454252129901707,1.2690743949139063,0.02064516129032258,0.22057723941976967,0.48002079129219055,0.367074024439386,0.23548118427721437,0.11389601892395189,0.006575654169609453,0.8438529244158417,,0.006575654169609453
17.0,0.6194011531446674,0.6685148265223921,48.39424,48.39424,0.5412350858791136,0.7147767664087419,0.3042841662629739,0.5752865569450313,0.21306619195637239,0.3415861877711631,2.7172761438572413,0.34065701131669535,0.11423716012084593,0.2952125329247024,0.4798845214510038,0.10350941828759154,0.9088062889775326,0.012326656394453005,0.20485678704856786,0.47862508893013,0.3684386482754869,0.2368390514913353,0.11389601892395189,0.006943321238629853,0.9214172479696572,,0.006943321238629853
18.0,0.6021025626920007,0.7836147156332945,50.37568,50.37568,0.5412350858791136,0.7268933185659994,0.31218766351828825,0.5821749849389387,0.20772361186902133,0.35667494772980435,2.8571762442872486,0.3339000283708806,0.11423716012084593,0.30952494922781126,0.5897606438049456,0.14932556629766258,1.3110692340999812,0.011289622231871473,0.23590676144817324,0.4797641634941101,0.3660000261239757,0.23466249301241995,0.11389601892395189,0.008640514411221515,1.2044463249621913,,0.008640514411221515
19.0,0.5770121914881211,0.9827202184181514,52.35712,52.35712,0.5412350858791136,0.7390517608834998,0.3272222962725231,0.5956679882663644,0.19361280985696586,0.36842727030633926,3.011908601277152,0.3101608083794264,0.11423716012084593,0.32586242219137546,0.6137695772074648,0.17107068970911093,1.5019900723951944,0.02054794520547945,0.24747526267469142,0.4814475178718567,0.36630552595092136,0.23472143033509552,0.11389601892395189,0.008071069445075645,1.185725653427653,,0.008071069445075645
20.0,0.6448936744119094,1.220763590147808,56.00768,56.00768,0.9971592150692714,0.6865085443443372,0.283364659045648,0.5728270244059666,0.21982033022134723,0.3184149135737972,2.29017625261311,0.3490890549000612,0.11423716012084593,0.259540853776304,0.6193669840690734,0.19842659973693125,1.7421732700720667,0.02501078050884002,0.2566694748666105,0.48202797770500183,0.366570009546087,0.23493231947384022,0.11389601892395189,0.005849665130591823,1.436341054039076,0.00622974594136331,0.005618718643533923
21.0,0.6414888857588409,0.8878404259503562,57.98912,57.98912,0.5412350858791136,0.7050891907186042,0.3059288181758214,0.5788702761917586,0.20304601387356605,0.33181367748860674,2.4958248242422245,0.3237785317474078,0.11423716012084593,0.2789034112891934,0.46269058036646304,0.10363977331854696,0.9099507980849356,0.0008791208791208791,0.20450951154489178,0.41150981187820435,0.36593054223356997,0.23490648462459354,0.11389601892395189,0.005042960136535229,0.7866315599530935,,0.005042960136535229
22.0,0.6126123304477256,0.7667122356630767,59.97056,59.97056,0.5412350858791136,0.7209875281554438,0.3204935528755294,0.548922035625544,0.19633131361674339,0.343802096931275,2.692484168680543,0.3150840958646965,0.11423716012084593,0.2980221836484226,0.5095679278982796,0.11634991099295357,1.0215450205563386,0.0,0.20451875282422052,0.4145536422729492,0.3644441221706388,0.23374768502532894,0.11389601892395189,0.00554262189602083,0.8976140356389806,,0.00554262189602083
23.0,0.5919087757564663,1.0781909417083617,61.952,61.952,0.5412350858791136,0.734370974890385,0.32503324071746736,0.5581395945437665,0.20074752481261574,0.3559180682891136,2.867257709925287,0.32222589957110453,0.11423716012084593,0.31536637306458154,0.37808910401884144,0.08922856386637104,0.7834212706411516,0.000881057268722467,0.20452799493876814,0.4429496228694916,0.36355192615747195,0.2334713804108219,0.11389601892395189,0.00589411797584181,0.9986366450320929,,0.00589411797584181
