round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_brier,fed_f1,fed_auprc_lift,fed_auroc,fed_ece,fed_f1_best_threshold,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6888846868295215,0.11201016807018911,3.65056,3.65056,0.9971592150692714,0.17044047518397748,0.2482395608867607,0.24892001244747425,0.20850213236113235,1.4809989446152323,0.5657097664572461,0.38696920797833717,0.4972279957587126,0.11385235068286238,0.3955653324708681,0.08916134102599561,0.7828310582613817,0.2045002711006687,0.20450951154489178,0.521803081035614,0.42148696260295315,0.27903787228755683,0.11389601892395189,0.027205204812415236,2.92974090622738,0.023042950921421647,0.0299683283155978
2.0,0.6821021932540847,0.13341353573438144,7.30112,7.30112,0.9971592150692714,0.20888456544980072,0.2818154095963574,0.23764135776470144,0.2503238276176445,1.824652689513989,0.6444243784477074,0.37363242152631676,0.5331227261688195,0.11385235068286238,0.3652205197189786,0.08398389014733795,0.7373733598486335,0.2045002711006687,0.20452799493876814,0.5152338743209839,0.42320004640296804,0.2811316464911401,0.11389601892395189,0.020682674785855868,2.3549799935426563,0.01694428572875133,0.0231794716633242
3.0,0.6716054645768865,0.19475739719720117,10.95168,10.95168,0.9971592150692714,0.21859337423294453,0.29130607359096106,0.2371432548714644,0.2602384513223383,1.9193218131084862,0.6584651527494486,0.37341703707478296,0.5415140978471024,0.11385235068286238,0.40622722117640675,0.08950240684606373,0.7858255950616174,0.2045002711006687,0.2045649717514124,0.5188008546829224,0.4269529764782687,0.28431170770503866,0.11389601892395189,0.014686473226106245,1.802046624245122,0.012559852356712645,0.01614497176419604
4.0,0.6605626309160033,0.25229432352497805,14.60224,14.60224,0.9971592150692714,0.22223328238171172,0.296692944876032,0.23078953572686425,0.2752005423840027,1.956375143481515,0.6650529796121704,0.3647616549494494,0.5300087334000972,0.11385235068286238,0.36564962312239496,0.08358511702226136,0.7338721564804732,0.2045002711006687,0.20454648167397296,0.5132043361663818,0.42967888527340325,0.2878857154050211,0.11389601892395189,0.011482808812886033,1.5083287472371012,0.010993549679118855,0.011832847743822145
5.0,0.6623334282056466,0.4127726128086663,18.2528,18.2528,0.9971592150692714,0.22516286635968594,0.2969997958698631,0.20620395052539073,0.28176949717922445,1.9789303468445165,0.6663133920076829,0.325873030330504,0.5212818164155905,0.11385235068286238,0.365852798746099,0.08357192694028828,0.7337563483767512,0.2045002711006687,0.20451875282422052,0.514489471912384,0.44801110801990046,0.30577508190415564,0.11389601892395189,0.00966770261591173,1.3530269062612206,0.009319144165693929,0.009929264249229904
6.0,0.6509093765711056,0.3264746214005926,21.90336,21.90336,0.9971592150692714,0.22884247702637073,0.29976074828142146,0.2126689074431063,0.28353234332295735,2.012818853727615,0.6692552840627584,0.33853321930476693,0.5208899235326264,0.11385235068286238,0.3507694621038935,0.0820096068216998,0.7200392743881368,0.2045002711006687,0.20454648167397296,0.510167121887207,0.44099160112848196,0.2993239458645555,0.11389601892395189,0.008498151101673117,1.2638730542967096,0.008467337294336956,0.00852215995932974
7.0,0.6462999699042752,0.29101811145633155,25.55392,25.55392,0.9971592150692714,0.23041507163307576,0.30163431322306233,0.2296774385311748,0.277738073001182,2.0276924217477013,0.6708719609657582,0.3617714806519924,0.537481050913281,0.11385235068286238,0.38504546591069444,0.08590159725715452,0.7542107096342922,0.2045002711006687,0.20455572629485672,0.5125083923339844,0.43711572562726064,0.2948061360278713,0.11389601892395189,0.008314969272326962,1.308250754373148,0.007514544610096116,0.00896949310802967
8.0,0.6421585209209468,0.33083644680266266,29.20448,29.20448,0.9971592150692714,0.2342139322072664,0.3020648295261591,0.2130605881123956,0.28532335850337404,2.059106890645712,0.6737845906224302,0.3385140680508644,0.5243503599749376,0.11385235068286238,0.367408089948848,0.08385995207835227,0.7362851912703408,0.2045002711006687,0.20459271313624447,0.5151393413543701,0.4381022909590077,0.2961864263918829,0.11389601892395189,0.008224462029219792,1.3768321460811421,0.00736646234282967,0.008952006608572463
9.0,0.641351445853049,0.42341183067917676,32.85504,32.85504,0.9971592150692714,0.23621864129110023,0.3012213225987678,0.2176447111406805,0.2869666697312003,2.07464126536383,0.6746535277611208,0.34552309747961885,0.5310757796165966,0.11385235068286238,0.3800383225117737,0.08531556690316491,0.749065399380903,0.2045002711006687,0.20450951154489178,0.5140181183815002,0.4394890240654803,0.2972506005631845,0.11389601892395189,0.007690850676468251,1.3667938517173752,0.006811690419017862,0.008462680762748306
10.0,0.6376918548075452,0.5027935800264989,36.5056,36.5056,0.9971592150692714,0.23990413140259437,0.3068134807666078,0.22267671851630622,0.2866071234789913,2.109512060598814,0.6772278877812868,0.35435535657682704,0.5420933190747965,0.11385235068286238,0.3786385943128194,0.08516347093717495,0.7477300062088948,0.2045002711006687,0.20453723788864786,0.5144153237342834,0.43622050380615585,0.2940047580559389,0.11389601892395189,0.007558073379803512,1.425320724840276,0.006655148215920189,0.008378493405976852
