round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auprc_lift,fed_f1_best,fed_brier,fed_f1,fed_prevalence,fed_f1_best_threshold,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6894535983989328,0.09722782232190114,3.66096,3.66096,1.0,0.369190251554127,1.9093332304601909,0.2848794440044611,0.23375401387037456,0.2624547798933027,0.1141742195367573,0.5105404648442132,0.21425113652034364,0.6516452656562185,0.6587666905825751,0.21521129604980638,1.8895418653175442,0.2760004721992681,0.2790360046457607,0.5120362639427185,0.3679088985105785,0.23263646598358081,0.11389601892395189,0.02531635135621439,2.7417444942147995,0.022254067383520974,0.027543902367153573,0.010062311451111004
2.0,0.6647404810312378,0.18268622817523644,7.32192,7.32192,1.0,0.3247916444044369,1.9506272944553493,0.29273378788429116,0.2033011123712745,0.27016257424521306,0.1141742195367573,0.5062024540681493,0.21896582776299872,0.6589248662274063,0.6630558045506219,0.22117198688130468,1.941876362061265,0.27776132662126146,0.2808227614238207,0.4736684262752533,0.32278319191780286,0.2017290734626688,0.11389601892395189,0.015894648450936875,1.8477342213700467,0.016028243613465082,0.01591041101791358,0.005871791558817037
3.0,0.6583653339771326,0.3208761748072231,10.98288,10.98288,1.0,0.35266852835596557,1.9825197526140803,0.29391769349181307,0.22265727687376508,0.2707155646259818,0.1141742195367573,0.5357446877505304,0.2229757280220461,0.6619423016078374,0.6656695290627481,0.2236330671236121,1.9634844943345333,0.27815037063183906,0.2823837590045841,0.517952561378479,0.3506959835383785,0.22101032534147397,0.11389601892395189,0.011487624104937061,1.4291032330347662,0.011957789300384866,0.01123719930803312,0.0039188423614928605
4.0,0.6502335267148411,0.3005886787783846,14.64384,14.64384,1.0,0.34204689805439986,2.002895925943536,0.2943808125675989,0.21548782918787215,0.2737727557716268,0.1141742195367573,0.5304594517789579,0.22567838545314373,0.6640448552078281,0.6660234361513261,0.22389253499536485,1.9657626061965991,0.2784298876688123,0.2806967851579096,0.5217360854148865,0.3399611900914591,0.21408985938868935,0.11389601892395189,0.009628557431653504,1.271549931840127,0.010039330179766576,0.009385301845197671,0.004088269604704499
5.0,0.646658576380022,0.3340824733604614,18.3048,18.3048,1.0,0.3315447663723266,2.0180137557032305,0.2970887665168829,0.20898292645278924,0.2746239075223687,0.1141742195367573,0.5248522012694274,0.22800558494276374,0.6668228997464902,0.6675968236634873,0.22523296214790378,1.9775314736706584,0.2817860416393872,0.2830937713894593,0.5097865462303162,0.32944580639300824,0.20758838522893586,0.11389601892395189,0.00828994837602174,1.159973078112671,0.008264895595734454,0.008342717865840838,0.0045129970817515295
6.0,0.6471300026746734,0.31659491604251927,21.96576,21.96576,1.0,0.3423863801315487,2.0388063006990658,0.299003879228942,0.2160255563370046,0.2774992579211262,0.1141742195367573,0.5481304523365316,0.23062938260273502,0.6701568795128506,0.6676339700406437,0.224252034928071,1.9689189933653746,0.2808194560920091,0.28459427675421406,0.5182920694351196,0.3404184591773772,0.2149727302892705,0.11389601892395189,0.008412603200353754,1.241410894170258,0.007918822456701738,0.008828326389020778,0.0047238974230901926
7.0,0.6473493573190597,0.38025065620787646,25.62672,25.62672,1.0,0.35013858268969705,2.045752007428053,0.29812689871964076,0.22053305888805455,0.2818699873588743,0.1141742195367573,0.5147670474604957,0.23145042991255613,0.6711756166818449,0.667078870141737,0.2245899787161722,1.9718861189180845,0.2793846153846154,0.2827415788789179,0.5100142359733582,0.34862374647498595,0.21974459541720973,0.11389601892395189,0.00840519476913568,1.316596239131286,0.007593392108439764,0.00908943337362528,0.004500803832077833
8.0,0.6464450249165511,0.29605432549749244,29.28768,29.28768,1.0,0.33061995313288073,2.0543411342395097,0.29918142601325676,0.20935803066671446,0.2822797849682704,0.1141742195367573,0.5458457961524691,0.23330665157112038,0.672331892426422,0.6674818581360781,0.2239779711897735,1.9665127306980157,0.2798084194605495,0.28340392760877936,0.5041813254356384,0.32866517553569335,0.20864334235645113,0.11389601892395189,0.007910418896539793,1.3152297392862238,0.007109529212087083,0.00860224033011216,0.004626607708074085
9.0,0.6452547387161824,0.388960090459868,32.94864,32.94864,1.0,0.3389714505619108,2.054447410706833,0.3029544070115493,0.21387717238091597,0.2852187303487901,0.1141742195367573,0.5311092341586963,0.23342305937033767,0.6745536975794915,0.6667497231214462,0.22449261405642978,1.9710312632289895,0.2807017543859649,0.2830727396329028,0.5185288190841675,0.33712567544030253,0.21342538149175147,0.11389601892395189,0.007836200312235822,1.3782957512903522,0.006814700349215967,0.008749968801213587,0.003133590094789303
10.0,0.650513171130312,0.4170847447296019,36.6096,36.6096,1.0,0.35149120452015664,2.088508392933964,0.30353017537087484,0.22189713585581858,0.28120016360836625,0.1141742195367573,0.5502740605044942,0.2373548677823509,0.6758094916045858,0.6683849794306956,0.2233299638297547,1.9608232661658842,0.27727378460107,0.2822175988251132,0.5087664127349854,0.3496939165756647,0.22142973334388505,0.11389601892395189,0.008122489124787276,1.5181443551609846,0.00647904891082981,0.009609599710665669,0.004030309117474279
11.0,0.6450517015306743,0.39065646969151036,40.27056,40.27056,1.0,0.3497330753286514,2.12107213615639,0.3055157610223384,0.22119641752063254,0.28528718851769075,0.1141742195367573,0.562251514206525,0.24140469166569536,0.6788162257799168,0.6675814254861997,0.22172641622815364,1.9467442174269485,0.27609579755987346,0.28172405490007224,0.512182891368866,0.3477147116336905,0.22110590406900557,0.11389601892395189,0.0071251611725944635,1.4141215349118283,0.005771032314340113,0.008379810181949396,0.0035088570755539175
12.0,0.6446104913033188,0.44275299058495526,43.93152,43.93152,1.0,0.34884821004182676,2.127068565955053,0.30801289794803616,0.22007185683099936,0.28226283530701474,0.1141742195367573,0.5630366039450195,0.24283030954162907,0.680985278874103,0.6668557785381183,0.2207003205584285,1.9377351609259459,0.27321931153929424,0.27980835044490077,0.5405452847480774,0.3469917703845719,0.2202877972219528,0.11389601892395189,0.00712647269844374,1.5000370217203454,0.005742465517551153,0.00844133337215989,0.003322869112251546
13.0,0.6437901484198983,0.4508525834605628,47.59248,47.59248,1.0,0.338504907770752,2.147542352406201,0.30855819022624575,0.2147695603460404,0.28101936185141596,0.1141742195367573,0.5698895897108531,0.24507964797499784,0.6815495549712053,0.6661777442099466,0.22076279369399937,1.9382836711913713,0.27261968800430336,0.2799638756289511,0.5313456654548645,0.3364421878120843,0.2151237933334922,0.11389601892395189,0.006754021948067145,1.5029296436896402,0.005239468453368657,0.008229295742387711,0.003047781153229695
14.0,0.6407979595144334,0.4878325893375042,51.25344,51.25344,1.0,0.3111557441553493,2.1715544534675435,0.31091796539330274,0.19764482577038195,0.28715968458566554,0.1141742195367573,0.5496426909685526,0.24797228225122941,0.6823927278316364,0.6678234416630453,0.22202490569484096,1.9493649364784775,0.2798549456046017,0.2861775435751926,0.5163306593894958,0.30878900377222057,0.19807177647816943,0.11389601892395189,0.006433042371278151,1.5176585267336122,0.004625163298915823,0.008225613627536274,0.003072313519553044
15.0,0.6424245534326286,0.6197013991181949,54.9144,54.9144,1.0,0.3414250229183333,2.1964640353715716,0.3116186761940465,0.21554295580909213,0.2878906868548554,0.1141742195367573,0.5618710793903677,0.250816797037069,0.6869964578031851,0.6662145141035507,0.22172910207296376,1.9467677989782222,0.2781117791137831,0.2815111215723196,0.5113174915313721,0.33937969129361767,0.21643235804875582,0.11389601892395189,0.007003540001352092,1.7425486505271692,0.004851569366707776,0.009171913742011794,0.003279586853618848
16.0,0.6394853797299482,0.5926684431023059,58.57536,58.57536,1.0,0.3380206508514137,2.253222640046255,0.31460224802666137,0.2131501996923753,0.2907902967586461,0.1141742195367573,0.5694039683856543,0.2570182315052495,0.6885007254185982,0.6654637557025337,0.22240382676510245,1.9526918400335045,0.2775704105870377,0.2821860863186208,0.5148880481719971,0.33607266051050244,0.21461868467717207,0.11389601892395189,0.007350241346469477,1.9381226486893866,0.004910114561365715,0.0098322900355417,0.00401396007804051
17.0,0.640997972633317,0.6191531064510739,62.23632,62.23632,1.0,0.32469557243102004,2.273348452222033,0.31884068198600957,0.20579675671967004,0.29118790610257184,0.1141742195367573,0.5546841709072676,0.25866117859682947,0.6912365267031447,0.666478052590134,0.22347919893777807,1.962133541181932,0.2774845076887767,0.28303117255771487,0.5245991349220276,0.32247179132027093,0.20729467274049043,0.11389601892395189,0.006388933677302629,1.7844924944693048,0.004416046118616914,0.008417355053155435,0.003576828205151565
18.0,0.6423436266852712,0.9089473949858288,65.89728,65.89728,1.0,0.33488572898535635,2.2974475987968117,0.3208550273343686,0.21066800896081087,0.2918106671811392,0.1141742195367573,0.5453891510712235,0.26193823985896625,0.6948143324728082,0.6651584526405527,0.22076350844383325,1.9382899466506949,0.2809653916211293,0.285398773006135,0.513030469417572,0.33300512321838965,0.21272012412423538,0.11389601892395189,0.006095527208562883,1.7908817156676378,0.004200262990212285,0.008080337232890677,0.003441743042521171
19.0,0.6448579092029318,0.7574378395822595,69.55824,69.55824,1.0,0.34202378242973464,2.3093050178550594,0.3211842390017087,0.21589046563611972,0.291397372135598,0.1141742195367573,0.5736384756510472,0.2632559871491322,0.6950284367607603,0.6657479505866843,0.22103448363456601,1.9406690920615077,0.27921801954951125,0.2833255921969345,0.5161601305007935,0.340195817231001,0.21802796931903354,0.11389601892395189,0.005522018888425854,1.7059534220061323,0.0036730472627149392,0.007479232225699708,0.0029999212017486642
20.0,0.6431857926140562,0.7530992561069467,73.2192,73.2192,1.0,0.3310252450259302,2.3304790669792395,0.3246768139184493,0.20921994603713204,0.2913529808921615,0.1141742195367573,0.5577517983420168,0.2659908513530019,0.6966750078952811,0.6636189611975469,0.22027703817615718,1.9340187677958758,0.2761904761904762,0.28072428406318223,0.5252972841262817,0.32929557227650097,0.2120056555679724,0.11389601892395189,0.0056136128076415895,1.8178112250807317,0.0034923442399625287,0.007887711813555172,0.0034372589317329906
21.0,0.6419934923862745,0.9503461890454105,76.88016,76.88016,1.0,0.33143916850218375,2.3673306104088274,0.3268220756474863,0.20937729711080347,0.29204221792441665,0.1141742195367573,0.5610269430221957,0.27029816592570205,0.6996742545866809,0.6600352519119215,0.2202113831121117,1.9334423203952926,0.276664801343033,0.28128782377148387,0.5145577192306519,0.3296255411801352,0.2127269803327906,0.11389601892395189,0.0052219665953326935,1.7705885574250715,0.003259735352396534,0.007353541672255663,0.002813057972496367
22.0,0.64122095009964,0.9472171117268615,80.54112,80.54112,1.0,0.3367145830197475,2.381396208597396,0.32731057464650404,0.21250315739079334,0.2920663484245685,0.1141742195367573,0.5638986284162734,0.2718224767744753,0.7001778574824219,0.6612489219393481,0.21843184890202702,1.9178181201212439,0.2767579173376275,0.28238583410997203,0.5139288306236267,0.33492330646345697,0.21589200327712063,0.11389601892395189,0.004961179629062764,1.7595353865544894,0.00313900487227257,0.00696146715717147,0.0024602636781272825
23.0,0.6441755757521839,1.003291754658972,84.20208,84.20208,1.0,0.3257482628863725,2.4231305877276608,0.3290831888812948,0.20417895118426557,0.29750172340781594,0.1141742195367573,0.5515852918433849,0.2767559977229108,0.7021712020147003,0.6616784269252202,0.21924706599270213,1.9249756757441443,0.2807220550798426,0.2820058997050147,0.5031481981277466,0.3237576108991896,0.20737752031410173,0.11389601892395189,0.005046278674604094,1.8700302305005607,0.0030661619322757292,0.007237414146418203,0.0024420643473623315
24.0,0.6465871090159252,1.0771514376326152,87.86304,87.86304,1.0,0.3099244858625027,2.427761978443556,0.33110674403297985,0.1936397005146369,0.30159595177760523,0.1141742195367573,0.5324260712116357,0.27770394042293944,0.7039140693933891,0.6559393869512509,0.2181268120988079,1.915139915860015,0.2792710108823915,0.2828182941903584,0.4890429973602295,0.30813923620292777,0.19763759664058153,0.11389601892395189,0.004615056002712978,1.786268646346798,0.0027025485449527,0.006742572471001513,0.002618265872476318
25.0,0.6497306158294317,1.2578268787683626,91.524,91.524,1.0,0.3186871617447917,2.446929018805512,0.33288225506209335,0.20000140055938503,0.30220716214188414,0.1141742195367573,0.5517809520262666,0.28041477261136677,0.7052795810409067,0.6594027595441216,0.2173982630446153,1.908743300235732,0.27745940783190065,0.2785571142284569,0.5096840262413025,0.31685882316784825,0.2042156735494673,0.11389601892395189,0.00451203590344767,1.8179186764291444,0.0026045141552766622,0.0066492997893954015,0.002224313392439053
26.0,0.6462058644433774,1.2286249485092857,95.18496,95.18496,1.0,0.33817392836483373,2.4631088484618275,0.33812677123257795,0.21208890366893351,0.2942323477196237,0.1141742195367573,0.5622494423467467,0.2820810757081101,0.7070081671625602,0.6585199056140675,0.2161987561659409,1.8982117040482012,0.27362812999467234,0.27635856943799353,0.513646125793457,0.3365370615882937,0.2162921446430447,0.11389601892395189,0.004172220614384681,1.750793388035163,0.0024429308451400147,0.006125507598500552,0.0022200356823269016
27.0,0.6479244101443026,1.111450411046951,98.84592,98.84592,1.0,0.3248187337212676,2.494040626167157,0.3360399704041356,0.20446850488427643,0.2971673580059295,0.1141742195367573,0.553483887724691,0.28574031877654665,0.7093154368026269,0.6577995921829767,0.2143293744156255,1.8817986479293252,0.275367193631573,0.27946744839379506,0.5158790946006775,0.3233736584217698,0.20974558054692655,0.11389601892395189,0.004060011867054479,1.7657441279679915,0.002210792448504367,0.006169057266053339,0.003867222034262136
28.0,0.6478315468138042,1.7797012074430065,102.50688,102.50688,1.0,0.3276657159506458,2.5065307370312393,0.3398226450565615,0.20445748460362773,0.3021376668278119,0.1141742195367573,0.5522461561814386,0.28728644349431415,0.7109437520488413,0.6568400736522302,0.21733417190448612,1.908180583990382,0.2759340914365282,0.2772252915899325,0.5090219378471375,0.3266066434998525,0.20988360760136296,0.11389601892395189,0.004305225945761505,1.9428524084360106,0.0022876190904670226,0.006621854702341322,0.0026824321604308962
29.0,0.6444510503903588,1.1587792466413163,106.16784,106.16784,1.0,0.3265251900788775,2.5083501773038757,0.33968860370206333,0.20375965304882063,0.3004313176963039,0.1141742195367573,0.5437680239032314,0.2878068549657419,0.7106075234828776,0.65624302093615,0.2168835664135666,1.9042242956567188,0.2770366841353025,0.27791924336122226,0.5029304623603821,0.32540053535734015,0.209494919896647,0.11389601892395189,0.0038751154814188043,1.8107073252840564,0.002080127516802377,0.00595372119256713,0.003371465594178353
30.0,0.6441590460888901,1.2639334655599783,109.8288,109.8288,1.0,0.33167896696862503,2.5559158463808864,0.33994267728585564,0.209304614942955,0.2972067976780148,0.1141742195367573,0.5816741102813086,0.29312032864895476,0.7121081713318946,0.6573449882936205,0.21557438908500226,1.892729799703893,0.2713864306784661,0.27763790341039135,0.5148202776908875,0.33003310674069053,0.21508878769096793,0.11389601892395189,0.0035230677853976544,1.7032747246266808,0.001939857168899372,0.005368219228886186,0.003635581086979477
31.0,0.6519823483135143,1.7978307185001259,113.48976,113.48976,1.0,0.3288292574964947,2.589458508796903,0.34291856265958054,0.20585762619492398,0.30171682661928695,0.1141742195367573,0.5769647030293011,0.2968771753996864,0.7151399780426438,0.6550312082275812,0.2162517884283039,1.8986773240309192,0.2755515533543449,0.27950605556874847,0.5087523460388184,0.3273727871732318,0.21217319346232283,0.11389601892395189,0.0033887230639991967,1.6975473999991664,0.0019057043919676808,0.005129462327143139,0.002862101738822644
32.0,0.6557318301255839,1.6061227308280948,117.15072,117.15072,1.0,0.3199851411081578,2.5692292279995854,0.3396577244500342,0.20004317737942773,0.30108217472885995,0.1141742195367573,0.5486665209408285,0.29417225278008213,0.7110668186700537,0.6535828634525781,0.21656406154069552,1.9014190626390097,0.27992722862340813,0.28032148075986363,0.5005956888198853,0.3185410445626257,0.20610392478566908,0.11389601892395189,0.0033429427518962356,1.7268190931426943,0.0017821747115231569,0.005190008645020236,0.0030322074645937136
33.0,0.6535831267841774,1.8721667278828327,120.81168,120.81168,1.0,0.3192693298145747,2.603324669209169,0.3408925287832933,0.19996117752618459,0.3033405747063713,0.1141742195367573,0.578375531495563,0.2984103690989414,0.7140282745453981,0.6529966785617063,0.21475468568352035,1.8855328545496535,0.27349177330895796,0.27662616154395997,0.49569547176361084,0.31801542576597963,0.20667460845310628,0.11389601892395189,0.003245516491193172,1.7316564604661835,0.0017370248108339122,0.00503941964933077,0.003024787940947673
34.0,0.648820629026303,1.6230151571880362,124.47264,124.47264,1.0,0.32804109882801336,2.619665708854987,0.3449976404178362,0.20573044602929141,0.30773446015547634,0.1141742195367573,0.5614096326256416,0.30012423939156646,0.7160159177940231,0.655114461290438,0.2161840022873241,1.8980821659066913,0.27580663681249284,0.27900252981568485,0.5085857510566711,0.3267210905468912,0.21248485168370995,0.11389601892395189,0.0032320794326078095,1.780812764771781,0.0016921592484448853,0.005069646453751311,0.003201200123525262
35.0,0.6587347534898875,2.188175428822119,128.1336,128.1336,1.0,0.3265115258332771,2.665904336358273,0.3490627392092794,0.20368189221575697,0.30597392494709696,0.1141742195367573,0.5542656371664454,0.30530339998487444,0.7174167481410763,0.653950537289717,0.2141029942213146,1.8798110438282367,0.2748109365910413,0.27953330092367523,0.5074256658554077,0.3251246919857355,0.2107457629735643,0.11389601892395189,0.003177793389550448,1.8058983573509977,0.0016063934750311466,0.005058574282074245,0.003155780407020565
36.0,0.6645485724362203,3.166444003466318,131.79456,131.79456,1.0,0.31239391166460295,2.68859628735266,0.35000786557331687,0.19464996227855638,0.3142783335510637,0.1141742195367573,0.5522529916895961,0.3086233945877193,0.7194294188879821,0.6504488010228706,0.21264961860923665,1.8670504958669565,0.27355392775953524,0.2737585076884296,0.49977800250053406,0.31063075909267085,0.20196231567914927,0.11389601892395189,0.00311146359706895,1.8249136900176381,0.001547941026267512,0.004975072802697542,0.004021457892528052
37.0,0.6564974547806017,3.1252289920818335,135.45552,135.45552,1.0,0.326422189872635,2.6949199932365886,0.3468261184455613,0.20389728171439625,0.31096455108536686,0.1141742195367573,0.5471495820428849,0.30883325027405073,0.7201565809452288,0.6494498019169438,0.21585995783925277,1.895237075699564,0.2714450867052023,0.27580182203918635,0.512293815612793,0.3250571382925698,0.2115614120276645,0.11389601892395189,0.0028773637336642717,1.738455510514541,0.0014797815912279328,0.004540622356916173,0.0037257816937822977
38.0,0.6641226493831003,3.6473223964178216,139.11648,139.11648,1.0,0.3122056887816879,2.6855430616670417,0.3446484580282502,0.1940091291751267,0.31981949836083734,0.1141742195367573,0.540284682371,0.3081323359686775,0.7215289578384232,0.6488657755317717,0.21502027265917295,1.8878646917654032,0.27321237993596587,0.2771986492438702,0.5169582962989807,0.310424585419264,0.20145587550471925,0.11389601892395189,0.002792921907675989,1.7407761497070169,0.0013996350379929699,0.0044510629960263825,0.002647646733462361
39.0,0.6597275395915407,2.113458110656068,142.77744,142.77744,1.0,0.3144543779410585,2.693254709704429,0.3441394848648258,0.19706642691486365,0.3156047340847239,0.1141742195367573,0.5425955654653718,0.3090120154010938,0.7212612749636761,0.6520368713935699,0.21462445144594947,1.8843894060006936,0.28097731239092494,0.28111346898015227,0.500215470790863,0.31297708732816737,0.20489022545919508,0.11389601892395189,0.002793271493476022,1.7920174715800385,0.0014166488071829407,0.0044310304080564565,0.00350561222189609
40.0,0.6522290689878677,2.502430292819182,146.4384,146.4384,1.0,0.32662679116358295,2.7270702725317464,0.3521934691368481,0.20685535481256836,0.3036346850412602,0.1141742195367573,0.5963853590906958,0.31308290341632816,0.7223734604983136,0.6486447420382389,0.21414976582303952,1.8802216955978666,0.2667248717668886,0.27367645252425987,0.5217587947845459,0.3252012082190074,0.2158266047633091,0.11389601892395189,0.002555098581409587,1.686135774545619,0.001276463924304163,0.0040729309359711485,0.003940228024366867
41.0,0.6768802520194682,4.58998213901498,150.09936,150.09936,1.0,0.3213426252243623,2.7422081444213675,0.3517414103162433,0.20153553174597555,0.31348558390765624,0.1141742195367573,0.5665249857650123,0.31431238172961473,0.7254300177801487,0.6492287809728626,0.215016154014541,1.8878285303203335,0.27160205511443253,0.27654460624911636,0.5330663323402405,0.31957352315358517,0.21000152184449283,0.11389601892395189,0.0026390599079115363,1.789058139726876,0.0013275796971219955,0.004199198558217923,0.0030307849946578647
42.0,0.6657187857857091,3.0157122019105373,153.76032,153.76032,1.0,0.3294733470138929,2.7524881471090428,0.35626856816621316,0.20539004039367897,0.3105782927283817,0.1141742195367573,0.5633802405799564,0.3157156133033148,0.7252140871272093,0.6490602669348703,0.21355549176506536,1.875004006133488,0.2697189483227561,0.27327288979696074,0.5180456042289734,0.32820611885324336,0.21381663655948077,0.11389601892395189,0.002458438121071075,1.7112959978003346,0.001234973969946815,0.003914293061807793,0.002934287330423722
43.0,0.6603946390205069,2.77588518848199,157.42128,157.42128,1.0,0.3156810735141922,2.794852799319595,0.35609402894908004,0.19692180606101325,0.31568859483042033,0.1141742195367573,0.563395030903447,0.3205015011484384,0.7268772529564648,0.6458260473308094,0.21204122365329262,1.861708825791989,0.26973442663076735,0.2711949057310526,0.5035660266876221,0.31463608815245314,0.2063312626594912,0.11389601892395189,0.0024408817989032116,1.744749611538282,0.0011528998689064821,0.003971699453481839,0.003249776120980176
44.0,0.6712644177919208,3.2812174373524208,161.08224,161.08224,1.0,0.3225910624619773,2.7738098728980116,0.355920169902125,0.20294143106586937,0.30783317983718683,0.1141742195367573,0.570084477421215,0.31773253296613035,0.72641610993957,0.6501638531716154,0.21492851810276564,1.8870590924365225,0.2684150513112885,0.27451477863757456,0.5194257497787476,0.3211532859031331,0.21209794251876574,0.11389601892395189,0.002471309352050022,1.812041734289778,0.0011552798835997582,0.004038036730572397,0.003298310030997283
45.0,0.6660527404077153,3.331850340071761,164.7432,164.7432,1.0,0.3168535159390502,2.822644792025702,0.3586842997228374,0.1985901570832538,0.3124434889040846,0.1141742195367573,0.5604404192793015,0.32315743320646834,0.7294998013593579,0.6487252969689712,0.21462075397774877,1.8843569424586346,0.26990179087232813,0.2743815752061416,0.5370316505432129,0.31545864945736996,0.20787219193642759,0.11389601892395189,0.002318376719739435,1.7419463195128628,0.0010777426204531036,0.003796917033196789,0.004119886378460708
46.0,0.6666783051671433,3.3342659072486507,168.40416,168.40416,1.0,0.3247133703901029,2.8461259508488976,0.3638344790709439,0.2031067953231971,0.31403036888959196,0.1141742195367573,0.5662013670300158,0.32647485201213144,0.732303582536425,0.6491532960206341,0.21192660513964678,1.8607024823330278,0.26825969341749323,0.27560815253122944,0.5261873602867126,0.3240633812436574,0.21267198900744683,0.11389601892395189,0.0021775535977376515,1.6757198770610557,0.0010526607325938484,0.0035211609388843892,0.003317526604660121
47.0,0.662232897002071,3.1486494427288205,172.06512,172.06512,1.0,0.3286536082450859,2.8703935778527034,0.36344567717466125,0.2055218701764728,0.3097375520452006,0.1141742195367573,0.5715188564768311,0.32957456101279636,0.7336000148173493,0.6447754950771262,0.20956068589649246,1.8399298577452092,0.2657588403250604,0.2735748534896111,0.5312079787254333,0.3279934098453579,0.21553912840757564,0.11389601892395189,0.002139737267131611,1.6860109369281417,0.0010005642743634402,0.0034999834472686075,0.0030481085687081647
48.0,0.6654208570936434,2.9509346819687745,175.72608,175.72608,1.0,0.33357307745755405,2.8955740050467877,0.3658067470029204,0.20859729947634492,0.30572605442270806,0.1141742195367573,0.5839137938380062,0.3319266803063269,0.7342776435767392,0.6482717848819165,0.21227738326186812,1.8637822925453194,0.26434383475902357,0.2762810353935552,0.5377490520477295,0.33288289242052915,0.2186123981670661,0.11389601892395189,0.002118524129061938,1.7098213598328584,0.001001322803870994,0.0034503784552555087,0.0032112619359130744
