round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best,fed_auprc_lift,fed_f1,fed_auroc,fed_prevalence,fed_auprc,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6868160884576058,0.10757692507385334,3.66096,3.66096,1.0,0.22532624134063578,0.2890933917989935,1.8235756475055505,0.27373616183255006,0.6549750098608115,0.11524420946626385,0.2090756598906815,0.3564031916386321,0.4968070017168258,0.6513915660355413,0.20822164599859522,1.828173170281082,0.26472925417186965,0.2666822211852543,0.5028191804885864,0.3575180017406372,0.2255418245717597,0.11389601892395189,0.025139551701576838,2.729944473358046,0.021826275620261466,0.0275085149966492,0.012749162047438803
2.0,0.6600379650621351,0.25271338785314534,7.32192,7.32192,1.0,0.2210484233896509,0.29447190842098314,1.9175297863459153,0.278280673061779,0.6633618786189286,0.11524420946626385,0.21945133920880658,0.3488328220071375,0.5142439645410245,0.6580199982039225,0.21370308882659977,1.8762998992027002,0.2673177379059732,0.271398192450824,0.5252501368522644,0.3500275920377751,0.2216667308067295,0.11389601892395189,0.016053523616335896,1.869285184704495,0.015394921982060638,0.0165988927952567,0.0055913339609255435
3.0,0.6509500218707778,0.2978338206372504,10.98288,10.98288,1.0,0.22086645893457685,0.29608977307285883,1.9433647868549198,0.28192248917281115,0.6667270488745971,0.11524420946626385,0.22336564172969003,0.348586273378686,0.5030384594096249,0.6605464789275379,0.21644854504440353,1.900404834947969,0.26993865030674846,0.2746748278500383,0.5129536390304565,0.3497517786147976,0.2215449840191978,0.11389601892395189,0.011347093415389607,1.407407031092589,0.011365549486971379,0.011393580797511203,0.004737522810514212
4.0,0.6457234748637034,0.2788590034946233,14.64384,14.64384,1.0,0.22822629393095287,0.2989775224783249,1.997680548118028,0.2784714276524261,0.6701456659213779,0.11524420946626385,0.2290711755611447,0.35929385082062787,0.5366585622621327,0.6626277678506037,0.21873978173504777,1.9205217513449686,0.2691321077383497,0.27733641484905386,0.546604573726654,0.36026183016419366,0.2289295481497764,0.11389601892395189,0.009302625011865483,1.2203839371704817,0.009718196504908367,0.009045839060546665,0.004222581869925473
5.0,0.6459439380110615,0.2747292361029866,18.3048,18.3048,1.0,0.22606447342907773,0.3002391115673698,2.0302865194306676,0.2841300679385449,0.6724775448574354,0.11524420946626385,0.23287759138799283,0.35635102822840187,0.5191462623219926,0.6626456382698844,0.21875141663761064,1.9206239050696798,0.273542600896861,0.28007419183889776,0.5286788940429688,0.35721509671591023,0.22686840139467743,0.11389601892395189,0.008612019262419219,1.194219829029862,0.008493243368187584,0.0087251852964135,0.00547314451330752
6.0,0.6437218153309654,0.2699832944044852,21.96576,21.96576,1.0,0.22464938398110612,0.3012951450472735,2.059681667044079,0.28491266914649255,0.6745774062767882,0.11524420946626385,0.23616097673725572,0.35456187766015324,0.5143897090789986,0.6640826006921575,0.22051951002410358,1.9361476556203774,0.2742169211905027,0.2807831014940752,0.5247093439102173,0.35518666025127593,0.22542722181125216,0.11389601892395189,0.008074447816577231,1.1828671270159248,0.007806752637936359,0.008302512468778497,0.005270988511017978
7.0,0.6444061235272189,0.3143241474976901,25.62672,25.62672,1.0,0.21103481208914596,0.30420173804814277,2.0861743043377183,0.2891509714004447,0.6767873279430768,0.11524420946626385,0.23922180749486388,0.33346710545325053,0.49665433455217334,0.6631706194846102,0.22024382049492955,1.9337271186097018,0.27808676307007785,0.2806683874473577,0.5186702609062195,0.3340895110956405,0.2121195353064751,0.11389601892395189,0.008027137133122522,1.248174912050672,0.0076470566330734705,0.008358431442894294,0.0043579483769239985
8.0,0.6431392382988812,0.37391338530527807,29.28768,29.28768,1.0,0.22262466554882493,0.30360160305773365,2.1231382057009016,0.28812060539983486,0.6790985955128046,0.11524420946626385,0.2432705141555767,0.3505990724177789,0.52181395552002,0.6623234812942138,0.21882158301196253,1.9212399614956621,0.2703982777179763,0.2793928479547209,0.534843385219574,0.35084562699697514,0.22393652141587092,0.11389601892395189,0.007418742664023993,1.2246847105652705,0.006976373710760653,0.007808184474997279,0.004241357741490673
9.0,0.6473199543212419,0.375102266510215,32.94864,32.94864,1.0,0.213569489824314,0.3054870417059486,2.1375693869839094,0.29003932064791577,0.6798527733790043,0.11524420946626385,0.24502212071904594,0.33842741524517417,0.5130301658514312,0.6624258597215257,0.21842578804853308,1.9177649062025204,0.27189481098849494,0.2818526955201215,0.5477376580238342,0.338493074145007,0.2147503311276571,0.11389601892395189,0.0075561568165702035,1.3188479342607025,0.006923136717462791,0.008120435965490485,0.0047891132489505
10.0,0.6411986877877973,0.35970096835871296,36.6096,36.6096,1.0,0.21577641972251976,0.307217880253001,2.1467939600839023,0.29418919311591135,0.6828129659673043,0.11524420946626385,0.2464549389209259,0.34196953635010024,0.5307620514263018,0.6636114817243088,0.2221507602415596,1.9504699316127034,0.27604527604527607,0.28189509306260574,0.5696823000907898,0.34194222611832964,0.21705243476072741,0.11389601892395189,0.007235190720102607,1.3377283734553203,0.006070694291300585,0.008291311115029568,0.004408142982154376
