round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_prevalence,fed_auprc,fed_brier,fed_f1_best,fed_auprc_lift,fed_f1_best_threshold,fed_ece,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6874709576455676,0.11339920633529714,3.66096,3.66096,1.0,0.2701865684514589,0.11486656596173211,0.20600988794543904,0.22547413337993186,0.28745480208823415,1.8059675247988798,0.4964234914878254,0.3566845399004005,0.6528933430530617,0.6513660153517945,0.20822474093503135,1.8282003436315235,0.26451905626134303,0.26702425373134325,0.5028139352798462,0.3574925411241909,0.22552668177115753,0.11389601892395189,0.025063521282904563,2.7214395241680904,0.021833563262370594,0.02737480030165448,0.012763082092647447
2.0,0.6580023134620268,0.2505370643813823,7.32192,7.32192,1.0,0.27279740911922423,0.11486656596173211,0.21646218510334506,0.22117294255787825,0.2910035062335536,1.9013269460775688,0.5087980343514729,0.3488858003565087,0.6609262376938687,0.6576876510734374,0.21336059678153788,1.8732928402352522,0.26735751295336785,0.2712561711464619,0.528134286403656,0.34979555218162406,0.221552364894445,0.11389601892395189,0.01600614832246751,1.8639120114094112,0.015415619387165382,0.01650632201298792,0.005473303885026277
3.0,0.6504157529896625,0.2898862832703718,10.98288,10.98288,1.0,0.2779132638253924,0.11486656596173211,0.22029310236194954,0.21739353520386173,0.2958577766754769,1.9272735947901847,0.496534533519204,0.343417535495662,0.6645764920222349,0.6606040683615821,0.21647664277477507,1.900651531282371,0.27346379159915246,0.27480106100795754,0.5109084844589233,0.34400669601913475,0.21775135360759415,0.11389601892395189,0.010939739570805181,1.3573804293300782,0.011282584703584665,0.010760243337983314,0.004649880368336312
4.0,0.6483533408700353,0.2853139873059099,14.64384,14.64384,1.0,0.27861386401874205,0.11486656596173211,0.22626884405167505,0.22980114196894838,0.29839093267370986,1.981144887646311,0.5366196385758281,0.3618158869124566,0.6683650390484677,0.6621234179345421,0.21818404397508392,1.915642408193081,0.2705907718844329,0.277940315974254,0.5500978827476501,0.3622011492694713,0.2302564432793079,0.11389601892395189,0.00988608328650852,1.2963608661575563,0.01015764953285675,0.009736685351175367,0.004446625254926583
5.0,0.6460658813884664,0.27210691949753785,18.3048,18.3048,1.0,0.27873874798056963,0.11486656596173211,0.22971027785880463,0.22512720402576025,0.2993552452055703,2.0114082802010027,0.5469853775697683,0.35553225235542724,0.6704500667276827,0.6623273590748021,0.21834696990063507,1.9170728877400434,0.27475964322946833,0.2772982600356213,0.5309838652610779,0.3558302635258641,0.2256674274919226,0.11389601892395189,0.008390378226109867,1.1648729513053695,0.0084842129979293,0.008347143587656352,0.004968036842678521
6.0,0.6445649994793169,0.26163661736401805,21.96576,21.96576,1.0,0.2826236415141302,0.11486656596173211,0.23249915709496866,0.22690129609363444,0.3015954471962698,2.03469038112376,0.5432953640428434,0.3578017522343636,0.6724634995343299,0.6642114710120967,0.22001437952668504,1.9317126411028303,0.27388327355722203,0.28063844552394174,0.5419790148735046,0.3579194042380739,0.2274005851132981,0.11389601892395189,0.008307220173380368,1.216122654848732,0.007813940358438616,0.008710926623028772,0.005299291084005941
7.0,0.6457772797675856,0.332660359187991,25.62672,25.62672,1.0,0.2855388162527651,0.11486656596173211,0.23631823623431908,0.21317336087906572,0.3038584724030044,2.0715248029113575,0.5202091860585851,0.336579952857008,0.6750364129755582,0.6626735984483657,0.2196413307486134,1.9284372959099423,0.2757869249394673,0.27941176470588236,0.5278855562210083,0.33673260699005336,0.21412017295486924,0.11389601892395189,0.007789059935492054,1.215401664016099,0.007379240711454471,0.008138968478203617,0.004391175617091188
8.0,0.6479579875078831,0.40651313176812404,29.28768,29.28768,1.0,0.2848070081485223,0.11486656596173211,0.2402728770400948,0.22323001759279149,0.30629506097496534,2.1100170460841703,0.5223615682137096,0.3518137813368504,0.6770737035437095,0.6623093631610042,0.21861220353972574,1.9194016226826383,0.2714772852271477,0.27803421124083627,0.542641282081604,0.3516812719053336,0.2243349572017839,0.11389601892395189,0.007531546096838252,1.2459356506624317,0.006963754508682392,0.008017793602420262,0.004802167289946619
9.0,0.6451724549843162,0.3488130014852212,32.94864,32.94864,1.0,0.2879754277530733,0.11486656596173211,0.24256530834934772,0.21783954697178848,0.30411928562909507,2.128078819097782,0.5305508523166539,0.34489623731244184,0.6780206938534679,0.6628757450170267,0.2181567993960528,1.9154032024746674,0.27240896358543415,0.2787114845938375,0.5355966091156006,0.34487990911689453,0.21894770862968013,0.11389601892395189,0.007927584286333025,1.3887025401763822,0.007046633771259209,0.008696824089553528,0.004968187263542719
10.0,0.6423486033343015,0.34829949278465044,36.6096,36.6096,1.0,0.29028031642320024,0.11486656596173211,0.2443353799060485,0.21528277829279843,0.3065679371258357,2.1404545330372176,0.5225875606593438,0.3400677505135911,0.680389304287091,0.6636758604117454,0.2215494084758959,1.9451901003126715,0.2742751955821445,0.2823118450301683,0.567119300365448,0.33992994554605943,0.2166198312064272,0.11389601892395189,0.007467325992458685,1.3898213443571876,0.0063681890741074864,0.008455169815391654,0.0037017982587094285
11.0,0.640064134232237,0.3899915244050047,40.27056,40.27056,1.0,0.29109993850276056,0.11486656596173211,0.2465883353272196,0.2071808584705931,0.310082076897182,2.156089082500878,0.5233411896422371,0.3275770640965788,0.6828309871549261,0.662649503501021,0.22133403786804506,1.9432991596995965,0.2775940218057087,0.283566791937137,0.571169912815094,0.3273067787987842,0.20886544070269114,0.11389601892395189,0.007170604575179591,1.4204108877747785,0.005874977464091305,0.008361191129203078,0.004010176617777015
12.0,0.6427822861581799,0.4501432637018824,43.93152,43.93152,1.0,0.2956883879077992,0.11486656596173211,0.24618034670581818,0.21068940714153014,0.3119103150760358,2.1537467716633314,0.5251660166366433,0.3313858756788023,0.6839625852966361,0.6623713449031581,0.22068810666521516,1.9376279236991427,0.27593765221626887,0.2813677195015938,0.54502934217453,0.3312447412394452,0.2128410175403644,0.11389601892395189,0.006932208993670062,1.4542970965303539,0.005602200477884106,0.008177871757727832,0.0046586264631503175
13.0,0.6431298456282407,0.563832031879866,47.59248,47.59248,1.0,0.29680268616467836,0.11486656596173211,0.2521668983530428,0.20717508413347163,0.3134844443740302,2.2066876639338178,0.5186308366298106,0.3281395652383933,0.6867303034762905,0.6619987767798399,0.21989993470682972,1.9307078226646044,0.2764286577262293,0.2802315963606286,0.5609181523323059,0.3277429877336255,0.20924801556088396,0.11389601892395189,0.00667441295007052,1.4860036399695673,0.005360809812089073,0.007920975330340052,0.005540897742667864
14.0,0.6437130671389752,0.47444148075520676,51.25344,51.25344,1.0,0.29187280265295207,0.11486656596173211,0.2573802570942862,0.21198710592504438,0.31454119724199125,2.2480565053878463,0.5498571883838281,0.33635478946994635,0.6889802876360948,0.6612318923333341,0.219706796215605,1.9290120786601217,0.27398830677519204,0.28187059577194107,0.5602571368217468,0.335698013358102,0.21412702458806712,0.11389601892395189,0.006659282730334692,1.5681271166668012,0.00502182383434938,0.0082527616847011,0.00429601824462252
15.0,0.6417680262411929,0.5342656258726145,54.9144,54.9144,1.0,0.2910801938012849,0.11486656596173211,0.2582477275188247,0.21736070130756374,0.3162356776536038,2.250300909009219,0.5545220196881113,0.3417583460157994,0.6903121498260784,0.6603431652598648,0.22059318197396557,1.9367944907824666,0.2704369086850218,0.2828604516502606,0.5646801590919495,0.3412687480357805,0.22013102914346297,0.11389601892395189,0.006682035162208392,1.6645198526939566,0.004892360816611758,0.008464490325296252,0.003954843351995554
16.0,0.642020638762708,0.6564032017528004,58.57536,58.57536,1.0,0.2928482699813597,0.11486656596173211,0.26465841764596676,0.21816291075320787,0.31664399633977985,2.3063301847989637,0.5394243304275375,0.3455694896067715,0.6937674149719286,0.6597384322793183,0.2190309506563424,1.9230781964608339,0.2717391304347826,0.2865073245952197,0.5636544823646545,0.3447636144581749,0.22086911319941457,0.11389601892395189,0.006405255878326409,1.692562630507382,0.004624059628129282,0.00821083034750582,0.0033548702576950834
