round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_f1,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6883479685205011,0.09130835382977831,0.526995,3.65056,0.9971592150692714,0.11512557436898088,1.7469940312175494,0.2696219234623133,0.5004699569524492,0.19764694983989384,0.6209899280486123,0.15134902861410512,0.3835363255435842,0.24872646035892457,0.5024745761912103,0.14477287267846206,1.2710968657747956,0.2045002711006687,0.20458346517199294,0.5290055274963379,0.4163367578707198,0.2742534337180501,0.11389601892395189,0.4843807778563474,10.288187865167856,0.3133909533140644,0.6219139137273058
2.0,0.6860800775114547,0.06459861657853286,1.05399,7.30112,0.9971592150692714,0.11512557436898088,1.7696766389937508,0.2763279563127648,0.49532844314095253,0.20201411918669684,0.6354808553046898,0.17126439261329376,0.37298141021729114,0.24006740636417945,0.6532610704110081,0.2123206869307897,1.8641624960794787,0.2045002711006687,0.26615798922800715,0.5306758284568787,0.41506884249127,0.27293728475542917,0.11389601892395189,0.06791832593958082,1.4198673609644175,0.05665680238165264,0.07684448736787625
3.0,0.6807917503116377,0.09174010413248665,1.580985,10.95168,0.9971592150692714,0.11512557436898088,1.900195683301685,0.2887383050754699,0.4980914479945433,0.21641728459126514,0.6507196679977322,0.22265577633741382,0.3670405273925382,0.23477413288454868,0.6555962221933641,0.21274752518232576,1.8679101095217103,0.2045002711006687,0.2700353164900842,0.5312491655349731,0.4131845629139043,0.27117455157303644,0.11389601892395189,0.040048630339652606,0.9557748401421122,0.03280163061336277,0.046513218799541914
4.0,0.6732422230939876,0.1166428541833459,2.10798,14.60224,0.9971592150692714,0.11512557436898088,1.93912128597744,0.2925032737401723,0.4982951955812696,0.22132392511993856,0.6536006336566242,0.2559140821447347,0.36014377503936235,0.22848787503250506,0.6553478183455816,0.21270310964025468,1.8675201438100841,0.2045002711006687,0.27212359398292446,0.5314942002296448,0.4134223449061601,0.27130576051912125,0.11389601892395189,0.0286290646526458,0.7945908894762397,0.021718879181712357,0.0353611638764373
5.0,0.6663606134023944,0.13057755219887396,2.634975,18.2528,0.9971592150692714,0.11512557436898088,1.950603332889492,0.2953652890929903,0.5019570700324802,0.2224570311457468,0.65507048052581,0.264383504863457,0.35897926013660425,0.2270154504755364,0.655751521658672,0.21073409925641393,1.850232354452359,0.2045002711006687,0.2717469446441409,0.5317624807357788,0.41394803447100376,0.27175729340177074,0.11389601892395189,0.021691135709863845,0.6867872639559209,0.01679999923363317,0.026673352657816903
6.0,0.662980967270282,0.1559129806146366,2.634975,18.2528,0.0,0.11512557436898088,2.079571464443398,0.303859197196756,0.5420824539997565,0.23435419011230682,0.6662421482726922,0.2820130796647331,0.3199198738691595,0.20606599669211956,0.655751521658672,0.21073409925641393,1.850232354452359,0.2045002711006687,0.2717469446441409,0.5317624807357788,0.41394803447100376,0.27175729340177074,0.11389601892395189,0.0,0.0,,
7.0,0.6386560050920915,0.3173426331803998,2.634975,18.2528,0.0,0.11512557436898088,2.1607838927558185,0.3126892247402271,0.5848579577782262,0.24416392791528205,0.6758345977022345,0.2777050051339322,0.36712701865257635,0.23631781071719415,0.655751521658672,0.21073409925641393,1.850232354452359,0.2045002711006687,0.2717469446441409,0.5317624807357788,0.41394803447100376,0.27175729340177074,0.11389601892395189,0.0,0.0,,
8.0,0.6220082239604082,0.5106781832786801,2.634975,18.2528,0.0,0.11512557436898088,2.2552161780929003,0.317335846465469,0.5344892522083202,0.25474593024351133,0.6825879889366191,0.29537892264429916,0.3124791333690925,0.20095766515095267,0.655751521658672,0.21073409925641393,1.850232354452359,0.2045002711006687,0.2717469446441409,0.5317624807357788,0.41394803447100376,0.27175729340177074,0.11389601892395189,0.0,0.0,,
9.0,0.6633087099621873,0.14088660401894731,3.16197,21.90336,0.9971592150692714,0.11512557436898088,1.9635898406560814,0.29694702984537996,0.5043246331153074,0.22379061898756167,0.6562593464577076,0.2792463278562206,0.3582087496761378,0.2261673654742184,0.6564251887776378,0.2116126403139888,1.8579458905871158,0.2045002711006687,0.2732656514382403,0.5314801931381226,0.41147014616455985,0.2695251335683123,0.11389601892395189,0.01706289998989387,0.6002096111187711,0.013761636662789612,0.020605779257750298
10.0,0.6583148256250628,0.15707382131080408,3.16197,21.90336,0.0,0.11512557436898088,2.0962115861023105,0.3078629765229296,0.5444992137216385,0.23652345219787818,0.6674045826273765,0.27813023115351265,0.3543688687399454,0.22488533103293804,0.6564251887776378,0.2116126403139888,1.8579458905871158,0.2045002711006687,0.2732656514382403,0.5314801931381226,0.41147014616455985,0.2695251335683123,0.11389601892395189,0.0,0.0,,
