round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_f1,fed_brier,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6891658118563128,0.11669802570484542,3.65056,3.65056,0.9971592150692714,0.19145682212360954,0.11373363544813696,0.24311612852076536,0.24509153427608146,0.6171811109832511,0.271917610838942,0.5150279780157654,0.3816836866543583,1.6767707176816462,0.3708020515241335,0.08521348895650509,0.7481691613242596,0.14460451209567818,0.2045002711006687,0.46903201937675476,0.38688759277832757,0.25105139782090613,0.11389601892395189,0.02790747306412129,2.994654764654115,0.023497956315763336,0.030819893563457174
2.0,0.6827441607638434,0.12974327544256378,5.632,5.632,0.5412350858791136,0.22502813460279533,0.11373363544813696,0.25388913284515513,0.2349202030812509,0.6648832482240196,0.3024779201157198,0.5377557894021782,0.36928104956363295,2.003235139398841,0.34412649767039505,0.08149593258956475,0.7155292464083349,0.15328630612473407,0.2045002711006687,0.4308841824531555,0.3932404229928829,0.2565184914691829,0.11389601892395189,0.01974164698906463,1.3483890411444008,,0.01974164698906463
3.0,0.6704797777136164,0.1965367088132874,7.61344,7.61344,0.5412350858791136,0.2375427376025794,0.11373363544813696,0.27136827958465576,0.23984516860672372,0.6771702066874906,0.31040757986686573,0.5659680113455231,0.37773452279479636,2.1216331323202215,0.3390829106636155,0.08064629507061832,0.7080694815546246,0.15135196417436653,0.2045002711006687,0.3720284104347229,0.3927091116666782,0.25698690715255174,0.11389601892395189,0.01373819215585399,0.9919086939189583,,0.01373819215585399
4.0,0.6611261999159368,0.23569841776727535,9.59488,9.59488,0.5412350858791136,0.24640435835948193,0.11373363544813696,0.28373508826116584,0.22471533650476053,0.6856905476140789,0.31903332741505575,0.5571615867249194,0.35885421910172205,2.206763125928871,0.34670588688255505,0.0819361117612531,0.7193939923041704,0.13832994892621991,0.20450951154489178,0.315422385931015,0.38521597108547434,0.25098872644053927,0.11389601892395189,0.011582403870166432,0.8783827596344054,,0.011582403870166432
5.0,0.6644064809532766,0.22425427643408966,11.264,11.264,0.4559241291901578,0.22445215368030158,0.11373363544813696,0.27873680592327854,0.20891739838859152,0.6660860468704857,0.2940325122905032,0.5357231230147687,0.33144268497059354,1.996056503440294,0.339180972079528,0.0809351893647633,0.7106059555848351,0.13574828460159485,0.20451875282422052,0.3112848699092865,0.3848593158368898,0.25073351192830934,0.11389601892395189,0.01685835949865316,0.7673854525201023,0.01685835949865316,
6.0,0.6570681495715405,0.25304159216560845,13.24544,13.24544,0.5412350858791136,0.2381926822369699,0.11373363544813696,0.2813245730856448,0.22245710372601532,0.6788607900379465,0.30752428203022747,0.5548591039857236,0.35412124269299616,2.121813361124707,0.3722135762077254,0.08870464721571354,0.7788213148603678,0.11054994388327721,0.20450951154489178,0.2778661847114563,0.3799560330277559,0.24680939470851904,0.11389601892395189,0.00973375286546212,0.7691141635878012,,0.00973375286546212
7.0,0.6473025161102424,0.39408044744865806,15.22688,15.22688,0.5412350858791136,0.25112784693023904,0.11373363544813696,0.292685624079321,0.2189843222722346,0.6896128462491922,0.3200660095655984,0.5432702571693864,0.3500684323080056,2.245261436002255,0.4107371427478551,0.09832072643970532,0.8632498955503778,0.041412084181941616,0.2045002711006687,0.2532276213169098,0.3759266635382132,0.24346296153720018,0.11389601892395189,0.00863496844720614,0.713582725613378,,0.00863496844720614
8.0,0.6356364060153255,0.3791390228743098,17.20832,17.20832,0.5412350858791136,0.2615371430439202,0.11373363544813696,0.3094578341383649,0.20303793551766824,0.6997860500165117,0.3270115098812846,0.5446617961837745,0.3257128578349985,2.3415158391957696,0.41673073580096054,0.10103960027662974,0.887121439636039,0.07368421052631578,0.2045002711006687,0.22422125935554504,0.37469890765589664,0.2425934630487887,0.11389601892395189,0.009475936243165277,0.8138043991057202,,0.009475936243165277
9.0,0.6187411020248068,0.5026384748634797,19.18976,19.18976,0.5412350858791136,0.27571607786610325,0.11373363544813696,0.3104944820647218,0.20987307200269897,0.7100065129299993,0.34219983206349835,0.5796049864285543,0.33563032440071194,2.4764029803319985,0.3909150703805882,0.09531080613075851,0.8368229814458864,0.026575550493545937,0.2045002711006687,0.20554423332214355,0.3735926266171095,0.24249429487687718,0.11389601892395189,0.01075348677079521,0.970284060575068,,0.01075348677079521
10.0,0.6468716456962282,0.43356704515151767,22.84032,22.84032,0.9971592150692714,0.23301101136614807,0.11373363544813696,0.27613031790959947,0.2095616051424199,0.6691778206436056,0.2994659787610894,0.5501172893210752,0.3321682259164683,2.069088757842373,0.4194665790279888,0.10014670135878603,0.8792818423763675,0.011541632316570486,0.2045002711006687,0.260219931602478,0.37173646522717857,0.24008290802983756,0.11389601892395189,0.009897430656715948,1.4249252579174936,0.014002293899132682,0.007755836514216721
11.0,0.6447346364894411,0.39699128088953384,24.82176,24.82176,0.5412350858791136,0.25083980330650063,0.11373363544813696,0.2828109372075219,0.2252286184518938,0.684891580921187,0.3139857795174432,0.569656367410886,0.35762821486330443,2.237722661291578,0.3832007341529665,0.09259948391929862,0.813017740164624,0.007290400972053463,0.2045002711006687,0.21960578858852386,0.370838211142391,0.24030338620427633,0.11389601892395189,0.006396634603416425,0.6180446390062571,,0.006396634603416425
12.0,0.6308066657577258,0.4648294323547712,26.8032,26.8032,0.5412350858791136,0.26063787893824925,0.11373363544813696,0.29242701310912633,0.21788472732444208,0.6945527216566088,0.3284966358081821,0.5813890838374695,0.34577777366738194,2.331525083643327,0.3680831124086017,0.08938909979757888,0.7848307661856362,0.025491624180626365,0.2045002711006687,0.2300378829240799,0.3724195794192778,0.2417611181997302,0.11389601892395189,0.006903009448174519,0.6917562267044559,,0.006903009448174519
