round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_auroc,fed_f1,fed_auprc,fed_f1_best,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6878100540364115,0.11724990905012675,3.66096,3.66096,1.0,1.9216198786911343,0.11369216241737486,0.5024409334577776,0.6487035877854407,0.25917332177445224,0.21592494776994042,0.2836587930200023,0.23456874387674306,0.3709138435633782,0.6541616567163738,0.2078797634186714,1.8251714623798418,0.27007706913883617,0.27587884685561365,0.5052017569541931,0.37048231300239,0.2347079293519138,0.11389601892395189,0.024934479458982976,2.7157551773293562,0.022315729971361133,0.026797728161351453,0.011204011884671513
2.0,0.6636043297691188,0.210862063417275,7.32192,7.32192,1.0,1.9649584052486264,0.11369216241737486,0.5029355926317803,0.6539862514762752,0.26286985922239925,0.22089179220668534,0.28385360866508924,0.2185939073092814,0.34587749997455824,0.6602458568110569,0.21386571737373844,1.8777277677855984,0.27730707579574077,0.28083247687564233,0.5176436305046082,0.34601105110932323,0.21881032893326977,0.11389601892395189,0.015750104833801182,1.8388845158242475,0.01596633984735778,0.015707615862612205,0.00511599440316348
3.0,0.6465590441701037,0.33917896682604937,10.98288,10.98288,1.0,2.0052221751579338,0.11369216241737486,0.5045036111926372,0.6573455669323782,0.2661275104210935,0.22585336822808239,0.28668097669534676,0.21828607038379838,0.3445892402284882,0.6608528612423686,0.2181223237517229,1.9151005084502795,0.2757867132867133,0.27900107411385605,0.5300738215446472,0.34428435442695937,0.21836947228196413,0.11389601892395189,0.012101923161372171,1.5107325081826275,0.012344534322602069,0.011997510232375358,0.005267019700590447
4.0,0.6421433449247049,0.31815593848562396,14.64384,14.64384,1.0,2.0338759677566878,0.11369216241737486,0.5173333006720143,0.6599305648886066,0.2679749048973639,0.22925834904238368,0.2899388682913988,0.21352195460466258,0.33602067271905905,0.6624791948914294,0.22051214653910411,1.9360830046776225,0.2807683187099834,0.28322065150583897,0.505823016166687,0.3359120602882277,0.21382784822791426,0.11389601892395189,0.009587997450987729,1.274458677256007,0.010196853632083148,0.009204870954724376,0.0041690092044712156
5.0,0.639074424249062,0.35566582373664263,18.3048,18.3048,1.0,2.0607967328636647,0.11369216241737486,0.5329102901099874,0.6627150692383829,0.26665579070035855,0.2326612320071039,0.29122759993344344,0.22345780623305941,0.3522982355639888,0.662698684802398,0.2227011679390656,1.9553024771459542,0.2774503383540712,0.28307076769192296,0.5240048170089722,0.35174056316224217,0.223603463394372,0.11389601892395189,0.009088763258692472,1.2798951313034195,0.00927037755679693,0.008993424626671012,0.0042674532729426095
6.0,0.6449851974771488,0.4427121643958163,21.96576,21.96576,1.0,2.0802779715229844,0.11369216241737486,0.5232279005049159,0.6652526854330356,0.26764792440140023,0.23524723536097294,0.29509688318721927,0.21397933369998814,0.3387928387214074,0.6654399619420307,0.22419031754598756,1.9683771185688144,0.2847826086956522,0.2868546414316982,0.5104363560676575,0.33811361773938997,0.21431967901950386,0.11389601892395189,0.007762276668273491,1.159646649422939,0.007688099536884364,0.007842450901191608,0.004573682682194678
7.0,0.6449605698084593,0.40086930119660025,25.62672,25.62672,1.0,2.1109205135508944,0.11369216241737486,0.5300854866651759,0.6677603599269372,0.27185938048734354,0.23871459084241511,0.2963995091650706,0.2187889734450251,0.3486264812841257,0.6656248404650947,0.22610877490060222,1.9852210554573864,0.28307692307692306,0.28730664240218384,0.4953235685825348,0.34795878939842434,0.21927053282736025,0.11389601892395189,0.009042495938468875,1.4249612669791532,0.008167481450746618,0.009768766267626492,0.0042330600804610565
8.0,0.645019757745392,0.3899322692495402,29.28768,29.28768,1.0,2.1175133053429906,0.11369216241737486,0.5116228002495536,0.6693881113406774,0.27569166381583393,0.2397157449590775,0.2959958709867717,0.2211954405604947,0.3511261109280294,0.6650538153119273,0.2254729866109473,1.9796388736071198,0.28510587956938366,0.2863768115942029,0.49750274419784546,0.3507877262327474,0.22197750320980195,0.11389601892395189,0.007438269952425012,1.2504246083208272,0.006924529410218805,0.007875764295289259,0.004574462728790191
9.0,0.6463042377773889,0.4086117588286856,32.94864,32.94864,1.0,2.144324976160471,0.11369216241737486,0.5135689487144338,0.6714133999860217,0.2761540733170652,0.24292692629122056,0.2977085530356967,0.21530688861675773,0.34198982865321853,0.6648247627187313,0.22688229169290952,1.9920124850403973,0.27956474949180915,0.28275084554678687,0.49199679493904114,0.34153136280697854,0.2161645079830246,0.11389601892395189,0.007930562995953419,1.4107699402829894,0.006899661949436097,0.008821588839057714,0.004930665024516202
10.0,0.6410939311535584,0.4544015453524944,36.6096,36.6096,1.0,2.166771193822663,0.11369216241737486,0.5405862890871057,0.6723698559324313,0.2784985247544251,0.2454062889152057,0.298669046784488,0.1994395601898824,0.31507686573002436,0.6642619449070033,0.22783835805112362,2.000406688518681,0.2779284515045848,0.28348980993817263,0.4806996285915375,0.31451568499899724,0.20049579993704145,0.11389601892395189,0.007960512272345073,1.5053175509892753,0.0064814772700359695,0.009266022142580401,0.005194673599960269
