round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_auroc,fed_f1_best,fed_ece,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17271790940934256,0.03136244505566741,3.65056,3.65056,0.9971592150692714,0.16344898273849887,0.11412564522220824,0.5599154389333652,0.25155512956050047,0.40229864861432996,0.2622562173357185,0.18242484238402268,1.4515245154977174,0.5150672906136672,0.6254214419631278,0.1940859096059516,1.7040622792579108,0.2443973883889183,0.25158078837616044,0.5016832947731018,0.38562019183505036,0.249238605988002,0.11389601892395189,0.022258771007799508,2.389614943880588,0.018370684562898594,0.024833835212400446
2.0,0.1717086239666456,0.025422008634735666,7.30112,7.30112,0.9971592150692714,0.1942487783841983,0.11412564522220824,0.6062157883386371,0.27296035757953724,0.3896793534304563,0.2513475905358138,0.22104105188185716,1.712993689731795,0.511005390706072,0.6493819972291816,0.20898372356302833,1.8348641641510428,0.26393321875767245,0.26713286713286716,0.5004422068595886,0.38373012276995105,0.24771688016440482,0.11389601892395189,0.015610959861860459,1.7417785301804543,0.012689840776619528,0.017564765162070176
3.0,0.17011627647820407,0.029083775547964985,10.95168,10.95168,0.9971592150692714,0.21930638784251716,0.11412564522220824,0.6552187083020395,0.2932696665773271,0.3810661843403691,0.2440509645550588,0.252727133134501,1.921765929902106,0.511730671730012,0.6518681314654462,0.2156225406958644,1.8931525678683736,0.26969840517921995,0.2732542092188794,0.4993850290775299,0.3843148988730427,0.2479985638572314,0.11389601892395189,0.012408522862346213,1.454556709388271,0.010712865971884138,0.013566580177079415
4.0,0.16728777119176091,0.02878685188454465,14.60224,14.60224,0.9971592150692714,0.22546543379753656,0.11412564522220824,0.6667962312174239,0.30220008858778524,0.3875206004184274,0.248089034333586,0.2635640407266091,1.991540899800766,0.5174800669623159,0.6540067964818768,0.22015546309880113,1.9329513461379053,0.2566216453253815,0.2818235642391948,0.5036830306053162,0.388060123736308,0.25055777401613677,0.11389601892395189,0.010690183269827505,1.3187236883677542,0.009422993722299931,0.011585756927196931
5.0,0.165933519611583,0.03125688115072027,18.2528,18.2528,0.9971592150692714,0.2321518884225961,0.11412564522220824,0.6729596798376946,0.3061712262744173,0.3849908557287709,0.24570052806749199,0.2666860737065838,2.0740955654389186,0.5180646226731171,0.6597660159742473,0.22366095817755527,1.9637293760626804,0.26066098081023453,0.28139381985535833,0.5066905617713928,0.38724020559064537,0.2497574005674204,0.11389601892395189,0.009157262058099472,1.193230434320867,0.008818020576161502,0.009406168511181565
6.0,0.1650835454705209,0.027297540974991187,18.2528,18.2528,0.0,0.250320328862376,0.11412564522220824,0.6906546403064345,0.326274752448833,0.37366312322757045,0.23599099611684848,0.2868604455347802,2.2504658660787635,0.5290890922665551,0.6597660159742473,0.22366095817755527,1.9637293760626804,0.26066098081023453,0.28139381985535833,0.5066905617713928,0.38724020559064537,0.2497574005674204,0.11389601892395189,0.0,0.0,,
7.0,0.15951036809144845,0.04023814698507936,18.2528,18.2528,0.0,0.2615355319632002,0.11412564522220824,0.698915132316628,0.33712472775203006,0.36738522710044363,0.23098566784928912,0.3025895642171823,2.355109487438424,0.5253151734083434,0.6597660159742473,0.22366095817755527,1.9637293760626804,0.26066098081023453,0.28139381985535833,0.5066905617713928,0.38724020559064537,0.2497574005674204,0.11389601892395189,0.0,0.0,,
8.0,0.1567754375975428,0.05402516357967069,18.2528,18.2528,0.0,0.27470427044387785,0.11412564522220824,0.7122371147605258,0.3442451428639601,0.3672418076534214,0.22966754453122223,0.31007163103492086,2.478859068851518,0.5314364656402649,0.6597660159742473,0.22366095817755527,1.9637293760626804,0.26066098081023453,0.28139381985535833,0.5066905617713928,0.38724020559064537,0.2497574005674204,0.11389601892395189,0.0,0.0,,
9.0,0.163782827043564,0.03288969796665806,21.90336,21.90336,0.9971592150692714,0.23786229145397034,0.11412564522220824,0.6781923735671561,0.31250027892984067,0.3768793416817932,0.2390511034666498,0.28470673371717853,2.131877790961992,0.5180080736574922,0.6617542130642905,0.22491925566232857,1.9747771501346911,0.27469405594405594,0.28143604546274575,0.5081437230110168,0.3843430312874153,0.2471082733379874,0.11389601892395189,0.008559046196445354,1.1745454733027145,0.007611346687576163,0.009282750004470845
10.0,0.16298605670219943,0.03634935381658763,21.90336,21.90336,0.0,0.2533345303928776,0.11412564522220824,0.6943223946525208,0.3269415565578798,0.37935703309318747,0.23979527376120716,0.2971386498851344,2.2767824982066793,0.5275419145188434,0.6617542130642905,0.22491925566232857,1.9747771501346911,0.27469405594405594,0.28143604546274575,0.5081437230110168,0.3843430312874153,0.2471082733379874,0.11389601892395189,0.0,0.0,,
